Round,Date,Team 1,FT,HT,Team 2
?,(Tue) 20 Aug 1996 (34),Roda JC Kerkrade (1),1-1,?,Feyenoord Rotterdam (1)
?,(Wed) 21 Aug 1996 (34),Ajax Amsterdam (1),1-0,?,NAC Breda (1)
?,(Wed) 21 Aug 1996 (34),AZ Alkmaar (1),0-2,?,Vitesse Arnhem (1)
?,(Wed) 21 Aug 1996 (34),FC Groningen (1),0-0,?,Willem II Tilburg (1)
?,(Wed) 21 Aug 1996 (34),SC Heerenveen (1),1-3,?,FC Twente (1)
?,(Wed) 21 Aug 1996 (34),Sparta Rotterdam (1),0-0,?,Fortuna Sittard (1)
?,(Wed) 21 Aug 1996 (34),FC Utrecht (1),2-2,?,RKC Waalwijk (1)
?,(Wed) 21 Aug 1996 (34),FC Volendam (1),1-1,?,BV De Graafschap (1)
?,(Thu) 22 Aug 1996 (34),NEC Nijmegen (1),1-4,?,PSV Eindhoven (1)
?,(Sat) 24 Aug 1996 (34),BV De Graafschap (2),3-2,?,RKC Waalwijk (2)
?,(Sat) 24 Aug 1996 (34),SC Heerenveen (2),2-0,?,Ajax Amsterdam (2)
?,(Sat) 24 Aug 1996 (34),NAC Breda (2),1-0,?,Sparta Rotterdam (2)
?,(Sat) 24 Aug 1996 (34),Willem II Tilburg (2),0-1,?,Fortuna Sittard (2)
?,(Sun) 25 Aug 1996 (34),Feyenoord Rotterdam (2),3-0,?,FC Volendam (2)
?,(Sun) 25 Aug 1996 (34),NEC Nijmegen (2),0-0,?,AZ Alkmaar (2)
?,(Sun) 25 Aug 1996 (34),PSV Eindhoven (2),4-1,?,FC Groningen (2)
?,(Sun) 25 Aug 1996 (34),FC Twente (2),1-1,?,Roda JC Kerkrade (2)
?,(Sun) 25 Aug 1996 (34),Vitesse Arnhem (2),1-0,?,FC Utrecht (2)
?,(Tue) 27 Aug 1996 (35),Fortuna Sittard (3),2-4,?,SC Heerenveen (3)
?,(Wed) 28 Aug 1996 (35),Ajax Amsterdam (3),1-0,?,AZ Alkmaar (3)
?,(Wed) 28 Aug 1996 (35),Feyenoord Rotterdam (3),2-1,?,BV De Graafschap (3)
?,(Wed) 28 Aug 1996 (35),FC Groningen (3),1-1,?,Roda JC Kerkrade (3)
?,(Wed) 28 Aug 1996 (35),FC Utrecht (3),0-0,?,FC Twente (3)
?,(Wed) 28 Aug 1996 (35),Vitesse Arnhem (3),1-1,?,Sparta Rotterdam (3)
?,(Wed) 28 Aug 1996 (35),FC Volendam (3),1-3,?,PSV Eindhoven (3)
?,(Wed) 28 Aug 1996 (35),Willem II Tilburg (3),1-3,?,RKC Waalwijk (3)
?,(Thu) 29 Aug 1996 (35),NAC Breda (3),1-1,?,NEC Nijmegen (3)
?,(Tue) 3 Sep 1996 (36),Fortuna Sittard (4),0-2,?,Feyenoord Rotterdam (4)
?,(Tue) 3 Sep 1996 (36),SC Heerenveen (4),0-1,?,NAC Breda (4)
?,(Tue) 3 Sep 1996 (36),FC Utrecht (4),0-0,?,FC Groningen (4)
?,(Wed) 4 Sep 1996 (36),AZ Alkmaar (4),2-1,?,FC Volendam (4)
?,(Wed) 4 Sep 1996 (36),BV De Graafschap (4),4-0,?,NEC Nijmegen (4)
?,(Wed) 4 Sep 1996 (36),Roda JC Kerkrade (4),0-0,?,Ajax Amsterdam (4)
?,(Wed) 4 Sep 1996 (36),Sparta Rotterdam (4),1-2,?,FC Twente (4)
