Date,Team 1,Team 2,FT,HT
2008-08-29,Vitesse,Groningen,0-4,0-1
2008-08-30,Nijmegen,Graafschap,2-0,0-0
2008-08-30,Roda JC,Twente,1-1,0-0
2008-08-30,Utrecht,PSV Eindhoven,1-5,0-3
2008-08-30,Willem II,Ajax,2-1,0-1
2008-08-31,AZ Alkmaar,NAC Breda,1-2,1-1
2008-08-31,Heracles,Feyenoord,3-1,1-1
2008-08-31,Sparta,Den Haag,2-5,1-3
2008-08-31,Volendam,Heerenveen,2-3,0-1
2008-09-12,Heerenveen,Heracles,2-2,2-1
2008-09-13,Den Haag,AZ Alkmaar,3-0,0-0
2008-09-13,Feyenoord,Volendam,5-0,2-0
2008-09-13,PSV Eindhoven,Sparta,1-0,0-0
2008-09-13,Twente,Nijmegen,1-1,1-0
2008-09-14,Ajax,Roda JC,1-0,0-0
2008-09-14,Graafschap,Vitesse,1-0,1-0
2008-09-14,Groningen,Utrecht,2-0,1-0
2008-09-14,NAC Breda,Willem II,1-3,0-0
2008-09-19,Utrecht,Willem II,1-0,1-0
2008-09-20,AZ Alkmaar,PSV Eindhoven,1-0,0-0
2008-09-20,Heracles,Groningen,1-1,0-0
2008-09-20,Vitesse,Sparta,1-1,0-0
2008-09-21,Feyenoord,Ajax,2-2,0-1
2008-09-21,Graafschap,Den Haag,2-0,1-0
2008-09-21,Heerenveen,Nijmegen,2-1,0-0
2008-09-21,Roda JC,NAC Breda,0-3,0-0
2008-09-21,Volendam,Twente,1-2,0-0
2008-09-27,NAC Breda,Heerenveen,4-2,4-1
2008-09-27,PSV Eindhoven,Volendam,1-0,0-0
2008-09-27,Twente,Graafschap,3-0,1-0
2008-09-27,Willem II,AZ Alkmaar,2-5,1-5
2008-09-28,Ajax,Vitesse,3-0,0-0
2008-09-28,Den Haag,Utrecht,0-0,0-0
2008-09-28,Groningen,Feyenoord,3-1,1-0
2008-09-28,Nijmegen,Heracles,1-1,0-0
2008-09-28,Sparta,Roda JC,2-2,1-0
2008-10-03,AZ Alkmaar,Sparta,6-0,4-0
2008-10-04,Heracles,Roda JC,2-0,0-0
2008-10-04,PSV Eindhoven,Graafschap,3-0,1-0
2008-10-04,Vitesse,Willem II,2-2,0-1
2008-10-05,Feyenoord,Nijmegen,0-2,0-0
2008-10-05,Groningen,Den Haag,3-0,2-0
2008-10-05,Heerenveen,Ajax,5-2,2-0
2008-10-05,Utrecht,Twente,3-0,1-0
2008-10-05,Volendam,NAC Breda,2-4,0-2
2008-10-17,Den Haag,Volendam,2-0,0-0
2008-10-18,Ajax,Groningen,1-0,1-0
2008-10-18,NAC Breda,PSV Eindhoven,2-1,1-0
2008-10-18,Roda JC,Heerenveen,2-2,0-1
2008-10-18,Twente,Heracles,2-0,0-0
2008-10-19,Graafschap,AZ Alkmaar,0-2,0-1
2008-10-19,Nijmegen,Vitesse,3-1,0-1
2008-10-19,Sparta,Utrecht,1-0,1-0
2008-10-19,Willem II,Feyenoord,1-0,1-0
2008-10-24,Heracles,Den Haag,3-1,2-0
2008-10-25,AZ Alkmaar,Volendam,3-0,1-0
2008-10-25,Groningen,Sparta,3-0,3-0
2008-10-25,PSV Eindhoven,Roda JC,2-3,0-1
2008-10-25,Willem II,Graafschap,1-1,0-1
2008-10-26,Ajax,Nijmegen,2-0,1-0
2008-10-26,Feyenoord,Heerenveen,2-2,0-1
2008-10-26,Utrecht,NAC Breda,0-0,0-0
2008-10-26,Vitesse,Twente,0-2,0-1
2008-10-28,Den Haag,PSV Eindhoven,0-2,0-0
2008-10-28,Roda JC,AZ Alkmaar,0-2,0-1
2008-10-28,Volendam,Willem II,2-2,1-0
2008-10-29,Heerenveen,Vitesse,0-2,0-0
2008-10-29,Heracles,Ajax,1-3,1-1
2008-10-29,NAC Breda,Twente,0-1,0-1
2008-10-29,Nijmegen,Groningen,2-2,0-1
2008-10-29,Sparta,Feyenoord,2-1,1-1
2008-10-30,Graafschap,Utrecht,0-2,0-1
2008-11-01,Heerenveen,AZ Alkmaar,3-3,1-0
2008-11-01,NAC Breda,Groningen,1-0,0-0
2008-11-01,PSV Eindhoven,Willem II,2-0,1-0
2008-11-01,Twente,Ajax,0-2,0-1
2008-11-02,Roda JC,Feyenoord,0-4,0-0
2008-11-02,Sparta,Nijmegen,0-2,0-1
2008-11-02,Utrecht,Heracles,2-0,0-0
2008-11-02,Vitesse,Den Haag,3-1,2-1
2008-11-02,Volendam,Graafschap,3-1,1-1
2008-11-07,Graafschap,NAC Breda,0-2,0-0
2008-11-08,Heracles,Vitesse,0-0,0-0
2008-11-08,Nijmegen,PSV Eindhoven,1-0,1-0
2008-11-08,Willem II,Roda JC,2-1,1-0
2008-11-09,Ajax,Sparta,5-2,3-0
2008-11-09,AZ Alkmaar,Twente,3-0,2-0
2008-11-09,Den Haag,Heerenveen,0-1,0-0
2008-11-09,Feyenoord,Utrecht,5-2,3-1
2008-11-09,Groningen,Volendam,5-0,3-0
2008-11-14,NAC Breda,Heracles,3-0,0-0
2008-11-15,Den Haag,Willem II,0-1,0-0
2008-11-15,Heerenveen,Utrecht,3-2,3-2
2008-11-15,Roda JC,Nijmegen,3-0,2-0
2008-11-15,Sparta,Volendam,4-0,0-0
2008-11-16,Ajax,PSV Eindhoven,4-1,1-0
2008-11-16,Groningen,Graafschap,3-0,1-0
2008-11-16,Twente,Feyenoord,1-1,1-0
2008-11-16,Vitesse,AZ Alkmaar,1-1,0-1
2008-11-21,Volendam,Roda JC,3-1,2-1
2008-11-22,Graafschap,Sparta,3-3,3-1
2008-11-22,NAC Breda,Nijmegen,1-1,0-1
2008-11-22,PSV Eindhoven,Heracles,4-0,4-0
2008-11-22,Twente,Heerenveen,6-0,4-0
2008-11-23,AZ Alkmaar,Ajax,2-0,1-0
2008-11-23,Feyenoord,Den Haag,3-1,2-1
2008-11-23,Utrecht,Vitesse,4-0,1-0
2008-11-23,Willem II,Groningen,3-0,3-0
2008-11-28,Groningen,AZ Alkmaar,0-2,0-1
2008-11-29,Den Haag,Twente,1-2,0-1
2008-11-29,Graafschap,Roda JC,1-1,0-0
2008-11-29,Heerenveen,PSV Eindhoven,2-2,1-0
2008-11-29,Heracles,Willem II,1-0,0-0
2008-11-30,Ajax,Utrecht,1-1,0-1
2008-11-30,Nijmegen,Volendam,6-1,5-0
2008-11-30,Sparta,NAC Breda,4-0,3-0
2008-11-30,Vitesse,Feyenoord,1-1,0-1
2008-12-06,AZ Alkmaar,Heracles,2-0,1-0
2008-12-06,PSV Eindhoven,Groningen,4-2,0-2
2008-12-06,Roda JC,Vitesse,3-0,1-0
2008-12-06,Twente,Sparta,6-2,4-0
2008-12-07,Feyenoord,Graafschap,1-3,0-1
2008-12-07,NAC Breda,Den Haag,0-4,0-1
2008-12-07,Nijmegen,Utrecht,1-2,1-0
2008-12-07,Volendam,Ajax,1-2,1-1
2008-12-07,Willem II,Heerenveen,1-3,0-1
2008-12-12,Ajax,NAC Breda,3-0,1-0
2008-12-13,Den Haag,Roda JC,1-1,1-1
2008-12-13,Feyenoord,AZ Alkmaar,0-1,0-0
2008-12-13,Heerenveen,Graafschap,2-0,2-0
2008-12-13,Willem II,Nijmegen,1-2,0-1
2008-12-14,Groningen,Twente,1-4,1-2
2008-12-14,Heracles,Sparta,2-1,1-1
2008-12-14,Utrecht,Volendam,0-0,0-0
2008-12-14,Vitesse,PSV Eindhoven,1-1,0-1
2008-12-19,AZ Alkmaar,Utrecht,2-0,1-0
2008-12-20,NAC Breda,Vitesse,2-0,0-0
2008-12-20,Roda JC,Groningen,2-5,1-1
2008-12-20,Sparta,Heerenveen,4-1,0-0
2008-12-21,Graafschap,Ajax,0-6,0-2
2008-12-21,Nijmegen,Den Haag,0-0,0-0
2008-12-21,PSV Eindhoven,Feyenoord,1-0,0-0
2008-12-21,Twente,Willem II,2-0,1-0
2008-12-21,Volendam,Heracles,3-1,1-0
2008-12-26,Feyenoord,NAC Breda,3-1,2-0
2008-12-27,Heracles,Graafschap,0-0,0-0
2008-12-27,PSV Eindhoven,Twente,0-0,0-0
2008-12-27,Vitesse,Volendam,3-1,2-0
2008-12-27,Willem II,Sparta,3-2,2-1
2008-12-28,Ajax,Den Haag,3-0,2-0
2008-12-28,AZ Alkmaar,Nijmegen,1-0,0-0
2008-12-28,Groningen,Heerenveen,2-3,0-1
2008-12-28,Utrecht,Roda JC,3-1,3-0
2009-01-16,Heerenveen,Feyenoord,3-1,2-1
2009-01-17,Den Haag,Heracles,2-2,1-1
2009-01-17,Graafschap,Willem II,1-0,1-0
2009-01-17,NAC Breda,Utrecht,1-1,1-0
2009-01-17,Twente,Vitesse,2-1,1-0
2009-01-18,Nijmegen,Ajax,2-4,0-0
2009-01-18,Roda JC,PSV Eindhoven,1-1,0-0
2009-01-18,Sparta,Groningen,1-1,0-0
2009-01-18,Volendam,AZ Alkmaar,0-2,0-1
2009-01-24,AZ Alkmaar,Graafschap,2-0,2-0
2009-01-24,Feyenoord,Willem II,1-1,0-0
2009-01-24,Heerenveen,Roda JC,2-0,1-0
2009-01-24,PSV Eindhoven,NAC Breda,2-2,1-1
2009-01-25,Groningen,Ajax,1-0,1-0
2009-01-25,Heracles,Twente,1-2,0-1
2009-01-25,Utrecht,Sparta,3-3,3-2
2009-01-25,Vitesse,Nijmegen,0-0,0-0
2009-01-25,Volendam,Den Haag,0-1,0-0
2009-01-30,Roda JC,Heracles,3-1,1-0
2009-01-31,Ajax,Heerenveen,0-1,0-0
2009-01-31,Den Haag,Groningen,0-1,0-0
2009-01-31,NAC Breda,Volendam,1-1,0-0
2009-01-31,Willem II,Vitesse,0-2,0-0
2009-02-01,Graafschap,PSV Eindhoven,0-3,0-2
2009-02-01,Nijmegen,Feyenoord,1-0,0-0
2009-02-01,Sparta,AZ Alkmaar,0-2,0-0
2009-02-01,Twente,Utrecht,0-0,0-0
2009-02-03,Ajax,Heracles,2-2,0-2
2009-02-03,Vitesse,Heerenveen,1-0,0-0
2009-02-03,Willem II,Volendam,1-2,1-0
2009-02-04,AZ Alkmaar,Roda JC,1-0,0-0
2009-02-04,Feyenoord,Sparta,1-0,1-0
2009-02-04,Groningen,Nijmegen,2-0,1-0
2009-02-04,Twente,NAC Breda,4-1,2-0
2009-02-04,Utrecht,Graafschap,3-0,2-0
2009-02-05,PSV Eindhoven,Den Haag,6-0,2-0
2009-02-07,AZ Alkmaar,Willem II,3-1,2-1
2009-02-07,Heerenveen,NAC Breda,3-1,2-1
