Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 16 Aug 2002 (W33),RBC Roosendaal (1),1-1,1-0,PEC Zwolle (1)
?,(Sat) 17 Aug 2002 (W33),AZ Alkmaar (1),3-3,1-2,SC Heerenveen (1)
?,(Sat) 17 Aug 2002 (W33),SBV Excelsior Rotterdam (1),0-2,0-2,PSV Eindhoven (1)
?,(Sat) 17 Aug 2002 (W33),NAC Breda (1),2-2,1-0,Roda JC Kerkrade (1)
?,(Sat) 17 Aug 2002 (W33),FC Twente (1),0-2,0-0,Willem II Tilburg (1)
?,(Sun) 18 Aug 2002 (W33),Ajax Amsterdam (1),3-1,1-1,FC Utrecht (1)
?,(Sun) 18 Aug 2002 (W33),Feyenoord Rotterdam (1),2-0,0-0,NEC Nijmegen (1)
?,(Sun) 18 Aug 2002 (W33),FC Groningen (1),1-2,1-1,Vitesse Arnhem (1)
?,(Sun) 18 Aug 2002 (W33),RKC Waalwijk (1),4-2,1-0,BV De Graafschap (1)
?,(Fri) 23 Aug 2002 (W34),NEC Nijmegen (2),2-0,1-0,AZ Alkmaar (2)
?,(Sat) 24 Aug 2002 (W34),BV De Graafschap (2),2-0,1-0,RBC Roosendaal (2)
?,(Sat) 24 Aug 2002 (W34),SC Heerenveen (2),1-2,1-0,RKC Waalwijk (2)
?,(Sat) 24 Aug 2002 (W34),PSV Eindhoven (2),1-0,0-0,FC Groningen (2)
?,(Sat) 24 Aug 2002 (W34),Roda JC Kerkrade (2),2-2,1-1,Feyenoord Rotterdam (2)
?,(Sat) 24 Aug 2002 (W34),PEC Zwolle (2),1-1,1-0,SBV Excelsior Rotterdam (2)
?,(Sun) 25 Aug 2002 (W34),FC Twente (2),1-1,1-1,FC Utrecht (2)
?,(Sun) 25 Aug 2002 (W34),Vitesse Arnhem (2),1-2,1-0,Ajax Amsterdam (2)
?,(Sun) 25 Aug 2002 (W34),Willem II Tilburg (2),1-1,1-1,NAC Breda (2)
?,(Fri) 30 Aug 2002 (W35),RKC Waalwijk (3),3-2,1-1,FC Twente (3)
?,(Sat) 31 Aug 2002 (W35),NAC Breda (3),0-0,0-0,NEC Nijmegen (3)
?,(Sat) 31 Aug 2002 (W35),Roda JC Kerkrade (3),1-0,0-0,Willem II Tilburg (3)
?,(Sat) 31 Aug 2002 (W35),PEC Zwolle (3),1-0,0-0,Vitesse Arnhem (3)
?,(Sun) 1 Sep 2002 (W35),FC Groningen (3),1-3,0-2,Ajax Amsterdam (3)
?,(Sun) 1 Sep 2002 (W35),RBC Roosendaal (3),3-0,2-0,SC Heerenveen (3)
?,(Tue) 10 Sep 2002 (W37),AZ Alkmaar (3),0-4,0-3,PSV Eindhoven (3)
?,(Tue) 10 Sep 2002 (W37),Feyenoord Rotterdam (3),4-1,2-1,SBV Excelsior Rotterdam (3)
?,(Tue) 10 Sep 2002 (W37),FC Utrecht (3),4-0,2-0,BV De Graafschap (3)
?,(Fri) 13 Sep 2002 (W37),Vitesse Arnhem (4),3-0,1-0,RBC Roosendaal (4)
?,(Sat) 14 Sep 2002 (W37),Ajax Amsterdam (4),2-0,0-0,PEC Zwolle (4)
?,(Sat) 14 Sep 2002 (W37),SBV Excelsior Rotterdam (4),4-2,2-1,FC Groningen (4)
?,(Sat) 14 Sep 2002 (W37),SC Heerenveen (4),0-2,0-2,NAC Breda (4)
?,(Sat) 14 Sep 2002 (W37),PSV Eindhoven (4),4-0,1-0,RKC Waalwijk (4)
?,(Sat) 14 Sep 2002 (W37),FC Twente (4),1-5,1-3,Feyenoord Rotterdam (4)
?,(Sat) 14 Sep 2002 (W37),Willem II Tilburg (4),2-0,1-0,FC Utrecht (4)
?,(Sun) 15 Sep 2002 (W37),BV De Graafschap (4),1-2,1-2,AZ Alkmaar (4)
?,(Sun) 15 Sep 2002 (W37),NEC Nijmegen (4),2-4,2-1,Roda JC Kerkrade (4)
?,(Fri) 20 Sep 2002 (W38),SBV Excelsior Rotterdam (5),1-2,0-2,AZ Alkmaar (5)
?,(Fri) 20 Sep 2002 (W38),NAC Breda (5),2-0,1-0,FC Twente (5)
?,(Sat) 21 Sep 2002 (W38),Feyenoord Rotterdam (5),2-0,1-0,BV De Graafschap (5)
?,(Sat) 21 Sep 2002 (W38),RBC Roosendaal (5),2-3,0-0,Ajax Amsterdam (5)
?,(Sat) 21 Sep 2002 (W38),Willem II Tilburg (5),1-1,0-1,NEC Nijmegen (5)
?,(Sat) 21 Sep 2002 (W38),PEC Zwolle (5),1-3,0-1,PSV Eindhoven (5)
?,(Sun) 22 Sep 2002 (W38),FC Groningen (5),0-0,0-0,FC Utrecht (5)
?,(Sun) 22 Sep 2002 (W38),Roda JC Kerkrade (5),1-0,1-0,SC Heerenveen (5)
?,(Sun) 22 Sep 2002 (W38),Vitesse Arnhem (5),1-1,0-0,RKC Waalwijk (5)
?,(Fri) 27 Sep 2002 (W39),AZ Alkmaar (6),4-1,3-0,FC Groningen (6)
?,(Sat) 28 Sep 2002 (W39),PSV Eindhoven (6),4-0,3-0,BV De Graafschap (6)
?,(Sat) 28 Sep 2002 (W39),RBC Roosendaal (6),4-2,1-1,Feyenoord Rotterdam (6)
?,(Sat) 28 Sep 2002 (W39),FC Twente (6),3-3,0-0,Roda JC Kerkrade (6)
?,(Sat) 28 Sep 2002 (W39),Willem II Tilburg (6),5-2,3-0,PEC Zwolle (6)
?,(Sun) 29 Sep 2002 (W39),Ajax Amsterdam (6),2-2,0-2,NAC Breda (6)
?,(Sun) 29 Sep 2002 (W39),NEC Nijmegen (6),4-2,2-0,SC Heerenveen (6)
?,(Sun) 29 Sep 2002 (W39),FC Utrecht (6),1-0,1-0,Vitesse Arnhem (6)
?,(Sun) 29 Sep 2002 (W39),RKC Waalwijk (6),0-3,0-1,SBV Excelsior Rotterdam (6)
?,(Wed) 2 Oct 2002 (W40),NEC Nijmegen (7),2-0,1-0,FC Groningen (7)
?,(Fri) 4 Oct 2002 (W40),RKC Waalwijk (7),0-2,0-2,PEC Zwolle (7)
?,(Sat) 5 Oct 2002 (W40),BV De Graafschap (7),0-1,0-0,FC Twente (7)
?,(Sat) 5 Oct 2002 (W40),NAC Breda (7),2-2,1-0,PSV Eindhoven (7)
