Date,Team 1,Team 2,FT,HT
1999-08-12,Sparta,Willem II,0-2,0-2
1999-08-13,Den Bosch,Feyenoord,0-4,0-2
1999-08-14,Cambuur,Vitesse,1-1,1-1
1999-08-14,For Sittard,AZ Alkmaar,1-2,0-1
1999-08-14,Graafschap,Roda JC,0-0,0-0
1999-08-14,PSV Eindhoven,MVV Maastricht,4-1,2-1
1999-08-15,Ajax,Heerenveen,3-2,0-1
1999-08-15,Utrecht,Nijmegen,1-0,1-0
1999-08-15,Waalwijk,Twente,1-1,0-1
1999-08-20,MVV Maastricht,Ajax,2-6,1-2
1999-08-21,Den Bosch,Graafschap,1-1,1-0
1999-08-21,Heerenveen,Sparta,3-1,1-0
1999-08-21,Roda JC,Waalwijk,1-2,1-1
1999-08-21,Twente,Nijmegen,4-2,1-2
1999-08-21,Willem II,For Sittard,2-2,0-1
1999-08-22,Feyenoord,Cambuur,4-0,1-0
1999-08-22,Vitesse,PSV Eindhoven,1-6,1-3
1999-08-27,Cambuur,Ajax,0-3,0-1
1999-08-28,PSV Eindhoven,For Sittard,2-1,1-1
1999-08-28,Roda JC,Nijmegen,4-3,2-0
1999-08-28,Vitesse,MVV Maastricht,6-2,4-0
1999-08-28,Willem II,Den Bosch,2-1,1-0
1999-08-29,Feyenoord,Heerenveen,3-1,1-0
1999-08-29,Utrecht,Twente,1-0,1-0
1999-08-29,Waalwijk,AZ Alkmaar,1-2,1-1
1999-09-10,Ajax,Feyenoord,2-2,1-0
1999-09-10,AZ Alkmaar,Roda JC,1-2,0-2
1999-09-11,For Sittard,Waalwijk,0-2,0-1
1999-09-11,Heerenveen,Willem II,2-4,1-0
1999-09-11,MVV Maastricht,Cambuur,1-1,0-1
1999-09-11,Twente,Vitesse,0-0,0-0
1999-09-12,Graafschap,PSV Eindhoven,1-2,1-1
1999-09-12,Sparta,Utrecht,3-0,2-0
1999-09-15,AZ Alkmaar,Utrecht,0-1,0-1
1999-09-15,Sparta,Graafschap,2-1,0-0
1999-09-17,Cambuur,Twente,1-3,1-0
1999-09-18,Den Bosch,MVV Maastricht,1-1,0-0
1999-09-18,Feyenoord,For Sittard,1-0,0-0
1999-09-18,Willem II,AZ Alkmaar,3-1,2-1
1999-09-19,Roda JC,Heerenveen,0-2,0-1
1999-09-19,Utrecht,Graafschap,2-1,1-0
1999-09-19,Vitesse,Sparta,2-1,1-0
1999-09-19,Waalwijk,Ajax,1-1,0-1
1999-09-24,Ajax,Vitesse,3-1,1-1
1999-09-25,Heerenveen,Twente,0-0,0-0
1999-09-25,PSV Eindhoven,Willem II,6-1,2-1
1999-09-25,Roda JC,For Sittard,3-0,1-0
