Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 26 Aug 1994 (34),Heerenveen (1),2-0,?,Groningen (1)
?,(Sat) 27 Aug 1994 (34),Roda JC (1),1-1,?,Twente (1)
?,(Sat) 27 Aug 1994 (34),Willem II (1),2-0,?,NAC Breda (1)
?,(Sun) 28 Aug 1994 (34),Ajax (1),3-1,?,Waalwijk (1)
?,(Sun) 28 Aug 1994 (34),Dordrecht (1),1-1,?,Feyenoord (1)
?,(Sun) 28 Aug 1994 (34),Nijmegen (1),2-3,?,Utrecht (1)
?,(Sun) 28 Aug 1994 (34),Vitesse (1),2-4,?,PSV Eindhoven (1)
?,(Sun) 28 Aug 1994 (34),Volendam (1),3-0,?,Go Ahead Eagles (1)
?,(Wed) 31 Aug 1994 (35),Groningen (2),3-1,?,Willem II (2)
?,(Wed) 31 Aug 1994 (35),MVV Maastricht (1),1-2,?,Nijmegen (2)
?,(Wed) 31 Aug 1994 (35),NAC Breda (2),0-0,?,Vitesse (2)
?,(Wed) 31 Aug 1994 (35),PSV Eindhoven (2),4-1,?,Go Ahead Eagles (2)
?,(Wed) 31 Aug 1994 (35),Sparta (1),0-1,?,Feyenoord (2)
?,(Wed) 31 Aug 1994 (35),Twente (2),2-2,?,Dordrecht (2)
?,(Wed) 31 Aug 1994 (35),Utrecht (2),4-0,?,Heerenveen (2)
?,(Wed) 31 Aug 1994 (35),Waalwijk (2),1-1,?,Roda JC (2)
?,(Sat) 10 Sep 1994 (36),Dordrecht (3),0-1,?,Waalwijk (3)
?,(Sat) 10 Sep 1994 (36),Heerenveen (3),0-4,?,MVV Maastricht (2)
?,(Sat) 10 Sep 1994 (36),Sparta (2),3-4,?,Twente (3)
?,(Sun) 11 Sep 1994 (36),Ajax (2),5-0,?,Vitesse (3)
?,(Sun) 11 Sep 1994 (36),Go Ahead Eagles (3),2-2,?,Feyenoord (3)
?,(Sun) 11 Sep 1994 (36),Groningen (3),3-4,?,NAC Breda (3)
?,(Sun) 11 Sep 1994 (36),Nijmegen (3),0-0,?,Volendam (2)
?,(Sun) 11 Sep 1994 (36),Willem II (3),0-1,?,Utrecht (3)
?,(Sat) 17 Sep 1994 (37),MVV Maastricht (3),3-0,?,Willem II (4)
?,(Sat) 17 Sep 1994 (37),PSV Eindhoven (3),4-0,?,Dordrecht (4)
?,(Sun) 18 Sep 1994 (37),Twente (4),3-0,?,Go Ahead Eagles (4)
?,(Sun) 18 Sep 1994 (37),Utrecht (4),2-1,?,Groningen (4)
?,(Sun) 18 Sep 1994 (37),Vitesse (4),1-1,?,Roda JC (3)
?,(Sun) 18 Sep 1994 (37),Volendam (3),1-2,?,Heerenveen (4)
?,(Sun) 18 Sep 1994 (37),Waalwijk (4),2-2,?,Sparta (3)
?,(Wed) 21 Sep 1994 (38),Dordrecht (5),0-0,?,Vitesse (5)
?,(Wed) 21 Sep 1994 (38),Go Ahead Eagles (5),4-2,?,Waalwijk (5)
?,(Wed) 21 Sep 1994 (38),Groningen (5),0-1,?,MVV Maastricht (4)
?,(Wed) 21 Sep 1994 (38),Heerenveen (5),0-4,?,Feyenoord (4)
?,(Wed) 21 Sep 1994 (38),Nijmegen (4),0-1,?,Twente (5)
?,(Wed) 21 Sep 1994 (38),Roda JC (4),1-1,?,Ajax (3)
?,(Wed) 21 Sep 1994 (38),Sparta (4),1-1,?,PSV Eindhoven (4)
?,(Wed) 21 Sep 1994 (38),Willem II (5),4-0,?,Volendam (4)
?,(Sat) 24 Sep 1994 (38),Ajax (4),3-0,?,Dordrecht (6)
?,(Sat) 24 Sep 1994 (38),MVV Maastricht (5),3-2,?,Utrecht (5)
?,(Sat) 24 Sep 1994 (38),NAC Breda (4),2-4,?,Roda JC (5)
?,(Sat) 24 Sep 1994 (38),Twente (6),4-3,?,Heerenveen (6)
?,(Sat) 24 Sep 1994 (38),Vitesse (6),2-0,?,Sparta (5)
?,(Sun) 25 Sep 1994 (38),Feyenoord (5),0-2,?,Willem II (6)
?,(Sun) 25 Sep 1994 (38),Volendam (5),1-1,?,Groningen (6)
?,(Sun) 25 Sep 1994 (38),Waalwijk (6),1-3,?,Nijmegen (5)
?,(Fri) 30 Sep 1994 (39),Nijmegen (6),2-2,?,PSV Eindhoven (5)
?,(Sat) 1 Oct 1994 (39),Dordrecht (7),0-3,?,Roda JC (6)
?,(Sat) 1 Oct 1994 (39),Go Ahead Eagles (6),0-0,?,Vitesse (7)
?,(Sat) 1 Oct 1994 (39),Heerenveen (7),1-0,?,Waalwijk (7)
?,(Sat) 1 Oct 1994 (39),MVV Maastricht (6),2-3,?,NAC Breda (5)
?,(Sat) 1 Oct 1994 (39),Willem II (7),2-2,?,Twente (7)
?,(Sun) 2 Oct 1994 (39),Groningen (7),1-1,?,Feyenoord (6)
?,(Sun) 2 Oct 1994 (39),Sparta (6),0-2,?,Ajax (5)
?,(Sun) 2 Oct 1994 (39),Utrecht (6),0-0,?,Volendam (6)
?,(Sat) 8 Oct 1994 (40),Go Ahead Eagles (7),1-1,?,MVV Maastricht (7)
?,(Sun) 9 Oct 1994 (40),Sparta (7),2-0,?,Volendam (7)
?,(Sun) 9 Oct 1994 (40),Utrecht (7),2-2,?,NAC Breda (6)
?,(Fri) 14 Oct 1994 (41),Roda JC (7),1-0,?,Sparta (8)
?,(Sat) 15 Oct 1994 (41),NAC Breda (7),1-1,?,Dordrecht (8)
?,(Sat) 15 Oct 1994 (41),PSV Eindhoven (6),3-1,?,Heerenveen (8)
?,(Sun) 16 Oct 1994 (41),Ajax (6),4-0,?,Go Ahead Eagles (8)
?,(Sun) 16 Oct 1994 (41),Feyenoord (7),3-0,?,Utrecht (8)
?,(Sun) 16 Oct 1994 (41),Twente (8),2-2,?,Groningen (8)
?,(Sun) 16 Oct 1994 (41),Vitesse (8),2-0,?,Nijmegen (7)
?,(Sun) 16 Oct 1994 (41),Volendam (8),1-1,?,MVV Maastricht (8)
?,(Sun) 16 Oct 1994 (41),Waalwijk (8),1-1,?,Willem II (8)
?,(Fri) 21 Oct 1994 (42),Heerenveen (9),3-0,?,Vitesse (9)
?,(Sat) 22 Oct 1994 (42),NAC Breda (8),1-3,?,Sparta (9)
?,(Sat) 22 Oct 1994 (42),Roda JC (8),3-1,?,Nijmegen (8)
?,(Sun) 23 Oct 1994 (42),PSV Eindhoven (7),1-4,?,Ajax (7)
?,(Wed) 26 Oct 1994 (43),Ajax (8),5-1,?,Heerenveen (10)
?,(Wed) 26 Oct 1994 (43),Go Ahead Eagles (9),0-4,?,Roda JC (9)
?,(Wed) 26 Oct 1994 (43),Groningen (9),3-1,?,Waalwijk (9)
?,(Wed) 26 Oct 1994 (43),MVV Maastricht (9),1-4,?,Feyenoord (8)
?,(Wed) 26 Oct 1994 (43),Sparta (10),3-1,?,Dordrecht (9)
?,(Wed) 26 Oct 1994 (43),Volendam (9),1-1,?,NAC Breda (9)
?,(Wed) 26 Oct 1994 (43),Willem II (9),2-1,?,PSV Eindhoven (8)
?,(Sat) 29 Oct 1994 (43),Dordrecht (10),1-1,?,Go Ahead Eagles (10)
?,(Sat) 29 Oct 1994 (43),PSV Eindhoven (9),5-0,?,Groningen (10)
?,(Sun) 30 Oct 1994 (43),Feyenoord (9),5-2,?,Volendam (10)
?,(Tue) 1 Nov 1994 (44),Roda JC (10),3-0,?,PSV Eindhoven (10)
?,(Sat) 5 Nov 1994 (44),Go Ahead Eagles (11),1-1,?,Sparta (11)
?,(Sat) 5 Nov 1994 (44),Heerenveen (11),0-0,?,Roda JC (11)
?,(Sat) 5 Nov 1994 (44),MVV Maastricht (10),2-1,?,Waalwijk (10)
?,(Sun) 6 Nov 1994 (44),Feyenoord (10),1-0,?,NAC Breda (10)
?,(Sun) 6 Nov 1994 (44),Groningen (11),1-1,?,Vitesse (10)
?,(Sun) 6 Nov 1994 (44),Nijmegen (9),4-0,?,Dordrecht (11)
?,(Sun) 6 Nov 1994 (44),Utrecht (9),1-2,?,PSV Eindhoven (11)
?,(Sun) 6 Nov 1994 (44),Volendam (11),0-2,?,Twente (9)
?,(Sun) 6 Nov 1994 (44),Willem II (10),1-4,?,Ajax (9)
?,(Wed) 9 Nov 1994 (45),Ajax (10),3-1,?,Groningen (12)
?,(Wed) 9 Nov 1994 (45),NAC Breda (11),3-0,?,Go Ahead Eagles (12)
?,(Wed) 9 Nov 1994 (45),PSV Eindhoven (12),4-0,?,MVV Maastricht (11)
?,(Wed) 9 Nov 1994 (45),Roda JC (12),3-0,?,Willem II (11)
?,(Wed) 9 Nov 1994 (45),Vitesse (11),2-1,?,Utrecht (10)
?,(Wed) 9 Nov 1994 (45),Waalwijk (11),2-3,?,Volendam (12)
?,(Thu) 10 Nov 1994 (45),Feyenoord (11),3-2,?,Nijmegen (10)
?,(Sat) 12 Nov 1994 (45),Dordrecht (12),1-1,?,Heerenveen (12)
?,(Sun) 13 Nov 1994 (45),Sparta (12),2-0,?,Nijmegen (11)
?,(Sun) 13 Nov 1994 (45),Utrecht (11),0-4,?,Twente (10)
?,(Sat) 19 Nov 1994 (46),Heerenveen (13),1-0,?,Sparta (13)
?,(Sat) 19 Nov 1994 (46),MVV Maastricht (12),2-3,?,Vitesse (12)
?,(Sat) 19 Nov 1994 (46),Volendam (13),0-0,?,PSV Eindhoven (13)
?,(Sat) 19 Nov 1994 (46),Willem II (12),1-0,?,Dordrecht (13)
?,(Sun) 20 Nov 1994 (46),Groningen (13),0-2,?,Roda JC (13)
?,(Sun) 20 Nov 1994 (46),Nijmegen (12),2-1,?,Go Ahead Eagles (13)
?,(Sun) 20 Nov 1994 (46),Twente (11),5-1,?,Feyenoord (12)
?,(Sun) 20 Nov 1994 (46),Utrecht (12),0-0,?,Ajax (11)
?,(Tue) 22 Nov 1994 (47),Twente (12),2-1,?,NAC Breda (12)
?,(Sat) 26 Nov 1994 (47),Dordrecht (14),0-1,?,Groningen (14)
?,(Sat) 26 Nov 1994 (47),Go Ahead Eagles (14),0-4,?,Heerenveen (14)
?,(Sat) 26 Nov 1994 (47),NAC Breda (13),2-0,?,Nijmegen (13)
?,(Sun) 27 Nov 1994 (47),Ajax (12),3-1,?,MVV Maastricht (13)
