Date,Team 1,Team 2,FT,HT
2007-12-02,Feyenoord,Heracles,6-0,3-0
2007-12-02,Nijmegen,Heerenveen,0-1,0-1
2007-12-02,Twente,AZ Alkmaar,2-1,1-0
2007-12-07,PSV Eindhoven,Roda JC,2-4,0-2
2007-12-08,Excelsior,NAC Breda,0-3,0-0
2007-12-08,Heracles,Graafschap,2-0,0-0
2007-12-08,Vitesse,Twente,2-2,2-1
2007-12-08,Willem II,Ajax,2-3,1-3
2007-12-09,AZ Alkmaar,Utrecht,2-1,2-0
2007-12-09,Heerenveen,Groningen,4-2,4-2
2007-12-09,Sparta,Nijmegen,1-0,1-0
2007-12-09,VVV Venlo,Feyenoord,0-0,0-0
2007-12-14,Roda JC,Sparta,2-3,0-1
2007-12-15,Graafschap,Nijmegen,1-1,0-0
2007-12-15,NAC Breda,Heerenveen,1-5,0-1
2007-12-15,Twente,VVV Venlo,1-1,1-1
2007-12-16,Groningen,Willem II,1-0,0-0
2007-12-16,Utrecht,Heracles,3-1,1-0
2007-12-16,Vitesse,Excelsior,3-0,0-0
2007-12-21,Willem II,Graafschap,1-2,1-2
2007-12-22,Heerenveen,Twente,1-2,1-1
2007-12-22,Heracles,Groningen,1-2,1-1
2007-12-22,PSV Eindhoven,Utrecht,4-1,1-0
2007-12-23,AZ Alkmaar,Roda JC,1-1,1-0
2007-12-23,Excelsior,Ajax,2-1,1-0
2007-12-23,Nijmegen,Feyenoord,0-2,0-0
2007-12-23,VVV Venlo,Vitesse,2-0,0-0
2007-12-26,Feyenoord,Sparta,2-0,1-0
2007-12-26,Groningen,PSV Eindhoven,2-1,0-1
2007-12-26,Nijmegen,VVV Venlo,2-2,1-0
2007-12-27,Ajax,Twente,2-2,1-0
2007-12-27,Heracles,Willem II,1-0,0-0
2007-12-27,NAC Breda,Vitesse,1-2,0-1
2007-12-27,Roda JC,Heerenveen,1-0,1-0
2007-12-27,Utrecht,Excelsior,4-1,2-0
2007-12-29,Sparta,Groningen,1-3,1-1
2007-12-30,AZ Alkmaar,Heracles,1-0,0-0
2007-12-30,Excelsior,Roda JC,1-2,0-1
2007-12-30,Heerenveen,Feyenoord,1-1,0-1
2007-12-30,PSV Eindhoven,NAC Breda,2-0,1-0
2007-12-30,Twente,Graafschap,2-0,2-0
2007-12-30,Vitesse,Utrecht,2-2,1-1
2007-12-30,VVV Venlo,Ajax,2-2,0-1
2007-12-30,Willem II,Nijmegen,3-0,1-0
2008-01-11,Nijmegen,Twente,2-2,1-1
2008-01-12,Feyenoord,PSV Eindhoven,0-1,0-1
2008-01-12,Groningen,Excelsior,3-2,0-0
2008-01-12,NAC Breda,VVV Venlo,0-0,0-0
2008-01-12,Roda JC,Willem II,1-1,0-1
2008-01-13,Ajax,AZ Alkmaar,6-1,2-1
2008-01-13,Graafschap,Vitesse,0-3,0-1
2008-01-13,Heracles,Sparta,2-0,1-0
2008-01-13,Utrecht,Heerenveen,2-2,0-2
2008-01-16,Graafschap,AZ Alkmaar,1-2,1-1
2008-01-18,Excelsior,Feyenoord,2-1,2-0
2008-01-19,Heerenveen,AZ Alkmaar,4-0,3-0
2008-01-19,NAC Breda,Willem II,1-0,0-0
2008-01-19,Utrecht,Roda JC,3-1,3-0
2008-01-19,Vitesse,Heracles,2-0,1-0
2008-01-20,Nijmegen,Ajax,1-1,1-0
2008-01-20,Sparta,Graafschap,6-1,3-1
2008-01-20,Twente,Groningen,3-1,1-0
2008-01-20,VVV Venlo,PSV Eindhoven,1-1,1-1
2008-01-22,AZ Alkmaar,NAC Breda,1-2,1-0
2008-01-22,Heracles,Excelsior,2-0,1-0
2008-01-22,Willem II,Vitesse,4-0,0-0
2008-01-23,Ajax,Utrecht,2-0,0-0
2008-01-23,Graafschap,Roda JC,2-1,1-1
2008-01-23,Groningen,Nijmegen,5-1,2-0
2008-01-23,Heerenveen,VVV Venlo,5-1,3-0
2008-01-23,PSV Eindhoven,Sparta,3-1,1-0
2008-01-24,Feyenoord,Twente,3-1,1-1
2008-01-25,Willem II,AZ Alkmaar,3-0,1-0
2008-01-26,Graafschap,Heerenveen,0-3,0-1
2008-01-26,PSV Eindhoven,Excelsior,2-1,1-0
2008-01-26,Roda JC,NAC Breda,0-2,0-1
2008-01-27,Feyenoord,Groningen,1-1,1-1
2008-01-27,Nijmegen,Utrecht,2-0,0-0
2008-01-27,Twente,Sparta,1-2,1-1
2008-01-27,Vitesse,Ajax,2-2,1-0
2008-01-27,VVV Venlo,Heracles,0-5,0-3
2008-01-30,Ajax,PSV Eindhoven,0-2,0-1
2008-01-30,Feyenoord,AZ Alkmaar,2-2,0-1
2008-02-01,NAC Breda,Twente,1-0,1-0
2008-02-02,AZ Alkmaar,PSV Eindhoven,0-2,0-2
2008-02-02,Excelsior,Graafschap,1-1,0-1
2008-02-02,Heerenveen,Vitesse,7-0,2-0
2008-02-02,Heracles,Nijmegen,0-2,0-1
2008-02-03,Ajax,Feyenoord,3-0,2-0
2008-02-03,Groningen,Roda JC,1-1,1-0
2008-02-03,Sparta,VVV Venlo,2-0,1-0
2008-02-03,Utrecht,Willem II,2-0,1-0
2008-02-06,Sparta,NAC Breda,0-1,0-0
2008-02-08,Twente,Heracles,2-1,0-0
2008-02-09,Graafschap,Feyenoord,1-3,1-1
2008-02-09,NAC Breda,Utrecht,1-0,1-0
2008-02-09,PSV Eindhoven,Heerenveen,1-1,1-0
2008-02-09,Vitesse,Groningen,2-1,1-0
2008-02-10,Nijmegen,AZ Alkmaar,5-2,4-1
2008-02-10,Roda JC,Ajax,2-1,1-1
2008-02-10,Sparta,Excelsior,0-1,0-0
2008-02-10,VVV Venlo,Willem II,1-1,1-0
2008-02-15,Ajax,Sparta,6-2,5-1
2008-02-16,Heracles,Heerenveen,2-2,1-2
2008-02-16,Nijmegen,Excelsior,0-1,0-0
2008-02-16,Roda JC,Twente,3-1,2-1
2008-02-16,Willem II,PSV Eindhoven,0-1,0-0
2008-02-17,Feyenoord,Vitesse,1-0,1-0
2008-02-17,Graafschap,NAC Breda,0-1,0-0
2008-02-17,Groningen,AZ Alkmaar,2-1,1-0
2008-02-17,Utrecht,VVV Venlo,1-4,0-2
2008-02-22,Sparta,Utrecht,2-1,1-0
2008-02-23,AZ Alkmaar,Twente,0-0,0-0
2008-02-23,Excelsior,Willem II,0-0,0-0
2008-02-23,Heracles,Feyenoord,3-3,2-2
2008-02-23,Vitesse,Roda JC,1-1,0-0
2008-02-24,Heerenveen,Nijmegen,2-3,2-0
2008-02-24,NAC Breda,Ajax,2-3,0-1
2008-02-24,PSV Eindhoven,Graafschap,4-1,1-1
2008-02-24,VVV Venlo,Groningen,2-5,0-2
2008-02-29,Vitesse,VVV Venlo,1-3,0-3
2008-03-01,Graafschap,Willem II,1-2,1-1
2008-03-01,NAC Breda,Sparta,3-0,1-0
2008-03-01,Roda JC,AZ Alkmaar,1-1,1-0
2008-03-01,Twente,Heerenveen,1-0,0-0
2008-03-02,Ajax,Excelsior,4-0,2-0
2008-03-02,Feyenoord,Nijmegen,1-3,1-1
2008-03-02,Groningen,Heracles,1-2,1-1
2008-03-02,Utrecht,PSV Eindhoven,3-1,2-1
2008-03-07,Heracles,Utrecht,2-1,1-0
2008-03-08,Excelsior,Vitesse,1-2,0-1
2008-03-08,Heerenveen,NAC Breda,3-0,2-0
2008-03-08,Nijmegen,Graafschap,3-1,1-0
2008-03-08,Willem II,Groningen,1-2,1-0
2008-03-09,Sparta,Roda JC,4-1,2-0
2008-03-11,VVV Venlo,Twente,0-2,0-1
2008-03-12,AZ Alkmaar,Feyenoord,0-1,0-1
2008-03-14,Groningen,Heerenveen,0-1,0-0
2008-03-15,Feyenoord,VVV Venlo,4-1,3-1
2008-03-15,Graafschap,Heracles,0-0,0-0
2008-03-15,NAC Breda,Excelsior,2-0,1-0
2008-03-15,Twente,Vitesse,4-3,1-1
2008-03-16,Ajax,Willem II,4-1,2-1
2008-03-16,Nijmegen,Sparta,4-2,0-1
2008-03-16,Roda JC,PSV Eindhoven,1-1,0-0
2008-03-16,Utrecht,AZ Alkmaar,2-2,0-0
2008-03-19,PSV Eindhoven,Ajax,0-0,0-0
2008-03-21,Vitesse,NAC Breda,3-3,1-3
2008-03-22,AZ Alkmaar,Graafschap,0-0,0-0
2008-03-22,Excelsior,Utrecht,0-2,0-1
2008-03-22,Heerenveen,Roda JC,4-3,1-3
2008-03-22,PSV Eindhoven,Groningen,3-0,1-0
2008-03-23,Sparta,Feyenoord,3-2,1-1
2008-03-23,Twente,Ajax,2-1,0-0
2008-03-23,VVV Venlo,Nijmegen,1-2,1-0
2008-03-23,Willem II,Heracles,2-1,0-0
2008-03-28,Graafschap,Groningen,1-1,0-1
2008-03-29,Excelsior,VVV Venlo,2-1,0-1
2008-03-29,Heerenveen,Ajax,2-4,0-1
2008-03-29,Heracles,Roda JC,0-0,0-0
2008-03-29,Nijmegen,PSV Eindhoven,0-0,0-0
2008-03-30,AZ Alkmaar,Vitesse,2-1,1-1
2008-03-30,NAC Breda,Feyenoord,3-1,2-1
2008-03-30,Sparta,Willem II,2-2,0-0
2008-03-30,Utrecht,Twente,0-1,0-0
2008-04-04,Roda JC,Nijmegen,0-2,0-1
2008-04-05,Twente,Excelsior,1-0,0-0
2008-04-05,Vitesse,Sparta,3-0,0-0
2008-04-05,Willem II,Heerenveen,2-3,1-2
2008-04-06,Ajax,Graafschap,4-1,3-1
2008-04-06,Feyenoord,Utrecht,3-1,2-0
2008-04-06,Groningen,NAC Breda,1-2,0-2
2008-04-06,PSV Eindhoven,Heracles,2-0,1-0
2008-04-06,VVV Venlo,AZ Alkmaar,2-3,1-1
2008-04-13,Excelsior,AZ Alkmaar,1-1,0-0
2008-04-13,Graafschap,Utrecht,1-1,0-0
2008-04-13,Heracles,NAC Breda,0-1,0-0
2008-04-13,Nijmegen,Vitesse,1-0,1-0
2008-04-13,PSV Eindhoven,Twente,1-1,0-1
2008-04-13,Roda JC,VVV Venlo,4-1,1-1
2008-04-13,Sparta,Heerenveen,4-2,0-2
