Date,Team 1,Team 2,FT,HT
2000-08-18,Sparta,Roda JC,2-2,1-1
2000-08-19,Graafschap,PSV Eindhoven,2-0,0-0
2000-08-19,Feyenoord,AZ Alkmaar,2-0,1-0
2000-08-19,NAC Breda,Waalwijk,0-1,0-0
2000-08-20,Groningen,Willem II,1-1,0-0
2000-08-20,Roosendaal,Nijmegen,2-3,1-2
2000-08-20,Utrecht,Heerenveen,2-0,1-0
2000-08-20,Vitesse,Twente,3-1,1-1
2000-08-22,Ajax,For Sittard,5-0,1-0
2000-08-23,Groningen,Nijmegen,4-4,2-2
2000-08-26,AZ Alkmaar,Roosendaal,3-0,1-0
2000-08-26,Graafschap,Roda JC,1-3,0-2
2000-08-26,For Sittard,Heerenveen,0-2,0-1
2000-08-26,NAC Breda,Groningen,5-1,1-1
2000-08-26,Willem II,Waalwijk,2-0,0-0
2000-08-27,Nijmegen,Vitesse,4-1,2-0
2000-08-27,Sparta,Ajax,3-0,0-0
2000-08-27,Twente,Feyenoord,1-2,1-1
2000-08-27,Utrecht,PSV Eindhoven,1-3,1-0
2000-09-03,Waalwijk,Roosendaal,2-1,1-0
2000-09-05,PSV Eindhoven,Willem II,2-2,1-0
2000-09-06,Ajax,Nijmegen,0-0,0-0
2000-09-06,Groningen,Graafschap,1-0,0-0
2000-09-06,NAC Breda,Roda JC,1-1,1-0
2000-09-06,Waalwijk,AZ Alkmaar,3-0,1-0
2000-09-06,Twente,Heerenveen,2-2,1-0
2000-09-06,Vitesse,Sparta,5-1,2-0
2000-09-08,For Sittard,PSV Eindhoven,0-3,0-2
2000-09-09,Ajax,Groningen,3-1,1-1
2000-09-09,Graafschap,AZ Alkmaar,4-2,2-0
2000-09-09,Feyenoord,Waalwijk,3-1,2-0
2000-09-09,Heerenveen,NAC Breda,2-1,0-1
2000-09-09,Roda JC,Twente,2-2,1-1
2000-09-09,Willem II,Vitesse,2-2,1-2
2000-09-10,Nijmegen,Utrecht,1-1,0-0
2000-09-10,Sparta,Roosendaal,3-5,3-2
2000-09-13,NAC Breda,Roosendaal,2-1,1-1
2000-09-16,NAC Breda,Graafschap,3-0,2-0
2000-09-16,PSV Eindhoven,Sparta,2-1,2-0
2000-09-17,AZ Alkmaar,Ajax,3-2,2-1
2000-09-17,Nijmegen,For Sittard,1-1,1-0
2000-09-17,Roosendaal,Groningen,0-2,0-1
2000-09-17,Utrecht,Twente,1-2,0-1
2000-09-17,Vitesse,Waalwijk,1-0,1-0
2000-09-22,Ajax,Roosendaal,2-0,0-0
2000-09-23,For Sittard,Vitesse,1-4,0-4
2000-09-24,Groningen,Utrecht,1-3,1-1
2000-09-24,NAC Breda,Willem II,2-0,1-0
2000-09-24,Waalwijk,Nijmegen,0-0,0-0
2000-09-24,Twente,Graafschap,3-1,2-0
2000-10-01,Graafschap,Feyenoord,2-3,2-1
2000-10-01,Groningen,PSV Eindhoven,0-1,0-0
2000-10-01,Waalwijk,Twente,1-1,0-1
2000-10-01,Roda JC,AZ Alkmaar,4-2,1-0
2000-10-01,Sparta,Willem II,1-2,0-0
2000-10-01,Vitesse,Utrecht,2-1,0-1
2000-10-02,Heerenveen,Ajax,2-2,1-0
2000-10-13,AZ Alkmaar,NAC Breda,3-1,2-0
2000-10-14,Heerenveen,Waalwijk,1-1,1-0
2000-10-14,PSV Eindhoven,Nijmegen,0-0,0-0
2000-10-14,Roda JC,Groningen,2-0,1-0
2000-10-14,Twente,For Sittard,1-1,1-0
2000-10-14,Willem II,Utrecht,6-2,2-0
2000-10-15,Roosendaal,Graafschap,2-4,2-3
2000-10-15,Sparta,Feyenoord,1-4,1-1
2000-10-15,Vitesse,Ajax,3-2,1-1
2000-10-20,Ajax,Roda JC,4-2,2-0
2000-10-21,Graafschap,Willem II,1-1,0-0
2000-10-21,Feyenoord,Heerenveen,2-0,1-0
2000-10-21,Twente,Sparta,3-1,1-1
2000-10-22,AZ Alkmaar,Vitesse,0-2,0-1
2000-10-22,Groningen,For Sittard,4-0,1-0
2000-10-22,Utrecht,Roosendaal,5-3,3-2
2000-10-27,AZ Alkmaar,Twente,5-0,2-0
2000-10-27,For Sittard,NAC Breda,1-2,0-2
2000-10-28,Heerenveen,Graafschap,1-0,0-0
2000-10-29,Nijmegen,Willem II,3-0,1-0
2000-10-29,PSV Eindhoven,Ajax,1-1,0-1
2000-10-29,Roda JC,Waalwijk,0-1,0-1
2000-10-29,Sparta,Groningen,2-0,1-0
2000-10-29,Utrecht,Feyenoord,1-1,0-1
2000-11-01,Heerenveen,Sparta,1-1,1-0
2000-11-01,Nijmegen,Graafschap,2-1,0-0
2000-11-01,PSV Eindhoven,Vitesse,2-0,1-0
2000-11-01,Waalwijk,Utrecht,4-1,2-0
2000-11-01,Roda JC,For Sittard,1-0,1-0
2000-11-02,Feyenoord,Roosendaal,5-1,2-0
2000-11-04,NAC Breda,Nijmegen,2-2,2-1
2000-11-04,Twente,PSV Eindhoven,0-2,0-1
2000-11-05,Graafschap,Vitesse,1-2,0-2
2000-11-05,Feyenoord,Roda JC,4-2,3-1
2000-11-05,Groningen,AZ Alkmaar,1-2,1-1
2000-11-05,Roosendaal,For Sittard,3-1,2-1
2000-11-05,Utrecht,Sparta,1-1,0-0
2000-11-05,Willem II,Ajax,0-1,0-1
2000-11-10,Roosendaal,Willem II,2-1,0-0
2000-11-11,For Sittard,Waalwijk,0-0,0-0
2000-11-12,Ajax,Graafschap,4-1,1-1
2000-11-12,AZ Alkmaar,Utrecht,2-1,0-1
2000-11-12,PSV Eindhoven,Feyenoord,1-0,0-0
2000-11-12,Roda JC,Heerenveen,3-1,2-0
2000-11-12,Sparta,Nijmegen,0-2,0-1
2000-11-12,Twente,NAC Breda,4-0,1-0
2000-11-12,Vitesse,Groningen,2-2,0-2
2000-11-17,Roda JC,Utrecht,2-1,0-0
2000-11-18,For Sittard,AZ Alkmaar,1-1,0-1
2000-11-18,Heerenveen,PSV Eindhoven,1-4,0-3
2000-11-18,Vitesse,Roosendaal,2-1,0-0
2000-11-18,Willem II,Twente,2-2,1-1
2000-11-19,NAC Breda,Ajax,0-3,0-1
2000-11-19,Nijmegen,Feyenoord,1-3,0-2
2000-11-19,Waalwijk,Graafschap,1-0,1-0
2000-11-25,AZ Alkmaar,Sparta,1-1,0-0
2000-11-25,Graafschap,For Sittard,5-1,2-0
2000-11-25,Roosendaal,Roda JC,0-4,0-3
2000-11-26,Feyenoord,Willem II,1-0,1-0
2000-11-26,Nijmegen,Heerenveen,0-0,0-0
2000-11-26,PSV Eindhoven,NAC Breda,2-1,1-0
2000-11-26,Twente,Groningen,3-0,0-0
2000-11-26,Utrecht,Ajax,2-1,1-0
2000-11-28,Roda JC,Vitesse,2-3,0-1
2000-11-29,Feyenoord,Sparta,2-1,1-0
2000-11-29,Heerenveen,AZ Alkmaar,1-1,1-0
2000-11-29,Roosendaal,NAC Breda,0-1,0-1
2000-11-30,Ajax,Waalwijk,3-0,1-0
2000-12-01,Roda JC,PSV Eindhoven,1-2,0-0
2000-12-02,For Sittard,Utrecht,0-1,0-0
2000-12-02,Sparta,Graafschap,2-1,2-1
2000-12-02,Willem II,AZ Alkmaar,1-1,1-0
2000-12-03,Ajax,Heerenveen,6-2,3-1
2000-12-03,Nijmegen,Twente,1-0,0-0
2000-12-03,Waalwijk,Groningen,0-0,0-0
2000-12-09,AZ Alkmaar,Nijmegen,0-0,0-0
2000-12-09,Graafschap,Groningen,0-4,0-0
2000-12-09,For Sittard,Sparta,2-1,1-1
2000-12-09,Roda JC,Willem II,0-1,0-0
2000-12-10,Feyenoord,Ajax,3-1,1-0
2000-12-10,Utrecht,NAC Breda,5-0,3-0
2000-12-10,Vitesse,Heerenveen,0-0,0-0
2000-12-12,Waalwijk,PSV Eindhoven,1-1,1-1
2000-12-12,Twente,Roda JC,0-2,0-1
2000-12-13,For Sittard,Feyenoord,2-4,1-3
2000-12-13,Heerenveen,Willem II,0-1,0-1
2000-12-13,Sparta,NAC Breda,1-2,0-0
2000-12-13,Vitesse,AZ Alkmaar,3-2,1-0
2000-12-16,NAC Breda,Vitesse,1-1,0-0
2000-12-16,Willem II,For Sittard,3-1,1-0
2000-12-17,Ajax,Twente,5-1,4-0
2000-12-17,AZ Alkmaar,PSV Eindhoven,0-5,0-3
2000-12-17,Graafschap,Utrecht,0-3,0-2
2000-12-17,Groningen,Feyenoord,1-0,0-0
2000-12-17,Nijmegen,Roda JC,0-2,0-1
2000-12-17,Roosendaal,Heerenveen,0-3,0-1
2000-12-17,Waalwijk,Sparta,2-0,0-0
2000-12-20,Feyenoord,Vitesse,2-0,0-0
2000-12-20,Utrecht,Waalwijk,2-1,1-0
2000-12-20,Willem II,Nijmegen,2-0,1-0
2000-12-21,Groningen,Heerenveen,2-1,1-1
2000-12-21,PSV Eindhoven,For Sittard,1-1,1-0
2000-12-21,Roosendaal,Twente,2-2,0-0
2001-01-27,PSV Eindhoven,Roosendaal,6-0,3-0
2001-01-28,Feyenoord,NAC Breda,2-0,0-0
2001-01-31,For Sittard,Roda JC,1-0,1-0
2001-01-31,Heerenveen,Feyenoord,1-0,0-0
2001-01-31,Nijmegen,Roosendaal,2-3,0-1
2001-01-31,PSV Eindhoven,Groningen,3-0,2-0
2001-01-31,Vitesse,NAC Breda,2-4,1-3
2001-01-31,Willem II,Sparta,4-1,1-1
2001-02-01,Graafschap,Ajax,1-3,1-2
2001-02-03,Roosendaal,Waalwijk,0-3,0-1
2001-02-03,Twente,Willem II,3-1,2-0
2001-02-04,AZ Alkmaar,Feyenoord,0-3,0-1
2001-02-04,For Sittard,Graafschap,0-0,0-0
2001-02-04,Sparta,PSV Eindhoven,0-1,0-1
2001-02-04,Vitesse,Nijmegen,2-2,1-1
2001-02-09,Graafschap,Sparta,2-1,1-0
2001-02-10,PSV Eindhoven,AZ Alkmaar,3-0,2-0
2001-02-11,Ajax,Willem II,1-1,0-1
2001-02-11,Feyenoord,Groningen,1-0,0-0
2001-02-11,Waalwijk,Vitesse,3-0,1-0
2001-02-11,Roda JC,Roosendaal,2-1,2-0
2001-02-11,Utrecht,Nijmegen,1-1,0-0
2001-02-16,For Sittard,Ajax,0-3,0-2
2001-02-17,Heerenveen,Roda JC,0-0,0-0
2001-02-17,Roosendaal,AZ Alkmaar,2-3,2-1
2001-02-18,Groningen,Twente,2-0,0-0
2001-02-18,NAC Breda,PSV Eindhoven,1-2,0-0
2001-02-18,Sparta,Waalwijk,2-2,0-0
2001-02-18,Utrecht,Graafschap,3-1,1-1
2001-02-21,NAC Breda,Twente,0-0,0-0
2001-02-23,Nijmegen,Sparta,0-3,0-2
2001-02-23,Willem II,Heerenveen,1-6,1-3
2001-02-24,AZ Alkmaar,Roda JC,2-4,0-3
2001-02-24,Waalwijk,For Sittard,1-0,1-0
2001-02-24,Twente,Vitesse,2-1,1-0
2001-02-25,Ajax,Utrecht,2-0,2-0
2001-02-25,Feyenoord,PSV Eindhoven,1-2,0-1
2001-02-25,Groningen,NAC Breda,0-0,0-0
2001-03-02,Heerenveen,Groningen,0-0,0-0
2001-03-02,Waalwijk,NAC Breda,0-0,0-0
2001-03-03,PSV Eindhoven,Roda JC,0-0,0-0
2001-03-03,Willem II,Graafschap,6-0,3-0
2001-03-04,Nijmegen,AZ Alkmaar,1-1,0-1
2001-03-04,Roosendaal,Ajax,1-3,1-1
2001-03-04,Sparta,Twente,5-1,2-1
2001-03-04,Utrecht,For Sittard,1-0,1-0
2001-03-04,Vitesse,Feyenoord,0-0,0-0
2001-03-09,Graafschap,Heerenveen,0-1,0-0
2001-03-09,Roda JC,NAC Breda,1-0,0-0
2001-03-10,AZ Alkmaar,Waalwijk,1-3,0-0
2001-03-10,For Sittard,Roosendaal,2-1,0-0
2001-03-10,Twente,Nijmegen,1-1,1-0
2001-03-11,Groningen,Ajax,3-3,2-3
2001-03-11,Utrecht,Vitesse,0-0,0-0
2001-03-11,Willem II,Feyenoord,3-1,2-0
2001-03-16,Roosendaal,Vitesse,0-3,0-1
2001-03-17,AZ Alkmaar,For Sittard,0-2,0-1
2001-03-17,NAC Breda,Heerenveen,2-2,1-1
2001-03-17,Roda JC,Graafschap,3-1,2-0
2001-03-18,Ajax,Sparta,9-0,5-0
2001-03-18,Feyenoord,Twente,5-1,2-1
2001-03-18,Nijmegen,Groningen,1-0,1-0
2001-03-18,PSV Eindhoven,Utrecht,5-1,3-0
2001-03-18,Waalwijk,Willem II,3-2,1-1
2001-03-31,AZ Alkmaar,Graafschap,0-1,0-0
2001-03-31,Heerenveen,Roosendaal,2-0,1-0
2001-03-31,NAC Breda,For Sittard,1-0,0-0
2001-03-31,PSV Eindhoven,Twente,2-1,0-0
2001-03-31,Willem II,Roda JC,1-1,0-0
2001-04-01,Groningen,Vitesse,0-1,0-0
2001-04-01,Nijmegen,Ajax,1-0,0-0
2001-04-01,Waalwijk,Feyenoord,2-0,1-0
2001-04-01,Sparta,Utrecht,0-1,0-1
2001-04-06,Utrecht,AZ Alkmaar,1-0,1-0
2001-04-07,Graafschap,Roosendaal,2-2,0-2
2001-04-07,Heerenveen,Nijmegen,5-0,2-0
2001-04-07,Twente,Waalwijk,1-1,1-0
2001-04-07,Vitesse,Willem II,1-2,1-2
2001-04-08,Ajax,PSV Eindhoven,0-1,0-0
2001-04-08,Groningen,Roda JC,1-3,1-2
2001-04-08,NAC Breda,Feyenoord,1-0,1-0
2001-04-08,Sparta,For Sittard,0-2,0-0
2001-04-13,For Sittard,Nijmegen,2-0,1-0
2001-04-14,AZ Alkmaar,Groningen,2-0,0-0
2001-04-14,Roosendaal,Sparta,1-3,1-2
2001-04-14,Waalwijk,Heerenveen,1-1,0-0
2001-04-15,Feyenoord,Graafschap,1-2,0-1
2001-04-15,Vitesse,PSV Eindhoven,0-0,0-0
2001-04-16,Roda JC,Ajax,1-1,0-0
2001-04-16,Twente,Utrecht,0-0,0-0
2001-04-16,Willem II,NAC Breda,1-3,0-0
2001-04-20,PSV Eindhoven,Waalwijk,3-1,1-0
2001-04-20,Utrecht,Willem II,1-0,1-0
2001-04-21,Graafschap,Twente,4-0,2-0
2001-04-21,Feyenoord,Nijmegen,3-0,2-0
2001-04-21,Groningen,Roosendaal,2-0,2-0
2001-04-21,Heerenveen,For Sittard,6-1,4-0
2001-04-21,NAC Breda,AZ Alkmaar,0-0,0-0
2001-04-21,Roda JC,Sparta,1-0,0-0
2001-04-27,Ajax,NAC Breda,1-0,0-0
2001-04-28,For Sittard,Groningen,1-1,0-0
2001-04-28,Sparta,Heerenveen,1-3,1-2
2001-04-28,Twente,AZ Alkmaar,1-0,0-0
2001-04-28,Vitesse,Graafschap,2-1,1-0
2001-04-28,Willem II,PSV Eindhoven,1-1,1-1
2001-04-29,Nijmegen,Waalwijk,5-1,2-0
2001-04-29,Roosendaal,Utrecht,1-2,0-1
2001-04-29,Roda JC,Feyenoord,1-0,0-0
2001-05-02,Heerenveen,Utrecht,1-2,1-1
2001-05-03,Waalwijk,Ajax,2-2,2-1
2001-05-05,AZ Alkmaar,Willem II,2-3,1-2
2001-05-05,Twente,Roosendaal,4-1,3-1
2001-05-05,Vitesse,Roda JC,1-1,0-0
2001-05-06,Graafschap,Nijmegen,2-1,0-1
2001-05-06,Feyenoord,For Sittard,2-3,0-2
2001-05-06,Groningen,Sparta,1-1,0-1
2001-05-06,NAC Breda,Utrecht,0-0,0-0
2001-05-06,PSV Eindhoven,Heerenveen,3-0,1-0
2001-05-11,For Sittard,Twente,0-2,0-1
2001-05-11,Roosendaal,PSV Eindhoven,1-2,1-1
2001-05-12,Graafschap,Waalwijk,0-1,0-0
2001-05-12,Heerenveen,Vitesse,0-0,0-0
2001-05-12,Willem II,Groningen,3-0,1-0
2001-05-13,Ajax,Feyenoord,3-4,2-1
2001-05-13,Nijmegen,NAC Breda,0-2,0-1
2001-05-13,Sparta,AZ Alkmaar,0-3,0-0
2001-05-13,Utrecht,Roda JC,3-0,1-0
2001-05-17,Ajax,Vitesse,1-2,0-1
2001-05-20,AZ Alkmaar,Heerenveen,2-2,0-1
2001-05-20,Feyenoord,Utrecht,2-2,1-1
2001-05-20,Groningen,Waalwijk,1-2,1-2
2001-05-20,NAC Breda,Sparta,2-0,1-0
2001-05-20,PSV Eindhoven,Graafschap,3-2,2-2
2001-05-20,Roda JC,Nijmegen,4-1,0-0
2001-05-20,Twente,Ajax,1-3,1-1
2001-05-20,Vitesse,For Sittard,3-0,1-0
2001-05-20,Willem II,Roosendaal,3-0,2-0
2001-05-27,Ajax,AZ Alkmaar,5-1,2-1
2001-05-27,Heerenveen,Twente,1-1,0-0
2001-05-27,Nijmegen,PSV Eindhoven,2-4,1-2
2001-05-27,Roosendaal,Feyenoord,0-1,0-0
2001-05-27,Waalwijk,Roda JC,3-2,2-0
2001-05-27,Sparta,Vitesse,2-2,1-1
2001-05-27,Utrecht,Groningen,6-0,4-0
