Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 5 1887,England,7-0,Northern Ireland,British Championship,Sheffield › England
Sat Feb 19 1887,Scotland,4-1,Northern Ireland,British Championship,Glasgow › Scotland
Sat Feb 26 1887,England,4-0,Wales,British Championship,London › England
Sat Mar 12 1887,Northern Ireland,4-1,Wales,British Championship,Belfast › Republic of Ireland
Sat Mar 19 1887,England,2-3,Scotland,British Championship,Blackburn › England
Mon Mar 21 1887,Wales,0-2,Scotland,British Championship,Wrexham › Wales
