Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 4 1888,England,5-1,Wales,British Championship,Crewe › England
Sat Mar 3 1888,Wales,11-0,Northern Ireland,British Championship,Wrexham › Wales
Sat Mar 10 1888,Scotland,5-1,Wales,British Championship,Edinburgh › Scotland
Sat Mar 17 1888,Scotland,0-5,England,British Championship,Glasgow › Scotland
Sat Mar 24 1888,Northern Ireland,2-10,Scotland,British Championship,Belfast › Republic of Ireland
Sat Apr 7 1888,Northern Ireland,1-5,England,British Championship,Belfast › Republic of Ireland
Wed Sep 19 1888,Scotland,4-0,Canada,Friendly,Glasgow › Scotland
