Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 8 1890,Wales,5-2,Northern Ireland,British Championship,Shrewsbury › England
Sat Mar 15 1890,Northern Ireland,1-9,England,British Championship,Belfast › Republic of Ireland
Sat Mar 15 1890,Wales,1-3,England,British Championship,Wrexham › Wales
Sat Mar 22 1890,Scotland,5-0,Wales,British Championship,Paisley › Scotland
Sat Mar 29 1890,Northern Ireland,1-4,Scotland,British Championship,Belfast › Republic of Ireland
Sat Apr 5 1890,Scotland,1-1,England,British Championship,Glasgow › Scotland
