Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 20 1897,England,6-0,Northern Ireland,British Championship,Nottingham › England
Sat Mar 6 1897,Northern Ireland,4-3,Wales,British Championship,Belfast › Republic of Ireland
Sat Mar 20 1897,Wales,2-2,Scotland,British Championship,Wrexham › Wales
Sat Mar 27 1897,Scotland,5-1,Northern Ireland,British Championship,Glasgow › Scotland
Mon Mar 29 1897,England,4-0,Wales,British Championship,Sheffield › England
Sat Apr 3 1897,England,1-2,Scotland,British Championship,London › England
