Round,Date,Team 1,FT,HT,Team 2
?,(Tue) 19 Aug 1997 (33),Ajax Amsterdam (1),5-0,2-0,Vitesse Arnhem (1)
?,(Tue) 19 Aug 1997 (33),FC Twente (1),4-1,1-0,Fortuna Sittard (1)
?,(Wed) 20 Aug 1997 (33),FC Groningen (1),3-0,1-0,FC Volendam (1)
?,(Wed) 20 Aug 1997 (33),SC Heerenveen (1),3-1,0-1,NAC Breda (1)
?,(Wed) 20 Aug 1997 (33),PSV Eindhoven (1),5-1,1-0,RKC Waalwijk (1)
?,(Wed) 20 Aug 1997 (33),Roda JC Kerkrade (1),1-0,0-0,FC Utrecht (1)
?,(Wed) 20 Aug 1997 (33),Sparta Rotterdam (1),1-1,0-0,BV De Graafschap (1)
?,(Wed) 20 Aug 1997 (33),Willem II Tilburg (1),1-2,0-0,NEC Nijmegen (1)
?,(Thu) 21 Aug 1997 (33),MVV Maastricht (1),0-3,0-1,Feyenoord Rotterdam (1)
?,(Fri) 22 Aug 1997 (33),Fortuna Sittard (2),0-5,0-2,Ajax Amsterdam (2)
?,(Sat) 23 Aug 1997 (33),BV De Graafschap (2),3-1,1-0,Willem II Tilburg (2)
?,(Sat) 23 Aug 1997 (33),NEC Nijmegen (2),0-1,0-0,SC Heerenveen (2)
?,(Sun) 24 Aug 1997 (33),Feyenoord Rotterdam (2),3-1,2-0,Sparta Rotterdam (2)
?,(Sun) 24 Aug 1997 (33),NAC Breda (2),3-3,3-1,PSV Eindhoven (2)
?,(Sun) 24 Aug 1997 (33),FC Utrecht (2),6-1,3-0,MVV Maastricht (2)
?,(Sun) 24 Aug 1997 (33),Vitesse Arnhem (2),3-1,1-0,Roda JC Kerkrade (2)
?,(Sun) 24 Aug 1997 (33),FC Volendam (2),0-0,0-0,FC Twente (2)
?,(Sun) 24 Aug 1997 (33),RKC Waalwijk (2),1-1,0-0,FC Groningen (2)
?,(Sat) 30 Aug 1997 (34),Fortuna Sittard (3),0-3,0-2,RKC Waalwijk (3)
?,(Sat) 30 Aug 1997 (34),SC Heerenveen (3),3-1,1-1,MVV Maastricht (3)
?,(Sat) 30 Aug 1997 (34),NAC Breda (3),0-1,0-1,NEC Nijmegen (3)
?,(Sat) 30 Aug 1997 (34),PSV Eindhoven (3),3-0,2-0,Willem II Tilburg (3)
?,(Sat) 30 Aug 1997 (34),Roda JC Kerkrade (3),4-1,2-0,FC Groningen (3)
?,(Sun) 31 Aug 1997 (34),Feyenoord Rotterdam (3),2-0,0-0,BV De Graafschap (3)
?,(Sun) 31 Aug 1997 (34),FC Twente (3),2-1,1-0,Sparta Rotterdam (3)
?,(Sun) 31 Aug 1997 (34),FC Utrecht (3),1-7,1-2,Ajax Amsterdam (3)
?,(Tue) 2 Sep 1997 (35),FC Volendam (3),1-1,0-1,Vitesse Arnhem (3)
?,(Mon) 8 Sep 1997 (36),MVV Maastricht (4),0-1,0-0,NAC Breda (4)
?,(Tue) 9 Sep 1997 (36),Ajax Amsterdam (4),3-0,1-0,RKC Waalwijk (4)
?,(Tue) 9 Sep 1997 (36),FC Groningen (4),4-0,0-0,NEC Nijmegen (4)
?,(Tue) 9 Sep 1997 (36),Roda JC Kerkrade (4),0-2,0-2,FC Volendam (4)
?,(Wed) 10 Sep 1997 (36),PSV Eindhoven (4),0-0,0-0,BV De Graafschap (4)
?,(Wed) 10 Sep 1997 (36),Sparta Rotterdam (4),1-1,1-0,Fortuna Sittard (4)
?,(Wed) 10 Sep 1997 (36),FC Utrecht (4),1-1,1-1,FC Twente (4)
?,(Wed) 10 Sep 1997 (36),Vitesse Arnhem (4),3-1,2-0,Willem II Tilburg (4)
?,(Thu) 11 Sep 1997 (36),SC Heerenveen (4),0-0,0-0,Feyenoord Rotterdam (4)
?,(Fri) 12 Sep 1997 (36),Ajax Amsterdam (5),4-1,2-1,FC Groningen (5)
?,(Fri) 12 Sep 1997 (36),MVV Maastricht (5),1-2,1-1,Roda JC Kerkrade (5)
?,(Sat) 13 Sep 1997 (36),NEC Nijmegen (5),1-2,1-2,FC Twente (5)
?,(Sat) 13 Sep 1997 (36),Sparta Rotterdam (5),5-0,2-0,FC Volendam (5)
?,(Sat) 13 Sep 1997 (36),Vitesse Arnhem (5),5-0,3-0,FC Utrecht (5)
?,(Sat) 13 Sep 1997 (36),Willem II Tilburg (5),0-0,0-0,Fortuna Sittard (5)
?,(Sun) 14 Sep 1997 (36),Feyenoord Rotterdam (5),1-1,1-0,PSV Eindhoven (5)
?,(Sun) 14 Sep 1997 (36),BV De Graafschap (5),0-1,0-0,NAC Breda (5)
?,(Sun) 14 Sep 1997 (36),RKC Waalwijk (5),1-1,0-0,SC Heerenveen (5)
?,(Fri) 19 Sep 1997 (37),Fortuna Sittard (6),1-0,1-0,BV De Graafschap (6)
?,(Sat) 20 Sep 1997 (37),PSV Eindhoven (6),4-2,2-0,Sparta Rotterdam (6)
?,(Sat) 20 Sep 1997 (37),Willem II Tilburg (6),5-2,2-1,FC Volendam (6)
?,(Sun) 21 Sep 1997 (37),FC Groningen (6),1-1,0-1,Vitesse Arnhem (6)
?,(Sun) 21 Sep 1997 (37),NEC Nijmegen (6),1-4,1-3,Ajax Amsterdam (6)
?,(Sun) 21 Sep 1997 (37),Roda JC Kerkrade (6),0-2,0-0,SC Heerenveen (6)
?,(Sun) 21 Sep 1997 (37),FC Twente (6),1-0,0-0,MVV Maastricht (6)
?,(Sun) 21 Sep 1997 (37),RKC Waalwijk (6),3-1,0-0,FC Utrecht (6)
?,(Tue) 23 Sep 1997 (38),PSV Eindhoven (7),3-2,2-1,Fortuna Sittard (7)
?,(Wed) 24 Sep 1997 (38),Ajax Amsterdam (7),7-0,4-0,MVV Maastricht (7)
?,(Wed) 24 Sep 1997 (38),Feyenoord Rotterdam (6),5-1,1-0,Vitesse Arnhem (7)
?,(Wed) 24 Sep 1997 (38),SC Heerenveen (7),2-1,0-0,FC Twente (7)
?,(Wed) 24 Sep 1997 (38),NAC Breda (6),0-0,0-0,FC Groningen (7)
?,(Wed) 24 Sep 1997 (38),Roda JC Kerkrade (7),4-0,2-0,NEC Nijmegen (7)
?,(Wed) 24 Sep 1997 (38),FC Volendam (7),0-5,0-3,BV De Graafschap (7)
?,(Wed) 24 Sep 1997 (38),Willem II Tilburg (7),3-2,0-1,RKC Waalwijk (7)
?,(Thu) 25 Sep 1997 (38),Sparta Rotterdam (7),4-2,0-2,FC Utrecht (7)
?,(Sat) 27 Sep 1997 (38),Fortuna Sittard (8),1-7,1-5,Vitesse Arnhem (8)
?,(Sat) 27 Sep 1997 (38),BV De Graafschap (8),1-0,1-0,RKC Waalwijk (8)
?,(Sat) 27 Sep 1997 (38),SC Heerenveen (8),0-1,0-0,Ajax Amsterdam (8)
?,(Sat) 27 Sep 1997 (38),MVV Maastricht (8),2-0,1-0,NEC Nijmegen (8)
?,(Sat) 27 Sep 1997 (38),FC Twente (8),1-1,0-1,NAC Breda (7)
?,(Sun) 28 Sep 1997 (38),FC Groningen (8),2-0,2-0,Feyenoord Rotterdam (7)
?,(Sun) 28 Sep 1997 (38),Sparta Rotterdam (8),3-1,?,Roda JC Kerkrade (8)
?,(Sun) 28 Sep 1997 (38),FC Utrecht (8),2-2,2-1,Willem II Tilburg (8)
?,(Sun) 28 Sep 1997 (38),FC Volendam (8),0-6,0-4,PSV Eindhoven (8)
?,(Fri) 3 Oct 1997 (39),MVV Maastricht (9),2-2,0-0,Sparta Rotterdam (9)
?,(Sat) 4 Oct 1997 (39),NEC Nijmegen (9),4-1,2-1,FC Volendam (9)
?,(Sat) 4 Oct 1997 (39),PSV Eindhoven (9),3-1,1-0,SC Heerenveen (9)
?,(Sun) 5 Oct 1997 (39),Feyenoord Rotterdam (8),2-1,1-1,NAC Breda (8)
?,(Sun) 5 Oct 1997 (39),BV De Graafschap (9),0-1,0-1,FC Utrecht (9)
?,(Sun) 5 Oct 1997 (39),FC Twente (9),2-0,1-0,FC Groningen (9)
?,(Sun) 5 Oct 1997 (39),Vitesse Arnhem (9),3-2,1-2,RKC Waalwijk (9)
?,(Sun) 5 Oct 1997 (39),Willem II Tilburg (9),0-1,0-1,Ajax Amsterdam (9)
?,(Tue) 14 Oct 1997 (41),Feyenoord Rotterdam (9),2-1,2-0,MVV Maastricht (10)
?,(Tue) 14 Oct 1997 (41),FC Groningen (10),2-2,0-2,Willem II Tilburg (10)
?,(Tue) 14 Oct 1997 (41),FC Volendam (10),0-3,0-1,Fortuna Sittard (9)
?,(Wed) 15 Oct 1997 (41),Ajax Amsterdam (10),1-0,0-0,NAC Breda (9)
?,(Wed) 15 Oct 1997 (41),BV De Graafschap (10),2-2,1-1,Sparta Rotterdam (10)
?,(Wed) 15 Oct 1997 (41),Roda JC Kerkrade (9),2-2,1-1,PSV Eindhoven (10)
?,(Wed) 15 Oct 1997 (41),FC Utrecht (10),2-4,2-2,SC Heerenveen (10)
?,(Wed) 15 Oct 1997 (41),RKC Waalwijk (10),0-0,0-0,NEC Nijmegen (10)
?,(Fri) 17 Oct 1997 (41),Fortuna Sittard (10),4-1,2-0,FC Groningen (11)
?,(Sat) 18 Oct 1997 (41),SC Heerenveen (11),1-1,1-0,Sparta Rotterdam (11)
?,(Sat) 18 Oct 1997 (41),NAC Breda (10),4-0,2-0,RKC Waalwijk (11)
?,(Sat) 18 Oct 1997 (41),Roda JC Kerkrade (10),1-1,1-1,Vitesse Arnhem (10)
?,(Sat) 18 Oct 1997 (41),FC Twente (10),1-1,1-1,BV De Graafschap (11)
?,(Sun) 19 Oct 1997 (41),NEC Nijmegen (11),0-4,0-2,PSV Eindhoven (11)
?,(Sun) 19 Oct 1997 (41),Willem II Tilburg (11),2-0,0-0,Feyenoord Rotterdam (10)
?,(Fri) 24 Oct 1997 (42),BV De Graafschap (12),1-2,1-2,SC Heerenveen (12)
?,(Sat) 25 Oct 1997 (42),PSV Eindhoven (12),5-0,2-0,MVV Maastricht (11)
?,(Sun) 26 Oct 1997 (42),Ajax Amsterdam (11),4-0,2-0,Feyenoord Rotterdam (11)
?,(Sun) 26 Oct 1997 (42),Sparta Rotterdam (12),1-1,0-0,FC Groningen (12)
?,(Sun) 26 Oct 1997 (42),FC Twente (11),1-2,0-0,Roda JC Kerkrade (11)
?,(Sun) 26 Oct 1997 (42),FC Utrecht (11),2-4,1-3,NEC Nijmegen (12)
?,(Sun) 26 Oct 1997 (42),Vitesse Arnhem (11),1-0,1-0,Fortuna Sittard (11)
?,(Sun) 26 Oct 1997 (42),RKC Waalwijk (12),1-1,1-0,FC Volendam (11)
?,(Wed) 29 Oct 1997 (43),Feyenoord Rotterdam (12),1-3,0-0,Fortuna Sittard (12)
?,(Wed) 29 Oct 1997 (43),NEC Nijmegen (13),0-4,0-0,BV De Graafschap (13)
?,(Thu) 30 Oct 1997 (43),Roda JC Kerkrade (12),1-1,1-1,Ajax Amsterdam (12)
?,(Fri) 31 Oct 1997 (43),SC Heerenveen (13),1-1,0-1,PSV Eindhoven (13)
?,(Fri) 31 Oct 1997 (43),MVV Maastricht (12),1-0,0-0,Willem II Tilburg (12)
?,(Sat) 1 Nov 1997 (43),Fortuna Sittard (13),0-2,0-1,NEC Nijmegen (14)
?,(Sat) 1 Nov 1997 (43),NAC Breda (11),2-0,0-0,BV De Graafschap (14)
?,(Sat) 1 Nov 1997 (43),FC Twente (12),1-1,0-1,Vitesse Arnhem (12)
?,(Sun) 2 Nov 1997 (43),Feyenoord Rotterdam (13),2-1,1-0,RKC Waalwijk (13)
?,(Sun) 2 Nov 1997 (43),FC Volendam (12),0-1,0-0,FC Utrecht (12)
?,(Wed) 5 Nov 1997 (44),MVV Maastricht (13),4-1,2-1,FC Volendam (13)
?,(Sat) 8 Nov 1997 (44),Vitesse Arnhem (13),4-2,3-1,SC Heerenveen (14)
?,(Sun) 9 Nov 1997 (44),PSV Eindhoven (14),5-1,4-0,NAC Breda (12)
?,(Sun) 9 Nov 1997 (44),Sparta Rotterdam (13),0-5,0-2,Ajax Amsterdam (13)
?,(Sun) 9 Nov 1997 (44),FC Utrecht (13),2-0,0-0,FC Groningen (13)
?,(Sun) 9 Nov 1997 (44),FC Volendam (14),0-0,0-0,Feyenoord Rotterdam (14)
?,(Sun) 9 Nov 1997 (44),RKC Waalwijk (14),3-3,2-2,Roda JC Kerkrade (13)
?,(Wed) 12 Nov 1997 (45),Ajax Amsterdam (14),1-0,1-0,FC Twente (13)
?,(Wed) 12 Nov 1997 (45),SC Heerenveen (15),3-1,0-1,FC Volendam (15)
?,(Wed) 12 Nov 1997 (45),NEC Nijmegen (15),2-1,2-0,Roda JC Kerkrade (14)
?,(Wed) 12 Nov 1997 (45),Vitesse Arnhem (14),2-0,1-0,Sparta Rotterdam (14)
?,(Thu) 13 Nov 1997 (45),BV De Graafschap (15),1-2,1-0,MVV Maastricht (14)
?,(Sat) 15 Nov 1997 (45),Fortuna Sittard (14),3-1,1-1,SC Heerenveen (16)
?,(Sat) 15 Nov 1997 (45),Willem II Tilburg (13),3-1,1-0,FC Twente (14)
