Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 2 Aug 2019 (W31),PEC Zwolle (1),1-3,1-1,Willem II Tilburg (1)
?,(Sat) 3 Aug 2019 (W31),FC Emmen (1),0-1,0-0,FC Groningen (1)
?,(Sat) 3 Aug 2019 (W31),Vitesse Arnhem (1),2-2,1-1,Ajax Amsterdam (1)
?,(Sat) 3 Aug 2019 (W31),FC Twente (1),1-1,1-0,PSV Eindhoven (1)
?,(Sat) 3 Aug 2019 (W31),VVV Venlo (1),3-1,0-1,RKC Waalwijk (1)
?,(Sun) 4 Aug 2019 (W31),Heracles Almelo (1),0-4,0-3,SC Heerenveen (1)
?,(Sun) 4 Aug 2019 (W31),Feyenoord Rotterdam (1),2-2,0-0,Sparta Rotterdam (1)
?,(Sun) 4 Aug 2019 (W31),ADO Den Haag (1),2-4,2-2,FC Utrecht (1)
?,(Sun) 4 Aug 2019 (W31),AZ Alkmaar (1),4-0,0-0,Fortuna Sittard (1)
?,(Fri) 9 Aug 2019 (W32),Sparta Rotterdam (2),4-1,0-1,VVV Venlo (2)
?,(Sat) 10 Aug 2019 (W32),FC Groningen (2),1-3,0-0,FC Twente (2)
?,(Sat) 10 Aug 2019 (W32),Ajax Amsterdam (2),5-0,1-0,FC Emmen (2)
?,(Sat) 10 Aug 2019 (W32),Willem II Tilburg (2),0-2,0-0,Vitesse Arnhem (2)
?,(Sun) 11 Aug 2019 (W32),Fortuna Sittard (2),1-1,0-0,Heracles Almelo (2)
?,(Sun) 11 Aug 2019 (W32),SC Heerenveen (2),1-1,0-1,Feyenoord Rotterdam (2)
?,(Sun) 11 Aug 2019 (W32),RKC Waalwijk (2),0-2,0-2,AZ Alkmaar (2)
?,(Sun) 11 Aug 2019 (W32),FC Utrecht (2),3-1,0-1,PEC Zwolle (2)
?,(Sun) 11 Aug 2019 (W32),PSV Eindhoven (2),3-1,1-1,ADO Den Haag (2)
?,(Fri) 16 Aug 2019 (W33),Vitesse Arnhem (3),3-0,0-0,PEC Zwolle (3)
?,(Sat) 17 Aug 2019 (W33),ADO Den Haag (3),1-2,0-2,Sparta Rotterdam (3)
?,(Sat) 17 Aug 2019 (W33),VVV Venlo (3),1-4,0-1,Ajax Amsterdam (3)
?,(Sat) 17 Aug 2019 (W33),FC Emmen (3),2-0,2-0,SC Heerenveen (3)
?,(Sun) 18 Aug 2019 (W33),Fortuna Sittard (3),2-3,1-3,Willem II Tilburg (3)
?,(Sun) 18 Aug 2019 (W33),FC Twente (3),3-3,0-1,RKC Waalwijk (3)
?,(Sun) 18 Aug 2019 (W33),AZ Alkmaar (3),0-0,0-0,FC Groningen (3)
?,(Sun) 18 Aug 2019 (W33),Feyenoord Rotterdam (3),1-1,0-1,FC Utrecht (3)
?,(Sun) 18 Aug 2019 (W33),Heracles Almelo (3),0-2,0-1,PSV Eindhoven (3)
?,(Sat) 24 Aug 2019 (W34),Willem II Tilburg (4),2-1,1-0,FC Emmen (4)
?,(Sat) 24 Aug 2019 (W34),Heracles Almelo (4),1-1,0-0,Vitesse Arnhem (4)
?,(Sat) 24 Aug 2019 (W34),SC Heerenveen (4),0-0,0-0,FC Twente (4)
?,(Sun) 25 Aug 2019 (W34),RKC Waalwijk (4),0-3,0-1,ADO Den Haag (4)
?,(Sun) 25 Aug 2019 (W34),FC Utrecht (4),1-2,0-2,VVV Venlo (4)
?,(Sun) 25 Aug 2019 (W34),PEC Zwolle (4),2-2,1-1,Sparta Rotterdam (4)
?,(Fri) 30 Aug 2019 (W35),FC Emmen (5),1-3,1-3,PEC Zwolle (5)
?,(Sat) 31 Aug 2019 (W35),SC Heerenveen (5),1-1,1-1,Fortuna Sittard (4)
?,(Sat) 31 Aug 2019 (W35),FC Groningen (4),1-2,0-1,Heracles Almelo (5)
?,(Sat) 31 Aug 2019 (W35),ADO Den Haag (5),1-0,1-0,VVV Venlo (5)
?,(Sun) 1 Sep 2019 (W35),FC Twente (5),3-1,1-0,FC Utrecht (5)
?,(Sun) 1 Sep 2019 (W35),Sparta Rotterdam (5),1-4,0-2,Ajax Amsterdam (4)
?,(Sun) 1 Sep 2019 (W35),Vitesse Arnhem (5),2-1,1-1,AZ Alkmaar (4)
?,(Sun) 1 Sep 2019 (W35),Willem II Tilburg (5),0-1,0-0,Feyenoord Rotterdam (4)
?,(Sun) 1 Sep 2019 (W35),RKC Waalwijk (5),1-3,1-0,PSV Eindhoven (4)
