Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 2 Aug 2013 (30),Ajax (1),3-0,2-0,Roda (1)
?,(Sat) 3 Aug 2013 (30),Den Haag (1),2-3,1-3,PSV Eindhoven (1)
?,(Sat) 3 Aug 2013 (30),Heerenveen (1),4-2,1-0,AZ Alkmaar (1)
?,(Sat) 3 Aug 2013 (30),Nijmegen (1),1-4,1-2,Groningen (1)
?,(Sat) 3 Aug 2013 (30),Twente (1),0-0,0-0,Waalwijk (1)
?,(Sun) 4 Aug 2013 (30),Cambuur (1),0-0,0-0,NAC Breda (1)
?,(Sun) 4 Aug 2013 (30),Utrecht (1),1-1,1-0,Go Ahead Eagles (1)
?,(Sun) 4 Aug 2013 (30),Vitesse (1),3-1,2-0,Heracles (1)
?,(Sun) 4 Aug 2013 (30),Zwolle (1),2-1,0-0,Feyenoord (1)
?,(Fri) 9 Aug 2013 (31),Roda (2),2-0,1-0,Cambuur (2)
?,(Sat) 10 Aug 2013 (31),Go Ahead Eagles (2),2-1,1-1,Den Haag (2)
?,(Sat) 10 Aug 2013 (31),Heracles (2),1-3,1-2,Zwolle (2)
?,(Sat) 10 Aug 2013 (31),NAC Breda (2),0-2,0-1,Heerenveen (2)
?,(Sat) 10 Aug 2013 (31),PSV Eindhoven (2),5-0,1-0,Nijmegen (2)
?,(Sun) 11 Aug 2013 (31),AZ Alkmaar (2),3-2,1-1,Ajax (2)
?,(Sun) 11 Aug 2013 (31),Feyenoord (2),1-4,1-1,Twente (2)
?,(Sun) 11 Aug 2013 (31),Groningen (2),2-0,1-0,Utrecht (2)
?,(Sun) 11 Aug 2013 (31),Waalwijk (2),4-2,2-1,Vitesse (2)
?,(Sat) 17 Aug 2013 (32),Cambuur (3),4-1,3-0,Groningen (3)
?,(Sat) 17 Aug 2013 (32),Nijmegen (3),1-5,0-3,Zwolle (3)
?,(Sat) 17 Aug 2013 (32),PSV Eindhoven (3),3-0,0-0,Go Ahead Eagles (3)
?,(Sat) 17 Aug 2013 (32),Roda (3),1-1,0-0,Vitesse (3)
?,(Sat) 17 Aug 2013 (32),Waalwijk (3),1-2,0-1,AZ Alkmaar (3)
?,(Sun) 18 Aug 2013 (32),Ajax (3),2-1,2-1,Feyenoord (3)
?,(Sun) 18 Aug 2013 (32),Heerenveen (3),2-4,1-1,Heracles (3)
?,(Sun) 18 Aug 2013 (32),NAC Breda (3),1-2,0-0,Den Haag (3)
?,(Sun) 18 Aug 2013 (32),Twente (3),6-0,4-0,Utrecht (3)
?,(Fri) 23 Aug 2013 (33),Heerenveen (4),3-3,3-2,Ajax (4)
?,(Sat) 24 Aug 2013 (33),Den Haag (4),0-4,0-2,Roda (4)
?,(Sat) 24 Aug 2013 (33),Heracles (4),1-1,1-0,PSV Eindhoven (4)
?,(Sat) 24 Aug 2013 (33),Nijmegen (4),2-2,2-0,Waalwijk (4)
?,(Sat) 24 Aug 2013 (33),Zwolle (4),2-0,0-0,Cambuur (4)
?,(Sun) 25 Aug 2013 (33),Feyenoord (4),3-1,2-0,NAC Breda (4)
?,(Sun) 25 Aug 2013 (33),Go Ahead Eagles (4),3-3,1-1,Groningen (4)
?,(Sun) 25 Aug 2013 (33),Utrecht (4),2-0,0-0,AZ Alkmaar (4)
?,(Sun) 25 Aug 2013 (33),Vitesse (4),1-0,1-0,Twente (4)
?,(Fri) 30 Aug 2013 (34),NAC Breda (5),1-1,1-1,Nijmegen (5)
?,(Sat) 31 Aug 2013 (34),Heracles (5),1-0,1-0,Den Haag (5)
?,(Sat) 31 Aug 2013 (34),PSV Eindhoven (5),0-0,0-0,Cambuur (5)
?,(Sat) 31 Aug 2013 (34),Twente (5),1-1,0-0,Heerenveen (5)
?,(Sat) 31 Aug 2013 (34),Waalwijk (5),1-4,0-2,Go Ahead Eagles (5)
?,(Sun) 1 Sep 2013 (34),AZ Alkmaar (5),1-1,1-0,Vitesse (5)
?,(Sun) 1 Sep 2013 (34),Feyenoord (5),4-0,2-0,Roda (5)
?,(Sun) 1 Sep 2013 (34),Groningen (5),1-1,0-1,Ajax (5)
?,(Sun) 1 Sep 2013 (34),Zwolle (5),1-1,0-0,Utrecht (5)
?,(Sat) 14 Sep 2013 (36),Ajax (6),2-1,0-0,Zwolle (6)
?,(Sat) 14 Sep 2013 (36),Cambuur (6),2-0,1-0,Heracles (6)
?,(Sat) 14 Sep 2013 (36),Twente (6),2-2,1-0,PSV Eindhoven (6)
?,(Sun) 15 Sep 2013 (36),AZ Alkmaar (6),3-0,1-0,Go Ahead Eagles (6)
?,(Sun) 15 Sep 2013 (36),Heerenveen (6),4-2,0-1,Groningen (6)
?,(Sun) 15 Sep 2013 (36),Nijmegen (6),3-3,1-1,Feyenoord (6)
?,(Sun) 15 Sep 2013 (36),Roda (6),1-5,1-1,NAC Breda (6)
?,(Sun) 15 Sep 2013 (36),Utrecht (6),2-1,2-0,Waalwijk (6)
?,(Fri) 20 Sep 2013 (37),Go Ahead Eagles (7),0-0,0-0,Cambuur (7)
?,(Sat) 21 Sep 2013 (37),Den Haag (6),1-1,0-0,Nijmegen (7)
?,(Sat) 21 Sep 2013 (37),Groningen (7),4-1,0-0,Waalwijk (7)
?,(Sat) 21 Sep 2013 (37),Heracles (7),0-3,0-1,Twente (7)
?,(Sat) 21 Sep 2013 (37),Roda (7),3-3,1-1,Heerenveen (7)
?,(Sun) 22 Sep 2013 (37),Feyenoord (7),1-0,1-0,Utrecht (7)
?,(Sun) 22 Sep 2013 (37),NAC Breda (7),3-0,0-0,AZ Alkmaar (7)
?,(Sun) 22 Sep 2013 (37),PSV Eindhoven (7),4-0,0-0,Ajax (7)
?,(Sun) 22 Sep 2013 (37),Vitesse (6),3-0,1-0,Zwolle (7)
?,(Sat) 28 Sep 2013 (38),Ajax (8),6-0,0-0,Go Ahead Eagles (8)
?,(Sat) 28 Sep 2013 (38),AZ Alkmaar (8),2-1,1-1,PSV Eindhoven (8)
?,(Sat) 28 Sep 2013 (38),Utrecht (8),3-3,2-1,Roda (8)
?,(Sat) 28 Sep 2013 (38),Waalwijk (8),1-4,1-2,Heracles (8)
?,(Sat) 28 Sep 2013 (38),Zwolle (8),0-0,0-0,NAC Breda (8)
?,(Sun) 29 Sep 2013 (38),Feyenoord (8),4-2,2-0,Den Haag (7)
?,(Sun) 29 Sep 2013 (38),Heerenveen (8),2-1,1-0,Cambuur (8)
?,(Sun) 29 Sep 2013 (38),Nijmegen (8),2-3,1-2,Vitesse (7)
?,(Sun) 29 Sep 2013 (38),Twente (8),5-0,3-0,Groningen (8)
?,(Wed) 2 Oct 2013 (39),Den Haag (8),2-1,1-0,Vitesse (8)
?,(Fri) 4 Oct 2013 (39),Cambuur (9),0-1,0-0,Twente (9)
?,(Sat) 5 Oct 2013 (39),Go Ahead Eagles (9),4-3,3-0,Nijmegen (9)
?,(Sat) 5 Oct 2013 (39),NAC Breda (9),2-1,0-0,Heracles (9)
?,(Sat) 5 Oct 2013 (39),Roda (9),0-0,0-0,Zwolle (9)
?,(Sun) 6 Oct 2013 (39),Ajax (9),3-0,1-0,Utrecht (9)
?,(Sun) 6 Oct 2013 (39),Groningen (9),2-1,0-0,AZ Alkmaar (9)
?,(Sun) 6 Oct 2013 (39),PSV Eindhoven (9),2-1,1-1,Waalwijk (9)
?,(Sun) 6 Oct 2013 (39),Vitesse (9),1-2,0-2,Feyenoord (9)
?,(Sat) 19 Oct 2013 (41),Go Ahead Eagles (10),2-2,0-1,Feyenoord (10)
?,(Sat) 19 Oct 2013 (41),Heerenveen (9),2-3,1-0,Vitesse (10)
?,(Sat) 19 Oct 2013 (41),Twente (10),1-1,1-0,Ajax (10)
?,(Sat) 19 Oct 2013 (41),Utrecht (10),4-2,1-1,NAC Breda (10)
?,(Sat) 19 Oct 2013 (41),Waalwijk (10),1-2,0-0,Roda (10)
?,(Sun) 20 Oct 2013 (41),AZ Alkmaar (10),3-1,2-1,Cambuur (10)
?,(Sun) 20 Oct 2013 (41),Groningen (10),1-0,0-0,PSV Eindhoven (10)
?,(Sun) 20 Oct 2013 (41),Heracles (10),1-1,0-1,Nijmegen (10)
?,(Sun) 20 Oct 2013 (41),Zwolle (10),6-1,3-0,Den Haag (9)
?,(Fri) 25 Oct 2013 (42),Nijmegen (11),2-1,1-0,Heerenveen (10)
?,(Sat) 26 Oct 2013 (42),Ajax (11),0-0,0-0,Waalwijk (11)
?,(Sat) 26 Oct 2013 (42),Cambuur (11),3-1,0-1,Utrecht (11)
?,(Sat) 26 Oct 2013 (42),Den Haag (10),3-2,0-0,Twente (11)
?,(Sat) 26 Oct 2013 (42),NAC Breda (11),5-0,4-0,Go Ahead Eagles (11)
?,(Sun) 27 Oct 2013 (42),Feyenoord (11),1-2,1-1,Heracles (11)
?,(Sun) 27 Oct 2013 (42),Roda (11),2-1,0-1,PSV Eindhoven (11)
?,(Sun) 27 Oct 2013 (42),Vitesse (11),2-2,1-0,Groningen (11)
?,(Sun) 27 Oct 2013 (42),Zwolle (11),0-2,0-1,AZ Alkmaar (11)
?,(Fri) 1 Nov 2013 (43),Waalwijk (12),3-0,3-0,NAC Breda (12)
?,(Sat) 2 Nov 2013 (43),Ajax (12),0-1,0-0,Vitesse (12)
?,(Sat) 2 Nov 2013 (43),AZ Alkmaar (12),2-0,1-0,Den Haag (11)
?,(Sat) 2 Nov 2013 (43),PSV Eindhoven (12),1-1,1-1,Zwolle (12)
?,(Sat) 2 Nov 2013 (43),Twente (12),2-2,2-0,Nijmegen (12)
?,(Sun) 3 Nov 2013 (43),Cambuur (12),0-2,0-1,Feyenoord (12)
?,(Sun) 3 Nov 2013 (43),Groningen (12),3-3,1-1,Roda (12)
