Date,Team 1,Score,Team 2,Tournament,City
Fri Jan 3 1986,Qatar,1-1,China PR,Friendly,Doha › Qatar
Fri Jan 17 1986,Qatar,0-1,Greece,Friendly,Doha › Qatar
Wed Jan 22 1986,Gabon,0-1,Senegal,Friendly,Libreville › Gabon
Wed Jan 22 1986,Portugal,1-1,Finland,Friendly,Leiria › Portugal
Wed Jan 22 1986,Spain,2-0,Russia,Friendly,Las Palmas › Spain
Fri Jan 24 1986,Qatar,2-1,Tunisia,Friendly,Doha › Qatar
Sat Jan 25 1986,India,0-0,China PR,Nehru Cup,Trivandrum › India
Mon Jan 27 1986,Oman,0-0,Tunisia,Friendly,Muscat › Oman
Tue Jan 28 1986,China PR,3-1,Peru,Nehru Cup,Trivandrum › India
Tue Jan 28 1986,Israel,0-1,Scotland,Friendly,Ramat-Gan › Israel
Wed Jan 29 1986,Canada,0-0,Paraguay,Friendly,Vancouver › Canada
Wed Jan 29 1986,Egypt,0-4,England,Friendly,Cairo › Egypt
Thu Jan 30 1986,India,0-1,Peru,Nehru Cup,Trivandrum › India
Sat Feb 1 1986,Senegal,2-1,Guinea,Amílcar Cabral Cup,Dakar › Senegal
Sun Feb 2 1986,Canada,1-3,Uruguay,Friendly,Miami › United States
Sun Feb 2 1986,Gambia,3-0,Guinea-Bissau,Amílcar Cabral Cup,Dakar › Senegal
Sun Feb 2 1986,Mauritania,0-1,Sierra Leone,Amílcar Cabral Cup,Dakar › Senegal
Sun Feb 2 1986,Qatar,0-3,Hungary,Friendly,Doha › Qatar
Mon Feb 3 1986,Guinea,1-1,Mali,Amílcar Cabral Cup,Dakar › Senegal
Tue Feb 4 1986,Gambia,1-2,Sierra Leone,Amílcar Cabral Cup,Dakar › Senegal
Tue Feb 4 1986,Guinea-Bissau,1-0,Mauritania,Amílcar Cabral Cup,Dakar › Senegal
Wed Feb 5 1986,Italy,1-2,Germany,Friendly,Avellino › Italy
Wed Feb 5 1986,Jamaica,1-4,Paraguay,Friendly,Miami › United States
Wed Feb 5 1986,Portugal,2-0,Luxembourg,Friendly,Portimão › Portugal
Wed Feb 5 1986,Senegal,1-0,Mali,Amílcar Cabral Cup,Dakar › Senegal
Wed Feb 5 1986,United States,0-0,Canada,Friendly,Miami › United States
Thu Feb 6 1986,Gambia,3-1,Mauritania,Amílcar Cabral Cup,Dakar › Senegal
Thu Feb 6 1986,Guinea-Bissau,2-3,Sierra Leone,Amílcar Cabral Cup,Dakar › Senegal
Fri Feb 7 1986,United States,1-1,Uruguay,Friendly,Miami › United States
Sat Feb 8 1986,Guinea,1-2,Sierra Leone,Amílcar Cabral Cup,Dakar › Senegal
Sat Feb 8 1986,Senegal,1-0,Gambia,Amílcar Cabral Cup,Dakar › Senegal
Sun Feb 9 1986,Bulgaria,1-2,German DR,Friendly,Querétaro › Mexico
Mon Feb 10 1986,Senegal,3-1,Sierra Leone,Amílcar Cabral Cup,Dakar › Senegal
Fri Feb 14 1986,South Korea,1-3,Paraguay,Lunar New Year Cup,So Kon Po › Hong Kong
Sat Feb 15 1986,Mexico,1-2,German DR,Friendly,San Jose › United States
Sat Feb 15 1986,Zambia,6-0,Botswana,Friendly,Ndola › Zambia
Sun Feb 16 1986,Indonesia,2-3,Paraguay,Friendly,Jakarta › Indonesia
Sun Feb 16 1986,Iran,2-0,Pakistan,Friendly,Teheran › Iran
Sun Feb 16 1986,Uruguay,2-2,Poland,Friendly,Montevideo › Uruguay
Sun Feb 16 1986,Zambia,3-0,Botswana,Friendly,Lusaka › Zambia
Mon Feb 17 1986,Saudi Arabia,0-0,Algeria,Friendly,Khobar › Saudi Arabia
Wed Feb 19 1986,Greece,0-0,Cyprus,Friendly,Athens › Greece
Wed Feb 19 1986,Mexico,1-0,Russia,Friendly,Mexico City › Mexico
Wed Feb 19 1986,Morocco,0-0,Bulgaria,Friendly,Rabat › Morocco
Wed Feb 19 1986,Portugal,1-3,German DR,Friendly,Braga › Portugal
