Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 1 1975,Cameroon,1-0,Guinea,Friendly,Yaoundé › Cameroon
Wed Jan 1 1975,Iraq,0-0,Tunisia,Friendly,Baghdad › Iraq
Fri Jan 3 1975,Bermuda,2-5,Suriname,Friendly,Hamilton › Bermuda
Sun Jan 5 1975,Cuba,4-0,Canada,Friendly,Havana › Cuba
Thu Jan 9 1975,Iraq,3-1,Libya,Friendly,Baghdad › Iraq
Tue Jan 14 1975,Kuwait,1-0,Libya,Friendly,Kuwait City › Kuwait
Sun Jan 19 1975,Mali,0-2,Guinea,Friendly,Bamako › Mali
Wed Jan 22 1975,Nigeria,1-0,Cameroon,Friendly,Lagos › Nigeria
Sun Jan 26 1975,Guinea,3-0,Cameroon,Friendly,Conakry › Guinea
Wed Jan 29 1975,Malawi,1-0,Mauritius,Friendly,Zomba › Malawi
Thu Jan 30 1975,Liberia,2-0,Cameroon,Friendly,Monrovia › Liberia
Fri Jan 31 1975,Malawi,1-1,Mauritius,Friendly,Blantyre › Malawi
Sun Feb 2 1975,Jamaica,1-0,Haiti,Friendly,Kingston › Jamaica
Sun Feb 2 1975,Malawi,3-0,Mauritius,Friendly,Blantyre › Malawi
Sun Feb 2 1975,Mali,1-2,Cameroon,Friendly,Bamako › Mali
Sun Feb 2 1975,Senegal,0-1,Nigeria,Friendly,Dakar › Senegal
Wed Feb 5 1975,Jamaica,0-1,Haiti,Friendly,Kingston › Jamaica
Wed Feb 5 1975,Spain,1-1,Scotland,UEFA Euro qualification,Valencia › Spain
Sun Feb 9 1975,Liberia,0-1,Nigeria,Friendly,Monrovia › Liberia
Sun Feb 16 1975,Mali,2-1,Senegal,Friendly,Bamako › Mali
Wed Feb 19 1975,Italy,4-1,Norway,Friendly,Florence › Italy
Sat Feb 22 1975,Haiti,0-1,Jamaica,Friendly,Port-au-Prince › Haiti
Sat Feb 22 1975,Nigeria,1-1,Senegal,Friendly,Lagos › Nigeria
Sun Feb 23 1975,Burkina Faso,4-1,Niger,Friendly,Ouagadougou › Upper Volta
Sun Feb 23 1975,Malta,2-0,Greece,UEFA Euro qualification,Gżira › Malta
Sun Feb 23 1975,Tanzania,3-1,Malawi,Friendly,Dar es Salaam › Tanzania
Tue Feb 25 1975,Haiti,3-2,Jamaica,Friendly,Port-au-Prince › Haiti
Tue Feb 25 1975,Tanzania,2-0,Malawi,Friendly,Dar es Salaam › Tanzania
Thu Feb 27 1975,Zanzibar,2-7,Malawi,Friendly,Zanzibar › Zanzibar
Sun Mar 2 1975,Morocco,0-0,Tunisia,Friendly,Casablanca › Morocco
Sun Mar 9 1975,Brazil,2-1,Portugal,Friendly,Goiânia › Brazil
Wed Mar 12 1975,England,2-0,Germany,Friendly,London › England
Thu Mar 13 1975,Guadeloupe,2-1,Puerto Rico,Friendly,Basse-Terre › Guadeloupe
Sat Mar 15 1975,Thailand,3-1,Indonesia,AFC Asian Cup qualification,Bangkok › Thailand
Sun Mar 16 1975,Luxembourg,1-2,Austria,UEFA Euro qualification,Luxembourg › Luxembourg
Sun Mar 16 1975,Malaysia,2-1,South Korea,AFC Asian Cup qualification,Bangkok › Thailand
Mon Mar 17 1975,Indonesia,2-1,Vietnam Republic,AFC Asian Cup qualification,Bangkok › Thailand
Tue Mar 18 1975,Thailand,0-1,Malaysia,AFC Asian Cup qualification,Bangkok › Thailand
Wed Mar 19 1975,South Korea,1-0,Vietnam Republic,AFC Asian Cup qualification,Bangkok › Thailand
