Date,Team 1,Score,Team 2,Tournament,City
Tue Feb 6 1951,France,2-1,Yugoslavia,Friendly,Paris › France
Sun Feb 18 1951,Spain,6-3,Switzerland,Friendly,Madrid › Spain
Sat Feb 24 1951,Zimbabwe,2-1,Zambia,Friendly,Salisbury › Southern Rhodesia
Sun Feb 25 1951,Costa Rica,8-1,Nicaragua,CCCF Championship,Panama City › Panama
Tue Feb 27 1951,Panama,2-0,Costa Rica,CCCF Championship,Panama City › Panama
Wed Feb 28 1951,Panama,4-0,Nicaragua,CCCF Championship,Panama City › Panama
Fri Mar 2 1951,Panama,1-1,Costa Rica,CCCF Championship,Panama City › Panama
Sat Mar 3 1951,Nicaragua,1-4,Costa Rica,CCCF Championship,Panama City › Panama
Sun Mar 4 1951,Panama,6-2,Nicaragua,CCCF Championship,Panama City › Panama
Wed Mar 7 1951,Northern Ireland,1-2,Wales,British Championship,Belfast › Northern Ireland
Mon Mar 19 1951,Barbados,1-3,Grenada,Friendly,Bridgetown › Barbados
Mon Mar 19 1951,Martinique,3-0,Guadeloupe,Friendly,Fort-de-France › Martinique
Wed Mar 21 1951,Barbados,3-2,Grenada,Friendly,Bridgetown › Barbados
Sun Apr 8 1951,Portugal,1-4,Italy,Friendly,Oeiras › Portugal
Sat Apr 14 1951,England,2-3,Scotland,British Championship,London › England
Sun Apr 15 1951,Netherlands,5-4,Belgium,Friendly,Amsterdam › Netherlands
Sun Apr 15 1951,Switzerland,2-3,Germany,Friendly,Zürich › Switzerland
Sun May 6 1951,Italy,0-0,Yugoslavia,Friendly,Milan › Italy
Wed May 9 1951,England,2-1,Argentina,Friendly,London › England
Sat May 12 1951,Northern Ireland,2-2,France,Friendly,Belfast › Northern Ireland
Sat May 12 1951,Scotland,3-1,Denmark,Friendly,Glasgow › Scotland
Sat May 12 1951,Wales,2-1,Portugal,Friendly,Cardiff › Wales
Sun May 13 1951,Republic of Ireland,0-1,Argentina,Friendly,Dublin › Republic of Ireland
Wed May 16 1951,Scotland,1-0,France,Friendly,Glasgow › Scotland
Wed May 16 1951,Wales,3-2,Switzerland,Friendly,Wrexham › Wales
Thu May 17 1951,Guadeloupe,1-1,Martinique,Friendly,Pointe-à-Pitre › Guadeloupe
Sat May 19 1951,England,5-2,Portugal,Friendly,Liverpool › England
Sun May 20 1951,Belgium,0-5,Scotland,Friendly,Brussels › Belgium
Sun May 20 1951,Czechoslovakia,2-2,Romania,Friendly,Prague › Czechoslovakia
Fri May 25 1951,Barbados,3-0,Jamaica,Friendly,Bridgetown › Barbados
Sat May 26 1951,Barbados,0-1,Jamaica,Friendly,Bridgetown › Barbados
Sun May 27 1951,Austria,4-0,Scotland,Friendly,Vienna › Austria
Sun May 27 1951,Hungary,6-0,Poland,Friendly,Budapest › Hungary
