Date,Team 1,Score,Team 2,Tournament,City
Sun Mar 9 1919,Belgium,2-2,France,Friendly,Brussels › Belgium
Sun Apr 6 1919,Hungary,2-1,Austria,Friendly,Budapest › Hungary
Sun May 11 1919,Brazil,6-0,Chile,Copa América,Rio de Janeiro › Brazil
Sun May 11 1919,Paraguay,1-5,Argentina,Friendly,Asunción › Paraguay
Tue May 13 1919,Argentina,2-3,Uruguay,Copa América,Rio de Janeiro › Brazil
Thu May 15 1919,Paraguay,0-3,Argentina,Friendly,Asunción › Paraguay
Sat May 17 1919,Chile,0-2,Uruguay,Copa América,Rio de Janeiro › Brazil
Sun May 18 1919,Brazil,3-1,Argentina,Copa América,Rio de Janeiro › Brazil
Wed May 21 1919,Paraguay,1-2,Argentina,Friendly,Asunción › Paraguay
Thu May 22 1919,Argentina,4-1,Chile,Copa América,Rio de Janeiro › Brazil
Sat May 24 1919,Paraguay,1-2,Argentina,Friendly,Asunción › Paraguay
Mon May 26 1919,Brazil,2-2,Uruguay,Copa América,Rio de Janeiro › Brazil
Thu May 29 1919,Sweden,1-0,Finland,Friendly,Stockholm › Sweden
Thu May 29 1919,Brazil,1-0,Uruguay,Copa América,Rio de Janeiro › Brazil
Sun Jun 1 1919,Brazil,3-3,Argentina,Friendly,Rio de Janeiro › Brazil
Thu Jun 5 1919,Denmark,3-0,Sweden,Friendly,Copenhagen › Denmark
Mon Jun 9 1919,Netherlands,3-1,Sweden,Friendly,Amsterdam › Netherlands
Thu Jun 12 1919,Denmark,5-1,Norway,Friendly,Copenhagen › Denmark
Sun Jun 29 1919,Norway,4-3,Sweden,Friendly,Kristiania › Norway
Fri Jul 18 1919,Uruguay,4-1,Argentina,Copa Premio Honor Uruguayo,Montevideo › Uruguay
Sun Aug 24 1919,Sweden,4-1,Netherlands,Friendly,Stockholm › Sweden
Sun Aug 24 1919,Uruguay,2-1,Argentina,Copa Newton,Montevideo › Uruguay
Sun Aug 31 1919,Norway,1-1,Netherlands,Friendly,Oslo › Norway
Sun Sep 7 1919,Argentina,1-2,Uruguay,Copa Lipton,Buenos Aires › Argentina
Sun Sep 14 1919,Sweden,1-5,Norway,Friendly,Gothenburg › Sweden
Sun Sep 21 1919,Norway,3-2,Denmark,Friendly,Kristiania › Norway
Sun Sep 28 1919,Finland,3-3,Sweden,Friendly,Helsinki › Finland
Sun Oct 5 1919,Austria,2-0,Hungary,Friendly,Vienna › Austria
Sun Oct 12 1919,Sweden,3-0,Denmark,Friendly,Stockholm › Sweden
Sun Oct 19 1919,Argentina,6-1,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
Sat Oct 25 1919,Northern Ireland,1-1,England,British Championship,Belfast › Republic of Ireland
Sun Nov 9 1919,Hungary,3-2,Austria,Friendly,Budapest › Hungary
Sun Dec 7 1919,Uruguay,4-2,Argentina,Friendly,Montevideo › Uruguay
