Date,Team 1,Score,Team 2,Tournament,City
Thu Feb 17 1944,Trinidad and Tobago,5-0,Barbados,Friendly,Port of Spain › Trinidad and Tobago
Sat Apr 1 1944,Aruba,1-3,Venezuela,Friendly,Willemstad › Curaçao
Sun Apr 2 1944,Curaçao,5-0,Haiti,Friendly,Willemstad › Curaçao
Wed Apr 5 1944,Haiti,0-2,Venezuela,Friendly,Willemstad › Curaçao
Sat Apr 8 1944,Aruba,1-1,Haiti,Friendly,Willemstad › Curaçao
Sun Apr 9 1944,Croatia,7-3,Slovakia,Friendly,Zagreb › Croatia
Sun Apr 9 1944,Curaçao,3-3,Venezuela,Friendly,Willemstad › Curaçao
Mon Apr 10 1944,Curaçao,3-1,Aruba,Friendly,Willemstad › Curaçao
Sun May 14 1944,Brazil,6-1,Uruguay,Friendly,Rio de Janeiro › Brazil
Wed May 17 1944,Brazil,4-0,Uruguay,Friendly,São Paulo › Brazil
Sat Jul 29 1944,Curaçao,2-4,Aruba,Friendly,Willemstad › Curaçao
Sun Jul 30 1944,Curaçao,2-3,Aruba,Friendly,Willemstad › Curaçao
Fri Aug 25 1944,Suriname,1-2,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Sun Aug 27 1944,Suriname,5-0,Aruba,Friendly,Paramaribo › Netherlands Guyana
Tue Aug 29 1944,Aruba,1-2,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Thu Aug 31 1944,Suriname,0-2,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Sat Sep 2 1944,Aruba,1-5,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Tue Sep 5 1944,Suriname,2-3,Aruba,Friendly,Paramaribo › Netherlands Guyana
Wed Oct 4 1944,Trinidad and Tobago,1-1,Guyana,Friendly,Port of Spain › Trinidad and Tobago
Wed Oct 4 1944,Barbados,1-1,Trinidad and Tobago,Friendly,Bridgetown › Barbados
Thu Oct 5 1944,Trinidad and Tobago,3-0,Barbados,Friendly,Port of Spain › Trinidad and Tobago
Sat Oct 7 1944,Barbados,0-3,Guyana,Friendly,Port of Spain › Trinidad and Tobago
Sun Oct 8 1944,Barbados,1-1,Trinidad and Tobago,Friendly,Bridgetown › Barbados
Mon Oct 9 1944,Trinidad and Tobago,6-1,Barbados,Friendly,Port of Spain › Trinidad and Tobago
Wed Oct 11 1944,Barbados,0-1,Guyana,Friendly,Port of Spain › Trinidad and Tobago
Fri Oct 13 1944,Trinidad and Tobago,3-0,Guyana,Friendly,Port of Spain › Trinidad and Tobago
Sat Oct 14 1944,Barbados,1-4,Trinidad and Tobago,Friendly,Bridgetown › Barbados
Mon Oct 16 1944,Trinidad and Tobago,3-0,Guyana,Friendly,Port of Spain › Trinidad and Tobago
Tue Nov 7 1944,Kenya,2-1,Uganda,Friendly,Nairobi › Kenya
Sun Dec 24 1944,France,3-1,Belgium,Friendly,Paris › France
