Date,Team 1,Score,Team 2,Tournament,City
Thu Jan 12 1939,Dominica,3-1,Martinique,Friendly,Roseau › Dominica
Sun Jan 15 1939,Brazil,1-5,Argentina,Copa Roca,Rio de Janeiro › Brazil
Sun Jan 15 1939,Chile,1-5,Paraguay,Copa América,Lima › Peru
Sun Jan 15 1939,Peru,5-2,Ecuador,Copa América,Lima › Peru
Sun Jan 22 1939,Brazil,3-2,Argentina,Copa Roca,Rio de Janeiro › Brazil
Sun Jan 22 1939,Ecuador,0-6,Uruguay,Copa América,Lima › Peru
Sun Jan 22 1939,France,4-0,Poland,Friendly,Paris › France
Sun Jan 22 1939,Peru,3-1,Chile,Copa América,Lima › Peru
Sun Jan 29 1939,Belgium,1-4,Germany,Friendly,Brussels › Belgium
Sun Jan 29 1939,Chile,2-3,Uruguay,Copa América,Lima › Peru
Sun Jan 29 1939,Peru,3-0,Paraguay,Copa América,Lima › Peru
Sun Feb 5 1939,Chile,4-1,Ecuador,Copa América,Lima › Peru
Sun Feb 5 1939,Paraguay,1-3,Uruguay,Copa América,Lima › Peru
Sun Feb 12 1939,Ecuador,1-3,Paraguay,Copa América,Lima › Peru
Sun Feb 12 1939,Peru,2-1,Uruguay,Copa América,Lima › Peru
Sun Feb 12 1939,Portugal,2-4,Switzerland,Friendly,Lisbon › Portugal
Sun Feb 26 1939,Chile,4-1,Paraguay,Friendly,Santiago › Chile
Sun Feb 26 1939,Germany,3-2,Yugoslavia,Friendly,Berlin › Germany
Sun Feb 26 1939,Netherlands,3-2,Hungary,Friendly,Rotterdam › Netherlands
Wed Mar 15 1939,Haiti,1-0,Panama,Friendly,Port-au-Prince › Haiti
Wed Mar 15 1939,Wales,3-1,Northern Ireland,British Championship,Wrexham › Wales
Thu Mar 16 1939,France,2-2,Hungary,Friendly,Paris › France
Sun Mar 19 1939,Belgium,5-4,Netherlands,Friendly,Antwerp › Belgium
Sun Mar 19 1939,Haiti,1-1,Panama,Friendly,Port-au-Prince › Haiti
Sun Mar 19 1939,Republic of Ireland,2-2,Hungary,Friendly,Cork › Éire
Fri Mar 24 1939,Haiti,3-0,Panama,Friendly,Port-au-Prince › Haiti
Sun Mar 26 1939,Italy,3-2,Germany,Friendly,Florence › Italy
Sun Mar 26 1939,Luxembourg,2-1,Germany,Friendly,Differdange › Luxembourg
Sun Apr 2 1939,Switzerland,3-1,Hungary,Friendly,Zürich › Switzerland
Sat Apr 15 1939,Scotland,1-2,England,British Championship,Glasgow › Scotland
Sun Apr 23 1939,Netherlands,3-2,Belgium,Friendly,Amsterdam › Netherlands
Sun Apr 23 1939,Brittany,3-1,Luxembourg,Friendly,Brest › France
Sun May 7 1939,Romania,1-0,Yugoslavia,Friendly,Bucharest › Romania
Sun May 7 1939,Switzerland,2-1,Netherlands,Friendly,Berne › Switzerland
Sat May 13 1939,Italy,2-2,England,Friendly,Milan › Italy
Sun May 14 1939,Belgium,1-2,Switzerland,Friendly,Liège › Belgium
Thu May 18 1939,Belgium,1-3,France,Friendly,Brussels › Belgium
Thu May 18 1939,Hungary,2-2,Republic of Ireland,Friendly,Budapest › Hungary
Thu May 18 1939,Romania,4-0,Latvia,Friendly,Bucharest › Romania
Thu May 18 1939,Yugoslavia,2-1,England,Friendly,Belgrade › Yugoslavia
Sat May 20 1939,France,2-1,Wales,Friendly,Colombes › France
Tue May 23 1939,Germany,1-1,Republic of Ireland,Friendly,Bremen › Germany
Wed May 24 1939,Bulgaria,3-0,Latvia,Friendly,Sofia › Bulgaria
