Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 15 1958,Israel,0-2,Wales,FIFA World Cup qualification,Ramat-Gan › Israel
Wed Jan 15 1958,Northern Ireland,2-1,Italy,FIFA World Cup qualification,Belfast › Northern Ireland
Sat Jan 25 1958,Malta,3-0,Denmark,Friendly,Gżira › Malta
Wed Feb 5 1958,Wales,2-0,Israel,FIFA World Cup qualification,Cardiff › Wales
Tue Feb 18 1958,Hong Kong,3-2,South Korea,Friendly,So Kon Po › Hong Kong
Thu Feb 20 1958,Ghana,5-2,Togo,Friendly,Accra › Ghana
Tue Feb 25 1958,Hong Kong,1-1,South Korea,Friendly,So Kon Po › Hong Kong
Sat Mar 1 1958,Malaysia,5-2,Singapore,Friendly,Kuala Lumpur › Malaya
Sun Mar 2 1958,Belgium,0-2,Germany,Friendly,Brussels › Belgium
Sun Mar 2 1958,Malaysia,3-1,Singapore,Friendly,Kuala Lumpur › Malaya
Thu Mar 13 1958,France,2-2,Spain,Friendly,Paris › France
Wed Mar 19 1958,Germany,2-0,Spain,Friendly,Frankfurt am Main › Germany
Sun Mar 23 1958,Austria,3-2,Italy,International Cup,Vienna › Austria
Wed Apr 2 1958,Czechoslovakia,3-2,Germany,Friendly,Prague › Czechoslovakia
Thu Apr 3 1958,Morocco,3-1,Libya,Friendly,Casablanca › Morocco
Sun Apr 6 1958,Uruguay,1-0,Argentina,Friendly,Montevideo › Uruguay
Sun Apr 13 1958,Belgium,2-7,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 13 1958,Spain,1-0,Portugal,Friendly,Madrid › Spain
Mon Apr 14 1958,Martinique,1-1,Guadeloupe,Friendly,Fort-de-France › Martinique
Wed Apr 16 1958,France,0-0,Switzerland,Friendly,Paris › France
Wed Apr 16 1958,Wales,1-1,Northern Ireland,British Championship,Cardiff › Wales
Sat Apr 19 1958,Scotland,0-4,England,British Championship,Glasgow › Scotland
Sun Apr 20 1958,Hungary,2-0,Yugoslavia,Friendly,Budapest › Hungary
Sun Apr 20 1958,Paraguay,1-0,Argentina,Friendly,Asunción › Paraguay
Tue Apr 22 1958,Zimbabwe,0-2,Zambia,Friendly,Salisbury › Southern Rhodesia
Wed Apr 23 1958,Netherlands,8-1,Curaçao,Friendly,Rotterdam › Netherlands
Sat Apr 26 1958,Argentina,2-0,Paraguay,Friendly,Avellaneda › Argentina
Wed Apr 30 1958,Argentina,2-0,Uruguay,Friendly,Buenos Aires › Argentina
Sat May 3 1958,Singapore,3-3,Malaysia,Friendly,Kallang › Singapore
Sun May 4 1958,Albania,1-1,German DR,Friendly,Tirana › Albania
Sun May 4 1958,Brazil,5-1,Paraguay,Copa Oswaldo Cruz,Rio de Janeiro › Brazil
Sun May 4 1958,Netherlands,1-2,Turkey,Friendly,Amsterdam › Netherlands
Sun May 4 1958,Singapore,0-3,Malaysia,Friendly,Kallang › Singapore
Sun May 4 1958,Trinidad and Tobago,1-0,Jamaica,Friendly,Port of Spain › Trinidad and Tobago
Wed May 7 1958,Brazil,0-0,Paraguay,Copa Oswaldo Cruz,São Paulo › Brazil
Wed May 7 1958,England,2-1,Portugal,Friendly,London › England
Wed May 7 1958,Scotland,1-1,Hungary,Friendly,Glasgow › Scotland
Wed May 7 1958,Sweden,3-2,Switzerland,Friendly,Helsingborg › Sweden
Fri May 9 1958,Philippines,1-2,Indonesia,Friendly,Manila › Philippines
Fri May 9 1958,Tunisia,4-1,Libya,Friendly,Tunis › Tunisia
Sun May 11 1958,Poland,2-2,Republic of Ireland,Friendly,Chorzów › Poland
Sun May 11 1958,Trinidad and Tobago,4-0,Jamaica,Friendly,Port of Spain › Trinidad and Tobago
Sun May 11 1958,Yugoslavia,5-0,England,Friendly,Belgrade › Yugoslavia
Tue May 13 1958,Philippines,0-3,Indonesia,Friendly,Manila › Philippines
Tue May 13 1958,Trinidad and Tobago,0-1,Jamaica,Friendly,Port of Spain › Trinidad and Tobago
Wed May 14 1958,Austria,3-1,Republic of Ireland,Friendly,Vienna › Austria
Wed May 14 1958,Brazil,4-0,Bulgaria,Friendly,Rio de Janeiro › Brazil
Wed May 14 1958,Hong Kong,2-1,Chinese Taipei,Friendly,Victoria › Hong Kong
Wed May 14 1958,Malaysia,4-2,Pakistan,Friendly,Kuala Lumpur › Malaya
Thu May 15 1958,Denmark,3-2,Curaçao,Friendly,Århus › Denmark
Sat May 17 1958,Singapore,4-4,Pakistan,Friendly,Kallang › Singapore
Sun May 18 1958,Brazil,3-1,Bulgaria,Friendly,São Paulo › Brazil
Sun May 18 1958,Russia,1-1,England,Friendly,Moscow › Soviet Union
Sun May 25 1958,Denmark,3-2,Poland,Friendly,Copenhagen › Denmark
Mon May 26 1958,Switzerland,0-2,Belgium,Friendly,Zürich › Switzerland
Wed May 28 1958,Norway,0-0,Netherlands,Friendly,Oslo › Norway
Sun Jun 1 1958,Poland,1-2,Scotland,Friendly,Warsaw › Poland
Wed Jun 4 1958,Hong Kong,2-2,Malaysia,Friendly,Victoria › Hong Kong
Sun Jun 8 1958,Argentina,1-3,Germany,FIFA World Cup,Malmö › Sweden
Sun Jun 8 1958,Austria,0-3,Brazil,FIFA World Cup,Uddevalla › Sweden
Sun Jun 8 1958,Czechoslovakia,0-1,Northern Ireland,FIFA World Cup,Halmstad › Sweden
Sun Jun 8 1958,England,2-2,Russia,FIFA World Cup,Gothenburg › Sweden
Sun Jun 8 1958,France,7-3,Paraguay,FIFA World Cup,Norrköping › Sweden
Sun Jun 8 1958,Hungary,1-1,Wales,FIFA World Cup,Sandviken › Sweden
Sun Jun 8 1958,Scotland,1-1,Yugoslavia,FIFA World Cup,Västerås › Sweden
Sun Jun 8 1958,Sweden,3-0,Mexico,FIFA World Cup,Solna › Sweden
Wed Jun 11 1958,Argentina,3-1,Northern Ireland,FIFA World Cup,Halmstad › Sweden
Wed Jun 11 1958,Austria,0-2,Russia,FIFA World Cup,Borås › Sweden
Wed Jun 11 1958,Brazil,0-0,England,FIFA World Cup,Gothenburg › Sweden
Wed Jun 11 1958,Czechoslovakia,2-2,Germany,FIFA World Cup,Helsingborg › Sweden
Wed Jun 11 1958,France,2-3,Yugoslavia,FIFA World Cup,Västerås › Sweden
Wed Jun 11 1958,Mexico,1-1,Wales,FIFA World Cup,Solna › Sweden
Wed Jun 11 1958,Paraguay,3-2,Scotland,FIFA World Cup,Norrköping › Sweden
Thu Jun 12 1958,Sweden,2-1,Hungary,FIFA World Cup,Solna › Sweden
Sun Jun 15 1958,Argentina,1-6,Czechoslovakia,FIFA World Cup,Helsingborg › Sweden
Sun Jun 15 1958,Austria,2-2,England,FIFA World Cup,Borås › Sweden
Sun Jun 15 1958,Brazil,2-0,Russia,FIFA World Cup,Gothenburg › Sweden
Sun Jun 15 1958,France,2-1,Scotland,FIFA World Cup,Örebro › Sweden
Sun Jun 15 1958,Germany,2-2,Northern Ireland,FIFA World Cup,Malmö › Sweden
Sun Jun 15 1958,Hungary,4-0,Mexico,FIFA World Cup,Sandviken › Sweden
Sun Jun 15 1958,Norway,2-0,Finland,Nordic Championship,Oslo › Norway
Sun Jun 15 1958,Paraguay,3-3,Yugoslavia,FIFA World Cup,Eskilstuna › Sweden
Sun Jun 15 1958,Sweden,0-0,Wales,FIFA World Cup,Solna › Sweden
Tue Jun 17 1958,Czechoslovakia,1-2,Northern Ireland,FIFA World Cup,Malmö › Sweden
Tue Jun 17 1958,England,0-1,Russia,FIFA World Cup,Gothenburg › Sweden
Tue Jun 17 1958,Hungary,1-2,Wales,FIFA World Cup,Solna › Sweden
Thu Jun 19 1958,Brazil,1-0,Wales,FIFA World Cup,Gothenburg › Sweden
Thu Jun 19 1958,France,4-0,Northern Ireland,FIFA World Cup,Norrköping › Sweden
Thu Jun 19 1958,Germany,1-0,Yugoslavia,FIFA World Cup,Malmö › Sweden
Thu Jun 19 1958,Sweden,2-0,Russia,FIFA World Cup,Solna › Sweden
Tue Jun 24 1958,Brazil,5-2,France,FIFA World Cup,Solna › Sweden
Tue Jun 24 1958,Sweden,3-1,Germany,FIFA World Cup,Gothenburg › Sweden
Sat Jun 28 1958,France,6-3,Germany,FIFA World Cup,Gothenburg › Sweden
