Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 1 1969,Mexico,2-3,Italy,Friendly,Mexico City › Mexico
Sun Jan 5 1969,Ethiopia,7-0,Somalia,Friendly,Addis Abeba › Ethiopia
Sun Jan 5 1969,Mexico,1-1,Italy,Friendly,Mexico City › Mexico
Sun Jan 5 1969,Senegal,2-1,Morocco,FIFA World Cup qualification,Dakar › Senegal
Mon Jan 6 1969,Kenya,2-1,Tanzania,Friendly,Addis Abeba › Ethiopia
Tue Jan 7 1969,Somalia,1-7,Uganda,Friendly,Addis Abeba › Ethiopia
Wed Jan 8 1969,Kenya,0-1,Sudan,Friendly,Addis Abeba › Ethiopia
Fri Jan 10 1969,Sudan,3-0,Tanzania,Friendly,Addis Abeba › Ethiopia
Sat Jan 11 1969,Ethiopia,4-0,Uganda,Friendly,Addis Abeba › Ethiopia
Sun Jan 12 1969,Bermuda,1-5,Denmark,Friendly,Hamilton › Bermuda
Sun Jan 12 1969,Ethiopia,0-1,Sudan,Friendly,Addis Abeba › Ethiopia
Wed Jan 15 1969,England,1-1,Romania,Friendly,London › England
Wed Jan 15 1969,Suriname,2-1,Denmark,Friendly,Paramaribo › Suriname
Fri Jan 17 1969,Saudi Arabia,1-2,Turkey,Friendly,Riyadh › Saudi Arabia
Sun Jan 19 1969,Benin,1-1,Niger,Friendly,Cotonou › Dahomey
Wed Jan 22 1969,Congo,1-0,Senegal,Friendly,Brazzaville › Congo
Wed Jan 22 1969,Mexico,3-0,Denmark,Friendly,Mexico City › Mexico
Fri Jan 24 1969,Senegal,3-2,Cameroon,Friendly,Dakar › Senegal
Sun Jan 26 1969,DR Congo,4-0,Senegal,Friendly,Kinshasa › DR Congo
Sun Jan 26 1969,Libya,2-0,Ethiopia,FIFA World Cup qualification,Tripoli › Libya
Thu Jan 30 1969,DR Congo,2-1,Cameroon,Friendly,Kinshasa › DR Congo
Sat Feb 1 1969,Malawi,2-2,Zimbabwe,Friendly,Zomba › Malawi
Sun Feb 2 1969,Guinea,1-1,Sierra Leone,Friendly,Conakry › Guinea
Sun Feb 2 1969,Uganda,2-1,Cameroon,African Cup of Nations qualification,Kampala › Uganda
Tue Feb 4 1969,Mexico,1-0,Colombia,Friendly,León › Mexico
Thu Feb 6 1969,Haiti,1-2,Jamaica,Friendly,Port-au-Prince › Haiti
Sat Feb 8 1969,Haiti,3-0,Jamaica,Friendly,Port-au-Prince › Haiti
Sat Feb 8 1969,Zimbabwe,4-0,Malawi,Friendly,Salisbury › Rhodesia
Sun Feb 9 1969,Ethiopia,5-1,Libya,FIFA World Cup qualification,Addis Abeba › Ethiopia
Sun Feb 9 1969,Morocco,1-4,Hungary,Friendly,Casablanca › Morocco
Sun Feb 9 1969,Zimbabwe,1-1,Malawi,Friendly,Salisbury › Rhodesia
Wed Feb 12 1969,France,2-2,Hungary,Friendly,Lyon › France
Thu Feb 13 1969,Morocco,2-0,Senegal,FIFA World Cup qualification,Las Palmas › Spain
Sun Feb 16 1969,Kenya,0-1,Tanzania,African Cup of Nations qualification,Nairobi › Kenya
Thu Feb 20 1969,Colombia,1-3,Russia,Friendly,Bogotá › Colombia
Sun Feb 23 1969,Belgium,2-1,Spain,FIFA World Cup qualification,Liège › Belgium
Sun Feb 23 1969,Guatemala,1-1,Haiti,FIFA World Cup qualification,Guatemala › Guatemala
Wed Feb 26 1969,Yugoslavia,2-1,Sweden,Friendly,Split › Yugoslavia
Sat Mar 1 1969,Tanzania,1-1,Kenya,African Cup of Nations qualification,Dar es Salaam › Tanzania
Fri Mar 7 1969,Iran,2-1,Iraq,Friendly,Teheran › Iran
Sun Mar 9 1969,Algeria,2-0,Morocco,African Cup of Nations qualification,Algiers › Algeria
Mon Mar 10 1969,Iraq,1-2,Pakistan,Friendly,Teheran › Iran
Wed Mar 12 1969,England,5-0,France,Friendly,London › England
Wed Mar 12 1969,Iran,9-1,Pakistan,Friendly,Teheran › Iran
Wed Mar 12 1969,Israel,3-3,Greece,Friendly,Jaffa › Israel
Wed Mar 19 1969,Argentina,1-1,Paraguay,Friendly,Rosario › Argentina
Tue Mar 25 1969,Greece,1-0,Cyprus,Friendly,Athens › Greece
Wed Mar 26 1969,Germany,1-1,Wales,Friendly,Frankfurt am Main › Germany
Wed Mar 26 1969,Netherlands,4-0,Luxembourg,FIFA World Cup qualification,Rotterdam › Netherlands
Wed Mar 26 1969,Spain,1-0,Switzerland,Friendly,Valencia › Spain
Sat Mar 29 1969,German DR,2-2,Italy,FIFA World Cup qualification,Berlin › German DR
Sun Apr 6 1969,Portugal,0-0,Mexico,Friendly,Oeiras › Portugal
Mon Apr 7 1969,Brazil,2-1,Peru,Friendly,Porto Alegre › Brazil
Wed Apr 9 1969,Brazil,3-2,Peru,Friendly,Rio de Janeiro › Brazil
Wed Apr 9 1969,Paraguay,0-0,Argentina,Friendly,Asunción › Paraguay
Thu Apr 10 1969,Luxembourg,2-1,Mexico,Friendly,Luxembourg › Luxembourg
Wed Apr 16 1969,Belgium,2-0,Mexico,Friendly,Brussels › Belgium
Wed Apr 16 1969,German DR,2-1,Wales,FIFA World Cup qualification,Dresden › German DR
Wed Apr 16 1969,Greece,2-2,Romania,FIFA World Cup qualification,Piraeus › Greece
Wed Apr 16 1969,Netherlands,2-0,Czechoslovakia,Friendly,Rotterdam › Netherlands
Wed Apr 16 1969,Portugal,0-2,Switzerland,FIFA World Cup qualification,Lisbon › Portugal
Wed Apr 16 1969,Scotland,1-1,Germany,FIFA World Cup qualification,Glasgow › Scotland
Sat Apr 19 1969,Cyprus,1-2,Austria,FIFA World Cup qualification,Nicosia › Cyprus
Sun Apr 20 1969,Haiti,2-0,United States,FIFA World Cup qualification,Port-au-Prince › Haiti
Sun Apr 20 1969,Poland,8-1,Luxembourg,FIFA World Cup qualification,Cracow › Poland
Wed Apr 23 1969,Bulgaria,2-1,Luxembourg,FIFA World Cup qualification,Sofia › Bulgaria
Wed Apr 23 1969,Israel,1-1,Austria,Friendly,Ramat-Gan › Israel
Wed Apr 23 1969,Spain,0-0,Mexico,Friendly,Seville › Spain
Sat Apr 26 1969,French Guiana,1-2,Suriname,Friendly,Cayenne › French Guiana
Sun Apr 27 1969,Malta,1-3,Austria,Friendly,Gżira › Malta
Sun Apr 27 1969,Tunisia,0-0,Morocco,FIFA World Cup qualification,Tunis › Tunisia
Wed Apr 30 1969,France,1-0,Romania,Friendly,Paris › France
Wed Apr 30 1969,Spain,2-1,Yugoslavia,FIFA World Cup qualification,Barcelona › Spain
Wed Apr 30 1969,Turkey,1-3,Poland,Friendly,Ankara › Turkey
Thu May 1 1969,Sweden,1-0,Mexico,Friendly,Malmö › Sweden
Sat May 3 1969,Northern Ireland,1-3,England,British Championship,Belfast › Northern Ireland
Sat May 3 1969,Wales,3-5,Scotland,British Championship,Wrexham › Wales
Sun May 4 1969,Ethiopia,1-1,Sudan,FIFA World Cup qualification,Addis Abeba › Ethiopia
Sun May 4 1969,Republic of Ireland,1-2,Czechoslovakia,FIFA World Cup qualification,Dublin › Republic of Ireland
Sun May 4 1969,Portugal,2-2,Greece,FIFA World Cup qualification,Porto › Portugal
Tue May 6 1969,Denmark,3-1,Mexico,Friendly,Copenhagen › Denmark
Tue May 6 1969,Scotland,1-1,Northern Ireland,British Championship,Glasgow › Scotland
Tue May 6 1969,Togo,1-1,Guinea,African Cup of Nations qualification,Lomé › Togo
Wed May 7 1969,England,2-1,Wales,British Championship,London › England
Wed May 7 1969,Netherlands,1-0,Poland,FIFA World Cup qualification,Rotterdam › Netherlands
Thu May 8 1969,Colombia,1-3,Peru,Friendly,Bogotá › Colombia
Thu May 8 1969,Norway,0-2,Mexico,Friendly,Oslo › Norway
Sat May 10 1969,England,4-1,Scotland,British Championship,London › England
Sat May 10 1969,Germany,1-0,Austria,FIFA World Cup qualification,Nuremberg › Germany
Sat May 10 1969,Nigeria,2-1,Ghana,FIFA World Cup qualification,Ibadan › Nigeria
Sat May 10 1969,Northern Ireland,0-0,Wales,British Championship,Belfast › Northern Ireland
Sun May 11 1969,Sudan,3-1,Ethiopia,FIFA World Cup qualification,Khartoum › Sudan
Sun May 11 1969,United States,0-1,Haiti,FIFA World Cup qualification,San Diego › United States
Wed May 14 1969,El Salvador,1-4,Peru,Friendly,San Salvador › El Salvador
Wed May 14 1969,Switzerland,0-1,Romania,FIFA World Cup qualification,Lausanne › Switzerland
Sat May 17 1969,Scotland,8-0,Cyprus,FIFA World Cup qualification,Glasgow › Scotland
Sun May 18 1969,Ghana,1-1,Nigeria,FIFA World Cup qualification,Accra › Ghana
Sun May 18 1969,Morocco,0-0,Tunisia,FIFA World Cup qualification,Casablanca › Morocco
Tue May 20 1969,Mexico,0-1,Peru,Friendly,Mexico City › Mexico
Wed May 21 1969,Germany,12-0,Cyprus,FIFA World Cup qualification,Essen › Germany
Thu May 22 1969,Guinea,6-2,Gambia,Friendly,Conakry › Guinea
Thu May 22 1969,Mexico,3-0,Peru,Friendly,León › Mexico
Thu May 22 1969,Sweden,4-0,Finland,Nordic Championship,Växjö › Sweden
Sat May 24 1969,Italy,0-0,Bulgaria,Friendly,Turin › Italy
Sun May 25 1969,Hungary,2-0,Czechoslovakia,FIFA World Cup qualification,Budapest › Hungary
Tue May 27 1969,Denmark,2-0,Republic of Ireland,FIFA World Cup qualification,Copenhagen › Denmark
Wed May 28 1969,Chile,1-1,Argentina,Friendly,Santiago › Chile
Sun Jun 1 1969,Mexico,0-0,England,Friendly,Mexico City › Mexico
Sun Jun 1 1969,Sweden,4-2,Norway,Nordic Championship,Gothenburg › Sweden
Tue Jun 3 1969,Mexico,0-4,England,Friendly,Guadalajara › Mexico
Wed Jun 4 1969,Finland,1-5,Yugoslavia,FIFA World Cup qualification,Helsinki › Finland
Sun Jun 8 1969,Honduras,1-0,El Salvador,FIFA World Cup qualification,Tegucigalpa › Honduras
Sun Jun 8 1969,Republic of Ireland,1-2,Hungary,FIFA World Cup qualification,Dublin › Republic of Ireland
Sun Jun 8 1969,Paraguay,0-1,Chile,Friendly,Asunción › Paraguay
Sun Jun 8 1969,Uruguay,1-2,England,Friendly,Montevideo › Uruguay
Wed Jun 11 1969,Argentina,2-1,Chile,Friendly,La Plata › Argentina
Thu Jun 12 1969,Brazil,2-1,England,Friendly,Rio de Janeiro › Brazil
Fri Jun 13 1969,Tunisia,2-2,Morocco,FIFA World Cup qualification,Marseille › France
Sun Jun 15 1969,Bulgaria,4-1,Poland,FIFA World Cup qualification,Sofia › Bulgaria
Sun Jun 15 1969,Colombia,3-3,Chile,Friendly,Bogotá › Colombia
Sun Jun 15 1969,Denmark,3-2,Hungary,FIFA World Cup qualification,Copenhagen › Denmark
Sun Jun 15 1969,El Salvador,3-0,Honduras,FIFA World Cup qualification,San Salvador › El Salvador
Wed Jun 18 1969,Peru,1-1,Colombia,Friendly,Lima › Peru
Thu Jun 19 1969,Norway,2-5,Sweden,FIFA World Cup qualification,Oslo › Norway
Sun Jun 22 1969,Ecuador,4-1,Colombia,Friendly,Guayaquil › Ecuador
Sun Jun 22 1969,German DR,0-1,Chile,Friendly,Magdeburg › German DR
Mon Jun 23 1969,Iceland,2-1,Bermuda,Friendly,Reykjavík › Iceland
Wed Jun 25 1969,Denmark,0-1,Sweden,Nordic Championship,Copenhagen › Denmark
Wed Jun 25 1969,Finland,2-0,Spain,FIFA World Cup qualification,Helsinki › Finland
Wed Jun 25 1969,German DR,2-1,Chile,Friendly,Halle › German DR
Fri Jun 27 1969,Honduras,2-3,El Salvador,FIFA World Cup qualification,Mexico City › Mexico
