Date,Team 1,Score,Team 2,Tournament,City
Sat Jan 4 1997,Chile,7-0,Armenia,Friendly,Viña del Mar › Chile
Sat Jan 4 1997,Tunisia,0-0,Algeria,Friendly,Sfax › Tunisia
Sun Jan 5 1997,Egypt,2-0,Belarus,Friendly,Alexandria › Egypt
Mon Jan 6 1997,Paraguay,2-0,Armenia,Friendly,Asunción › Paraguay
Mon Jan 6 1997,Togo,4-0,Ghana,Friendly,Lomé › Togo
Wed Jan 8 1997,Ivory Coast,2-1,Guinea,Friendly,Bouaké › Ivory Coast
Sat Jan 11 1997,Namibia,0-0,Liberia,FIFA World Cup qualification,Windhoek › Namibia
Sat Jan 11 1997,Sierra Leone,1-0,Gabon,FIFA World Cup qualification,Freetown › Sierra Leone
Sat Jan 11 1997,Zambia,0-0,South Africa,FIFA World Cup qualification,Lusaka › Zambia
Sun Jan 12 1997,Bolivia,2-0,Ecuador,FIFA World Cup qualification,La Paz › Bolivia
Sun Jan 12 1997,Burkina Faso,0-2,Guinea,FIFA World Cup qualification,Ouagadougou › Burkina Faso
Sun Jan 12 1997,Cameroon,0-0,Angola,FIFA World Cup qualification,Yaoundé › Cameroon
Sun Jan 12 1997,DR Congo,1-1,Congo,FIFA World Cup qualification,Kinshasa › Zaïre
Sun Jan 12 1997,Ghana,2-2,Morocco,FIFA World Cup qualification,Kumasi › Ghana
Sun Jan 12 1997,Kenya,1-1,Nigeria,FIFA World Cup qualification,Nairobi › Kenya
Sun Jan 12 1997,Lebanon,2-2,Algeria,Friendly,Beirut › Lebanon
Sun Jan 12 1997,Peru,2-1,Chile,FIFA World Cup qualification,Lima › Peru
Sun Jan 12 1997,Tunisia,1-0,Egypt,FIFA World Cup qualification,Tunis › Tunisia
Sun Jan 12 1997,Uruguay,0-0,Argentina,FIFA World Cup qualification,Montevideo › Uruguay
Sun Jan 12 1997,Venezuela,0-2,Paraguay,FIFA World Cup qualification,Mérida › Venezuela
Sun Jan 12 1997,Zimbabwe,3-0,Togo,FIFA World Cup qualification,Harare › Zimbabwe
Fri Jan 17 1997,United States,0-1,Peru,USA Cup,San Diego › United States
Sat Jan 18 1997,Australia,1-0,New Zealand,Friendly,Melbourne › Australia
Sat Jan 18 1997,South Korea,1-0,Norway,Friendly,Melbourne › Australia
Sun Jan 19 1997,Benin,1-1,Togo,Friendly,Cotonou › Benin
Sun Jan 19 1997,Mozambique,1-2,Zimbabwe,Friendly,Maputo › Mozambique
Sun Jan 19 1997,United States,0-2,Mexico,USA Cup,Pasadena › United States
Wed Jan 22 1997,Australia,2-1,South Korea,Friendly,Brisbane › Australia
Wed Jan 22 1997,Israel,1-1,Greece,Friendly,Jerusalem › Israel
Wed Jan 22 1997,Italy,2-0,Northern Ireland,Friendly,Palermo › Italy
Wed Jan 22 1997,Mexico,0-0,Peru,USA Cup,Pasadena › United States
Wed Jan 22 1997,New Zealand,0-3,Norway,Friendly,Brisbane › Australia
Wed Jan 22 1997,Portugal,0-2,France,Friendly,Braga › Portugal
Sat Jan 25 1997,Australia,1-0,Norway,Friendly,Sydney › Australia
Sat Jan 25 1997,South Korea,3-1,New Zealand,Friendly,Sydney › Australia
Sat Jan 25 1997,Malawi,0-2,Zambia,African Cup of Nations qualification,Blantyre › Malawi
Sun Jan 26 1997,Cameroon,4-0,Namibia,African Cup of Nations qualification,Yaoundé › Cameroon
Sun Jan 26 1997,Chile,3-2,Honduras,Friendly,Santiago › Chile
Sun Jan 26 1997,Guinea,1-0,Tunisia,African Cup of Nations qualification,Conakry › Guinea
Sun Jan 26 1997,Ivory Coast,1-0,Benin,African Cup of Nations qualification,Bouaké › Ivory Coast
Sun Jan 26 1997,Lebanon,2-0,Estonia,Friendly,Beirut › Lebanon
Sun Jan 26 1997,Liberia,1-2,Togo,African Cup of Nations qualification,Accra › Ghana
Sun Jan 26 1997,Mali,1-0,Algeria,African Cup of Nations qualification,Bamako › Mali
Sun Jan 26 1997,Mozambique,3-0,Mauritius,African Cup of Nations qualification,Maputo › Mozambique
Sun Jan 26 1997,Eswatini,3-1,Lesotho,Friendly,Lobamba › Eswatini
