Date,Team 1,Score,Team 2,Tournament,City
Thu Jan 1 1976,Libya,1-0,Sudan,Friendly,Tripoli › Libya
Thu Jan 1 1976,Thailand,0-0,Burma,King's Cup,Bangkok › Thailand
Fri Jan 2 1976,South Korea,4-0,Malaysia,King's Cup,Bangkok › Thailand
Sun Jan 4 1976,Burma,0-1,South Korea,King's Cup,Bangkok › Thailand
Fri Jan 9 1976,Saudi Arabia,1-3,Algeria,Friendly,Riyadh › Saudi Arabia
Wed Jan 14 1976,Gambia,3-1,Guinea-Bissau,Friendly,Banjul › Gambia
Thu Jan 15 1976,Gambia,0-3,Mali,Friendly,Banjul › Gambia
Thu Jan 15 1976,Mauritania,1-4,Senegal,Friendly,Banjul › Gambia
Fri Jan 16 1976,Guinea,2-2,Senegal,Friendly,Banjul › Gambia
Fri Jan 16 1976,Guinea-Bissau,1-1,Mali,Friendly,Banjul › Gambia
Sat Jan 17 1976,Guinea,4-0,Mauritania,Friendly,Banjul › Gambia
Sun Jan 18 1976,Guinea,0-1,Mali,Friendly,Banjul › Gambia
Sun Jan 25 1976,Chad,4-0,Gabon,Friendly,N'Djamena › Chad
Sun Jan 25 1976,Japan,1-3,Bulgaria,Friendly,Tokyo › Japan
Wed Jan 28 1976,Japan,1-1,Bulgaria,Friendly,Osaka › Japan
Sun Feb 1 1976,Japan,0-3,Bulgaria,Friendly,Tokyo › Japan
Wed Feb 4 1976,Israel,0-1,Denmark,Friendly,Jaffa › Israel
Sat Feb 7 1976,Montenegro,2-1,Russia,Friendly,Podgorica › Yugoslavia
Sun Feb 8 1976,Congo,3-2,Angola,Friendly,Brazzaville › Congo
Sun Feb 8 1976,Iraq,0-0,Turkey,Friendly,Baghdad › Iraq
Sun Feb 8 1976,Kenya,1-1,Nigeria,Friendly,Nairobi › Kenya
Sun Feb 8 1976,Malawi,4-1,Lesotho,Friendly,Zomba › Malawi
Mon Feb 9 1976,El Salvador,1-2,Hungary,Friendly,San Salvador › El Salvador
Sat Feb 14 1976,Zambia,1-3,Nigeria,Friendly,Chingola › Zambia
Sun Feb 15 1976,Angola,1-1,Congo,Friendly,Luanda › Angola
Tue Feb 17 1976,Iraq,1-1,German DR,Friendly,Baghdad › Iraq
Wed Feb 18 1976,Tunisia,2-1,Yugoslavia,Friendly,Tunis › Tunisia
Fri Feb 20 1976,Nigeria,0-0,Tanzania,Friendly,Lagos › Nigeria
Fri Feb 20 1976,Saudi Arabia,0-2,Morocco,Friendly,Riyadh › Saudi Arabia
Sun Feb 22 1976,Gabon,0-1,Chad,Friendly,Libreville › Gabon
Tue Feb 24 1976,Algeria,1-2,Yugoslavia,Friendly,Algiers › Algeria
Wed Feb 25 1976,Paraguay,2-3,Argentina,Copa Félix Bogado,Asunción › Paraguay
Wed Feb 25 1976,Uruguay,1-2,Brazil,Copa Rio Branco,Montevideo › Uruguay
Fri Feb 27 1976,Argentina,1-2,Brazil,Copa Roca,Buenos Aires › Argentina
Sat Feb 28 1976,Germany,8-0,Malta,UEFA Euro qualification,Dortmund › Germany
Sat Feb 28 1976,Tunisia,1-1,Sweden,Friendly,Tunis › Tunisia
Sun Feb 29 1976,Egypt,1-1,Guinea,African Cup of Nations,Addis Abeba › Ethiopia
Sun Feb 29 1976,Ethiopia,2-0,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Sun Feb 29 1976,New Zealand,0-1,Australia,Friendly,Auckland › New Zealand
Mon Mar 1 1976,Morocco,2-2,Sudan,African Cup of Nations,Dire Dawa › Ethiopia
Mon Mar 1 1976,Nigeria,4-2,DR Congo,African Cup of Nations,Dire Dawa › Ethiopia
Tue Mar 2 1976,Algeria,0-2,Sweden,Friendly,Algiers › Algeria
Tue Mar 2 1976,Australia,3-1,New Zealand,Friendly,Melbourne › Australia
Wed Mar 3 1976,Egypt,2-1,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Wed Mar 3 1976,Ethiopia,1-2,Guinea,African Cup of Nations,Addis Abeba › Ethiopia
Wed Mar 3 1976,Israel,1-1,Northern Ireland,Friendly,Jaffa › Israel
Thu Mar 4 1976,Morocco,1-0,DR Congo,African Cup of Nations,Dire Dawa › Ethiopia
Thu Mar 4 1976,Nigeria,1-0,Sudan,African Cup of Nations,Dire Dawa › Ethiopia
Fri Mar 5 1976,Ethiopia,1-1,Egypt,African Cup of Nations,Addis Abeba › Ethiopia
Fri Mar 5 1976,Guinea,2-1,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Sat Mar 6 1976,Morocco,3-1,Nigeria,African Cup of Nations,Dire Dawa › Ethiopia
