Date,Team 1,Score,Team 2,Tournament,City
Fri Jan 16 1953,Egypt,1-3,Yugoslavia,Friendly,Cairo › Egypt
Mon Feb 9 1953,Gambia,2-1,Sierra Leone,Friendly,Banjul › Gambia
Sun Feb 22 1953,Peru,0-1,Bolivia,Copa América,Lima › Peru
Wed Feb 25 1953,Bolivia,0-2,Uruguay,Copa América,Lima › Peru
Wed Feb 25 1953,Chile,0-3,Paraguay,Copa América,Lima › Peru
Sat Feb 28 1953,Peru,1-0,Ecuador,Copa América,Lima › Peru
Sun Mar 1 1953,Bolivia,1-8,Brazil,Copa América,Lima › Peru
Sun Mar 1 1953,Chile,3-2,Uruguay,Copa América,Lima › Peru
Wed Mar 4 1953,Ecuador,0-0,Paraguay,Copa América,Lima › Peru
Wed Mar 4 1953,Peru,0-0,Chile,Copa América,Lima › Peru
Sat Mar 7 1953,Netherlands,1-2,Denmark,Friendly,Rotterdam › Netherlands
Sun Mar 8 1953,Bolivia,1-1,Ecuador,Copa América,Lima › Peru
Sun Mar 8 1953,Costa Rica,5-1,El Salvador,CCCF Championship,San José › Costa Rica
Sun Mar 8 1953,Honduras,2-1,Nicaragua,CCCF Championship,San José › Costa Rica
Sun Mar 8 1953,Peru,2-2,Paraguay,Copa América,Lima › Peru
Mon Mar 9 1953,Guatemala,1-1,Curaçao,CCCF Championship,San José › Costa Rica
Tue Mar 10 1953,Costa Rica,3-0,Panama,CCCF Championship,San José › Costa Rica
Tue Mar 10 1953,El Salvador,4-1,Nicaragua,CCCF Championship,San José › Costa Rica
Wed Mar 11 1953,Curaçao,8-0,Nicaragua,CCCF Championship,San José › Costa Rica
Wed Mar 11 1953,Guatemala,1-0,Honduras,CCCF Championship,San José › Costa Rica
Thu Mar 12 1953,Brazil,2-0,Ecuador,Copa América,Lima › Peru
Thu Mar 12 1953,Panama,2-4,Curaçao,CCCF Championship,San José › Costa Rica
Thu Mar 12 1953,Paraguay,2-2,Uruguay,Copa América,Lima › Peru
Fri Mar 13 1953,Costa Rica,4-1,Honduras,CCCF Championship,San José › Costa Rica
Fri Mar 13 1953,Guatemala,3-2,El Salvador,CCCF Championship,San José › Costa Rica
Sat Mar 14 1953,Panama,0-2,Nicaragua,CCCF Championship,San José › Costa Rica
Sun Mar 15 1953,Brazil,1-0,Uruguay,Copa América,Lima › Peru
Sun Mar 15 1953,Costa Rica,1-0,Curaçao,CCCF Championship,San José › Costa Rica
Sun Mar 15 1953,El Salvador,0-3,Honduras,CCCF Championship,San José › Costa Rica
Mon Mar 16 1953,Bolivia,1-2,Paraguay,Copa América,Lima › Peru
Tue Mar 17 1953,Costa Rica,3-0,Nicaragua,CCCF Championship,San José › Costa Rica
Tue Mar 17 1953,Panama,2-2,Guatemala,CCCF Championship,San José › Costa Rica
Thu Mar 19 1953,Chile,3-0,Ecuador,Copa América,Lima › Peru
Thu Mar 19 1953,Curaçao,3-4,Honduras,CCCF Championship,San José › Costa Rica
