Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 4 1989,Israel,0-2,Netherlands,Friendly,Ramat-Gan › Israel
Fri Jan 6 1989,Algeria,3-0,Zimbabwe,FIFA World Cup qualification,Annaba › Algeria
Fri Jan 6 1989,Egypt,2-0,Liberia,FIFA World Cup qualification,Cairo › Egypt
Fri Jan 6 1989,Oman,1-1,Iraq,FIFA World Cup qualification,Muscat › Oman
Fri Jan 6 1989,Pakistan,0-1,Kuwait,FIFA World Cup qualification,Islamabad › Pakistan
Fri Jan 6 1989,Qatar,1-0,Jordan,FIFA World Cup qualification,Doha › Qatar
Sat Jan 7 1989,Kenya,1-1,Malawi,FIFA World Cup qualification,Nairobi › Kenya
Sat Jan 7 1989,Nigeria,1-0,Gabon,FIFA World Cup qualification,Enugu › Nigeria
Sun Jan 8 1989,Cameroon,1-1,Angola,FIFA World Cup qualification,Yaoundé › Cameroon
Sun Jan 8 1989,DR Congo,3-1,Tunisia,FIFA World Cup qualification,Kinshasa › Zaïre
Sun Jan 8 1989,Ivory Coast,1-0,Libya,FIFA World Cup qualification,Abidjan › Ivory Coast
Sun Jan 8 1989,Morocco,1-0,Zambia,FIFA World Cup qualification,Rabat › Morocco
Wed Jan 11 1989,Egypt,2-1,Finland,Friendly,Al-Mahalla al-Kubra › Egypt
Wed Jan 11 1989,Malta,1-2,Israel,Friendly,Attard › Malta
Fri Jan 13 1989,Egypt,2-1,Finland,Friendly,Cairo › Egypt
Fri Jan 13 1989,Jordan,0-1,Iraq,FIFA World Cup qualification,Amman › Jordan
Fri Jan 13 1989,Kuwait,3-2,United Arab Emirates,FIFA World Cup qualification,Kuwait City › Kuwait
Fri Jan 13 1989,Oman,0-0,Qatar,FIFA World Cup qualification,Muscat › Oman
Wed Jan 18 1989,Albania,1-1,Greece,Friendly,Tirana › Albania
Fri Jan 20 1989,Iran,2-2,Japan,Friendly,Teheran › Iran
Fri Jan 20 1989,Jordan,2-0,Oman,FIFA World Cup qualification,Amman › Jordan
Fri Jan 20 1989,Qatar,1-0,Iraq,FIFA World Cup qualification,Doha › Qatar
Fri Jan 20 1989,United Arab Emirates,5-0,Pakistan,FIFA World Cup qualification,Sharjah › United Arab Emirates
Sat Jan 21 1989,Malawi,1-1,Egypt,FIFA World Cup qualification,Lilongwe › Malawi
Sun Jan 22 1989,Angola,2-2,Nigeria,FIFA World Cup qualification,Luanda › Angola
Sun Jan 22 1989,Gabon,1-3,Cameroon,FIFA World Cup qualification,Libreville › Gabon
Sun Jan 22 1989,Liberia,0-0,Kenya,FIFA World Cup qualification,Monrovia › Liberia
Sun Jan 22 1989,Malta,0-2,Spain,FIFA World Cup qualification,Attard › Malta
Sun Jan 22 1989,Tunisia,2-1,Morocco,FIFA World Cup qualification,Tunis › Tunisia
Sun Jan 22 1989,Zambia,4-2,DR Congo,FIFA World Cup qualification,Lusaka › Zambia
Sun Jan 22 1989,Zimbabwe,0-0,Ivory Coast,FIFA World Cup qualification,Harare › Zimbabwe
Wed Jan 25 1989,Greece,1-2,Portugal,Friendly,Athens › Greece
Fri Jan 27 1989,India,1-2,North Korea,Nehru Cup,Margao › India
Fri Jan 27 1989,Iraq,3-1,Oman,FIFA World Cup qualification,Baghdad › Iraq
Fri Jan 27 1989,Jordan,1-1,Qatar,FIFA World Cup qualification,Amman › Jordan
Fri Jan 27 1989,Kuwait,2-0,Pakistan,FIFA World Cup qualification,Kuwait City › Kuwait
Sat Jan 28 1989,Thailand,1-0,Malaysia,King's Cup,Bangkok › Thailand
Sun Jan 29 1989,Ecuador,1-0,Chile,Friendly,Guayaquil › Ecuador
Sun Jan 29 1989,Senegal,1-1,DR Congo,Friendly,Dakar › Senegal
Mon Jan 30 1989,Thailand,3-0,Indonesia,King's Cup,Bangkok › Thailand
Tue Jan 31 1989,Senegal,2-1,DR Congo,Friendly,Dakar › Senegal
Wed Feb 1 1989,Chile,0-0,Peru,Friendly,Armenia › Colombia
Fri Feb 3 1989,Colombia,1-0,Peru,Friendly,Pereira › Colombia
Fri Feb 3 1989,Indonesia,1-3,Malaysia,King's Cup,Bangkok › Thailand
Fri Feb 3 1989,Iraq,4-0,Jordan,FIFA World Cup qualification,Baghdad › Iraq
Fri Feb 3 1989,Qatar,3-0,Oman,FIFA World Cup qualification,Doha › Qatar
Fri Feb 3 1989,United Arab Emirates,1-0,Kuwait,FIFA World Cup qualification,Sharjah › United Arab Emirates
Sat Feb 4 1989,China PR,3-1,North Korea,King's Cup,Bangkok › Thailand
Sun Feb 5 1989,Colombia,1-0,Chile,Friendly,Armenia › Colombia
Tue Feb 7 1989,Republic of Ireland,0-0,France,Friendly,Dublin › Republic of Ireland
Wed Feb 8 1989,Algeria,2-0,Finland,Malta International Tournament,Attard › Malta
Wed Feb 8 1989,Cyprus,2-3,Scotland,FIFA World Cup qualification,Limassol › Cyprus
Wed Feb 8 1989,Greece,1-2,England,Friendly,Athens › Greece
Wed Feb 8 1989,Israel,3-3,Wales,Friendly,Ramat-Gan › Israel
Wed Feb 8 1989,Malta,0-2,Denmark,Malta International Tournament,Attard › Malta
Wed Feb 8 1989,Northern Ireland,0-2,Spain,FIFA World Cup qualification,Belfast › Northern Ireland
Wed Feb 8 1989,Thailand,2-0,China PR,King's Cup,Bangkok › Thailand
Fri Feb 10 1989,Denmark,0-0,Finland,Malta International Tournament,Attard › Malta
Fri Feb 10 1989,Iraq,2-2,Qatar,FIFA World Cup qualification,Baghdad › Iraq
Fri Feb 10 1989,Malta,0-1,Algeria,Malta International Tournament,Attard › Malta
Fri Feb 10 1989,Oman,0-2,Jordan,FIFA World Cup qualification,Muscat › Oman
Fri Feb 10 1989,Pakistan,1-4,United Arab Emirates,FIFA World Cup qualification,Islamabad › Pakistan
Sun Feb 12 1989,Algeria,0-0,Denmark,Malta International Tournament,Attard › Malta
Sun Feb 12 1989,Guatemala,0-1,Poland,Friendly,Guatemala › Guatemala
Sun Feb 12 1989,Hong Kong,0-0,China PR,Lunar New Year Cup,So Kon Po › Hong Kong
Sun Feb 12 1989,Malta,0-0,Finland,Malta International Tournament,Attard › Malta
Mon Feb 13 1989,Egypt,0-4,German DR,Friendly,Cairo › Egypt
Tue Feb 14 1989,Mexico,3-1,Poland,Friendly,Puebla › Mexico
Wed Feb 15 1989,Portugal,1-1,Belgium,FIFA World Cup qualification,Lisbon › Portugal
Sun Feb 19 1989,Thailand,1-0,Bangladesh,FIFA World Cup qualification,Bangkok › Thailand
Tue Feb 21 1989,Bulgaria,1-2,Russia,Friendly,Sofia › Bulgaria
Tue Feb 21 1989,Costa Rica,1-1,El Salvador,Friendly,Los Angeles › United States
Tue Feb 21 1989,Guatemala,1-2,Mexico,Friendly,Los Angeles › United States
Wed Feb 22 1989,Greece,4-2,Norway,Friendly,Athens › Greece
Wed Feb 22 1989,Italy,1-0,Denmark,Friendly,Pisa › Italy
Thu Feb 23 1989,China PR,2-0,Bangladesh,FIFA World Cup qualification,Guangzhou › China PR
Thu Feb 23 1989,Costa Rica,2-3,Guatemala,Friendly,Los Angeles › United States
Thu Feb 23 1989,El Salvador,0-2,Mexico,Friendly,Los Angeles › United States
Thu Feb 23 1989,Thailand,0-3,Iran,FIFA World Cup qualification,Bangkok › Thailand
Mon Feb 27 1989,Bangladesh,1-2,Iran,FIFA World Cup qualification,Dhaka › Bangladesh
Tue Feb 28 1989,Thailand,0-3,China PR,FIFA World Cup qualification,Bangkok › Thailand
Fri Mar 3 1989,Guatemala,3-0,El Salvador,Friendly,Mazatenango › Guatemala
Sat Mar 4 1989,Bangladesh,0-2,China PR,FIFA World Cup qualification,Dhaka › Bangladesh
Sun Mar 5 1989,Israel,1-0,New Zealand,FIFA World Cup qualification,Ramat-Gan › Israel
Wed Mar 8 1989,Albania,0-2,England,FIFA World Cup qualification,Tirana › Albania
Wed Mar 8 1989,Bangladesh,3-1,Thailand,FIFA World Cup qualification,Dhaka › Bangladesh
Wed Mar 8 1989,Greece,3-2,German DR,Friendly,Athens › Greece
Wed Mar 8 1989,Hungary,0-0,Republic of Ireland,FIFA World Cup qualification,Budapest › Hungary
Wed Mar 8 1989,Scotland,2-0,France,FIFA World Cup qualification,Glasgow › Scotland
Thu Mar 9 1989,Colombia,1-0,Argentina,Friendly,Barranquilla › Colombia
Fri Mar 10 1989,Yemen,0-1,Syria,FIFA World Cup qualification,Sana'a › Yemen AR
Sun Mar 12 1989,Australia,4-1,New Zealand,FIFA World Cup qualification,Sydney › Australia
Sun Mar 12 1989,Jamaica,0-3,Paraguay,Friendly,Kingston › Jamaica
Wed Mar 15 1989,Brazil,1-0,Ecuador,Friendly,Cuiabá › Brazil
Wed Mar 15 1989,Martinique,0-2,Paraguay,Friendly,Fort-de-France › Martinique
Wed Mar 15 1989,Saudi Arabia,5-4,Syria,FIFA World Cup qualification,Jeddah › Saudi Arabia
Wed Mar 15 1989,Tunisia,0-0,Egypt,Friendly,Tunis › Tunisia
Fri Mar 17 1989,Guadeloupe,0-2,Paraguay,Friendly,Basse-Terre › Guadeloupe
Fri Mar 17 1989,Iran,1-0,Bangladesh,FIFA World Cup qualification,Teheran › Iran
Sun Mar 19 1989,Guatemala,1-0,Costa Rica,FIFA World Cup qualification,Guatemala › Guatemala
Sun Mar 19 1989,Israel,1-1,Australia,FIFA World Cup qualification,Ramat-Gan › Israel
Sun Mar 19 1989,Trinidad and Tobago,2-2,Paraguay,Friendly,Port of Spain › Trinidad and Tobago
Mon Mar 20 1989,Yemen,0-1,Saudi Arabia,FIFA World Cup qualification,Sana'a › Yemen AR
Wed Mar 22 1989,Algeria,1-1,Morocco,Friendly,Bejaia › Algeria
Wed Mar 22 1989,Bulgaria,1-2,Germany,Friendly,Sofia › Bulgaria
Wed Mar 22 1989,German DR,1-1,Finland,Friendly,Dresden › German DR
Wed Mar 22 1989,Netherlands,2-0,Russia,Friendly,Eindhoven › Netherlands
Wed Mar 22 1989,Trinidad and Tobago,1-1,Paraguay,Friendly,Arima › Trinidad and Tobago
Thu Mar 23 1989,Spain,4-0,Malta,FIFA World Cup qualification,Seville › Spain
Sat Mar 25 1989,Austria,0-1,Italy,Friendly,Vienna › Austria
Sat Mar 25 1989,Syria,2-0,Yemen,FIFA World Cup qualification,Latakia › Syria
Sun Mar 26 1989,Barbados,1-1,Jamaica,Friendly,Bridgetown › Barbados
Sun Mar 26 1989,Ethiopia,1-1,Malawi,Friendly,Addis Abeba › Ethiopia
Sun Mar 26 1989,Venezuela,1-2,Paraguay,Friendly,Caracas › Venezuela
Mon Mar 27 1989,Qatar,1-0,Malaysia,Friendly,Doha › Qatar
Tue Mar 28 1989,Barbados,1-1,Jamaica,Friendly,Bridgetown › Barbados
Tue Mar 28 1989,Ethiopia,1-0,Malawi,Friendly,Addis Abeba › Ethiopia
Wed Mar 29 1989,Greece,0-1,Turkey,Friendly,Athens › Greece
Wed Mar 29 1989,Portugal,6-0,Angola,Friendly,Lisbon › Portugal
Wed Mar 29 1989,Romania,1-0,Italy,Friendly,Sibiu › Romania
Thu Mar 30 1989,Syria,0-0,Saudi Arabia,FIFA World Cup qualification,Latakia › Syria
Thu Mar 30 1989,Venezuela,0-0,Paraguay,Friendly,Maturín › Venezuela
Fri Mar 31 1989,Aruba,0-7,Trinidad and Tobago,Friendly,Willemstad › Netherlands Antilles
Fri Mar 31 1989,Ethiopia,0-1,Zambia,Friendly,Addis Abeba › Ethiopia
Sat Apr 1 1989,Curaçao,1-1,Trinidad and Tobago,Friendly,Willemstad › Netherlands Antilles
Sun Apr 2 1989,Costa Rica,2-1,Guatemala,FIFA World Cup qualification,San José › Costa Rica
Sun Apr 2 1989,Curaçao,1-0,Aruba,Friendly,Willemstad › Netherlands Antilles
Sun Apr 2 1989,Ethiopia,2-2,Zambia,Friendly,Addis Abeba › Ethiopia
Sun Apr 2 1989,New Zealand,2-0,Australia,FIFA World Cup qualification,Auckland › New Zealand
Tue Apr 4 1989,Algeria,2-0,Tunisia,Friendly,Algiers › Algeria
Tue Apr 4 1989,Hungary,3-0,Switzerland,Friendly,Budapest › Hungary
Wed Apr 5 1989,Greece,1-4,Yugoslavia,Friendly,Athens › Greece
Wed Apr 5 1989,Saudi Arabia,1-0,Yemen,FIFA World Cup qualification,Jeddah › Saudi Arabia
Fri Apr 7 1989,Sudan,1-0,Kenya,African Cup of Nations qualification,Khartoum › Sudan
