Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 18 1920,Italy,9-4,France,Friendly,Milan › Italy
Sat Feb 14 1920,Northern Ireland,2-2,Wales,British Championship,Belfast › Republic of Ireland
Thu Feb 26 1920,Wales,1-1,Scotland,British Championship,Cardiff › Wales
Sun Feb 29 1920,Switzerland,0-2,France,Friendly,Geneva › Switzerland
Sat Mar 13 1920,Scotland,3-0,Northern Ireland,British Championship,Glasgow › Scotland
Mon Mar 15 1920,England,1-2,Wales,British Championship,London › England
Sun Mar 28 1920,France,2-1,Belgium,Friendly,Paris › France
Sun Mar 28 1920,Switzerland,3-0,Italy,Friendly,Berne › Switzerland
Mon Apr 5 1920,Netherlands,2-0,Denmark,Friendly,Amsterdam › Netherlands
Sat Apr 10 1920,England,5-4,Scotland,British Championship,Sheffield › England
Sun May 2 1920,Austria,2-2,Hungary,Friendly,Vienna › Austria
Thu May 13 1920,Italy,1-1,Netherlands,Friendly,Genoa › Italy
Sun May 16 1920,Switzerland,2-1,Netherlands,Friendly,Basel › Switzerland
Sun May 30 1920,Sweden,4-0,Finland,Friendly,Stockholm › Sweden
Sun Jun 6 1920,Sweden,0-1,Switzerland,Friendly,Stockholm › Sweden
Sun Jun 13 1920,Norway,1-1,Denmark,Friendly,Kristiania › Norway
Sun Jun 27 1920,Norway,0-3,Sweden,Friendly,Kristiania › Norway
Sun Jun 27 1920,Switzerland,4-1,Germany,Friendly,Zürich › Switzerland
Sun Jul 18 1920,Uruguay,2-0,Argentina,Copa Premio Honor Uruguayo,Montevideo › Uruguay
Sun Jul 25 1920,Argentina,1-3,Uruguay,Copa Newton,Buenos Aires › Argentina
Sun Aug 8 1920,Argentina,1-0,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
Sat Sep 11 1920,Chile,0-1,Brazil,Copa América,Viña del Mar › Chile
Sun Sep 12 1920,Uruguay,1-1,Argentina,Copa América,Viña del Mar › Chile
Sat Sep 18 1920,Brazil,0-6,Uruguay,Copa América,Viña del Mar › Chile
Sun Sep 19 1920,Finland,1-0,Sweden,Friendly,Helsinki › Finland
Mon Sep 20 1920,Chile,1-1,Argentina,Copa América,Viña del Mar › Chile
Sat Sep 25 1920,Argentina,2-0,Brazil,Copa América,Viña del Mar › Chile
Sun Sep 26 1920,Austria,3-2,Germany,Friendly,Vienna › Austria
Sun Sep 26 1920,Sweden,0-0,Norway,Friendly,Stockholm › Sweden
Sun Oct 3 1920,Chile,1-2,Uruguay,Copa América,Viña del Mar › Chile
Sun Oct 10 1920,Sweden,0-2,Denmark,Friendly,Stockholm › Sweden
Sun Oct 17 1920,Finland,6-0,Estonia,Friendly,Helsinki › Finland
Sat Oct 23 1920,England,2-0,Northern Ireland,British Championship,Sunderland › England
Sun Oct 24 1920,Germany,1-0,Hungary,Friendly,Berlin › Germany
Sun Nov 7 1920,Hungary,1-2,Austria,Friendly,Budapest › Hungary
