Date,Team 1,Score,Team 2,Tournament,City
Tue Jan 1 1963,Cameroon,1-2,Nigeria,Friendly,Yaoundé › Cameroon
Sun Jan 6 1963,Algeria,2-1,Bulgaria,Friendly,Algiers › Algeria
Sun Jan 6 1963,Kuwait,2-1,Jordan,Friendly,Kuwait City › Kuwait
Wed Jan 9 1963,Spain,0-0,France,Friendly,Barcelona › Spain
Sun Jan 13 1963,Morocco,1-0,Switzerland,Friendly,Casablanca › Morocco
Mon Jan 14 1963,Burma,0-3,China PR,Friendly,Rangoon › Burma
Sat Jan 19 1963,Uganda,8-0,Zanzibar,Friendly,Kampala › Uganda
Sun Jan 20 1963,Burma,2-1,China PR,Friendly,Rangoon › Burma
Wed Jan 23 1963,Bulgaria,1-0,Portugal,UEFA Euro qualification,Rome › Italy
Sat Jan 26 1963,Pakistan,0-0,China PR,Friendly,Dhaka › Pakistan
Sun Jan 27 1963,Benin,1-1,Nigeria,Friendly,Cotonou › Dahomey
Wed Jan 30 1963,Pakistan,3-2,China PR,Friendly,Peshawar › Pakistan
Fri Feb 1 1963,Mali,1-0,Burkina Faso,Friendly,Bamako › Mali
Sat Feb 2 1963,Nigeria,4-1,Benin,Friendly,Benin City › Nigeria
Sun Feb 3 1963,Pakistan,1-1,China PR,Friendly,Lahore › Pakistan
Wed Feb 6 1963,Pakistan,0-2,China PR,Friendly,Karachi › Pakistan
Sun Feb 17 1963,Paraguay,3-0,Bolivia,Copa Paz del Chaco,Asunción › Paraguay
Tue Feb 19 1963,Paraguay,5-1,Bolivia,Copa Paz del Chaco,Asunción › Paraguay
Sat Feb 23 1963,Jamaica,3-2,Haiti,Friendly,Kingston › Jamaica
Sun Feb 24 1963,Mali,3-1,Senegal,Friendly,Kumasi › Ghana
Wed Feb 27 1963,France,5-2,England,UEFA Euro qualification,Paris › France
Wed Feb 27 1963,Jamaica,1-2,Curaçao,Friendly,Kingston › Jamaica
Wed Feb 27 1963,Nigeria,4-0,Senegal,Friendly,Kumasi › Ghana
Sat Mar 2 1963,Guatemala,1-2,Honduras,Friendly,Guatemala › Guatemala
Sat Mar 2 1963,Haiti,0-0,Curaçao,Friendly,Kingston › Jamaica
Sun Mar 3 1963,Ghana,4-0,Mali,Friendly,Accra › Ghana
Sun Mar 3 1963,Netherlands,0-1,Belgium,Friendly,Rotterdam › Netherlands
Sun Mar 3 1963,Paraguay,2-2,Brazil,Friendly,Asunción › Paraguay
Sun Mar 3 1963,Tunisia,2-1,Kuwait,Friendly,Tunis › Tunisia
Mon Mar 4 1963,Jamaica,1-2,Curaçao,Friendly,Kingston › Jamaica
Wed Mar 6 1963,Jamaica,0-3,Haiti,Friendly,Kingston › Jamaica
Sun Mar 10 1963,Argentina,4-2,Colombia,Copa América,Cochabamba › Bolivia
Sun Mar 10 1963,Bolivia,4-4,Ecuador,Copa América,La Paz › Bolivia
Sun Mar 10 1963,Brazil,1-0,Peru,Copa América,Cochabamba › Bolivia
Sun Mar 10 1963,Guatemala,2-1,Honduras,Friendly,Guatemala › Guatemala
Sun Mar 10 1963,Ivory Coast,3-0,Tunisia,Friendly,Abidjan › Ivory Coast
Wed Mar 13 1963,Argentina,1-2,Peru,Copa América,Cochabamba › Bolivia
Thu Mar 14 1963,Brazil,5-1,Colombia,Copa América,La Paz › Bolivia
Thu Mar 14 1963,Ecuador,1-3,Paraguay,Copa América,La Paz › Bolivia
Sun Mar 17 1963,Bolivia,2-1,Colombia,Copa América,Cochabamba › Bolivia
Sun Mar 17 1963,Brazil,0-2,Paraguay,Copa América,La Paz › Bolivia
Sun Mar 17 1963,Ecuador,1-2,Peru,Copa América,La Paz › Bolivia
Wed Mar 20 1963,Argentina,4-2,Ecuador,Copa América,Cochabamba › Bolivia
Wed Mar 20 1963,Colombia,2-3,Paraguay,Copa América,Cochabamba › Bolivia
Wed Mar 20 1963,Wales,1-1,Hungary,UEFA Euro qualification,Cardiff › Wales
Thu Mar 21 1963,Bolivia,3-2,Peru,Copa América,La Paz › Bolivia
Sat Mar 23 1963,Guatemala,2-2,Panama,CONCACAF Championship,San Salvador › El Salvador
Sat Mar 23 1963,Uruguay,3-2,Chile,Copa Juan Pinto Durán,Montevideo › Uruguay
Sun Mar 24 1963,Argentina,3-0,Brazil,Copa América,La Paz › Bolivia
Sun Mar 24 1963,Bolivia,2-0,Paraguay,Copa América,Cochabamba › Bolivia
Sun Mar 24 1963,Colombia,1-1,Peru,Copa América,La Paz › Bolivia
Sun Mar 24 1963,Costa Rica,6-0,Jamaica,CONCACAF Championship,Santa Ana › El Salvador
Sun Mar 24 1963,Mexico,1-2,Curaçao,CONCACAF Championship,Santa Ana › El Salvador
Sun Mar 24 1963,Uganda,1-7,Ethiopia,Friendly,Kampala › Uganda
Wed Mar 27 1963,Brazil,2-2,Ecuador,Copa América,Cochabamba › Bolivia
Wed Mar 27 1963,Guatemala,3-1,Nicaragua,CONCACAF Championship,San Salvador › El Salvador
Wed Mar 27 1963,Paraguay,4-1,Peru,Copa América,Cochabamba › Bolivia
Wed Mar 27 1963,Turkey,0-1,Italy,UEFA Euro qualification,Istanbul › Turkey
Thu Mar 28 1963,Bolivia,3-2,Argentina,Copa América,La Paz › Bolivia
Thu Mar 28 1963,Costa Rica,1-0,Curaçao,CONCACAF Championship,Santa Ana › El Salvador
Thu Mar 28 1963,Jamaica,0-8,Mexico,CONCACAF Championship,Santa Ana › El Salvador
Fri Mar 29 1963,Guatemala,1-2,Honduras,CONCACAF Championship,San Salvador › El Salvador
Fri Mar 29 1963,Nicaragua,0-5,Panama,CONCACAF Championship,San Salvador › El Salvador
