Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 2 1952,Curaçao,3-0,Aruba,Friendly,Willemstad › Netherlands Antilles
Sun Feb 3 1952,Curaçao,3-1,Aruba,Friendly,Willemstad › Netherlands Antilles
Thu Feb 14 1952,Aruba,2-1,Suriname,Friendly,Oranjestad › Aruba
Sun Feb 17 1952,Guyana,0-9,Suriname,Friendly,Oranjestad › Netherlands Antilles
Sun Feb 24 1952,Belgium,2-0,Italy,Friendly,Brussels › Belgium
Wed Mar 12 1952,Guadeloupe,4-0,Martinique,Friendly,Basse-Terre › Guadeloupe
Thu Mar 13 1952,Martinique,1-2,Guadeloupe,Friendly,Fort-de-France › Martinique
Fri Mar 14 1952,Burma,0-4,India,Friendly,Colombo › Ceylon
Sun Mar 16 1952,Chile,6-1,Panama,Pan American Championship,Santiago › Chile
Tue Mar 18 1952,Burma,0-1,Pakistan,Friendly,Colombo › Ceylon
Wed Mar 19 1952,Wales,3-0,Northern Ireland,British Championship,Swansea › Wales
Sun Mar 23 1952,Austria,2-0,Belgium,Friendly,Vienna › Austria
Sun Mar 23 1952,India,0-0,Pakistan,Friendly,Colombo › Ceylon
Sun Mar 23 1952,Mexico,1-3,Uruguay,Pan American Championship,Santiago › Chile
Sun Mar 23 1952,Panama,1-7,Peru,Pan American Championship,Santiago › Chile
Mon Mar 24 1952,Sri Lanka,1-2,India,Friendly,Colombo › Ceylon
Wed Mar 26 1952,Chile,4-0,Mexico,Pan American Championship,Santiago › Chile
Wed Mar 26 1952,France,0-1,Sweden,Friendly,Paris › France
Fri Mar 28 1952,Sri Lanka,0-2,Pakistan,Friendly,Colombo › Ceylon
Sun Mar 30 1952,Peru,2-5,Uruguay,Pan American Championship,Santiago › Chile
Wed Apr 2 1952,Chile,3-2,Peru,Pan American Championship,Santiago › Chile
Sat Apr 5 1952,Scotland,1-2,England,British Championship,Glasgow › Scotland
Sun Apr 6 1952,Belgium,4-2,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 6 1952,Brazil,2-0,Mexico,Pan American Championship,Santiago › Chile
Sun Apr 6 1952,Panama,1-6,Uruguay,Pan American Championship,Santiago › Chile
Thu Apr 10 1952,Brazil,0-0,Peru,Pan American Championship,Santiago › Chile
Thu Apr 10 1952,Mexico,4-2,Panama,Pan American Championship,Santiago › Chile
Sun Apr 13 1952,Brazil,5-0,Panama,Pan American Championship,Santiago › Chile
Sun Apr 13 1952,Chile,2-0,Uruguay,Pan American Championship,Santiago › Chile
Wed Apr 16 1952,Brazil,4-2,Uruguay,Pan American Championship,Santiago › Chile
Sun Apr 20 1952,Chile,0-3,Brazil,Pan American Championship,Santiago › Chile
Sun Apr 20 1952,France,3-0,Portugal,Friendly,Colombes › France
Sun Apr 20 1952,Luxembourg,0-3,Germany,Friendly,Luxembourg › Luxembourg
Sun Apr 20 1952,Mexico,0-3,Peru,Pan American Championship,Santiago › Chile
Wed Apr 30 1952,Scotland,6-0,United States,Friendly,Glasgow › Scotland
Sun May 4 1952,Germany,3-0,Republic of Ireland,Friendly,Cologne › Germany
Wed May 7 1952,Austria,6-0,Republic of Ireland,Friendly,Vienna › Austria
Sun May 11 1952,Romania,3-1,Czechoslovakia,Friendly,Bucharest › Romania
Wed May 14 1952,Netherlands,0-0,Sweden,Friendly,Amsterdam › Netherlands
Sun May 18 1952,Hungary,5-0,German DR,Friendly,Budapest › Hungary
Sun May 18 1952,Italy,1-1,England,Friendly,Florence › Italy
Sun May 18 1952,Poland,0-1,Bulgaria,Friendly,Warsaw › Poland
Thu May 22 1952,Belgium,1-2,France,Friendly,Brussels › Belgium
Sat May 24 1952,Russia,1-1,Hungary,Friendly,Moscow › Soviet Union
Sun May 25 1952,Austria,2-3,England,Friendly,Vienna › Austria
Sun May 25 1952,Denmark,1-2,Scotland,Friendly,Copenhagen › Denmark
Sun May 25 1952,Romania,1-0,Poland,Friendly,Bucharest › Romania
Tue May 27 1952,Russia,2-1,Hungary,Friendly,Moscow › Soviet Union
Wed May 28 1952,Switzerland,0-3,England,Friendly,Zürich › Switzerland
Fri May 30 1952,Sweden,3-1,Scotland,Friendly,Solna › Sweden
Sun Jun 1 1952,Spain,6-0,Republic of Ireland,Friendly,Madrid › Spain
Sun Jun 1 1952,Turkey,1-5,Switzerland,Friendly,Ankara › Turkey
Sun Jun 8 1952,Turkey,0-0,Spain,Friendly,Istanbul › Turkey
Tue Jun 10 1952,Norway,1-2,Finland,Friendly,Oslo › Norway
Wed Jun 11 1952,Denmark,0-2,Sweden,Friendly,Oslo › Norway
Fri Jun 13 1952,Finland,3-1,Sweden,Friendly,Oslo › Norway
Sun Jun 15 1952,Poland,1-5,Hungary,Friendly,Warsaw › Poland
Sun Jun 22 1952,Finland,1-6,Hungary,Friendly,Helsinki › Finland
Sun Jun 22 1952,Sweden,4-3,Denmark,Nordic Championship,Solna › Sweden
Sun Jun 22 1952,Switzerland,1-1,Austria,Friendly,Geneva › Switzerland
Wed Jun 25 1952,Yugoslavia,4-1,Norway,Friendly,Zagreb › Yugoslavia
Thu Jul 3 1952,Netherlands,3-3,Curaçao,Friendly,Amsterdam › Netherlands
Sat Jul 19 1952,Haiti,4-1,Jamaica,Friendly,Port-au-Prince › Haiti
Sun Jul 20 1952,Haiti,3-3,Jamaica,Friendly,Port-au-Prince › Haiti
Wed Jul 23 1952,Haiti,2-0,Jamaica,Friendly,Port-au-Prince › Haiti
Thu Jul 24 1952,Réunion,0-1,Madagascar,Friendly,Saint-Pierre › Réunion
Sun Jul 27 1952,Haiti,3-2,Jamaica,Friendly,Port-au-Prince › Haiti
Sun Jul 27 1952,Réunion,0-6,Mauritius,Friendly,Saint-Pierre › Réunion
Thu Jul 31 1952,Madagascar,0-7,Mauritius,Friendly,Saint-Pierre › Réunion
Mon Aug 4 1952,Finland,4-0,China PR,Friendly,Helsinki › Finland
Sun Aug 10 1952,Netherlands,1-1,Egypt,Friendly,Amsterdam › Netherlands
Sun Aug 24 1952,Silesia,5-1,China PR,Friendly,Chorzów › Poland
Sun Aug 31 1952,Norway,7-2,Finland,Nordic Championship,Oslo › Norway
Sat Sep 6 1952,Zambia,1-4,Zimbabwe,Friendly,Kitwe › Northern Rhodesia
Sun Sep 7 1952,Fiji,0-2,New Zealand,Friendly,Suva › Fiji
Thu Sep 11 1952,Zambia,3-2,Zimbabwe,Friendly,Kitwe › Northern Rhodesia
Sun Sep 14 1952,Czechoslovakia,2-2,Poland,Friendly,Prague › Czechoslovakia
Sun Sep 14 1952,Fiji,0-9,New Zealand,Friendly,Lautoka › Fiji
Tue Sep 16 1952,Fiji,2-5,New Zealand,Friendly,Suva › Fiji
Sat Sep 20 1952,Switzerland,2-4,Hungary,International Cup,Berne › Switzerland
Sun Sep 21 1952,Denmark,3-2,Netherlands,Friendly,Copenhagen › Denmark
Sun Sep 21 1952,Finland,1-8,Sweden,Nordic Championship,Helsinki › Finland
Sun Sep 21 1952,Poland,3-0,German DR,Friendly,Warsaw › Poland
Sun Sep 21 1952,Tahiti,2-2,New Zealand,Friendly,Pirae › French Polynesia
Sun Sep 21 1952,Yugoslavia,4-2,Austria,Friendly,Belgrade › Yugoslavia
Tue Sep 23 1952,Uganda,4-0,Tanzania,Friendly,Kampala › Uganda
Wed Sep 24 1952,Kenya,7-1,Zanzibar,Friendly,Kampala › Uganda
Fri Sep 26 1952,Tanzania,1-3,Zanzibar,Friendly,Kampala › Uganda
Sat Sep 27 1952,Uganda,6-3,Kenya,Friendly,Kampala › Uganda
Sun Sep 28 1952,Tahiti,3-5,New Zealand,Friendly,Pirae › French Polynesia
Sat Oct 4 1952,Northern Ireland,2-2,England,British Championship,Belfast › Northern Ireland
Sun Oct 5 1952,Finland,2-1,Denmark,Nordic Championship,Helsinki › Finland
Sun Oct 5 1952,France,3-1,Germany,Friendly,Colombes › France
Sun Oct 5 1952,Norway,1-2,Sweden,Nordic Championship,Oslo › Norway
Sat Oct 18 1952,Wales,1-2,Scotland,British Championship,Cardiff › Wales
Sun Oct 19 1952,Austria,1-2,France,Friendly,Vienna › Austria
Sun Oct 19 1952,Belgium,2-1,Netherlands,Friendly,Antwerp › Belgium
Sun Oct 19 1952,Denmark,1-3,Norway,Nordic Championship,Copenhagen › Denmark
Sun Oct 19 1952,Hungary,5-0,Czechoslovakia,Friendly,Budapest › Hungary
Sun Oct 26 1952,Romania,3-1,German DR,Friendly,Bucharest › Romania
Sun Oct 26 1952,Sweden,1-1,Italy,Friendly,Solna › Sweden
Sun Nov 2 1952,Yugoslavia,5-0,Egypt,Friendly,Belgrade › Yugoslavia
Wed Nov 5 1952,Scotland,1-1,Northern Ireland,British Championship,Glasgow › Scotland
Sun Nov 9 1952,Germany,5-1,Switzerland,Friendly,Augsburg › Germany
Tue Nov 11 1952,France,3-1,Northern Ireland,Friendly,Colombes › France
Wed Nov 12 1952,England,5-2,Wales,British Championship,London › England
Sun Nov 16 1952,Republic of Ireland,1-1,France,Friendly,Dublin › Republic of Ireland
Sun Nov 23 1952,Portugal,1-1,Austria,Friendly,Porto › Portugal
Wed Nov 26 1952,England,5-0,Belgium,Friendly,London › England
Sat Nov 29 1952,Albania,3-2,Czechoslovakia,Friendly,Tirana › Albania
Sun Dec 7 1952,Spain,0-1,Argentina,Friendly,Madrid › Spain
Sun Dec 14 1952,Portugal,1-3,Argentina,Friendly,Oeiras › Portugal
Sun Dec 21 1952,Germany,3-2,Yugoslavia,Friendly,Ludwigshafen › Germany
Thu Dec 25 1952,France,0-1,Belgium,Friendly,Colombes › France
