Date,Team 1,Score,Team 2,Tournament,City
Sat Jan 2 1937,Paraguay,4-2,Uruguay,Copa América,Buenos Aires › Argentina
Sun Jan 3 1937,Brazil,6-4,Chile,Copa América,Buenos Aires › Argentina
Mon Jan 4 1937,Suriname,8-0,Guyana,Friendly,Paramaribo › Netherlands Guyana
Tue Jan 5 1937,Guyana,0-3,Trinidad and Tobago,Friendly,Paramaribo › Netherlands Guyana
Wed Jan 6 1937,Peru,2-4,Uruguay,Copa América,Buenos Aires › Argentina
Wed Jan 6 1937,Suriname,1-1,Trinidad and Tobago,Friendly,Paramaribo › Netherlands Guyana
Fri Jan 8 1937,Suriname,3-3,Trinidad and Tobago,Friendly,Paramaribo › Netherlands Guyana
Sat Jan 9 1937,Argentina,6-1,Paraguay,Copa América,Buenos Aires › Argentina
Sun Jan 10 1937,Chile,3-0,Uruguay,Copa América,Buenos Aires › Argentina
Sun Jan 10 1937,Suriname,2-2,Trinidad and Tobago,Friendly,Paramaribo › Netherlands Guyana
Mon Jan 11 1937,Guyana,2-3,Trinidad and Tobago,Friendly,Paramaribo › Netherlands Guyana
Wed Jan 13 1937,Brazil,5-0,Paraguay,Copa América,Buenos Aires › Argentina
Sat Jan 16 1937,Argentina,1-0,Peru,Copa América,Buenos Aires › Argentina
Sun Jan 17 1937,Chile,2-3,Paraguay,Copa América,Buenos Aires › Argentina
Tue Jan 19 1937,Brazil,3-2,Uruguay,Copa América,Buenos Aires › Argentina
Thu Jan 21 1937,Chile,2-2,Peru,Copa América,Buenos Aires › Argentina
Sat Jan 23 1937,Argentina,2-3,Uruguay,Copa América,Buenos Aires › Argentina
Sun Jan 24 1937,France,1-2,Austria,Friendly,Paris › France
Sun Jan 24 1937,Paraguay,0-1,Peru,Copa América,Buenos Aires › Argentina
Sat Jan 30 1937,Argentina,1-0,Brazil,Copa América,Buenos Aires › Argentina
Sun Jan 31 1937,Germany,2-2,Netherlands,Friendly,Düsseldorf › Germany
Mon Feb 1 1937,Argentina,2-0,Brazil,Copa América,Buenos Aires › Argentina
Sun Feb 21 1937,Belgium,3-1,France,Friendly,Brussels › Belgium
Sun Feb 21 1937,Czechoslovakia,5-3,Switzerland,International Cup,Prague › Czechoslovakia
Sun Mar 7 1937,Netherlands,2-1,Switzerland,Friendly,Amsterdam › Netherlands
Wed Mar 17 1937,Wales,4-1,Northern Ireland,British Championship,Wrexham › Wales
Sun Mar 21 1937,Austria,2-0,Italy,International Cup,Vienna › Austria
Sun Mar 21 1937,Germany,4-0,France,Friendly,Stuttgart › Germany
Sun Mar 21 1937,Luxembourg,2-3,Germany,Friendly,Luxembourg › Luxembourg
Sun Apr 4 1937,Belgium,2-1,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 11 1937,Switzerland,1-5,Hungary,International Cup,Basel › Switzerland
Sat Apr 17 1937,Scotland,3-1,England,British Championship,Glasgow › Scotland
Sun Apr 18 1937,Belgium,1-2,Switzerland,Friendly,Brussels › Belgium
Sun Apr 18 1937,Romania,1-1,Czechoslovakia,Friendly,Bucharest › Romania
Sun Apr 25 1937,Germany,1-0,Belgium,Friendly,Hanover › Germany
Sun Apr 25 1937,Italy,2-0,Hungary,International Cup,Turin › Italy
Sat May 1 1937,Aruba,1-1,Curaçao,Friendly,Oranjestad › Aruba
Sun May 2 1937,Aruba,1-1,Curaçao,Friendly,Oranjestad › Aruba
Sun May 2 1937,Netherlands,1-0,Belgium,Friendly,Rotterdam › Netherlands
Sun May 2 1937,Switzerland,0-1,Germany,Friendly,Zürich › Switzerland
