Date,Team 1,Score,Team 2,Tournament,City
Tue Jan 24 1950,Zambia,1-0,DR Congo,Friendly,Kitwe › Northern Rhodesia
Fri Feb 17 1950,Egypt,2-0,Greece,Friendly,Cairo › Egypt
Sun Feb 26 1950,Bolivia,2-0,Chile,Friendly,La Paz › Bolivia
Sun Feb 26 1950,Croatia,4-1,Serbia,Friendly,Zagreb › Yugoslavia
Sun Mar 5 1950,Italy,3-1,Belgium,Friendly,Bologna › Italy
Wed Mar 8 1950,Wales,0-0,Northern Ireland,FIFA World Cup qualification,Cardiff › Wales
Sun Mar 12 1950,Chile,5-0,Bolivia,Friendly,Santiago › Chile
Sun Mar 19 1950,Austria,3-3,Switzerland,International Cup,Vienna › Austria
Wed Mar 22 1950,Guyana,0-1,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Fri Mar 24 1950,Guyana,1-4,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Sat Mar 25 1950,Argentina,2-2,Paraguay,Copa Chevallier Boutell,Buenos Aires › Argentina
Mon Mar 27 1950,Guyana,1-0,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Wed Mar 29 1950,Argentina,4-0,Paraguay,Copa Chevallier Boutell,Buenos Aires › Argentina
Wed Mar 29 1950,Guyana,1-2,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Sun Apr 2 1950,Austria,1-0,Italy,International Cup,Vienna › Austria
Sun Apr 2 1950,Spain,5-1,Portugal,FIFA World Cup qualification,Madrid › Spain
Fri Apr 7 1950,Chile,1-5,Uruguay,Friendly,Santiago › Chile
Sun Apr 9 1950,Chile,2-1,Uruguay,Friendly,Santiago › Chile
Sun Apr 9 1950,Portugal,2-2,Spain,FIFA World Cup qualification,Oeiras › Portugal
Fri Apr 14 1950,Mauritius,15-2,Réunion,Friendly,Antananarivo › Madagascar
Sat Apr 15 1950,Scotland,0-1,England,FIFA World Cup qualification,Glasgow › Scotland
Sun Apr 16 1950,Belgium,2-0,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 16 1950,South Korea,3-1,Chinese Taipei,Friendly,Wan Chai › Hong Kong
Wed Apr 26 1950,Scotland,3-1,Switzerland,Friendly,Glasgow › Scotland
