Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 13 1924,France,2-0,Belgium,Friendly,Montrouge › France
Sun Jan 13 1924,Germany,4-3,Austria,Friendly,Nuremberg › Germany
Sun Jan 20 1924,Italy,0-4,Austria,Friendly,Genoa › Italy
Sun Feb 10 1924,Yugoslavia,1-4,Austria,Friendly,Zagreb › Yugoslavia
Sat Feb 16 1924,Wales,2-0,Scotland,British Championship,Cardiff › Wales
Sat Mar 1 1924,Scotland,2-0,Northern Ireland,British Championship,Glasgow › Scotland
Mon Mar 3 1924,England,1-2,Wales,British Championship,Blackburn › England
Sun Mar 9 1924,Italy,0-0,Spain,Friendly,Milan › Italy
Thu Mar 13 1924,Catalonia,0-7,Spain,Friendly,Barcelona › Spain
Sat Mar 15 1924,Northern Ireland,0-1,Wales,British Championship,Belfast › Northern Ireland
Sun Mar 23 1924,Netherlands,1-1,Belgium,Friendly,Amsterdam › Netherlands
Sun Mar 23 1924,Switzerland,3-0,France,Friendly,Geneva › Switzerland
Sun Mar 23 1924,Brittany,1-1,Luxembourg,Friendly,Rennes › France
Sun Apr 6 1924,Aruba,0-4,Curaçao,Friendly,Oranjestad › Aruba
Sun Apr 6 1924,Hungary,7-1,Italy,Friendly,Budapest › Hungary
Sat Apr 12 1924,England,1-1,Scotland,British Championship,London › England
Mon Apr 21 1924,Netherlands,0-1,Germany,Friendly,Amsterdam › Netherlands
Mon Apr 21 1924,Switzerland,2-0,Denmark,Friendly,Basel › Switzerland
Sun Apr 27 1924,Belgium,1-1,Netherlands,Friendly,Antwerp › Belgium
Sun May 4 1924,Hungary,2-2,Austria,Friendly,Budapest › Hungary
Thu May 15 1924,Paraguay,1-3,Argentina,Copa Chevallier Boutell,Asunción › Paraguay
Sat May 17 1924,France,1-3,England,Friendly,Vincennes › France
Sun May 18 1924,Paraguay,2-1,Argentina,Copa Chevallier Boutell,Asunción › Paraguay
Sun May 18 1924,Sweden,5-1,Poland,Friendly,Stockholm › Sweden
Sun May 18 1924,Switzerland,4-2,Hungary,Friendly,Zürich › Switzerland
Tue May 20 1924,Austria,4-1,Romania,Friendly,Vienna › Austria
Wed May 21 1924,Austria,6-0,Bulgaria,Friendly,Vienna › Austria
Sun May 25 1924,Argentina,4-0,Uruguay,Copa Newton,Buenos Aires › Argentina
Sun May 25 1924,Uruguay,2-0,Argentina,Copa Lipton,Montevideo › Uruguay
Tue May 27 1924,Egypt,10-0,Lithuania,Friendly,Vincennes › France
Wed Jun 4 1924,France,0-1,Hungary,Friendly,Le Havre › France
Sat Jun 7 1924,Australia,3-2,Canada,Friendly,Brisbane › Australia
Tue Jun 10 1924,Poland,2-3,United States,Friendly,Warsaw › Poland
Sat Jun 14 1924,Australia,0-1,Canada,Friendly,Sydney › Australia
Sun Jun 15 1924,Denmark,2-3,Sweden,Nordic Championship,Copenhagen › Denmark
Sun Jun 15 1924,Norway,0-2,Germany,Friendly,Kristiania › Norway
Sun Jun 15 1924,Catalonia,1-2,Basque Country,Friendly,Barcelona › Spain
Tue Jun 17 1924,Finland,2-4,Turkey,Friendly,Helsinki › Finland
Thu Jun 19 1924,Estonia,1-4,Turkey,Friendly,Tallinn › Estonia
Sun Jun 22 1924,Austria,3-1,Egypt,Friendly,Vienna › Austria
Sun Jun 22 1924,Latvia,1-3,Turkey,Friendly,Riga › Latvia
Mon Jun 23 1924,Australia,4-1,Canada,Friendly,Sydney › Australia
Sat Jun 28 1924,Australia,0-0,Canada,Friendly,Newcastle › Australia
Sun Jun 29 1924,Poland,2-0,Turkey,Friendly,Łódź › Poland
Sun Jun 29 1924,Sweden,5-0,Egypt,Friendly,Stockholm › Sweden
Sat Jul 12 1924,Australia,1-4,Canada,Friendly,Adelaide › Australia
Fri Jul 25 1924,Sweden,5-2,Estonia,Friendly,Stockholm › Sweden
Sat Jul 26 1924,Australia,1-0,Canada,Friendly,Sydney › Australia
Mon Jul 28 1924,Finland,5-7,Sweden,Friendly,Helsinki › Finland
Sun Aug 10 1924,Poland,1-0,Finland,Friendly,Warsaw › Poland
Thu Aug 14 1924,Latvia,0-2,Finland,Friendly,Riga › Latvia
Sat Aug 23 1924,Finland,2-0,Norway,Friendly,Helsinki › Finland
Sun Aug 24 1924,Estonia,1-2,Lithuania,Friendly,Tallinn › Estonia
