Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 1 1928,Italy,3-2,Switzerland,International Cup,Genoa › Italy
Sun Jan 8 1928,Belgium,1-2,Austria,Friendly,Brussels › Belgium
Sun Jan 8 1928,Portugal,2-2,Spain,Friendly,Lisbon › Portugal
Sat Feb 4 1928,Northern Ireland,1-2,Wales,British Championship,Belfast › Northern Ireland
Sun Feb 12 1928,Belgium,2-4,Republic of Ireland,Friendly,Liège › Belgium
Tue Feb 21 1928,France,4-0,Northern Ireland,Friendly,Montrouge › France
Sat Feb 25 1928,Scotland,0-1,Northern Ireland,British Championship,Glasgow › Scotland
Sun Mar 11 1928,Netherlands,1-1,Belgium,Friendly,Amsterdam › Netherlands
Sun Mar 11 1928,Switzerland,4-3,France,Friendly,Lausanne › Switzerland
Fri Mar 16 1928,Guyana,1-1,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Sun Mar 25 1928,Italy,4-3,Hungary,International Cup,Rome › Italy
Sat Mar 31 1928,England,1-5,Scotland,British Championship,London › England
Sun Apr 1 1928,Austria,0-1,Czechoslovakia,International Cup,Vienna › Austria
Sun Apr 1 1928,Belgium,1-0,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 1 1928,Portugal,0-0,Argentina,Friendly,Lisbon › Portugal
Sun Apr 8 1928,Yugoslavia,2-1,Turkey,Friendly,Zagreb › Yugoslavia
Sun Apr 15 1928,France,2-3,Belgium,Friendly,Colombes › France
Sun Apr 15 1928,Portugal,4-1,Italy,Friendly,Porto › Portugal
Sun Apr 15 1928,Romania,4-2,Turkey,Friendly,Arad › Romania
Sun Apr 15 1928,Switzerland,2-3,Germany,Friendly,Berne › Switzerland
Sun Apr 15 1928,Uganda,4-0,Kenya,Friendly,Kampala › Uganda
Sun Apr 22 1928,Hungary,2-0,Czechoslovakia,International Cup,Budapest › Hungary
Sun Apr 22 1928,Netherlands,2-0,Denmark,Friendly,Amsterdam › Netherlands
Sun Apr 22 1928,Spain,1-1,Italy,Friendly,Gijón › Spain
Sun Apr 29 1928,France,1-1,Portugal,Friendly,Paris › France
Sun May 6 1928,Hungary,5-5,Austria,Friendly,Budapest › Hungary
Sun May 6 1928,Switzerland,2-1,Netherlands,Friendly,Basel › Switzerland
Sun May 6 1928,Yugoslavia,3-1,Romania,Friendly,Belgrade › Yugoslavia
Sun May 13 1928,France,0-2,Czechoslovakia,Friendly,Colombes › France
Thu May 17 1928,France,1-5,England,Friendly,Colombes › France
Sat May 19 1928,Belgium,1-3,England,Friendly,Antwerp › Belgium
Sun Jun 3 1928,Finland,0-6,Norway,Friendly,Helsinki › Finland
Thu Jun 7 1928,Sweden,6-1,Norway,Nordic Championship,Stockholm › Sweden
Sun Jun 10 1928,Poland,3-3,United States,Friendly,Warsaw › Poland
Thu Jun 14 1928,Netherlands,1-2,Egypt,Friendly,Rotterdam › Netherlands
Sun Jun 17 1928,Norway,2-3,Denmark,Nordic Championship,Oslo › Norway
Thu Jun 28 1928,Luxembourg,1-1,Egypt,Friendly,Esch-sur-Alzette › Luxembourg
Sun Jul 1 1928,Poland,2-1,Sweden,Friendly,Katowice › Poland
Fri Jul 6 1928,Latvia,0-4,Sweden,Friendly,Riga › Latvia
Mon Jul 9 1928,Estonia,0-1,Sweden,Friendly,Tallinn › Estonia
Wed Jul 25 1928,Latvia,3-0,Lithuania,Baltic Cup,Tallinn › Estonia
Thu Jul 26 1928,Estonia,6-0,Lithuania,Baltic Cup,Tallinn › Estonia
Fri Jul 27 1928,Estonia,0-1,Latvia,Baltic Cup,Tallinn › Estonia
Sun Jul 29 1928,Sweden,2-3,Austria,Friendly,Stockholm › Sweden
Sun Aug 12 1928,Finland,2-2,Estonia,Friendly,Helsinki › Finland
Wed Aug 15 1928,Paraguay,3-1,Uruguay,Friendly,Asunción › Paraguay
Fri Aug 17 1928,Belarus,6-3,Switzerland,Friendly,Moscow › Soviet Union
Sun Aug 19 1928,Belarus,2-6,Ukraine,Friendly,Moscow › Soviet Union
Sun Aug 19 1928,Latvia,2-1,Finland,Friendly,Riga › Latvia
Sun Aug 19 1928,Paraguay,1-1,Uruguay,Friendly,Asunción › Paraguay
Wed Aug 22 1928,Belarus,1-2,Finland,Friendly,Moscow › Soviet Union
Thu Aug 30 1928,Argentina,1-0,Uruguay,Copa Newton,Avellaneda › Argentina
Sat Sep 1 1928,Lithuania,1-1,Latvia,Friendly,Kaunas › Lithuania
Sun Sep 2 1928,Finland,2-3,Sweden,Friendly,Helsinki › Finland
Sun Sep 16 1928,Germany,2-1,Denmark,Friendly,Nuremberg › Germany
Fri Sep 21 1928,Uruguay,2-2,Argentina,Copa Lipton,Montevideo › Uruguay
Sun Sep 23 1928,Czechoslovakia,6-1,Hungary,Friendly,Prague › Czechoslovakia
Sun Sep 23 1928,Latvia,1-1,Estonia,Friendly,Riga › Latvia
Sun Sep 23 1928,Norway,0-2,Germany,Friendly,Oslo › Norway
Sun Sep 30 1928,Sweden,2-0,Germany,Friendly,Stockholm › Sweden
Sun Oct 7 1928,Austria,5-1,Hungary,International Cup,Vienna › Austria
Sun Oct 7 1928,Denmark,3-1,Sweden,Nordic Championship,Copenhagen › Denmark
Sun Oct 14 1928,Switzerland,2-3,Italy,International Cup,Zürich › Switzerland
Mon Oct 22 1928,England,2-1,Northern Ireland,British Championship,Liverpool › England
Sat Oct 27 1928,Czechoslovakia,3-2,Poland,Friendly,Prague › Czechoslovakia
Sat Oct 27 1928,Scotland,4-2,Wales,British Championship,Glasgow › Scotland
Sun Oct 28 1928,Austria,2-0,Switzerland,International Cup,Vienna › Austria
Sun Oct 28 1928,Czechoslovakia,7-1,Yugoslavia,Friendly,Prague › Czechoslovakia
Thu Nov 1 1928,Hungary,3-1,Switzerland,International Cup,Budapest › Hungary
Sun Nov 4 1928,Netherlands,1-1,Belgium,Friendly,Amsterdam › Netherlands
Sun Nov 11 1928,Italy,2-2,Austria,Friendly,Rome › Italy
Sat Nov 17 1928,Wales,2-3,England,British Championship,Swansea › Wales
Sun Dec 2 1928,Italy,3-2,Netherlands,Friendly,Milan › Italy
Fri Dec 7 1928,El Salvador,5-0,Honduras,Friendly,San Salvador › El Salvador
