Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 17 1926,Italy,3-1,Czechoslovakia,Friendly,Turin › Italy
Sun Jan 24 1926,Haiti,1-1,Curaçao,Friendly,Port-au-Prince › Haiti
Sun Jan 31 1926,Haiti,0-1,Curaçao,Friendly,Port-au-Prince › Haiti
Sun Feb 7 1926,Haiti,2-1,Curaçao,Friendly,Port-au-Prince › Haiti
Sat Feb 13 1926,Northern Ireland,3-0,Wales,British Championship,Belfast › Northern Ireland
Sun Feb 14 1926,Belgium,0-2,Hungary,Friendly,Brussels › Belgium
Sun Feb 14 1926,Haiti,2-2,Curaçao,Friendly,Port-au-Prince › Haiti
Sat Feb 27 1926,Scotland,4-0,Northern Ireland,British Championship,Glasgow › Scotland
Mon Mar 1 1926,England,1-3,Wales,British Championship,London › England
Wed Mar 3 1926,Jamaica,2-0,Curaçao,Friendly,Kingston › Jamaica
Sun Mar 14 1926,Austria,2-0,Czechoslovakia,Friendly,Vienna › Austria
Sun Mar 14 1926,Belgium,1-1,Netherlands,Friendly,Antwerp › Belgium
Sun Mar 21 1926,Italy,3-0,Republic of Ireland,Friendly,Turin › Italy
Sun Mar 28 1926,Netherlands,5-0,Switzerland,Friendly,Amsterdam › Netherlands
Sun Apr 11 1926,France,4-3,Belgium,Friendly,Vincennes › France
Sat Apr 17 1926,England,0-1,Scotland,British Championship,Manchester › England
Sun Apr 18 1926,France,4-2,Portugal,Friendly,Toulouse › France
Sun Apr 18 1926,Germany,4-2,Netherlands,Friendly,Düsseldorf › Germany
Sun Apr 18 1926,Switzerland,1-1,Italy,Friendly,Zürich › Switzerland
Sun Apr 25 1926,France,1-0,Switzerland,Friendly,Colombes › France
Sun Apr 25 1926,Romania,6-1,Bulgaria,Friendly,Bucharest › Romania
Sat May 1 1926,Kenya,1-1,Uganda,Friendly,Nairobi › Kenya
Sun May 2 1926,Hungary,0-3,Austria,Friendly,Budapest › Hungary
Sun May 2 1926,Netherlands,1-5,Belgium,Friendly,Amsterdam › Netherlands
Mon May 3 1926,Kenya,2-1,Uganda,Friendly,Nairobi › Kenya
Fri May 7 1926,Turkey,1-3,Romania,Friendly,Istanbul › Turkey
Sun May 9 1926,Italy,3-2,Switzerland,Friendly,Milan › Italy
Mon May 24 1926,Belgium,3-5,England,Friendly,Antwerp › Belgium
Sat May 29 1926,Argentina,2-1,Paraguay,Copa Chevallier Boutell,Buenos Aires › Argentina
Sun May 30 1926,Austria,4-1,France,Friendly,Vienna › Austria
Sun May 30 1926,Yugoslavia,3-1,Bulgaria,Friendly,Zagreb › Yugoslavia
Thu Jun 3 1926,Argentina,2-1,Paraguay,Copa Chevallier Boutell,Buenos Aires › Argentina
Sun Jun 6 1926,Finland,2-5,Norway,Friendly,Helsinki › Finland
Sun Jun 6 1926,Hungary,2-1,Czechoslovakia,Friendly,Budapest › Hungary
Wed Jun 9 1926,Sweden,3-2,Norway,Nordic Championship,Stockholm › Sweden
Sun Jun 13 1926,Denmark,4-1,Netherlands,Friendly,Copenhagen › Denmark
Sun Jun 13 1926,Estonia,3-1,Lithuania,Friendly,Tallinn › Estonia
Sun Jun 13 1926,France,4-1,Yugoslavia,Friendly,Colombes › France
Sun Jun 13 1926,Sweden,2-2,Czechoslovakia,Friendly,Stockholm › Sweden
Sun Jun 20 1926,Belgium,2-2,France,Friendly,Brussels › Belgium
Sun Jun 20 1926,Finland,3-2,Denmark,Friendly,Helsinki › Finland
Sun Jun 20 1926,Germany,3-3,Sweden,Friendly,Nuremberg › Germany
Mon Jun 28 1926,Yugoslavia,2-6,Czechoslovakia,Friendly,Zagreb › Yugoslavia
Sat Jul 3 1926,Czechoslovakia,4-2,Sweden,Friendly,Prague › Czechoslovakia
Sun Jul 4 1926,Poland,2-0,Estonia,Friendly,Warsaw › Poland
Wed Jul 7 1926,Czechoslovakia,2-1,Catalonia,Friendly,Prague › Czech Republic
Sun Jul 18 1926,Sweden,5-3,Italy,Friendly,Stockholm › Sweden
Tue Jul 20 1926,Latvia,4-1,Sweden,Friendly,Riga › Latvia
Fri Jul 23 1926,Estonia,1-7,Sweden,Friendly,Tallinn › Estonia
Mon Jul 26 1926,Finland,2-3,Sweden,Friendly,Helsinki › Finland
Sun Aug 8 1926,Poland,7-1,Finland,Friendly,Poznań › Poland
Thu Aug 12 1926,Latvia,1-4,Finland,Friendly,Riga › Latvia
Fri Aug 20 1926,Hungary,4-1,Poland,Friendly,Budapest › Hungary
Sat Aug 21 1926,Lithuania,2-3,Latvia,Friendly,Kaunas › Lithuania
Sun Sep 5 1926,Finland,1-1,Estonia,Friendly,Helsinki › Finland
Sun Sep 12 1926,Poland,6-1,Turkey,Friendly,Lwów › Poland
Sun Sep 19 1926,Austria,2-3,Hungary,Friendly,Vienna › Austria
Sun Sep 19 1926,Latvia,0-1,Estonia,Friendly,Riga › Latvia
Sun Sep 19 1926,Norway,2-2,Denmark,Nordic Championship,Oslo › Norway
