Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 4 1987,Barbados,3-0,Saint Vincent and the Grenadines,Friendly,Bridgetown › Barbados
Wed Jan 7 1987,Portugal,1-1,Greece,Friendly,Portalegre › Portugal
Tue Jan 13 1987,El Salvador,1-3,Mexico,Friendly,Los Angeles › United States
Wed Jan 14 1987,Greece,3-1,Cyprus,UEFA Euro qualification,Athens › Greece
Wed Jan 14 1987,India,1-1,China PR,Nehru Cup,Calicut › India
Sat Jan 17 1987,Mali,2-0,Burkina Faso,Friendly,Bamako › Mali
Mon Jan 19 1987,Guinea,1-0,Mali,Friendly,Conakry › Guinea
Wed Jan 21 1987,Spain,1-1,Netherlands,Friendly,Barcelona › Spain
Sat Jan 24 1987,Italy,5-0,Malta,UEFA Euro qualification,Bergamo › Italy
Sun Jan 25 1987,Niger,1-0,Mali,Friendly,Niamey › Niger
Tue Jan 27 1987,Nigeria,1-0,Syria,Nehru Cup,Calicut › India
Tue Jan 27 1987,Saint Lucia,1-3,Guyana,Friendly,Castries › Saint Lucia
Sat Jan 31 1987,Ivory Coast,0-2,Ghana,West African Cup,Monrovia › Liberia
Sun Feb 1 1987,Liberia,2-0,Burkina Faso,West African Cup,Monrovia › Liberia
Mon Feb 2 1987,Niger,0-4,Ghana,West African Cup,Monrovia › Liberia
Tue Feb 3 1987,Liberia,0-0,Benin,West African Cup,Monrovia › Liberia
Wed Feb 4 1987,Niger,0-1,Ivory Coast,West African Cup,Monrovia › Liberia
Wed Feb 4 1987,Portugal,1-0,Belgium,Friendly,Braga › Portugal
Thu Feb 5 1987,Burkina Faso,3-2,Benin,West African Cup,Monrovia › Liberia
Sat Feb 7 1987,Cayman Islands,1-3,Jamaica,Friendly,George Town › Cayman Islands
Sat Feb 7 1987,Tunisia,1-3,Austria,Friendly,Tunis › Tunisia
Sun Feb 8 1987,Cyprus,0-1,Hungary,UEFA Euro qualification,Nicosia › Cyprus
Sun Feb 8 1987,Liberia,1-2,Ghana,West African Cup,Monrovia › Liberia
Sat Feb 14 1987,Portugal,0-1,Italy,UEFA Euro qualification,Oeiras › Portugal
Mon Feb 16 1987,Kuwait,2-0,Algeria,Friendly,Kuwait City › Kuwait
Wed Feb 18 1987,Israel,1-1,Northern Ireland,Friendly,Ramat-Gan › Israel
Wed Feb 18 1987,Scotland,0-1,Republic of Ireland,UEFA Euro qualification,Glasgow › Scotland
Wed Feb 18 1987,Spain,2-4,England,Friendly,Madrid › Spain
Wed Feb 18 1987,Wales,0-0,Russia,Friendly,Swansea › Wales
Fri Feb 20 1987,Panama,1-0,Cuba,Friendly,Panama City › Panama
Fri Feb 20 1987,Thailand,2-0,Oman,King's Cup,Bangkok › Thailand
Sat Feb 21 1987,North Korea,1-0,Russia,King's Cup,Bangkok › Thailand
Sat Feb 21 1987,Kuwait,2-0,Iraq,Friendly,Kuwait City › Kuwait
Sun Feb 22 1987,Guinea,1-0,Mauritania,Amílcar Cabral Cup,Conakry › Guinea
Sun Feb 22 1987,Guinea-Bissau,0-0,Mali,Amílcar Cabral Cup,Conakry › Guinea
Sun Feb 22 1987,Panama,1-3,Cuba,Friendly,Panama City › Panama
Mon Feb 23 1987,Senegal,0-1,Sierra Leone,Amílcar Cabral Cup,Conakry › Guinea
Tue Feb 24 1987,Guinea,0-0,Mali,Amílcar Cabral Cup,Conakry › Guinea
Tue Feb 24 1987,Guinea-Bissau,1-1,Mauritania,Amílcar Cabral Cup,Conakry › Guinea
Wed Feb 25 1987,Cape Verde,0-2,Senegal,Amílcar Cabral Cup,Conakry › Guinea
Wed Feb 25 1987,Dominican Republic,0-2,Panama,Friendly,Santo Domingo › Dominican Republic
Thu Feb 26 1987,Guinea,0-0,Guinea-Bissau,Amílcar Cabral Cup,Conakry › Guinea
Thu Feb 26 1987,Kuwait,1-1,Iceland,Friendly,Kuwait City › Kuwait
Thu Feb 26 1987,Mali,1-0,Mauritania,Amílcar Cabral Cup,Conakry › Guinea
Fri Feb 27 1987,Cape Verde,0-2,Sierra Leone,Amílcar Cabral Cup,Conakry › Guinea
Fri Feb 27 1987,Dominican Republic,1-2,Panama,Friendly,Santo Domingo › Dominican Republic
Sat Feb 28 1987,Dominican Republic,1-1,Panama,Friendly,Santo Domingo › Dominican Republic
Sat Feb 28 1987,Kuwait,0-1,Iceland,Friendly,Kuwait City › Kuwait
Sun Mar 1 1987,Guinea,1-0,Senegal,Amílcar Cabral Cup,Conakry › Guinea
Sun Mar 1 1987,Mali,0-0,Sierra Leone,Amílcar Cabral Cup,Conakry › Guinea
Mon Mar 2 1987,Senegal,0-0,Sierra Leone,Amílcar Cabral Cup,Conakry › Guinea
Tue Mar 3 1987,Dominican Republic,0-1,Panama,Friendly,Santo Domingo › Dominican Republic
Tue Mar 3 1987,Guinea,1-0,Mali,Amílcar Cabral Cup,Conakry › Guinea
Wed Mar 4 1987,Turkey,1-3,Romania,Friendly,Ankara › Turkey
Fri Mar 6 1987,Palau,2-6,Vanuatu,Friendly,Adelaide › Australia
Wed Mar 11 1987,Greece,1-1,Romania,Friendly,Piraeus › Greece
Sat Mar 14 1987,Barbados,2-2,Guyana,Friendly,Bridgetown › Barbados
Tue Mar 17 1987,Mexico,3-2,China PR,Friendly,León › Mexico
Wed Mar 18 1987,Ivory Coast,2-1,DR Congo,Friendly,Abidjan › Ivory Coast
Wed Mar 18 1987,Poland,3-1,Finland,Friendly,Rybnik › Poland
Thu Mar 19 1987,United Arab Emirates,1-1,Syria,Friendly,Abu Dhabi › United Arab Emirates
Sun Mar 22 1987,Guatemala,2-0,El Salvador,Friendly,Guatemala › Guatemala
Sun Mar 22 1987,Ivory Coast,1-3,DR Congo,Friendly,Abidjan › Ivory Coast
Mon Mar 23 1987,United Arab Emirates,2-1,Syria,Friendly,Abu Dhabi › United Arab Emirates
Tue Mar 24 1987,Poland,4-1,Norway,Friendly,Wrocław › Poland
Wed Mar 25 1987,Israel,0-2,Germany,Friendly,Ramat-Gan › Israel
Wed Mar 25 1987,Jordan,2-1,Cyprus,Friendly,Amman › Jordan
Wed Mar 25 1987,Netherlands,1-1,Greece,UEFA Euro qualification,Rotterdam › Netherlands
Wed Mar 25 1987,Panama,0-0,Cuba,Friendly,Panama City › Panama
Wed Mar 25 1987,Romania,5-1,Albania,UEFA Euro qualification,Bucharest › Romania
Wed Mar 25 1987,Switzerland,1-2,Czechoslovakia,Friendly,Bellinzona › Switzerland
Wed Mar 25 1987,Turkey,3-1,German DR,Friendly,Istanbul › Turkey
Wed Mar 25 1987,Yugoslavia,4-0,Austria,Friendly,Banja Luka › Yugoslavia
