Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 3 1988,Gambia,0-2,Ghana,Friendly,Banjul › Gambia
Tue Jan 5 1988,Algeria,4-1,Congo,Friendly,Annaba › Algeria
Tue Jan 5 1988,Gambia,0-0,Ghana,Friendly,Banjul › Gambia
Wed Jan 6 1988,Guatemala,1-2,Costa Rica,Friendly,Guatemala › Guatemala
Wed Jan 6 1988,South Korea,1-1,Egypt,Friendly,Doha › Qatar
Sun Jan 10 1988,Guatemala,1-0,United States,Friendly,Guatemala › Guatemala
Tue Jan 12 1988,Czechoslovakia,0-2,Finland,Friendly,Las Palmas › Spain
Tue Jan 12 1988,German DR,1-4,Sweden,Friendly,Las Palmas › Spain
Wed Jan 13 1988,Guatemala,0-1,United States,Friendly,Guatemala › Guatemala
Wed Jan 13 1988,Honduras,0-1,Mexico,Friendly,San Pedro Sula › Honduras
Thu Jan 14 1988,Thailand,3-3,Indonesia,King's Cup,Bangkok › Thailand
Fri Jan 15 1988,Czechoslovakia,1-0,German DR,Friendly,Las Palmas › Spain
Fri Jan 15 1988,Finland,0-1,Sweden,Friendly,Las Palmas › Spain
Fri Jan 15 1988,Jordan,0-1,United Arab Emirates,Friendly,Manama › Bahrain
Mon Jan 18 1988,Indonesia,3-0,Oman,King's Cup,Bangkok › Thailand
Mon Jan 18 1988,Jordan,2-0,United Arab Emirates,Friendly,Manama › Bahrain
Tue Jan 19 1988,Israel,2-3,Belgium,Friendly,Ramat-Gan › Israel
Wed Jan 20 1988,Thailand,3-1,Oman,King's Cup,Bangkok › Thailand
Thu Jan 21 1988,Malaysia,0-0,South Korea,King's Cup,Bangkok › Thailand
Thu Jan 21 1988,Qatar,2-3,Bulgaria,Friendly,Doha › Qatar
Sat Jan 23 1988,United Arab Emirates,0-3,Bulgaria,Friendly,Doha › Qatar
Wed Jan 27 1988,Israel,1-1,France,Friendly,Ramat-Gan › Israel
Wed Jan 27 1988,Spain,0-0,German DR,Friendly,Valencia › Spain
Wed Jan 27 1988,United Arab Emirates,1-1,Japan,Friendly,Dubai › United Arab Emirates
Sat Jan 30 1988,United Arab Emirates,2-0,Japan,Friendly,Abu Dhabi › United Arab Emirates
Tue Feb 2 1988,Austria,1-3,Morocco,Tournoi de France,Toulouse › France
