Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 17 1906,Northern Ireland,0-5,England,British Championship,Belfast › Republic of Ireland
Sat Mar 3 1906,Scotland,0-2,Wales,British Championship,Edinburgh › Scotland
Sat Mar 17 1906,Northern Ireland,0-1,Scotland,British Championship,Dublin › Republic of Ireland
Mon Mar 19 1906,Wales,0-1,England,British Championship,Cardiff › Wales
Sun Apr 1 1906,Hungary,1-1,Czechoslovakia,Friendly,Budapest › Hungary
Mon Apr 2 1906,Wales,4-4,Northern Ireland,British Championship,Wrexham › Wales
Sat Apr 7 1906,Scotland,2-1,England,British Championship,Glasgow › Scotland
Sun Apr 22 1906,France,0-5,Belgium,Friendly,Saint-Cloud › France
Sun Apr 29 1906,Belgium,5-0,Netherlands,Friendly,Antwerp › Belgium
Sun May 13 1906,Netherlands,2-3,Belgium,Friendly,Rotterdam › Netherlands
Wed Aug 15 1906,Uruguay,0-2,Argentina,Copa Lipton,Montevideo › Uruguay
Sun Oct 7 1906,Czechoslovakia,4-4,Hungary,Friendly,Prague › Bohemia
Sun Oct 21 1906,Argentina,2-1,Uruguay,Copa Newton,Buenos Aires › Argentina
Sun Nov 4 1906,Hungary,3-1,Austria,Friendly,Budapest › Hungary
