Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 9 1938,Dominica,4-1,Saint Lucia,Friendly,Roseau › Dominica
Sun Jan 9 1938,Portugal,4-0,Hungary,Friendly,Lisbon › Portugal
Sun Jan 9 1938,Mexico,3-1,Basque Country,Friendly,Mexico City › Mexico
Mon Jan 10 1938,Dominica,1-3,Saint Lucia,Friendly,Roseau › Dominica
Tue Jan 11 1938,Dominica,1-0,Saint Lucia,Friendly,Roseau › Dominica
Sun Jan 16 1938,Luxembourg,0-6,Hungary,Friendly,Luxembourg › Luxembourg
Sat Jan 22 1938,Israel,1-3,Greece,FIFA World Cup qualification,Tel Aviv › Palestine
Sun Jan 30 1938,France,5-3,Belgium,Friendly,Paris › France
Sun Jan 30 1938,Portugal,1-0,Spain,Friendly,Lisbon › Portugal
Sun Feb 6 1938,Germany,1-1,Switzerland,Friendly,Cologne › Germany
Sun Feb 20 1938,Greece,1-0,Israel,FIFA World Cup qualification,Athens › Greece
Sun Feb 27 1938,Netherlands,7-2,Belgium,Friendly,Rotterdam › Netherlands
Sun Mar 13 1938,Haiti,5-2,Jamaica,Friendly,Port-au-Prince › Haiti
Sun Mar 13 1938,Luxembourg,2-3,Belgium,FIFA World Cup qualification,Luxembourg › Luxembourg
Sun Mar 13 1938,Switzerland,3-3,Poland,Friendly,Zürich › Switzerland
Wed Mar 16 1938,Northern Ireland,1-0,Wales,British Championship,Belfast › Northern Ireland
Thu Mar 17 1938,Haiti,2-0,Jamaica,Friendly,Port-au-Prince › Haiti
Sun Mar 20 1938,Germany,2-1,Luxembourg,Friendly,Wuppertal › Germany
Sun Mar 20 1938,Germany,1-1,Hungary,Friendly,Nuremberg › Germany
Sun Mar 20 1938,Haiti,2-0,Jamaica,Friendly,Port-au-Prince › Haiti
Thu Mar 24 1938,France,6-1,Bulgaria,Friendly,Paris › France
Fri Mar 25 1938,Hungary,11-1,Greece,FIFA World Cup qualification,Budapest › Hungary
Mon Mar 28 1938,Guyana,1-1,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Fri Apr 1 1938,Guyana,0-3,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Sun Apr 3 1938,Belgium,1-1,Netherlands,FIFA World Cup qualification,Antwerp › Belgium
Sun Apr 3 1938,Switzerland,4-0,Czechoslovakia,International Cup,Basel › Switzerland
Sun Apr 3 1938,Yugoslavia,1-0,Poland,FIFA World Cup qualification,Belgrade › Yugoslavia
Thu Apr 7 1938,Guyana,0-2,Trinidad and Tobago,Friendly,Georgetown › British Guyana
Sat Apr 9 1938,England,0-1,Scotland,British Championship,London › England
Sun Apr 24 1938,Czechoslovakia,6-0,Bulgaria,FIFA World Cup qualification,Prague › Czechoslovakia
Sun Apr 24 1938,Germany,1-1,Portugal,Friendly,Frankfurt am Main › Germany
Sun May 1 1938,Switzerland,2-1,Portugal,FIFA World Cup qualification,Milan › Italy
