Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 5 1947,Portugal,2-2,Switzerland,Friendly,Lisbon › Portugal
Sun Jan 26 1947,Portugal,4-1,Spain,Friendly,Oeiras › Portugal
Wed Feb 12 1947,Jamaica,0-0,Trinidad and Tobago,Friendly,Kingston › Jamaica
Sat Feb 15 1947,Jamaica,2-1,Trinidad and Tobago,Friendly,Kingston › Jamaica
Sat Feb 15 1947,Madagascar,1-2,Mauritius,Friendly,Antananarivo › Madagascar
Wed Feb 19 1947,Jamaica,1-0,Trinidad and Tobago,Friendly,Kingston › Jamaica
Sat Feb 22 1947,Jamaica,1-2,Trinidad and Tobago,Friendly,Kingston › Jamaica
Sat Feb 22 1947,Zambia,2-2,Zimbabwe,Friendly,Kitwe › Northern Rhodesia
Wed Feb 26 1947,Jamaica,0-6,Trinidad and Tobago,Friendly,Kingston › Jamaica
Sat Mar 1 1947,Curaçao,4-0,Trinidad and Tobago,Friendly,Willemstad › Curaçao
Sun Mar 2 1947,Curaçao,3-0,Trinidad and Tobago,Friendly,Willemstad › Curaçao
Sun Mar 2 1947,Republic of Ireland,3-2,Spain,Friendly,Dublin › Éire
Sun Mar 2 1947,Suriname,9-1,French Guiana,Friendly,Paramaribo › Netherlands Guyana
Sun Mar 23 1947,France,1-0,Portugal,Friendly,Colombes › France
Sat Mar 29 1947,Uruguay,0-0,Brazil,Copa Rio Branco,Montevideo › Uruguay
Tue Apr 1 1947,Brazil,3-2,Uruguay,Copa Rio Branco,Rio de Janeiro › Brazil
Mon Apr 7 1947,Netherlands,2-1,Belgium,Friendly,Amsterdam › Netherlands
Sat Apr 12 1947,England,1-1,Scotland,British Championship,London › England
Wed Apr 16 1947,Northern Ireland,2-1,Wales,British Championship,Belfast › Northern Ireland
Sun Apr 27 1947,Italy,5-2,Switzerland,Friendly,Florence › Italy
Sat May 3 1947,England,3-0,France,Friendly,London › England
Sun May 4 1947,Belgium,1-2,Netherlands,Friendly,Antwerp › Belgium
Sun May 4 1947,Hungary,5-2,Austria,Friendly,Budapest › Hungary
Sun May 4 1947,Republic of Ireland,0-2,Portugal,Friendly,Dublin › Éire
Sat May 10 1947,Australia,1-2,South Africa,Friendly,Sydney › Australia
Sun May 11 1947,Czechoslovakia,3-1,Yugoslavia,Friendly,Prague › Czechoslovakia
Sun May 11 1947,Italy,3-2,Hungary,Friendly,Turin › Italy
