Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 12 1910,Northern Ireland,1-1,England,British Championship,Belfast › Republic of Ireland
Sat Mar 5 1910,Scotland,1-0,Wales,British Championship,Kilmarnock › Scotland
Sun Mar 13 1910,Belgium,3-2,Netherlands,Friendly,Antwerp › Belgium
Mon Mar 14 1910,Wales,0-1,England,British Championship,Cardiff › Wales
Sat Mar 19 1910,Northern Ireland,1-0,Scotland,British Championship,Belfast › Republic of Ireland
Sat Apr 2 1910,Scotland,2-0,England,British Championship,Glasgow › Scotland
Sun Apr 3 1910,Switzerland,2-3,Germany,Friendly,Basel › Switzerland
Sun Apr 3 1910,France,0-4,Belgium,Friendly,Gentilly › France
Sun Apr 10 1910,Netherlands,7-0,Belgium,Friendly,Haarlem › Netherlands
Mon Apr 11 1910,Wales,4-1,Northern Ireland,British Championship,Wrexham › Wales
Sun Apr 24 1910,Netherlands,4-2,Germany,Friendly,Arnhem › Netherlands
Sun May 1 1910,Austria,2-1,Hungary,Friendly,Vienna › Austria
Sun May 15 1910,Italy,6-2,France,Friendly,Milan › Italy
Mon May 16 1910,Germany,0-3,Belgium,Friendly,Duisburg › Germany
Thu May 26 1910,Hungary,6-1,Italy,Friendly,Budapest › Hungary
Fri May 27 1910,Argentina,3-1,Chile,Friendly,Buenos Aires › Argentina
Sun May 29 1910,Chile,0-3,Uruguay,Friendly,Buenos Aires › Argentina
Sun Jun 5 1910,Argentina,5-1,Chile,Friendly,Buenos Aires › Argentina
Sun Jun 12 1910,Argentina,4-1,Uruguay,Friendly,Buenos Aires › Argentina
Mon Aug 15 1910,Uruguay,3-1,Argentina,Copa Lipton,Montevideo › Uruguay
Sun Sep 11 1910,Norway,0-4,Sweden,Friendly,Kristiania › Norway
Sun Sep 11 1910,Chile,0-3,Argentina,Friendly,Viña del Mar › Chile
Sun Oct 16 1910,Germany,1-2,Netherlands,Friendly,Kleve › Germany
Sun Nov 6 1910,Hungary,3-0,Austria,Friendly,Budapest › Hungary
Sun Nov 13 1910,Argentina,1-1,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
Sun Nov 27 1910,Argentina,2-6,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
