Date,Team 1,Score,Team 2,Tournament,City
Sun May 7 1916,Austria,3-1,Hungary,Friendly,Vienna › Austria
Sun May 21 1916,Catalonia,1-3,Basque Country,Friendly,Barcelona › Spain
Mon May 22 1916,Catalonia,0-0,Basque Country,Friendly,Barcelona › Spain
Sun Jun 4 1916,Denmark,2-0,Sweden,Friendly,Copenhagen › Denmark
Sun Jun 4 1916,Basque Country,5-0,Catalonia,Friendly,Bilbao › Spain
Sun Jun 4 1916,Hungary,2-1,Austria,Friendly,Budapest › Hungary
Sun Jun 25 1916,Norway,0-2,Denmark,Friendly,Kristiania › Norway
Sun Jul 2 1916,Sweden,6-0,Norway,Friendly,Stockholm › Sweden
Sun Jul 2 1916,Chile,0-4,Uruguay,Copa América,Buenos Aires › Argentina
Thu Jul 6 1916,Argentina,6-1,Chile,Copa América,Buenos Aires › Argentina
Sat Jul 8 1916,Brazil,1-1,Chile,Copa América,Buenos Aires › Argentina
Mon Jul 10 1916,Argentina,1-1,Brazil,Copa América,Buenos Aires › Argentina
Wed Jul 12 1916,Argentina,1-0,Chile,Friendly,Buenos Aires › Argentina
Wed Jul 12 1916,Brazil,1-2,Uruguay,Copa América,Buenos Aires › Argentina
Fri Jul 14 1916,Uruguay,4-1,Chile,Friendly,Montevideo › Uruguay
Mon Jul 17 1916,Argentina,0-0,Uruguay,Copa América,Avellaneda › Argentina
Tue Jul 18 1916,Uruguay,0-1,Brazil,Friendly,Montevideo › Uruguay
Tue Aug 15 1916,Argentina,3-1,Uruguay,Copa Newton,Avellaneda › Argentina
Tue Aug 15 1916,Uruguay,1-2,Argentina,Copa Lipton,Montevideo › Uruguay
Sun Aug 20 1916,Sweden,2-3,United States,Friendly,Stockholm › Sweden
Sun Sep 3 1916,Norway,1-1,United States,Friendly,Kristiania › Norway
Sun Oct 1 1916,Uruguay,0-1,Argentina,Copa Premio Honor Uruguayo,Montevideo › Uruguay
Sun Oct 1 1916,Argentina,7-2,Uruguay,Friendly,Avellaneda › Argentina
Sun Oct 1 1916,Norway,0-0,Sweden,Friendly,Kristiania › Norway
Sun Oct 1 1916,Hungary,2-3,Austria,Friendly,Budapest › Hungary
Sun Oct 8 1916,Sweden,4-0,Denmark,Friendly,Stockholm › Sweden
Sun Oct 15 1916,Denmark,8-0,Norway,Friendly,Copenhagen › Denmark
Sun Oct 29 1916,Uruguay,3-1,Argentina,Friendly,Montevideo › Uruguay
Sun Nov 5 1916,Austria,3-3,Hungary,Friendly,Vienna › Austria
