Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 15 1908,Northern Ireland,1-3,England,British Championship,Belfast › Republic of Ireland
Sat Mar 7 1908,Scotland,2-1,Wales,British Championship,Dundee › Scotland
Sun Mar 8 1908,Switzerland,1-2,France,Friendly,Geneva › Switzerland
Sat Mar 14 1908,Northern Ireland,0-5,Scotland,British Championship,Dublin › Republic of Ireland
Mon Mar 16 1908,Wales,1-7,England,British Championship,Wrexham › Wales
Sun Mar 29 1908,Belgium,1-4,Netherlands,Friendly,Antwerp › Belgium
Sat Apr 4 1908,Scotland,1-1,England,British Championship,Glasgow › Scotland
Sun Apr 5 1908,Hungary,5-2,Czechoslovakia,Friendly,Budapest › Hungary
Sun Apr 5 1908,Switzerland,5-3,Germany,Friendly,Basel › Switzerland
Sat Apr 11 1908,Wales,0-1,Northern Ireland,British Championship,Aberdare › Wales
Sun Apr 12 1908,France,1-2,Belgium,Friendly,Colombes › France
Sun Apr 26 1908,Netherlands,3-1,Belgium,Friendly,Rotterdam › Netherlands
Sun May 3 1908,Austria,4-0,Hungary,Friendly,Vienna › Austria
Sun May 10 1908,Netherlands,4-1,France,Friendly,Rotterdam › Netherlands
Sat Jun 6 1908,Austria,1-6,England,Friendly,Vienna › Austria
Sun Jun 7 1908,Austria,3-2,Germany,Friendly,Vienna › Austria
Mon Jun 8 1908,Austria,1-11,England,Friendly,Vienna › Austria
Wed Jun 10 1908,Hungary,0-7,England,Friendly,Budapest › Hungary
Sat Jun 13 1908,Czechoslovakia,0-4,England,Friendly,Prague › Bohemia
Sun Jul 12 1908,Sweden,11-3,Norway,Friendly,Gothenburg › Sweden
Sat Aug 15 1908,Uruguay,2-2,Argentina,Copa Lipton,Montevideo › Uruguay
Sun Sep 13 1908,Argentina,2-1,Uruguay,Copa Newton,Buenos Aires › Argentina
Sun Oct 4 1908,Argentina,0-1,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
Sun Oct 25 1908,Netherlands,5-3,Sweden,Friendly,The Hague › Netherlands
Mon Oct 26 1908,Belgium,2-1,Sweden,Friendly,Brussels › Belgium
Sun Nov 1 1908,Hungary,5-3,Austria,Friendly,Budapest › Hungary
