Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 5 1966,England,1-1,Poland,Friendly,Liverpool › England
Tue Feb 8 1966,Panama,3-1,Nicaragua,Friendly,Panama City › Panama
Sun Feb 13 1966,Malta,1-0,Libya,Friendly,Gżira › Malta
Wed Feb 23 1966,Chile,0-2,Russia,Friendly,Santiago › Chile
Wed Feb 23 1966,England,1-0,Germany,Friendly,London › England
Fri Feb 25 1966,Egypt,2-2,Bulgaria,Friendly,Cairo › Egypt
Sun Feb 27 1966,Benin,1-2,Nigeria,Friendly,Cotonou › Dahomey
Sun Feb 27 1966,Niger,2-1,DR Congo,Friendly,Niamey › Niger
Mon Feb 28 1966,Panama,0-1,Guatemala,Friendly,Panama City › Panama
Sat Mar 5 1966,Uganda,2-3,Kenya,Friendly,Kampala › Uganda
Sun Mar 6 1966,Guinea,5-0,Senegal,Friendly,Conakry › Guinea
Sun Mar 6 1966,Morocco,1-0,Algeria,Friendly,Casablanca › Morocco
Sun Mar 6 1966,Togo,2-2,Nigeria,Friendly,Lomé › Togo
Fri Mar 11 1966,Libya,4-0,Morocco,Friendly,Tripoli › Libya
Mon Mar 14 1966,Libya,0-2,Iraq,Friendly,Tripoli › Libya
Wed Mar 16 1966,Iran,0-0,Turkey,Friendly,Teheran › Iran
Fri Mar 18 1966,Iraq,0-1,Morocco,Friendly,Tripoli › Libya
Sat Mar 19 1966,France,0-0,Italy,Friendly,Paris › France
Sat Mar 19 1966,Iraq,1-2,Morocco,Friendly,Tripoli › Libya
Wed Mar 23 1966,Netherlands,2-4,Germany,Friendly,Rotterdam › Netherlands
Fri Mar 25 1966,Panama,1-0,El Salvador,Friendly,Panama City › Panama
Sun Mar 27 1966,Libya,0-1,Malta,Friendly,Tripoli › Libya
Wed Mar 30 1966,Wales,1-4,Northern Ireland,British Championship,Cardiff › Wales
Fri Apr 1 1966,Bahrain,4-4,Kuwait,UAFA Cup,Baghdad › Iraq
Fri Apr 1 1966,Iraq,0-0,Lebanon,UAFA Cup,Baghdad › Iraq
Fri Apr 1 1966,Montenegro,0-1,Russia,Friendly,Titograd › Yugoslavia
Sat Apr 2 1966,Libya,0-0,Palestine,UAFA Cup,Baghdad › Iraq
Sat Apr 2 1966,Scotland,3-4,England,British Championship,Glasgow › Scotland
Sat Apr 2 1966,Syria,4-1,Yemen,UAFA Cup,Baghdad › Iraq
Sun Apr 3 1966,Bahrain,1-6,Lebanon,UAFA Cup,Baghdad › Iraq
Sun Apr 3 1966,Iraq,2-1,Jordan,UAFA Cup,Baghdad › Iraq
Sun Apr 3 1966,Kenya,3-3,Uganda,Friendly,Nairobi › Kenya
Mon Apr 4 1966,Libya,0-0,Syria,UAFA Cup,Baghdad › Iraq
Mon Apr 4 1966,Palestine,7-0,Yemen,UAFA Cup,Baghdad › Iraq
Tue Apr 5 1966,Iraq,3-1,Kuwait,UAFA Cup,Baghdad › Iraq
Tue Apr 5 1966,Jordan,1-2,Lebanon,UAFA Cup,Baghdad › Iraq
Wed Apr 6 1966,Israel,7-1,Finland,Friendly,Jaffa › Israel
Wed Apr 6 1966,Libya,14-0,Yemen,UAFA Cup,Baghdad › Iraq
Wed Apr 6 1966,Palestine,1-3,Syria,UAFA Cup,Baghdad › Iraq
Thu Apr 7 1966,Iraq,10-1,Bahrain,UAFA Cup,Baghdad › Iraq
Thu Apr 7 1966,Jordan,2-2,Kuwait,UAFA Cup,Baghdad › Iraq
Fri Apr 8 1966,Iraq,3-1,Libya,UAFA Cup,Baghdad › Iraq
Fri Apr 8 1966,Lebanon,0-1,Syria,UAFA Cup,Baghdad › Iraq
Sat Apr 9 1966,Bahrain,1-2,Jordan,UAFA Cup,Baghdad › Iraq
Sat Apr 9 1966,Kuwait,1-2,Lebanon,UAFA Cup,Baghdad › Iraq
Sat Apr 9 1966,Nigeria,1-1,Togo,Friendly,Lagos › Nigeria
Sun Apr 10 1966,Benin,2-5,Ghana,Friendly,Cotonou › Dahomey
Sun Apr 10 1966,Iraq,2-1,Syria,UAFA Cup,Baghdad › Iraq
Sun Apr 10 1966,Libya,6-1,Lebanon,UAFA Cup,Baghdad › Iraq
Sun Apr 17 1966,Chile,0-1,Brazil,Copa Bernardo O'Higgins,Santiago › Chile
Sun Apr 17 1966,Netherlands,3-1,Belgium,Friendly,Rotterdam › Netherlands
Wed Apr 20 1966,Chile,2-1,Brazil,Copa Bernardo O'Higgins,Viña del Mar › Chile
Wed Apr 20 1966,France,0-3,Belgium,Friendly,Paris › France
Wed Apr 20 1966,Switzerland,2-2,Russia,Friendly,Basel › Switzerland
Sun Apr 24 1966,Austria,0-1,Russia,Friendly,Vienna › Austria
Sun Apr 24 1966,Mexico,7-0,Paraguay,Friendly,Mexico City › Mexico
Tue Apr 26 1966,Togo,1-0,Benin,Friendly,Lomé › Togo
Wed Apr 27 1966,German DR,4-1,Sweden,Friendly,Leipzig › German DR
Tue May 3 1966,Poland,1-1,Hungary,Friendly,Chorzów › Poland
Wed May 4 1966,England,2-0,Yugoslavia,Friendly,London › England
Wed May 4 1966,Republic of Ireland,0-4,Germany,Friendly,Dublin › Republic of Ireland
Sat May 7 1966,Northern Ireland,0-2,Germany,Friendly,Belfast › Northern Ireland
Sun May 8 1966,Finland,0-3,Israel,Friendly,Helsinki › Finland
Sun May 8 1966,Yugoslavia,2-0,Hungary,Friendly,Zagreb › Yugoslavia
