Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 2 1994,Barbados,0-0,Grenada,Friendly,Bridgetown › Barbados
Sun Jan 2 1994,Ghana,2-1,Egypt,Friendly,Accra › Ghana
Wed Jan 5 1994,Mali,1-1,Burkina Faso,Friendly,Bamako › Mali
Sun Jan 9 1994,Mauritania,1-3,Mali,Friendly,Nouakchott › Mauritania
Tue Jan 11 1994,Thailand,1-1,Nigeria,Friendly,Bangkok › Thailand
Sat Jan 15 1994,United States,2-1,Norway,Friendly,Tempe › United States
Tue Jan 18 1994,Guinea,3-0,Ivory Coast,Friendly,Conakry › Guinea
Wed Jan 19 1994,Costa Rica,0-0,Norway,Friendly,San Diego › United States
Wed Jan 19 1994,Mexico,1-1,Bulgaria,Friendly,San Diego › United States
Wed Jan 19 1994,Spain,2-2,Portugal,Friendly,Vigo › Spain
Wed Jan 19 1994,Suriname,1-0,French Guiana,CFU Caribbean Cup qualification,Paramaribo › Suriname
Wed Jan 19 1994,Tunisia,2-2,Netherlands,Friendly,Tunis › Tunisia
Fri Jan 21 1994,Guyana,1-1,French Guiana,CFU Caribbean Cup qualification,Paramaribo › Suriname
Sat Jan 22 1994,United States,1-1,Switzerland,Friendly,Fullerton › United States
Sun Jan 23 1994,Barbados,0-1,Puerto Rico,CFU Caribbean Cup qualification,Bridgetown › Barbados
Sun Jan 23 1994,Mali,1-0,Senegal,Friendly,Bamako › Mali
Sun Jan 23 1994,Saudi Arabia,1-0,China PR,Friendly,Riyadh › Saudi Arabia
Sun Jan 23 1994,Suriname,2-0,Guyana,CFU Caribbean Cup qualification,Paramaribo › Suriname
Tue Jan 25 1994,Grenada,1-0,Puerto Rico,CFU Caribbean Cup qualification,Bridgetown › Barbados
Tue Jan 25 1994,Qatar,1-0,Finland,Friendly,Doha › Qatar
Wed Jan 26 1994,Mexico,1-5,Switzerland,Friendly,Oakland › United States
Wed Jan 26 1994,Saudi Arabia,1-1,China PR,Friendly,Riyadh › Saudi Arabia
Thu Jan 27 1994,Barbados,3-2,Grenada,CFU Caribbean Cup qualification,Bridgetown › Barbados
Thu Jan 27 1994,Qatar,0-0,Finland,Friendly,Doha › Qatar
Fri Jan 28 1994,Venezuela,1-2,Colombia,Friendly,Barinas › Venezuela
Sat Jan 29 1994,Burkina Faso,1-1,Guinea,Friendly,Ouagadougou › Burkina Faso
Sat Jan 29 1994,Ivory Coast,5-3,Niger,Friendly,Ouagadougou › Burkina Faso
Sat Jan 29 1994,United States,1-1,Russia,Friendly,Seattle › United States
Sun Jan 30 1994,Burkina Faso,0-1,Ivory Coast,Friendly,Ouagadougou › Burkina Faso
Sun Jan 30 1994,Guinea,1-3,Niger,Friendly,Ouagadougou › Burkina Faso
Sun Jan 30 1994,Oman,0-2,Finland,Friendly,Muscat › Oman
Sun Jan 30 1994,Senegal,0-0,Mali,Friendly,Dakar › Senegal
Tue Feb 1 1994,Oman,1-1,Finland,Friendly,Muscat › Oman
Wed Feb 2 1994,Egypt,1-1,Morocco,United Arab Emirates Friendship Tournament,Sharjah › United Arab Emirates
