Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 6 1991,Burkina Faso,2-0,Mali,Friendly,Ouagadougou › Burkina Faso
Wed Jan 9 1991,Burkina Faso,2-2,Niger,Friendly,Ouagadougou › Burkina Faso
Fri Jan 11 1991,Russia,4-0,Zambia,Nehru Cup,Trivandrum › India
Sun Jan 13 1991,Burkina Faso,1-1,Nigeria,African Cup of Nations qualification,Ouagadougou › Burkina Faso
Sun Jan 13 1991,Ghana,4-0,Benin,African Cup of Nations qualification,Accra › Ghana
Sun Jan 13 1991,Morocco,3-1,Ivory Coast,African Cup of Nations qualification,Rabat › Morocco
Mon Jan 14 1991,Hungary,1-1,Russia,Nehru Cup,Trivandrum › India
Wed Jan 16 1991,Spain,1-1,Portugal,Friendly,Castellón de la Plana › Spain
Thu Jan 17 1991,India,1-2,Hungary,Nehru Cup,Trivandrum › India
Sun Jan 20 1991,India,1-0,Zambia,Nehru Cup,Trivandrum › India
Wed Jan 23 1991,Greece,3-2,Portugal,UEFA Euro qualification,Athens › Greece
Wed Jan 23 1991,Hungary,4-1,Zambia,Nehru Cup,Trivandrum › India
Thu Jan 24 1991,India,1-3,Russia,Nehru Cup,Trivandrum › India
Sun Jan 27 1991,Benin,1-2,Burkina Faso,African Cup of Nations qualification,Cotonou › Benin
Sun Jan 27 1991,Niger,1-0,Morocco,African Cup of Nations qualification,Niamey › Niger
Sun Jan 27 1991,Togo,0-0,Nigeria,African Cup of Nations qualification,Lomé › Togo
Tue Jan 29 1991,Mexico,0-0,Colombia,Friendly,León › Mexico
Wed Jan 30 1991,Australia,0-1,Czechoslovakia,Friendly,Melbourne › Australia
Fri Feb 1 1991,United States,0-1,Switzerland,Friendly,Miami › United States
Sun Feb 3 1991,Colombia,2-3,Switzerland,Friendly,Miami › United States
Tue Feb 5 1991,Northern Ireland,3-1,Poland,Friendly,Belfast › Northern Ireland
Wed Feb 6 1991,Australia,0-2,Czechoslovakia,Friendly,Parramatta › Australia
Wed Feb 6 1991,England,2-0,Cameroon,Friendly,London › England
Wed Feb 6 1991,Guinea-Bissau,2-1,Gambia,Friendly,Bissau › Guinea-Bissau
Wed Feb 6 1991,Scotland,0-1,Russia,Friendly,Glasgow › Scotland
Wed Feb 6 1991,Wales,0-3,Republic of Ireland,Friendly,Wrexham › Wales
Thu Feb 7 1991,Guinea-Bissau,2-0,Mauritania,Friendly,Bissau › Guinea-Bissau
Sat Feb 9 1991,Malta,0-1,Portugal,UEFA Euro qualification,Attard › Malta
Wed Feb 13 1991,Italy,0-0,Belgium,Friendly,Terni › Italy
Fri Feb 15 1991,Algeria,0-0,Cameroon,Friendly,Dakar › Senegal
Fri Feb 15 1991,Senegal,0-0,Ivory Coast,Friendly,Dakar › Senegal
Sun Feb 17 1991,Gambia,0-0,Mauritania,Friendly,Banjul › Gambia
Sun Feb 17 1991,Ivory Coast,3-2,Cameroon,Friendly,Dakar › Senegal
Sun Feb 17 1991,Senegal,1-3,Algeria,Friendly,Dakar › Senegal
Tue Feb 19 1991,Argentina,2-0,Hungary,Friendly,Rosario › Argentina
Wed Feb 20 1991,France,3-1,Spain,UEFA Euro qualification,Paris › France
Wed Feb 20 1991,Portugal,5-0,Malta,UEFA Euro qualification,Porto › Portugal
Thu Feb 21 1991,Bermuda,1-0,United States,Friendly,Hamilton › Bermuda
Wed Feb 27 1991,Belgium,3-0,Luxembourg,UEFA Euro qualification,Brussels › Belgium
Wed Feb 27 1991,Brazil,1-1,Paraguay,Friendly,Campo Grande › Brazil
Wed Feb 27 1991,Cyprus,1-1,Greece,Friendly,Limassol › Cyprus
Wed Feb 27 1991,Turkey,1-1,Yugoslavia,Friendly,Izmir › Turkey
Sat Mar 2 1991,Suriname,3-0,French Guiana,Friendly,Paramaribo › Suriname
Tue Mar 5 1991,Algeria,2-1,Tunisia,Friendly,Annaba › Algeria
Sat Mar 9 1991,Uganda,0-1,Sudan,Friendly,Kampala › Uganda
Tue Mar 12 1991,Liechtenstein,0-6,Switzerland,Friendly,Balzers › Liechtenstein
Tue Mar 12 1991,United States,2-2,Mexico,NAFU Championship,Los Angeles › United States
Wed Mar 13 1991,Argentina,0-0,Mexico,Friendly,Buenos Aires › Argentina
Wed Mar 13 1991,Netherlands,1-0,Malta,UEFA Euro qualification,Rotterdam › Netherlands
Wed Mar 13 1991,Poland,1-1,Finland,Friendly,Warsaw › Poland
Thu Mar 14 1991,Canada,0-3,Mexico,NAFU Championship,Los Angeles › United States
Sat Mar 16 1991,United States,2-0,Canada,NAFU Championship,Torrance › United States
Wed Mar 27 1991,Argentina,3-3,Brazil,Friendly,Buenos Aires › Argentina
Wed Mar 27 1991,Belgium,1-1,Wales,UEFA Euro qualification,Brussels › Belgium
Wed Mar 27 1991,Czechoslovakia,4-0,Poland,Friendly,Olomouc › Czechoslovakia
Wed Mar 27 1991,England,1-1,Republic of Ireland,UEFA Euro qualification,London › England
Wed Mar 27 1991,Germany,2-1,Russia,Friendly,Frankfurt am Main › Germany
Wed Mar 27 1991,Morocco,0-0,Greece,Friendly,Rabat › Morocco
Wed Mar 27 1991,San Marino,1-3,Romania,UEFA Euro qualification,Serravalle › San Marino
Wed Mar 27 1991,Scotland,1-1,Bulgaria,UEFA Euro qualification,Glasgow › Scotland
Wed Mar 27 1991,Spain,2-4,Hungary,Friendly,Santander › Spain
Wed Mar 27 1991,Tunisia,0-0,Turkey,Friendly,Tunis › Tunisia
Wed Mar 27 1991,Yugoslavia,4-1,Northern Ireland,UEFA Euro qualification,Belgrade › Yugoslavia
Sat Mar 30 1991,France,5-0,Albania,UEFA Euro qualification,Paris › France
Wed Apr 3 1991,Algeria,2-2,Morocco,Friendly,Annaba › Algeria
Wed Apr 3 1991,Cyprus,0-2,Hungary,UEFA Euro qualification,Limassol › Cyprus
Wed Apr 3 1991,Switzerland,0-0,Romania,UEFA Euro qualification,Neuchâtel › Switzerland
Sun Apr 7 1991,Mali,5-1,Burkina Faso,Friendly,Bamako › Mali
Sun Apr 7 1991,Sudan,1-1,Uganda,Friendly,Khartoum › Sudan
Sun Apr 7 1991,Tunisia,0-0,Algeria,Friendly,Tunis › Tunisia
Tue Apr 9 1991,Denmark,1-1,Bulgaria,Friendly,Odense › Denmark
Tue Apr 9 1991,Mexico,1-0,Chile,Friendly,Veracruz › Mexico
Fri Apr 12 1991,Mauritania,0-2,Morocco,African Cup of Nations qualification,Nouakchott › Mauritania
Sat Apr 13 1991,Nigeria,0-0,Ghana,African Cup of Nations qualification,Lagos › Nigeria
Sun Apr 14 1991,Angola,1-2,Zambia,African Cup of Nations qualification,Luanda › Angola
Sun Apr 14 1991,DR Congo,2-1,Gabon,African Cup of Nations qualification,Kinshasa › Zaïre
Sun Apr 14 1991,Guinea,0-0,Cameroon,African Cup of Nations qualification,Conakry › Guinea
Sun Apr 14 1991,Mali,0-0,Sierra Leone,African Cup of Nations qualification,Bamako › Mali
Sun Apr 14 1991,Nicaragua,2-3,El Salvador,UNCAF Cup,Managua › Nicaragua
Sun Apr 14 1991,Sudan,1-0,Kenya,African Cup of Nations qualification,Khartoum › Sudan
Sun Apr 14 1991,Eswatini,0-1,Madagascar,African Cup of Nations qualification,Mbabane › Eswatini
Sun Apr 14 1991,Tunisia,2-2,Egypt,African Cup of Nations qualification,Tunis › Tunisia
Sun Apr 14 1991,Uganda,3-2,Tanzania,African Cup of Nations qualification,Kampala › Uganda
Sun Apr 14 1991,Zimbabwe,4-0,Malawi,African Cup of Nations qualification,Harare › Zimbabwe
Wed Apr 17 1991,Austria,0-0,Norway,Friendly,Vienna › Austria
Wed Apr 17 1991,Congo,1-2,Benin,Friendly,Brazzaville › Congo
Wed Apr 17 1991,Costa Rica,0-0,Mexico,Friendly,San José › Costa Rica
Wed Apr 17 1991,Greece,2-2,Sweden,Friendly,Athens › Greece
Wed Apr 17 1991,Hungary,0-1,Russia,UEFA Euro qualification,Budapest › Hungary
Wed Apr 17 1991,Netherlands,2-0,Finland,UEFA Euro qualification,Rotterdam › Netherlands
Wed Apr 17 1991,Poland,3-0,Turkey,UEFA Euro qualification,Warsaw › Poland
Wed Apr 17 1991,Spain,0-2,Romania,Friendly,Cáceres › Spain
Sun Apr 21 1991,Togo,1-0,Burkina Faso,African Cup of Nations qualification,Lomé › Togo
Sat Apr 27 1991,Nigeria,3-0,Benin,African Cup of Nations qualification,Lagos › Nigeria
Sat Apr 27 1991,Tanzania,1-0,DR Congo,African Cup of Nations qualification,Dar es Salaam › Tanzania
Sun Apr 28 1991,Chad,0-0,Tunisia,African Cup of Nations qualification,N'Djamena › Chad
Sun Apr 28 1991,Congo,2-1,Malawi,African Cup of Nations qualification,Brazzaville › Congo
Sun Apr 28 1991,Mali,0-2,Cameroon,African Cup of Nations qualification,Bamako › Mali
Sun Apr 28 1991,Mozambique,1-0,Sudan,African Cup of Nations qualification,Maputo › Mozambique
Sun Apr 28 1991,Sierra Leone,0-1,Guinea,African Cup of Nations qualification,Freetown › Sierra Leone
Sun Apr 28 1991,Eswatini,2-1,Zambia,African Cup of Nations qualification,Mbabane › Eswatini
Mon Apr 29 1991,Ghana,2-0,Togo,African Cup of Nations qualification,Accra › Ghana
Tue Apr 30 1991,Ivory Coast,1-0,Niger,African Cup of Nations qualification,Abidjan › Ivory Coast
Wed May 1 1991,Albania,0-2,Czechoslovakia,UEFA Euro qualification,Tirana › Albania
Wed May 1 1991,Bulgaria,2-3,Switzerland,UEFA Euro qualification,Sofia › Bulgaria
Wed May 1 1991,Germany,1-0,Belgium,UEFA Euro qualification,Hanover › Germany
Wed May 1 1991,Republic of Ireland,0-0,Poland,UEFA Euro qualification,Dublin › Republic of Ireland
Wed May 1 1991,Italy,3-1,Hungary,UEFA Euro qualification,Salerno › Italy
Wed May 1 1991,Northern Ireland,1-1,Faroe Islands,UEFA Euro qualification,Belfast › Northern Ireland
Wed May 1 1991,Norway,3-0,Cyprus,UEFA Euro qualification,Oslo › Norway
Wed May 1 1991,San Marino,0-2,Scotland,UEFA Euro qualification,Serravalle › San Marino
Wed May 1 1991,Sweden,6-0,Austria,Friendly,Solna › Sweden
Wed May 1 1991,Turkey,0-1,England,UEFA Euro qualification,Izmir › Turkey
Wed May 1 1991,Wales,1-0,Iceland,Friendly,Cardiff › Wales
Wed May 1 1991,Yugoslavia,1-2,Denmark,UEFA Euro qualification,Belgrade › Yugoslavia
Sun May 5 1991,Jamaica,2-1,Haiti,Friendly,Kingston › Jamaica
Sun May 5 1991,Senegal,0-0,Ivory Coast,Friendly,Dakar › Senegal
Sun May 5 1991,United States,1-0,Uruguay,Friendly,Denver › United States
Mon May 6 1991,Jamaica,2-0,Haiti,Friendly,Savanna-la-Mar › Jamaica
Tue May 7 1991,Malta,1-4,Iceland,Friendly,Attard › Malta
Tue May 7 1991,Mexico,0-2,Uruguay,Friendly,Los Angeles › United States
Wed May 8 1991,Aruba,0-1,Suriname,CFU Caribbean Cup qualification,Georgetown › Guyana
Wed May 8 1991,Martinique,0-0,DR Congo,Friendly,Paris › France
Fri May 10 1991,Cayman Islands,2-1,British Virgin Islands,CFU Caribbean Cup qualification,Basseterre › Saint Kitts and Nevis
Fri May 10 1991,Guyana,4-1,Aruba,CFU Caribbean Cup qualification,Georgetown › Guyana
Fri May 10 1991,Puerto Rico,2-3,Haiti,CFU Caribbean Cup qualification,San Juan › Puerto Rico
Fri May 10 1991,Saint Lucia,3-0,Montserrat,CFU Caribbean Cup qualification,Castries › Saint Lucia
Sun May 12 1991,Dominican Republic,1-1,Haiti,CFU Caribbean Cup qualification,San Juan › Puerto Rico
Sun May 12 1991,Guyana,1-1,Suriname,CFU Caribbean Cup qualification,Georgetown › Guyana
Sun May 12 1991,New Zealand,0-1,Australia,Friendly,Christchurch › New Zealand
Sun May 12 1991,Panama,2-0,Honduras,UNCAF Cup,Panama City › Panama
Sun May 12 1991,Saint Kitts and Nevis,1-1,Cayman Islands,CFU Caribbean Cup qualification,Basseterre › Saint Kitts and Nevis
Tue May 14 1991,Anguilla,1-1,Montserrat,CFU Caribbean Cup qualification,Castries › Saint Lucia
Tue May 14 1991,Hong Kong,2-0,Malaysia,Friendly,Victoria › Hong Kong
Tue May 14 1991,Puerto Rico,1-3,Dominican Republic,CFU Caribbean Cup qualification,San Juan › Puerto Rico
Tue May 14 1991,Saint Kitts and Nevis,0-0,British Virgin Islands,CFU Caribbean Cup qualification,Basseterre › Saint Kitts and Nevis
Wed May 15 1991,Australia,2-1,New Zealand,Friendly,Adelaide › Australia
Wed May 15 1991,Martinique,1-2,French Guiana,CFU Caribbean Cup qualification,Fort-de-France › Martinique
Thu May 16 1991,Finland,2-0,Malta,UEFA Euro qualification,Helsinki › Finland
Thu May 16 1991,Saint Lucia,6-0,Anguilla,CFU Caribbean Cup qualification,Castries › Saint Lucia
Thu May 16 1991,Yugoslavia,7-0,Faroe Islands,UEFA Euro qualification,Belgrade › Yugoslavia
Fri May 17 1991,Guadeloupe,1-0,French Guiana,CFU Caribbean Cup qualification,Fort-de-France › Martinique
Sat May 18 1991,Honduras,3-0,Panama,UNCAF Cup,San Pedro Sula › Honduras
Sun May 19 1991,Martinique,3-1,Guadeloupe,CFU Caribbean Cup qualification,Fort-de-France › Martinique
Sun May 19 1991,United States,0-1,Argentina,Friendly,Palo Alto › United States
Tue May 21 1991,England,3-1,Russia,Friendly,London › England
Tue May 21 1991,Guyana,1-1,Haiti,Friendly,Georgetown › Guyana
Wed May 22 1991,Austria,3-0,Faroe Islands,UEFA Euro qualification,Salzburg › Austria
Wed May 22 1991,Republic of Ireland,1-1,Chile,Friendly,Dublin › Republic of Ireland
Wed May 22 1991,San Marino,0-3,Bulgaria,UEFA Euro qualification,Serravalle › San Marino
Thu May 23 1991,Argentina,1-1,Russia,Friendly,Manchester › England
Thu May 23 1991,Dominican Republic,0-7,Trinidad and Tobago,CFU Caribbean Cup,Kingston › Jamaica
Thu May 23 1991,Norway,1-0,Romania,Friendly,Oslo › Norway
Thu May 23 1991,Saint Lucia,0-0,Martinique,CFU Caribbean Cup,Kingston › Jamaica
Fri May 24 1991,Jamaica,6-0,Guyana,CFU Caribbean Cup,Kingston › Jamaica
Sat May 25 1991,Dominican Republic,0-0,Saint Lucia,CFU Caribbean Cup,Kingston › Jamaica
Sat May 25 1991,England,2-2,Argentina,Friendly,London › England
Sat May 25 1991,Martinique,0-1,Trinidad and Tobago,CFU Caribbean Cup,Kingston › Jamaica
Sun May 26 1991,Albania,1-0,Iceland,UEFA Euro qualification,Tirana › Albania
Sun May 26 1991,Costa Rica,2-0,Honduras,UNCAF Cup,San José › Costa Rica
Sun May 26 1991,Guatemala,0-0,El Salvador,UNCAF Cup,San José › Costa Rica
Sun May 26 1991,Jamaica,3-2,Cayman Islands,CFU Caribbean Cup,Kingston › Jamaica
Mon May 27 1991,Dominican Republic,1-4,Martinique,CFU Caribbean Cup,Kingston › Jamaica
Mon May 27 1991,Saint Lucia,2-1,Trinidad and Tobago,CFU Caribbean Cup,Kingston › Jamaica
Tue May 28 1991,Brazil,3-0,Bulgaria,Friendly,Uberlândia › Brazil
Tue May 28 1991,Cayman Islands,1-2,Guyana,CFU Caribbean Cup,Kingston › Jamaica
Wed May 29 1991,Costa Rica,7-1,El Salvador,UNCAF Cup,San José › Costa Rica
Wed May 29 1991,Guatemala,0-0,Honduras,UNCAF Cup,San José › Costa Rica
Wed May 29 1991,Poland,0-0,Wales,Friendly,Radom › Poland
Wed May 29 1991,Russia,4-0,Cyprus,UEFA Euro qualification,Moscow › Soviet Union
Thu May 30 1991,Chile,2-1,Uruguay,Friendly,Santiago › Chile
Thu May 30 1991,Guyana,1-3,Trinidad and Tobago,CFU Caribbean Cup,Kingston › Jamaica
Thu May 30 1991,Jamaica,2-0,Saint Lucia,CFU Caribbean Cup,Kingston › Jamaica
Sat Jun 1 1991,Australia,0-1,England,Friendly,Sydney › Australia
Sat Jun 1 1991,United States,1-1,Republic of Ireland,Friendly,Foxborough › United States
Sun Jun 2 1991,Costa Rica,1-0,Guatemala,UNCAF Cup,San José › Costa Rica
Sun Jun 2 1991,Guyana,1-4,Saint Lucia,CFU Caribbean Cup,Kingston › Jamaica
Sun Jun 2 1991,Honduras,2-1,El Salvador,UNCAF Cup,San José › Costa Rica
Sun Jun 2 1991,Jamaica,2-0,Trinidad and Tobago,CFU Caribbean Cup,Kingston › Jamaica
Sun Jun 2 1991,Japan,1-0,Thailand,Kirin Cup,Tendo › Japan
Mon Jun 3 1991,New Zealand,0-1,England,Friendly,Auckland › New Zealand
Wed Jun 5 1991,Denmark,2-1,Austria,UEFA Euro qualification,Odense › Denmark
Wed Jun 5 1991,Finland,1-1,Netherlands,UEFA Euro qualification,Helsinki › Finland
Wed Jun 5 1991,Iceland,0-1,Czechoslovakia,UEFA Euro qualification,Reykjavík › Iceland
Wed Jun 5 1991,Norway,2-1,Italy,UEFA Euro qualification,Oslo › Norway
Wed Jun 5 1991,Sweden,2-2,Colombia,Friendly,Solna › Sweden
Wed Jun 5 1991,Switzerland,7-0,San Marino,UEFA Euro qualification,St. Gallen › Switzerland
Wed Jun 5 1991,Wales,1-0,Germany,UEFA Euro qualification,Cardiff › Wales
Thu Jun 6 1991,Peru,0-1,Ecuador,Friendly,Lima › Peru
Fri Jun 7 1991,Indonesia,0-3,Malta,Korea Cup,Seoul › South Korea
Fri Jun 7 1991,South Korea,0-0,Egypt,Korea Cup,Seoul › South Korea
Sat Jun 8 1991,New Zealand,0-2,England,Friendly,Wellington › New Zealand
Sun Jun 9 1991,Egypt,5-2,Malta,Korea Cup,Daejeon › South Korea
Sun Jun 9 1991,Ivory Coast,2-0,Senegal,Friendly,Abidjan › Ivory Coast
Sun Jun 9 1991,South Korea,3-0,Indonesia,Korea Cup,Daejeon › South Korea
Tue Jun 11 1991,Egypt,6-0,Indonesia,Korea Cup,Seoul › South Korea
Tue Jun 11 1991,South Korea,1-1,Malta,Korea Cup,Gwangju › South Korea
Wed Jun 12 1991,Denmark,0-2,Italy,Friendly,Malmö › Sweden
Wed Jun 12 1991,Malaysia,2-4,England,Friendly,Kuala Lumpur › Malaysia
Wed Jun 12 1991,Peru,1-0,Uruguay,Friendly,Lima › Peru
Thu Jun 13 1991,Sweden,2-3,Russia,Friendly,Gothenburg › Sweden
Fri Jun 14 1991,Bolivia,0-1,Paraguay,Copa Paz del Chaco,Santa Cruz › Bolivia
Fri Jun 14 1991,South Korea,0-0,Australia,Korea Cup,Seoul › South Korea
Sat Jun 15 1991,Sweden,4-0,Denmark,Friendly,Norrköping › Sweden
Sun Jun 16 1991,Italy,1-1,Russia,Friendly,Solna › Sweden
Sun Jun 16 1991,South Korea,2-0,Egypt,Korea Cup,Seoul › South Korea
Sun Jun 16 1991,Paraguay,0-0,Bolivia,Copa Paz del Chaco,Asunción › Paraguay
Wed Jun 19 1991,Ecuador,2-1,Chile,Friendly,Guayaquil › Ecuador
Wed Jun 19 1991,Slovenia,0-1,Croatia,Friendly,Murska Sobota › Slovenia
Thu Jun 20 1991,Mozambique,2-0,Botswana,Friendly,Maputo › Mozambique
Thu Jun 20 1991,Uruguay,0-0,Peru,Friendly,Montevideo › Uruguay
Sat Jun 22 1991,Mozambique,2-1,Eswatini,Friendly,Maputo › Mozambique
Sat Jun 22 1991,Philippines,2-1,Brunei,Friendly,Manila › Philippines
Mon Jun 24 1991,Faroe Islands,3-0,Shetland,Island Games,Åland › Finland
Mon Jun 24 1991,Jersey,4-3,Greenland,Island Games,Åland › Finland
Mon Jun 24 1991,Ynys Môn,1-0,Guernsey,Island Games,Åland › Finland
