Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 12 1913,France,1-0,Italy,Friendly,Saint-Ouen › France
Sat Jan 18 1913,Northern Ireland,0-1,Wales,British Championship,Belfast › Republic of Ireland
Sat Feb 15 1913,Northern Ireland,2-1,England,British Championship,Belfast › Republic of Ireland
Sun Feb 16 1913,Belgium,3-0,France,Friendly,Brussels › Belgium
Mon Mar 3 1913,Wales,0-0,Scotland,British Championship,Wrexham › Wales
Sun Mar 9 1913,Belgium,3-3,Netherlands,Friendly,Antwerp › Belgium
Sun Mar 9 1913,Switzerland,1-4,France,Friendly,Geneva › Switzerland
Sat Mar 15 1913,Northern Ireland,1-2,Scotland,British Championship,Dublin › Republic of Ireland
Mon Mar 17 1913,England,4-3,Wales,British Championship,Bristol › England
Sat Apr 5 1913,England,1-0,Scotland,British Championship,London › England
Sun Apr 20 1913,France,8-0,Luxembourg,Friendly,Saint-Ouen › France
Sun Apr 20 1913,Netherlands,2-4,Belgium,Friendly,Zwolle › Netherlands
Sun Apr 27 1913,Austria,1-4,Hungary,Friendly,Vienna › Austria
Thu May 1 1913,Italy,1-0,Belgium,Friendly,Turin › Italy
Sun May 4 1913,Russia,1-4,Sweden,Friendly,Moscow › Russia
Sun May 4 1913,Switzerland,1-2,Belgium,Friendly,Basel › Switzerland
Sun May 18 1913,Germany,1-2,Switzerland,Friendly,Freiburg › Germany
Sun May 18 1913,Hungary,2-0,Sweden,Friendly,Budapest › Hungary
Sun May 25 1913,Denmark,8-0,Sweden,Friendly,Copenhagen › Denmark
Sun Jun 8 1913,Sweden,9-0,Norway,Friendly,Stockholm › Sweden
Sun Jun 15 1913,Argentina,1-1,Uruguay,Friendly,Avellaneda › Argentina
Sun Jun 15 1913,Austria,2-0,Italy,Friendly,Vienna › Austria
Wed Jul 9 1913,Argentina,2-1,Uruguay,Friendly,Avellaneda › Argentina
Fri Aug 15 1913,Argentina,4-0,Uruguay,Copa Lipton,Avellaneda › Argentina
Sun Aug 31 1913,Argentina,2-0,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
Sun Sep 14 1913,Russia,1-1,Norway,Friendly,Moscow › Russia
Sun Sep 21 1913,Chile,0-2,Argentina,Friendly,Viña del Mar › Chile
Sun Oct 5 1913,Sweden,0-10,Denmark,Friendly,Stockholm › Sweden
Sun Oct 5 1913,Uruguay,1-0,Argentina,Copa Premio Honor Uruguayo,Montevideo › Uruguay
Sun Oct 26 1913,Germany,1-4,Denmark,Friendly,Hamburg › Germany
Sun Oct 26 1913,Hungary,4-3,Austria,Friendly,Budapest › Hungary
Sun Oct 26 1913,Uruguay,1-0,Argentina,Copa Newton,Montevideo › Uruguay
Sun Oct 26 1913,Norway,1-1,Sweden,Friendly,Kristiania › Norway
Sun Nov 2 1913,Belgium,2-0,Switzerland,Friendly,Verviers › Belgium
Sun Nov 23 1913,Belgium,6-2,Germany,Friendly,Antwerp › Belgium
