Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 10 1968,Israel,0-2,Belgium,Friendly,Jaffa › Israel
Fri Jan 12 1968,Algeria,0-3,Ivory Coast,African Cup of Nations,Addis Abeba › Ethiopia
Fri Jan 12 1968,Congo,0-3,DR Congo,African Cup of Nations,Asmara › Ethiopia
Fri Jan 12 1968,Ethiopia,2-1,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Fri Jan 12 1968,Ghana,2-2,Senegal,African Cup of Nations,Asmara › Ethiopia
Sun Jan 14 1968,Algeria,4-0,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Sun Jan 14 1968,Congo,1-2,Senegal,African Cup of Nations,Asmara › Ethiopia
Sun Jan 14 1968,DR Congo,1-2,Ghana,African Cup of Nations,Asmara › Ethiopia
Sun Jan 14 1968,Ethiopia,1-0,Ivory Coast,African Cup of Nations,Addis Abeba › Ethiopia
Tue Jan 16 1968,Congo,1-3,Ghana,African Cup of Nations,Asmara › Ethiopia
Tue Jan 16 1968,DR Congo,2-1,Senegal,African Cup of Nations,Asmara › Ethiopia
Tue Jan 16 1968,Ethiopia,3-1,Algeria,African Cup of Nations,Addis Abeba › Ethiopia
Tue Jan 16 1968,Ivory Coast,2-1,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Fri Jan 19 1968,Ethiopia,2-3,DR Congo,African Cup of Nations,Addis Abeba › Ethiopia
Fri Jan 19 1968,Ghana,4-3,Ivory Coast,African Cup of Nations,Asmara › Ethiopia
Sun Jan 21 1968,DR Congo,1-0,Ghana,African Cup of Nations,Addis Abeba › Ethiopia
Sun Jan 21 1968,Ethiopia,0-1,Ivory Coast,African Cup of Nations,Addis Abeba › Ethiopia
Sat Jan 27 1968,Nigeria,4-1,Sierra Leone,Friendly,Lagos › Nigeria
Wed Feb 14 1968,Israel,2-1,Switzerland,Friendly,Jaffa › Israel
Sat Feb 17 1968,Cyprus,2-1,Switzerland,UEFA Euro qualification,Nicosia › Cyprus
Mon Feb 19 1968,Israel,0-3,Sweden,Friendly,Jaffa › Israel
Sat Feb 24 1968,Scotland,1-1,England,UEFA Euro qualification,Glasgow › Scotland
Sun Feb 25 1968,Burkina Faso,2-0,Guinea,Friendly,Ouagadougou › Upper Volta
Wed Feb 28 1968,Spain,3-1,Sweden,Friendly,Seville › Spain
Wed Feb 28 1968,Wales,2-0,Northern Ireland,UEFA Euro qualification,Wrexham › Wales
Sun Mar 3 1968,Mexico,0-0,Russia,Friendly,Mexico City › Mexico
Wed Mar 6 1968,Belgium,1-3,Germany,Friendly,Brussels › Belgium
Thu Mar 7 1968,Guinea,1-0,DR Congo,Friendly,Conakry › Guinea
Thu Mar 7 1968,Mexico,1-1,Russia,Friendly,León › Mexico
Sun Mar 10 1968,Mexico,0-0,Russia,Friendly,Mexico City › Mexico
Wed Mar 13 1968,Turkey,0-0,Tunisia,Friendly,Izmir › Turkey
Sun Mar 17 1968,Morocco,0-0,Algeria,Friendly,Casablanca › Morocco
Tue Mar 26 1968,Mexico,4-0,Japan,Friendly,Mexico City › Mexico
Sat Mar 30 1968,Australia,2-2,Japan,Friendly,Sydney › Australia
Sun Mar 31 1968,Australia,3-1,Japan,Friendly,Melbourne › Australia
Sun Mar 31 1968,Guinea,3-1,Burkina Faso,Friendly,Conakry › Guinea
Tue Apr 2 1968,Guinea,1-3,Burkina Faso,Friendly,Conakry › Guinea
Wed Apr 3 1968,England,1-0,Spain,UEFA Euro qualification,London › England
Thu Apr 4 1968,Australia,1-3,Japan,Friendly,Adelaide › Australia
Sat Apr 6 1968,Barbados,0-2,Suriname,Friendly,Bridgetown › Barbados
Sat Apr 6 1968,Bulgaria,3-2,Italy,UEFA Euro qualification,Sofia › Bulgaria
Sat Apr 6 1968,France,1-1,Yugoslavia,UEFA Euro qualification,Marseille › France
Sun Apr 7 1968,Netherlands,1-2,Belgium,Friendly,Amsterdam › Netherlands
Sun Apr 7 1968,Togo,1-1,Guinea,Friendly,Lomé › Togo
Mon Apr 8 1968,Barbados,0-0,Suriname,Friendly,Bridgetown › Barbados
Wed Apr 10 1968,Benin,2-5,Guinea,Friendly,Cotonou › Dahomey
Thu Apr 11 1968,Martinique,1-3,Suriname,Friendly,Fort-de-France › Martinique
Sun Apr 14 1968,Martinique,3-2,Suriname,Friendly,Fort-de-France › Martinique
Wed Apr 17 1968,Switzerland,0-0,Germany,Friendly,Basel › Switzerland
Sat Apr 20 1968,Italy,2-0,Bulgaria,UEFA Euro qualification,Naples › Italy
Wed Apr 24 1968,Poland,8-0,Turkey,Friendly,Chorzów › Poland
Wed Apr 24 1968,Russia,1-0,Belgium,Friendly,Moscow › Soviet Union
Wed Apr 24 1968,Yugoslavia,5-1,France,UEFA Euro qualification,Belgrade › Yugoslavia
Sat Apr 27 1968,Czechoslovakia,3-0,Yugoslavia,Friendly,Bratislava › Czechoslovakia
Wed May 1 1968,Austria,1-1,Romania,Friendly,Linz › Austria
Wed May 1 1968,Poland,0-0,Netherlands,Friendly,Warsaw › Poland
Wed May 1 1968,Eswatini,2-0,Malawi,Friendly,Mbabane › Eswatini
Thu May 2 1968,Sweden,1-1,Spain,Friendly,Malmö › Sweden
Sat May 4 1968,Hungary,2-0,Russia,UEFA Euro qualification,Budapest › Hungary
Tue May 7 1968,El Salvador,3-0,Guatemala,Friendly,San Salvador › El Salvador
Wed May 8 1968,Kenya,1-2,Nigeria,Friendly,Nairobi › Kenya
Wed May 8 1968,Spain,1-2,England,UEFA Euro qualification,Madrid › Spain
Wed May 8 1968,Wales,1-1,Germany,Friendly,Cardiff › Wales
Fri May 10 1968,Iran,2-0,Hong Kong,AFC Asian Cup,Teheran › Iran
Sat May 11 1968,Burma,1-1,Chinese Taipei,AFC Asian Cup,Teheran › Iran
Sat May 11 1968,Russia,3-0,Hungary,UEFA Euro qualification,Moscow › Soviet Union
Sun May 12 1968,Hong Kong,1-6,Israel,AFC Asian Cup,Teheran › Iran
Mon May 13 1968,Iran,4-0,Chinese Taipei,AFC Asian Cup,Teheran › Iran
Tue May 14 1968,Burma,1-0,Israel,AFC Asian Cup,Teheran › Iran
Wed May 15 1968,Hong Kong,1-1,Chinese Taipei,AFC Asian Cup,Teheran › Iran
Wed May 15 1968,Republic of Ireland,2-2,Poland,Friendly,Dublin › Republic of Ireland
Wed May 15 1968,Paraguay,2-0,Argentina,Friendly,Asunción › Paraguay
Thu May 16 1968,Iran,3-1,Burma,AFC Asian Cup,Teheran › Iran
Fri May 17 1968,Israel,4-1,Chinese Taipei,AFC Asian Cup,Teheran › Iran
Sat May 18 1968,Burma,2-0,Hong Kong,AFC Asian Cup,Teheran › Iran
Sun May 19 1968,Austria,7-1,Cyprus,FIFA World Cup qualification,Vienna › Austria
Sun May 19 1968,Ghana,2-1,Ivory Coast,Friendly,Accra › Ghana
Sun May 19 1968,Iran,2-1,Israel,AFC Asian Cup,Teheran › Iran
Tue May 21 1968,Mexico,3-3,Uruguay,Friendly,Mexico City › Mexico
Wed May 22 1968,England,3-1,Sweden,Friendly,London › England
Tue May 28 1968,Mexico,2-2,Uruguay,Friendly,Mexico City › Mexico
Thu May 30 1968,Netherlands,0-0,Scotland,Friendly,Amsterdam › Netherlands
Sat Jun 1 1968,Germany,1-0,England,Friendly,Hanover › Germany
Sun Jun 2 1968,Paraguay,0-0,Uruguay,Copa Artigas,Asunción › Paraguay
Tue Jun 4 1968,Finland,1-3,Denmark,Nordic Championship,Helsinki › Finland
Wed Jun 5 1968,Argentina,2-0,Uruguay,Copa Lipton,Buenos Aires › Argentina
Wed Jun 5 1968,England,0-1,Yugoslavia,UEFA Euro,Florence › Italy
Wed Jun 5 1968,Italy,0-0,Russia,UEFA Euro,Naples › Italy
Wed Jun 5 1968,Romania,0-0,Netherlands,Friendly,Bucharest › Romania
Sat Jun 8 1968,England,2-0,Russia,UEFA Euro,Rome › Italy
Sat Jun 8 1968,Italy,1-1,Yugoslavia,UEFA Euro,Rome › Italy
Sun Jun 9 1968,Brazil,2-0,Uruguay,Copa Rio Branco,São Paulo › Brazil
Sun Jun 9 1968,Norway,1-6,Poland,Friendly,Oslo › Norway
Mon Jun 10 1968,Italy,2-0,Yugoslavia,UEFA Euro,Rome › Italy
Wed Jun 12 1968,Brazil,4-0,Uruguay,Copa Rio Branco,Rio de Janeiro › Brazil
Sun Jun 16 1968,Germany,2-1,Brazil,Friendly,Stuttgart › Germany
Sun Jun 16 1968,Russia,3-1,Austria,Friendly,Leningrad › Soviet Union
Wed Jun 19 1968,Finland,1-2,Belgium,FIFA World Cup qualification,Helsinki › Finland
Thu Jun 20 1968,Poland,3-6,Brazil,Friendly,Warsaw › Poland
Thu Jun 20 1968,Uruguay,2-1,Argentina,Copa Newton,Montevideo › Uruguay
Sun Jun 23 1968,Czechoslovakia,3-2,Brazil,Friendly,Bratislava › Czechoslovakia
Sun Jun 23 1968,Denmark,5-1,Norway,Nordic Championship,Copenhagen › Denmark
Tue Jun 25 1968,Yugoslavia,0-2,Brazil,Friendly,Belgrade › Yugoslavia
Thu Jun 27 1968,Sweden,2-1,Denmark,Nordic Championship,Solna › Sweden
Sat Jun 29 1968,Zambia,2-1,Uganda,Friendly,Lusaka › Zambia
Sun Jun 30 1968,Portugal,0-2,Brazil,Friendly,Lourenço Marques › Mozambique
Sun Jun 30 1968,Zambia,1-1,Uganda,Friendly,Mufulira › Zambia
Tue Jul 2 1968,Zambia,2-1,Uganda,Friendly,Ndola › Zambia
Thu Jul 4 1968,Zambia,2-2,Uganda,Friendly,Kitwe › Zambia
Sat Jul 6 1968,Malawi,2-2,Kenya,Friendly,Blantyre › Malawi
Sun Jul 7 1968,Mexico,0-2,Brazil,Friendly,Mexico City › Mexico
Wed Jul 10 1968,Mexico,2-1,Brazil,Friendly,Mexico City › Mexico
Sat Jul 13 1968,Malawi,8-1,Botswana,Friendly,Blantyre › Malawi
Sun Jul 14 1968,Peru,3-4,Brazil,Friendly,Lima › Peru
Wed Jul 17 1968,Honduras,0-0,El Salvador,Friendly,Tegucigalpa › Honduras
Wed Jul 17 1968,Peru,0-4,Brazil,Friendly,Lima › Peru
Thu Jul 18 1968,Iceland,0-4,Norway,Friendly,Reykjavík › Iceland
Sat Jul 20 1968,Eswatini,2-0,Malawi,Friendly,Mbabane › Eswatini
Thu Jul 25 1968,Paraguay,0-4,Brazil,Copa Oswaldo Cruz,Asunción › Paraguay
Sun Jul 28 1968,Paraguay,1-0,Brazil,Copa Oswaldo Cruz,Asunción › Paraguay
Wed Jul 31 1968,El Salvador,2-1,Honduras,Friendly,San Salvador › El Salvador
Thu Aug 1 1968,Sweden,2-2,Russia,Friendly,Gothenburg › Sweden
Wed Aug 7 1968,Brazil,4-1,Argentina,Friendly,Rio de Janeiro › Brazil
Sat Aug 10 1968,Burma,3-0,Vietnam Republic,Merdeka Tournament,Kuala Lumpur › Malaysia
Sat Aug 10 1968,South Korea,0-3,Western Australia,Merdeka Tournament,Kuala Lumpur › Malaysia
Sun Aug 11 1968,Brazil,3-2,Argentina,Friendly,Belo Horizonte › Brazil
Sun Aug 11 1968,Hong Kong,0-0,Thailand,Merdeka Tournament,Kuala Lumpur › Malaysia
Sun Aug 11 1968,Singapore,0-2,Chinese Taipei,Merdeka Tournament,Ipoh › Malaysia
Mon Aug 12 1968,Burma,3-0,Hong Kong,Merdeka Tournament,Kuala Lumpur › Malaysia
Mon Aug 12 1968,India,3-2,Vietnam Republic,Merdeka Tournament,Kuala Lumpur › Malaysia
Mon Aug 12 1968,Indonesia,4-5,Western Australia,Merdeka Tournament,Ipoh › Malaysia
