Date,Team 1,Score,Team 2,Tournament,City
Fri Jan 1 1960,Morocco,0-5,Yugoslavia,Friendly,Casablanca › Morocco
Sun Jan 3 1960,Tunisia,1-5,Yugoslavia,Friendly,Tunis › Tunisia
Wed Jan 6 1960,Italy,3-0,Switzerland,International Cup,Naples › Italy
Fri Jan 8 1960,Egypt,0-1,Yugoslavia,Friendly,Cairo › United Arab Republic
Wed Jan 27 1960,Guinea-Bissau,3-2,Gambia,Friendly,Bissau › Guinea-Bissau
Sun Jan 31 1960,Guinea-Bissau,3-4,Sierra Leone,Friendly,Kumasi › Ghana
Sun Feb 7 1960,Ghana,6-2,Sierra Leone,Friendly,Accra › Ghana
Sun Feb 14 1960,Costa Rica,1-1,Curaçao,CCCF Championship,Havana › Cuba
Fri Feb 19 1960,Honduras,3-3,Curaçao,CCCF Championship,Havana › Cuba
Sat Feb 20 1960,Martinique,2-2,Guadeloupe,Friendly,Fort-de-France › Martinique
Tue Feb 23 1960,Cuba,3-4,Curaçao,CCCF Championship,Havana › Cuba
Sat Feb 27 1960,Curaçao,1-0,Suriname,CCCF Championship,Havana › Cuba
Sun Feb 28 1960,Belgium,1-0,France,Friendly,Brussels › Belgium
Mon Feb 29 1960,Costa Rica,4-0,Curaçao,CCCF Championship,Havana › Cuba
Sun Mar 6 1960,Brazil,2-2,Mexico,Pan American Championship,San José › Costa Rica
Tue Mar 8 1960,Costa Rica,0-0,Argentina,Pan American Championship,San José › Costa Rica
Thu Mar 10 1960,Argentina,3-2,Mexico,Pan American Championship,San José › Costa Rica
Thu Mar 10 1960,Costa Rica,3-0,Brazil,Pan American Championship,San José › Costa Rica
Sun Mar 13 1960,Argentina,2-1,Brazil,Pan American Championship,San José › Costa Rica
Sun Mar 13 1960,Spain,3-1,Italy,Friendly,Barcelona › Spain
Tue Mar 15 1960,Brazil,2-1,Mexico,Pan American Championship,San José › Costa Rica
Tue Mar 15 1960,Costa Rica,0-2,Argentina,Pan American Championship,San José › Costa Rica
Wed Mar 16 1960,France,6-0,Chile,Friendly,Paris › France
Thu Mar 17 1960,Argentina,2-0,Mexico,Pan American Championship,San José › Costa Rica
Thu Mar 17 1960,Costa Rica,0-4,Brazil,Pan American Championship,San José › Costa Rica
Sun Mar 20 1960,Argentina,0-1,Brazil,Pan American Championship,San José › Costa Rica
Wed Mar 23 1960,Germany,2-1,Chile,Friendly,Stuttgart › Germany
Sun Mar 27 1960,Austria,2-4,France,UEFA Euro qualification,Vienna › Austria
Sun Mar 27 1960,Belgium,3-1,Switzerland,Friendly,Brussels › Belgium
Wed Mar 30 1960,Republic of Ireland,2-0,Chile,Friendly,Dublin › Republic of Ireland
Sun Apr 3 1960,Netherlands,4-2,Bulgaria,Friendly,Amsterdam › Netherlands
Wed Apr 6 1960,Switzerland,4-2,Chile,Friendly,Basel › Switzerland
Wed Apr 6 1960,Wales,3-2,Northern Ireland,British Championship,Wrexham › Wales
Sat Apr 9 1960,Scotland,1-1,England,British Championship,Glasgow › Scotland
Wed Apr 13 1960,Belgium,1-1,Chile,Friendly,Brussels › Belgium
Thu Apr 14 1960,Cameroon,9-2,Djibouti,Friendly,Antananarivo › Madagascar
Thu Apr 14 1960,Central African Republic,3-4,Mali,Friendly,Antananarivo › Madagascar
Thu Apr 14 1960,Gabon,4-5,Burkina Faso,Friendly,Antananarivo › Madagascar
Thu Apr 14 1960,Ivory Coast,3-2,Benin,Friendly,Antananarivo › Madagascar
Fri Apr 15 1960,Cameroon,3-2,Mali,Friendly,Antananarivo › Madagascar
Fri Apr 15 1960,Congo,3-2,Ivory Coast,Friendly,Antananarivo › Madagascar
Fri Apr 15 1960,Madagascar,6-1,Burkina Faso,Friendly,Antananarivo › Madagascar
Sun Apr 17 1960,Congo,4-5,Cameroon,Friendly,Antananarivo › Madagascar
Wed Apr 20 1960,Indonesia,5-0,Malaysia,Friendly,Surakarta › Indonesia
Sun Apr 24 1960,Belgium,2-1,Netherlands,Friendly,Antwerp › Belgium
