Date,Team 1,Score,Team 2,Tournament,City
Sun Jan 1 1911,France,0-3,Hungary,Friendly,Maisons-Alfort › France
Fri Jan 6 1911,Italy,0-1,Hungary,Friendly,Milan › Italy
Sun Jan 8 1911,Switzerland,2-0,Hungary,Friendly,Zürich › Switzerland
Sat Jan 28 1911,Northern Ireland,1-2,Wales,British Championship,Belfast › Republic of Ireland
Sat Feb 11 1911,England,2-1,Northern Ireland,British Championship,Derby › England
Mon Mar 6 1911,Wales,2-2,Scotland,British Championship,Cardiff › Wales
Mon Mar 13 1911,England,3-0,Wales,British Championship,London › England
Sat Mar 18 1911,Scotland,2-0,Northern Ireland,British Championship,Glasgow › Scotland
Sun Mar 19 1911,Belgium,1-5,Netherlands,Friendly,Antwerp › Belgium
Sun Mar 26 1911,Germany,6-2,Switzerland,Friendly,Stuttgart › Germany
Sat Apr 1 1911,England,1-1,Scotland,British Championship,Liverpool › England
Sun Apr 2 1911,Netherlands,3-1,Belgium,Friendly,Dordrecht › Netherlands
Sun Apr 9 1911,France,2-2,Italy,Friendly,Saint-Ouen › France
Sun Apr 23 1911,Switzerland,5-2,France,Friendly,Geneva › Switzerland
Sun Apr 23 1911,Belgium,2-1,Germany,Friendly,Liège › Belgium
Sun Apr 30 1911,Belgium,7-1,France,Friendly,Uccle › Belgium
Sun May 7 1911,Italy,2-2,Switzerland,Friendly,Milan › Italy
Sun May 7 1911,Austria,3-1,Hungary,Friendly,Vienna › Austria
Sun May 21 1911,Switzerland,3-0,Italy,Friendly,La Chaux-de-Fonds › Switzerland
Sun Jun 18 1911,Sweden,2-4,Germany,Friendly,Solna › Sweden
Tue Aug 15 1911,Argentina,0-2,Uruguay,Copa Lipton,Buenos Aires › Argentina
Sun Sep 17 1911,Sweden,4-1,Norway,Friendly,Solna › Sweden
Sun Sep 17 1911,Uruguay,2-3,Argentina,Copa Newton,Montevideo › Uruguay
Sun Oct 8 1911,Uruguay,1-1,Argentina,Copa Premio Honor Uruguayo,Montevideo › Uruguay
Mon Oct 9 1911,Germany,1-2,Austria,Friendly,Dresden › Germany
Sun Oct 22 1911,Finland,2-5,Sweden,Friendly,Helsinki › Finland
Sun Oct 22 1911,Argentina,2-0,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
Sun Oct 29 1911,Germany,1-3,Sweden,Friendly,Hamburg › Germany
Sun Oct 29 1911,Hungary,9-0,Switzerland,Friendly,Budapest › Hungary
Sun Oct 29 1911,Luxembourg,1-4,France,Friendly,Luxembourg › Luxembourg
Sun Oct 29 1911,Uruguay,3-0,Argentina,Copa Premio Honor Uruguayo,Montevideo › Uruguay
Sun Nov 5 1911,Hungary,2-0,Austria,Friendly,Budapest › Hungary
Sun Dec 17 1911,Germany,1-4,Hungary,Friendly,Munich › Germany
