Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 16 1907,England,1-0,Northern Ireland,British Championship,Liverpool › England
Sat Feb 23 1907,Northern Ireland,2-3,Wales,British Championship,Belfast › Republic of Ireland
Mon Mar 4 1907,Wales,1-0,Scotland,British Championship,Wrexham › Wales
Sat Mar 16 1907,Scotland,3-0,Northern Ireland,British Championship,Glasgow › Scotland
Mon Mar 18 1907,England,1-1,Wales,British Championship,London › England
Sat Apr 6 1907,England,1-1,Scotland,British Championship,Newcastle › England
Sun Apr 7 1907,Hungary,5-2,Czechoslovakia,Friendly,Budapest › Hungary
Sun Apr 14 1907,Belgium,1-3,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 21 1907,Belgium,1-2,France,Friendly,Brussels › Belgium
Sun May 5 1907,Austria,3-1,Hungary,Friendly,Vienna › Austria
Thu May 9 1907,Netherlands,1-2,Belgium,Friendly,Haarlem › Netherlands
Sun Oct 6 1907,Czechoslovakia,5-3,Hungary,Friendly,Prague › Bohemia
Sun Nov 3 1907,Hungary,4-1,Austria,Friendly,Budapest › Hungary
