Date,Team 1,Score,Team 2,Tournament,City
Sun Feb 12 1905,France,1-0,Switzerland,Friendly,Paris › France
Sat Feb 25 1905,England,1-1,Northern Ireland,British Championship,Middlesbrough › England
Mon Mar 6 1905,Wales,3-1,Scotland,British Championship,Wrexham › Wales
Sat Mar 18 1905,Scotland,4-0,Northern Ireland,British Championship,Glasgow › Scotland
Mon Mar 27 1905,England,3-1,Wales,British Championship,Liverpool › England
Sat Apr 1 1905,England,1-0,Scotland,British Championship,London › England
Sat Apr 8 1905,Northern Ireland,2-2,Wales,British Championship,Belfast › Republic of Ireland
Sun Apr 9 1905,Hungary,0-0,Austria,Friendly,Budapest › Hungary
Sun Apr 30 1905,Belgium,1-4,Netherlands,Friendly,Antwerp › Belgium
Sun May 7 1905,Belgium,7-0,France,Friendly,Brussels › Belgium
Sun May 14 1905,Netherlands,4-0,Belgium,Friendly,Rotterdam › Netherlands
Tue Aug 15 1905,Argentina,0-0,Uruguay,Copa Lipton,Buenos Aires › Argentina
