Date,Team 1,Score,Team 2,Tournament,City
Fri Jan 5 1962,Egypt,1-0,Austria,Friendly,Cairo › Egypt
Sun Jan 7 1962,Ethiopia,6-1,Kenya,Friendly,Addis Abeba › Ethiopia
Sun Jan 14 1962,Ethiopia,4-2,Tunisia,African Cup of Nations,Addis Abeba › Ethiopia
Thu Jan 18 1962,Egypt,2-1,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Sat Jan 20 1962,Tunisia,3-0,Uganda,African Cup of Nations,Addis Abeba › Ethiopia
Sun Jan 21 1962,Ethiopia,4-2,Egypt,African Cup of Nations,Addis Abeba › Ethiopia
Sun Feb 4 1962,Mali,4-0,Ivory Coast,Friendly,Bamako › Mali
Tue Feb 6 1962,Mali,0-2,Ivory Coast,Friendly,Bamako › Mali
Sat Feb 17 1962,Mali,0-1,Ghana,Friendly,Bamako › Mali
Mon Feb 19 1962,Indonesia,1-2,Vietnam Republic,Friendly,Jakarta › Indonesia
Sun Mar 11 1962,Libya,6-3,Tunisia,Friendly,Tripoli › Libya
Tue Mar 13 1962,Uruguay,1-1,Argentina,Friendly,Montevideo › Uruguay
Sat Mar 17 1962,Ghana,0-0,Mali,Friendly,Accra › Ghana
Tue Mar 27 1962,Curaçao,1-0,Suriname,Friendly,Willemstad › Netherlands Antilles
Wed Mar 28 1962,Argentina,1-0,Mexico,Friendly,Buenos Aires › Argentina
Sun Apr 1 1962,Belgium,3-1,Netherlands,Friendly,Antwerp › Belgium
Sun Apr 1 1962,Colombia,0-1,Mexico,Friendly,Bogotá › Colombia
Wed Apr 4 1962,Colombia,2-2,Mexico,Friendly,Cali › Colombia
Wed Apr 4 1962,England,3-1,Austria,Friendly,London › England
Sat Apr 7 1962,Sweden,3-1,Czechoslovakia,Friendly,Gothenburg › Sweden
Sun Apr 8 1962,Republic of Ireland,2-3,Austria,Friendly,Dublin › Republic of Ireland
Wed Apr 11 1962,France,1-3,Poland,Friendly,Paris › France
Wed Apr 11 1962,Germany,3-0,Uruguay,Friendly,Hamburg › Germany
Wed Apr 11 1962,Luxembourg,1-3,Russia,Friendly,Luxembourg › Luxembourg
Wed Apr 11 1962,Wales,4-0,Northern Ireland,British Championship,Cardiff › Wales
Sat Apr 14 1962,Scotland,2-0,England,British Championship,Glasgow › Scotland
Sun Apr 15 1962,Morocco,1-3,Poland,Friendly,Casablanca › Morocco
Wed Apr 18 1962,Hungary,1-1,Uruguay,Friendly,Budapest › Hungary
Wed Apr 18 1962,Sweden,0-2,Russia,Friendly,Solna › Sweden
Thu Apr 19 1962,Guadeloupe,1-0,Martinique,Friendly,Basse-Terre › Guadeloupe
Sat Apr 21 1962,Brazil,6-0,Paraguay,Copa Oswaldo Cruz,Rio de Janeiro › Brazil
Sun Apr 22 1962,Czechoslovakia,3-1,Uruguay,Friendly,Prague › Czechoslovakia
Tue Apr 24 1962,Brazil,4-0,Paraguay,Copa Oswaldo Cruz,São Paulo › Brazil
Wed Apr 25 1962,Mexico,1-0,Colombia,Friendly,Mexico City › Mexico
Fri Apr 27 1962,Russia,5-0,Uruguay,Friendly,Moscow › Soviet Union
Sun Apr 29 1962,Hungary,2-1,Turkey,Friendly,Budapest › Hungary
Wed May 2 1962,Scotland,2-3,Uruguay,Friendly,Glasgow › Scotland
Thu May 3 1962,Russia,2-1,German DR,Friendly,Moscow › Soviet Union
Sat May 5 1962,Italy,2-1,France,Friendly,Florence › Italy
Sun May 6 1962,Austria,2-0,Bulgaria,Friendly,Vienna › Austria
Sun May 6 1962,Brazil,2-1,Portugal,Friendly,São Paulo › Brazil
Wed May 9 1962,Brazil,1-0,Portugal,Friendly,Rio de Janeiro › Brazil
Wed May 9 1962,England,3-1,Switzerland,Friendly,London › England
Wed May 9 1962,Netherlands,4-0,Northern Ireland,Friendly,Rotterdam › Netherlands
Wed May 9 1962,Togo,2-1,Guinea,Friendly,Lomé › Togo
Sat May 12 1962,Brazil,3-1,Wales,Friendly,Rio de Janeiro › Brazil
Sun May 13 1962,Belgium,1-3,Italy,Friendly,Brussels › Belgium
Wed May 16 1962,Brazil,3-1,Wales,Friendly,São Paulo › Brazil
Wed May 16 1962,Norway,2-1,Netherlands,Friendly,Oslo › Norway
Wed May 16 1962,Turkey,1-0,Israel,Friendly,Istanbul › Turkey
Wed May 16 1962,Yugoslavia,3-1,German DR,Friendly,Belgrade › Yugoslavia
Thu May 17 1962,Portugal,1-2,Belgium,Friendly,Lisbon › Portugal
Sat May 19 1962,Jamaica,3-4,Haiti,Friendly,Kingston › Jamaica
Sun May 20 1962,Peru,0-4,England,Friendly,Lima › Peru
Mon May 21 1962,Jamaica,1-3,Haiti,Friendly,Kingston › Jamaica
Tue May 22 1962,Mexico,2-1,Wales,Friendly,Mexico City › Mexico
Wed May 23 1962,German DR,4-1,Denmark,Friendly,Leipzig › German DR
Wed May 23 1962,Jamaica,2-5,Haiti,Friendly,Kingston › Jamaica
Wed May 23 1962,Poland,2-0,Belgium,Friendly,Warsaw › Poland
Wed May 30 1962,Argentina,1-0,Bulgaria,FIFA World Cup,Rancagua › Chile
Wed May 30 1962,Brazil,2-0,Mexico,FIFA World Cup,Viña del Mar › Chile
Wed May 30 1962,Chile,3-1,Switzerland,FIFA World Cup,Santiago › Chile
Wed May 30 1962,Colombia,1-2,Uruguay,FIFA World Cup,Arica › Chile
Thu May 31 1962,Czechoslovakia,1-0,Spain,FIFA World Cup,Viña del Mar › Chile
Thu May 31 1962,England,1-2,Hungary,FIFA World Cup,Rancagua › Chile
Thu May 31 1962,Germany,0-0,Italy,FIFA World Cup,Santiago › Chile
Thu May 31 1962,Russia,2-0,Yugoslavia,FIFA World Cup,Arica › Chile
Sat Jun 2 1962,Argentina,1-3,England,FIFA World Cup,Rancagua › Chile
Sat Jun 2 1962,Brazil,0-0,Czechoslovakia,FIFA World Cup,Viña del Mar › Chile
Sat Jun 2 1962,Chile,2-0,Italy,FIFA World Cup,Santiago › Chile
Sat Jun 2 1962,New Zealand,4-1,New Caledonia,Friendly,Christchurch › New Zealand
Sat Jun 2 1962,Uruguay,1-3,Yugoslavia,FIFA World Cup,Arica › Chile
Sun Jun 3 1962,Bulgaria,1-6,Hungary,FIFA World Cup,Rancagua › Chile
Sun Jun 3 1962,Colombia,4-4,Russia,FIFA World Cup,Arica › Chile
Sun Jun 3 1962,Germany,2-1,Switzerland,FIFA World Cup,Santiago › Chile
Sun Jun 3 1962,Mexico,0-1,Spain,FIFA World Cup,Viña del Mar › Chile
Sun Jun 3 1962,Tunisia,2-2,Libya,Friendly,Tunis › Tunisia
Mon Jun 4 1962,New Zealand,4-2,New Caledonia,Friendly,Wellington › New Zealand
Wed Jun 6 1962,Argentina,0-0,Hungary,FIFA World Cup,Rancagua › Chile
Wed Jun 6 1962,Brazil,2-1,Spain,FIFA World Cup,Viña del Mar › Chile
Wed Jun 6 1962,Chile,0-2,Germany,FIFA World Cup,Santiago › Chile
Wed Jun 6 1962,Russia,2-1,Uruguay,FIFA World Cup,Arica › Chile
Thu Jun 7 1962,Bulgaria,0-0,England,FIFA World Cup,Rancagua › Chile
Thu Jun 7 1962,Colombia,0-5,Yugoslavia,FIFA World Cup,Arica › Chile
Thu Jun 7 1962,Czechoslovakia,1-3,Mexico,FIFA World Cup,Viña del Mar › Chile
Thu Jun 7 1962,Italy,3-0,Switzerland,FIFA World Cup,Santiago › Chile
Sat Jun 9 1962,Singapore,2-6,Hong Kong,Friendly,Kallang › Singapore
Sun Jun 10 1962,Brazil,3-1,England,FIFA World Cup,Viña del Mar › Chile
Sun Jun 10 1962,Chile,2-1,Russia,FIFA World Cup,Arica › Chile
Sun Jun 10 1962,Czechoslovakia,1-0,Hungary,FIFA World Cup,Rancagua › Chile
Sun Jun 10 1962,Germany,0-1,Yugoslavia,FIFA World Cup,Santiago › Chile
Mon Jun 11 1962,Denmark,6-1,Norway,Nordic Championship,Copenhagen › Denmark
Wed Jun 13 1962,Chile,2-4,Brazil,FIFA World Cup,Santiago › Chile
Wed Jun 13 1962,Czechoslovakia,3-1,Yugoslavia,FIFA World Cup,Viña del Mar › Chile
Sat Jun 16 1962,Chile,1-0,Yugoslavia,FIFA World Cup,Santiago › Chile
Sun Jun 17 1962,Brazil,3-1,Czechoslovakia,FIFA World Cup,Santiago › Chile
Tue Jun 19 1962,Finland,0-3,Sweden,Nordic Championship,Helsinki › Finland
Thu Jun 21 1962,Norway,0-2,Sweden,UEFA Euro qualification,Oslo › Norway
Sun Jun 24 1962,Austria,1-2,Hungary,Friendly,Vienna › Austria
Thu Jun 28 1962,Denmark,6-1,Malta,UEFA Euro qualification,Copenhagen › Denmark
Tue Jul 3 1962,Norway,5-0,Malta,Friendly,Trondheim › Norway
Fri Jul 6 1962,Kenya,5-0,Zanzibar,Friendly,Mombasa › Kenya
Sat Jul 7 1962,Jamaica,4-4,Curaçao,Friendly,Kingston › Jamaica
Mon Jul 9 1962,Iceland,1-3,Norway,Friendly,Reykjavík › Iceland
Mon Jul 9 1962,Jamaica,2-1,Curaçao,Friendly,Kingston › Jamaica
Wed Jul 11 1962,Jamaica,1-2,Curaçao,Friendly,Kingston › Jamaica
Thu Jul 12 1962,Singapore,1-2,Indonesia,Friendly,Kallang › Singapore
Sat Jul 14 1962,Gabon,3-1,Congo,Friendly,Libreville › Gabon
Sat Jul 14 1962,Vietnam Republic,1-1,Chinese Taipei,Friendly,Saigon › Vietnam Republic
