Date,Team 1,Score,Team 2,Tournament,City
Tue Jan 1 1935,Greece,1-2,Bulgaria,Balkan Cup,Athens › Greece
Tue Jan 1 1935,Romania,0-4,Yugoslavia,Balkan Cup,Athens › Greece
Sun Jan 6 1935,Argentina,4-1,Chile,Copa América,Lima › Peru
Sun Jan 13 1935,Peru,0-1,Uruguay,Copa América,Lima › Peru
Fri Jan 18 1935,Chile,1-2,Uruguay,Copa América,Lima › Peru
Sun Jan 20 1935,Peru,1-4,Argentina,Copa América,Lima › Peru
Thu Jan 24 1935,Spain,2-0,France,Friendly,Madrid › Spain
Sat Jan 26 1935,Peru,1-0,Chile,Copa América,Lima › Peru
Sun Jan 27 1935,Argentina,0-3,Uruguay,Copa América,Lima › Peru
Sun Jan 27 1935,Germany,4-0,Switzerland,Friendly,Stuttgart › Germany
Wed Feb 6 1935,England,2-1,Northern Ireland,British Championship,Liverpool › England
Sun Feb 17 1935,Italy,2-1,France,Friendly,Rome › Italy
Sun Feb 17 1935,Netherlands,2-3,Germany,Friendly,Amsterdam › Netherlands
Fri Feb 22 1935,Uganda,5-1,Kenya,Friendly,Kampala › Uganda
Sun Mar 17 1935,Czechoslovakia,3-1,Switzerland,International Cup,Prague › Czechoslovakia
Sun Mar 17 1935,France,1-3,Germany,Friendly,Paris › France
Sat Mar 23 1935,Curaçao,2-0,Aruba,Friendly,Willemstad › Curaçao
Sun Mar 24 1935,Austria,0-2,Italy,International Cup,Vienna › Austria
Sun Mar 24 1935,Curaçao,4-0,Aruba,Friendly,Willemstad › Curaçao
Wed Mar 27 1935,Wales,3-1,Northern Ireland,British Championship,Wrexham › Wales
Sun Mar 31 1935,Netherlands,4-2,Belgium,Friendly,Amsterdam › Netherlands
Sat Apr 6 1935,Scotland,2-0,England,British Championship,Glasgow › Scotland
Sun Apr 14 1935,Belgium,1-1,France,Friendly,Brussels › Belgium
Sun Apr 14 1935,Czechoslovakia,0-0,Austria,International Cup,Prague › Czechoslovakia
Sun Apr 14 1935,Switzerland,6-2,Hungary,International Cup,Zürich › Switzerland
Sun Apr 28 1935,Belgium,1-6,Germany,Friendly,Brussels › Belgium
Sun May 5 1935,Portugal,3-3,Spain,Friendly,Lisbon › Portugal
Sun May 5 1935,Switzerland,1-0,Republic of Ireland,Friendly,Basel › Switzerland
Wed May 8 1935,Germany,3-1,Republic of Ireland,Friendly,Dortmund › Germany
Sat May 11 1935,Kenya,1-3,Uganda,Friendly,Nairobi › Kenya
Sun May 12 1935,Austria,5-2,Poland,Friendly,Vienna › Austria
Sun May 12 1935,Belgium,0-2,Netherlands,Friendly,Brussels › Belgium
Sun May 12 1935,Germany,1-2,Spain,Friendly,Cologne › Germany
Sun May 12 1935,Hungary,6-3,Austria,Friendly,Budapest › Hungary
Sat May 18 1935,Netherlands,0-1,England,Friendly,Amsterdam › Netherlands
Sun May 19 1935,France,2-0,Hungary,Friendly,Colombes › France
Sun May 19 1935,United States,1-5,Scotland,Friendly,New York › United States
Mon May 20 1935,Suriname,0-1,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Wed May 22 1935,Suriname,4-1,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Fri May 24 1935,Suriname,2-1,Curaçao,Friendly,Paramaribo › Netherlands Guyana
Sun May 26 1935,Germany,2-1,Czechoslovakia,Friendly,Dresden › Germany
Thu May 30 1935,Belgium,2-2,Switzerland,Friendly,Brussels › Belgium
Thu May 30 1935,Latvia,6-1,Lithuania,Friendly,Riga › Latvia
Sun Jun 9 1935,United States,1-4,Scotland,Friendly,Newark › United States
Wed Jun 12 1935,Latvia,1-1,Estonia,Friendly,Riga › Latvia
Wed Jun 12 1935,Sweden,2-2,Finland,Nordic Championship,Stockholm › Sweden
Sun Jun 16 1935,Bulgaria,5-2,Greece,Balkan Cup,Sofia › Bulgaria
Sun Jun 16 1935,Sweden,3-1,Denmark,Nordic Championship,Gothenburg › Sweden
Mon Jun 17 1935,Romania,0-2,Yugoslavia,Balkan Cup,Sofia › Bulgaria
Wed Jun 19 1935,Bulgaria,4-0,Romania,Balkan Cup,Sofia › Bulgaria
Wed Jun 19 1935,Estonia,2-2,Lithuania,Friendly,Tallinn › Estonia
Fri Jun 21 1935,Greece,1-6,Yugoslavia,Balkan Cup,Sofia › Bulgaria
Sun Jun 23 1935,Denmark,1-0,Norway,Nordic Championship,Copenhagen › Denmark
Mon Jun 24 1935,Bulgaria,3-3,Yugoslavia,Balkan Cup,Sofia › Bulgaria
Mon Jun 24 1935,Greece,2-2,Romania,Balkan Cup,Sofia › Bulgaria
Thu Jun 27 1935,Norway,1-1,Germany,Friendly,Oslo › Norway
Sun Jun 30 1935,Sweden,3-1,Germany,Friendly,Stockholm › Sweden
Fri Jul 5 1935,Latvia,0-3,Sweden,Friendly,Riga › Latvia
Tue Jul 9 1935,Estonia,1-2,Sweden,Friendly,Tallinn › Estonia
Thu Jul 18 1935,Uruguay,1-1,Argentina,Friendly,Montevideo › Uruguay
Fri Jul 19 1935,Suriname,0-3,Trinidad and Tobago,Friendly,Paramaribo › Netherlands Guyana
Wed Aug 7 1935,Estonia,2-2,Finland,Friendly,Tallinn › Estonia
Thu Aug 15 1935,Argentina,3-0,Uruguay,Friendly,Avellaneda › Argentina
Sun Aug 18 1935,Germany,6-0,Finland,Friendly,Munich › Germany
Sun Aug 18 1935,Luxembourg,0-1,Germany,Friendly,Luxembourg › Luxembourg
Sun Aug 18 1935,Poland,2-3,Yugoslavia,Friendly,Katowice › Poland
Tue Aug 20 1935,Estonia,1-2,Lithuania,Baltic Cup,Tallinn › Estonia
Wed Aug 21 1935,Latvia,2-2,Lithuania,Baltic Cup,Tallinn › Estonia
Thu Aug 22 1935,Estonia,1-1,Latvia,Baltic Cup,Tallinn › Estonia
Sun Aug 25 1935,Germany,4-2,Romania,Friendly,Erfurt › Germany
Sun Sep 1 1935,Sweden,7-1,Romania,Friendly,Stockholm › Sweden
Fri Sep 6 1935,Yugoslavia,0-0,Czechoslovakia,Friendly,Belgrade › Yugoslavia
Sun Sep 8 1935,Finland,1-5,Norway,Nordic Championship,Helsinki › Finland
Sun Sep 8 1935,Lithuania,2-2,Latvia,Friendly,Kaunas › Lithuania
Sun Sep 15 1935,Germany,5-0,Estonia,Friendly,Stettin › Germany
Sun Sep 15 1935,Germany,1-0,Poland,Friendly,Breslau › Germany
Sun Sep 15 1935,Poland,3-3,Latvia,Friendly,Łódź › Poland
Wed Sep 18 1935,Lithuania,2-2,Estonia,Friendly,Kaunas › Lithuania
Fri Sep 20 1935,Curaçao,1-0,Aruba,Friendly,Willemstad › Curaçao
Sun Sep 22 1935,Hungary,1-0,Czechoslovakia,International Cup,Budapest › Hungary
Sun Sep 22 1935,Norway,0-2,Sweden,Nordic Championship,Oslo › Norway
Sat Oct 5 1935,Wales,1-1,Scotland,British Championship,Cardiff › Wales
Sun Oct 6 1935,Austria,4-4,Hungary,International Cup,Vienna › Austria
Sun Oct 6 1935,Denmark,5-1,Finland,Nordic Championship,Copenhagen › Denmark
Sun Oct 6 1935,Poland,1-0,Austria,Friendly,Warsaw › Poland
Sun Oct 13 1935,Germany,3-0,Latvia,Friendly,Königsberg › Germany
Sat Oct 19 1935,Northern Ireland,1-3,England,British Championship,Belfast › Northern Ireland
Sun Oct 20 1935,Germany,4-2,Bulgaria,Friendly,Leipzig › Germany
Sun Oct 27 1935,Czechoslovakia,2-1,Italy,International Cup,Prague › Czechoslovakia
Sun Oct 27 1935,Switzerland,2-1,France,Friendly,Geneva › Switzerland
Sun Nov 3 1935,Netherlands,3-0,Denmark,Friendly,Amsterdam › Netherlands
Sun Nov 3 1935,Romania,4-1,Poland,Friendly,Bucharest › Romania
Sun Nov 3 1935,Switzerland,2-0,Norway,Friendly,Zürich › Switzerland
Sun Nov 10 1935,France,2-0,Sweden,Friendly,Paris › France
Sun Nov 10 1935,Hungary,6-1,Switzerland,Friendly,Budapest › Hungary
Wed Nov 13 1935,Scotland,2-1,Northern Ireland,British Championship,Edinburgh › Scotland
Sun Nov 17 1935,Belgium,5-1,Sweden,Friendly,Brussels › Belgium
Sun Nov 24 1935,Italy,2-2,Hungary,International Cup,Milan › Italy
Wed Dec 4 1935,England,3-0,Germany,Friendly,London › England
Sun Dec 8 1935,Republic of Ireland,3-5,Netherlands,Friendly,Dublin › Irish Free State
Sun Dec 15 1935,Curaçao,3-1,Trinidad and Tobago,Friendly,Willemstad › Curaçao
Sat Dec 28 1935,Jamaica,2-3,Trinidad and Tobago,Friendly,Kingston › Jamaica
