Date,Team 1,Score,Team 2,Tournament,City
Thu Jan 1 1942,Portugal,3-0,Switzerland,Friendly,Lisbon › Portugal
Sat Jan 10 1942,Uruguay,6-1,Chile,Copa América,Montevideo › Uruguay
Sun Jan 11 1942,Argentina,4-3,Paraguay,Copa América,Montevideo › Uruguay
Wed Jan 14 1942,Brazil,6-1,Chile,Copa América,Montevideo › Uruguay
Sat Jan 17 1942,Argentina,2-1,Brazil,Copa América,Montevideo › Uruguay
Sun Jan 18 1942,Paraguay,1-1,Peru,Copa América,Montevideo › Uruguay
Sun Jan 18 1942,Uruguay,7-0,Ecuador,Copa América,Montevideo › Uruguay
Wed Jan 21 1942,Brazil,2-1,Peru,Copa América,Montevideo › Uruguay
Thu Jan 22 1942,Argentina,12-0,Ecuador,Copa América,Montevideo › Uruguay
Thu Jan 22 1942,Chile,0-2,Paraguay,Copa América,Montevideo › Uruguay
Sat Jan 24 1942,Uruguay,1-0,Brazil,Copa América,Montevideo › Uruguay
Sun Jan 25 1942,Ecuador,1-3,Paraguay,Copa América,Montevideo › Uruguay
Sun Jan 25 1942,Argentina,3-1,Peru,Copa América,Montevideo › Uruguay
Mon Jan 26 1942,Cuba,1-0,Puerto Rico,Friendly,Havana › Cuba
Wed Jan 28 1942,Uruguay,3-1,Paraguay,Copa América,Montevideo › Uruguay
Wed Jan 28 1942,Ecuador,1-2,Peru,Copa América,Montevideo › Uruguay
Thu Jan 29 1942,Cuba,1-0,Puerto Rico,Friendly,Havana › Cuba
Sat Jan 31 1942,Argentina,0-0,Chile,Copa América,Montevideo › Uruguay
Sat Jan 31 1942,Brazil,5-1,Ecuador,Copa América,Montevideo › Uruguay
Sun Feb 1 1942,Uruguay,3-0,Peru,Copa América,Montevideo › Uruguay
Sun Feb 1 1942,Germany,1-2,Switzerland,Friendly,Vienna › Germany
Thu Feb 5 1942,Brazil,1-1,Paraguay,Copa América,Montevideo › Uruguay
Thu Feb 5 1942,Chile,2-1,Ecuador,Copa América,Montevideo › Uruguay
Sat Feb 7 1942,Chile,0-0,Peru,Copa América,Montevideo › Uruguay
Sat Feb 7 1942,Uruguay,1-0,Argentina,Copa América,Montevideo › Uruguay
Sun Mar 8 1942,France,0-2,Switzerland,Friendly,Marseille › France
Sun Mar 15 1942,Spain,4-0,France,Friendly,Seville › Spain
Sun Apr 5 1942,Italy,4-0,Croatia,Friendly,Genoa › Italy
Sat Apr 11 1942,Barbados,3-3,Trinidad and Tobago,Friendly,Bridgetown › Barbados
Sun Apr 12 1942,Germany,1-1,Spain,Friendly,Berlin › Germany
Sun Apr 19 1942,Italy,4-0,Spain,Friendly,Milan › Italy
Sun May 3 1942,Hungary,3-5,Germany,Friendly,Budapest › Hungary
Mon May 25 1942,Curaçao,2-2,Aruba,Friendly,Willemstad › Curaçao
Mon May 25 1942,Argentina,4-1,Uruguay,Copa Newton,Buenos Aires › Argentina
Sun Jun 7 1942,Slovakia,1-2,Croatia,Friendly,Bratislava › Slovakia
Sun Jun 14 1942,Hungary,1-1,Croatia,Friendly,Budapest › Hungary
Sun Jun 28 1942,Denmark,0-3,Sweden,Friendly,Copenhagen › Denmark
Tue Jul 7 1942,Kenya,4-3,Uganda,Friendly,Nairobi › Kenya
Sun Jul 19 1942,Bulgaria,0-3,Germany,Friendly,Sofia › Bulgaria
Mon Aug 3 1942,Latvia,4-0,Estonia,Friendly,Riga › Soviet Union
Sat Aug 8 1942,China PR,1-6,Japan,Friendly,Xinjing › Manchuria
Sun Aug 9 1942,Manchukuo,0-3,Japan,Friendly,Xinjing › Manchuria
Mon Aug 10 1942,Japan,12-0,Mongolia,Friendly,Xinjing › Manchuria
Sun Aug 16 1942,Germany,7-0,Romania,Friendly,Beuthen › Germany
Tue Aug 18 1942,Estonia,1-8,Latvia,Friendly,Tallinn › Soviet Union
Sun Aug 23 1942,Slovakia,1-0,Romania,Friendly,Bratislava › Slovakia
Tue Aug 25 1942,Uruguay,1-1,Argentina,Copa Lipton,Montevideo › Uruguay
Sun Sep 6 1942,Croatia,6-1,Slovakia,Friendly,Zagreb › Croatia
Sun Sep 20 1942,Germany,2-3,Sweden,Friendly,Berlin › Germany
Sun Oct 4 1942,Sweden,2-1,Denmark,Friendly,Solna › Sweden
Sun Oct 11 1942,Romania,2-2,Croatia,Friendly,Bucharest › Romania
Sun Oct 18 1942,Switzerland,3-5,Germany,Friendly,Berne › Switzerland
Sun Nov 1 1942,Germany,5-1,Croatia,Friendly,Stuttgart › Germany
Sun Nov 1 1942,Hungary,3-0,Switzerland,Friendly,Budapest › Hungary
Sun Nov 15 1942,Switzerland,3-1,Sweden,Friendly,Zürich › Switzerland
Sun Nov 22 1942,Slovakia,2-5,Germany,Friendly,Bratislava › Slovakia
