Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 13 1909,England,4-0,Northern Ireland,British Championship,Bradford › England
Mon Mar 1 1909,Wales,3-2,Scotland,British Championship,Wrexham › Wales
Mon Mar 15 1909,England,2-0,Wales,British Championship,Nottingham › England
Mon Mar 15 1909,Scotland,5-0,Northern Ireland,British Championship,Glasgow › Scotland
Sat Mar 20 1909,Northern Ireland,2-3,Wales,British Championship,Belfast › Republic of Ireland
Sun Mar 21 1909,Belgium,1-4,Netherlands,Friendly,Antwerp › Belgium
Sat Apr 3 1909,England,2-0,Scotland,British Championship,London › England
Sun Apr 4 1909,Germany,1-0,Switzerland,Friendly,Karlsruhe › Germany
Sun Apr 4 1909,Hungary,3-3,Germany,Friendly,Budapest › Hungary
Sun Apr 25 1909,Netherlands,4-1,Belgium,Friendly,Rotterdam › Netherlands
Sun May 2 1909,Austria,3-4,Hungary,Friendly,Vienna › Austria
Sun May 9 1909,Belgium,5-2,France,Friendly,Brussels › Belgium
Sat May 29 1909,Hungary,2-4,England,Friendly,Budapest › Hungary
Sun May 30 1909,Hungary,1-1,Austria,Friendly,Budapest › Hungary
Mon May 31 1909,Hungary,2-8,England,Friendly,Budapest › Hungary
Tue Jun 1 1909,Austria,1-8,England,Friendly,Vienna › Austria
Sun Aug 15 1909,Argentina,2-1,Uruguay,Copa Lipton,Buenos Aires › Argentina
Sun Sep 19 1909,Uruguay,2-2,Argentina,Copa Newton,Montevideo › Uruguay
Sun Oct 10 1909,Argentina,3-1,Uruguay,Copa Premio Honor Argentino,Buenos Aires › Argentina
