Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 16 1957,Portugal,1-1,Northern Ireland,FIFA World Cup qualification,Lisbon › Portugal
Mon Jan 21 1957,Jamaica,2-0,Trinidad and Tobago,Friendly,Kingston › Jamaica
Sat Jan 26 1957,Jamaica,1-0,Trinidad and Tobago,Friendly,Kingston › Jamaica
Mon Jan 28 1957,Jamaica,2-1,Trinidad and Tobago,Friendly,Kingston › Jamaica
Wed Jan 30 1957,Spain,5-1,Netherlands,Friendly,Madrid › Spain
Sat Feb 9 1957,Singapore,2-3,India,Friendly,Kallang › Singapore
Sun Feb 10 1957,Guatemala,2-6,Costa Rica,FIFA World Cup qualification,Guatemala › Guatemala
Sun Feb 10 1957,Sudan,1-2,Egypt,African Cup of Nations,Khartoum › Sudan
Sat Feb 16 1957,Egypt,4-0,Ethiopia,African Cup of Nations,Khartoum › Sudan
Sat Feb 16 1957,Malaysia,2-3,India,Friendly,Kuala Lumpur › Malaya
Sun Feb 17 1957,Costa Rica,3-1,Guatemala,FIFA World Cup qualification,San José › Costa Rica
Sun Feb 17 1957,Sudan,3-4,Egypt,Friendly,Khartoum › Sudan
Sun Feb 24 1957,Malta,2-3,Austria,Friendly,Gżira › Malta
Sun Mar 3 1957,Costa Rica,4-0,Curaçao,FIFA World Cup qualification,San José › Costa Rica
Thu Mar 7 1957,Ecuador,2-5,Uruguay,Copa América,Lima › Peru
Fri Mar 8 1957,Sudan,1-0,Syria,FIFA World Cup qualification,Khartoum › Sudan
Sun Mar 10 1957,Austria,2-3,Germany,Friendly,Vienna › Austria
Sun Mar 10 1957,German DR,3-0,Luxembourg,Friendly,Berlin › German DR
Sun Mar 10 1957,Guatemala,1-3,Curaçao,FIFA World Cup qualification,Guatemala › Guatemala
Sun Mar 10 1957,Peru,2-1,Ecuador,Copa América,Lima › Peru
Sun Mar 10 1957,Spain,2-2,Switzerland,FIFA World Cup qualification,Madrid › Spain
Wed Mar 13 1957,Argentina,8-2,Colombia,Copa América,Lima › Peru
Wed Mar 13 1957,Brazil,4-2,Chile,Copa América,Lima › Peru
Sat Mar 16 1957,Peru,1-0,Chile,Copa América,Lima › Peru
Sun Mar 17 1957,Argentina,3-0,Ecuador,Copa América,Lima › Peru
Sun Mar 17 1957,Colombia,1-0,Uruguay,Copa América,Lima › Peru
Wed Mar 20 1957,Argentina,4-0,Uruguay,Copa América,Lima › Peru
Wed Mar 20 1957,Netherlands,4-1,Luxembourg,FIFA World Cup qualification,Rotterdam › Netherlands
Thu Mar 21 1957,Brazil,7-1,Ecuador,Copa América,Lima › Peru
Thu Mar 21 1957,Chile,3-2,Colombia,Copa América,Lima › Peru
Sat Mar 23 1957,Peru,3-5,Uruguay,Copa América,Lima › Peru
Sun Mar 24 1957,Brazil,9-0,Colombia,Copa América,Lima › Peru
Sun Mar 24 1957,Chile,2-2,Ecuador,Copa América,Lima › Peru
Wed Mar 27 1957,Peru,4-1,Colombia,Copa América,Lima › Peru
Thu Mar 28 1957,Argentina,6-2,Chile,Copa América,Lima › Peru
Thu Mar 28 1957,Brazil,2-3,Uruguay,Copa América,Lima › Peru
Sun Mar 31 1957,Belgium,0-5,Spain,Friendly,Brussels › Belgium
Sun Mar 31 1957,Peru,0-1,Brazil,Copa América,Lima › Peru
Mon Apr 1 1957,Chile,0-2,Uruguay,Copa América,Lima › Peru
Mon Apr 1 1957,Colombia,4-1,Ecuador,Copa América,Lima › Peru
Wed Apr 3 1957,Argentina,3-0,Brazil,Copa América,Lima › Peru
Wed Apr 3 1957,Netherlands,1-2,Germany,Friendly,Amsterdam › Netherlands
Sat Apr 6 1957,England,2-1,Scotland,British Championship,London › England
Sat Apr 6 1957,Peru,2-1,Argentina,Copa América,Lima › Peru
Sun Apr 7 1957,Mexico,6-0,United States,FIFA World Cup qualification,Mexico City › Mexico
Tue Apr 9 1957,Peru,1-4,Argentina,Friendly,Lima › Peru
Wed Apr 10 1957,Northern Ireland,0-0,Wales,British Championship,Belfast › Northern Ireland
Sat Apr 13 1957,Peru,1-1,Brazil,FIFA World Cup qualification,Lima › Peru
Sun Apr 14 1957,Austria,4-0,Switzerland,International Cup,Vienna › Austria
Wed Apr 17 1957,Mauritius,1-0,Réunion,Friendly,Curepipe › Mauritius
Sat Apr 20 1957,Martinique,6-1,Guadeloupe,Friendly,Fort-de-France › Martinique
Sun Apr 21 1957,Brazil,1-0,Peru,FIFA World Cup qualification,Rio de Janeiro › Brazil
Thu Apr 25 1957,Italy,1-0,Northern Ireland,FIFA World Cup qualification,Rome › Italy
Sun Apr 28 1957,Netherlands,1-1,Belgium,Friendly,Amsterdam › Netherlands
Sun Apr 28 1957,United States,2-7,Mexico,FIFA World Cup qualification,Long Beach › United States
Wed May 1 1957,Northern Ireland,3-0,Portugal,FIFA World Cup qualification,Belfast › Northern Ireland
Wed May 1 1957,Wales,1-0,Czechoslovakia,FIFA World Cup qualification,Cardiff › Wales
Sun May 5 1957,Austria,1-0,Sweden,Friendly,Vienna › Austria
Sun May 5 1957,Greece,0-0,Yugoslavia,FIFA World Cup qualification,Athens › Greece
Wed May 8 1957,England,5-1,Republic of Ireland,FIFA World Cup qualification,London › England
Wed May 8 1957,Scotland,4-2,Spain,FIFA World Cup qualification,Glasgow › Scotland
Sun May 12 1957,Indonesia,2-0,China PR,FIFA World Cup qualification,Jakarta › Indonesia
Sun May 12 1957,Yugoslavia,6-1,Italy,International Cup,Zagreb › Yugoslavia
Wed May 15 1957,Denmark,1-4,England,FIFA World Cup qualification,Copenhagen › Denmark
Wed May 15 1957,Guadeloupe,5-2,Martinique,Friendly,Basse-Terre › Guadeloupe
Sat May 18 1957,Czechoslovakia,1-0,Yugoslavia,International Cup,Bratislava › Czechoslovakia
Sun May 19 1957,German DR,2-1,Wales,FIFA World Cup qualification,Leipzig › German DR
Sun May 19 1957,Republic of Ireland,1-1,England,FIFA World Cup qualification,Dublin › Republic of Ireland
Sun May 19 1957,Poland,0-1,Turkey,Friendly,Warsaw › Poland
Sun May 19 1957,Switzerland,1-2,Scotland,FIFA World Cup qualification,Basel › Switzerland
Wed May 22 1957,Germany,1-3,Scotland,Friendly,Stuttgart › Germany
Wed May 22 1957,Norway,1-2,Bulgaria,FIFA World Cup qualification,Oslo › Norway
Thu May 23 1957,Uruguay,0-0,Argentina,Copa Newton,Montevideo › Uruguay
Fri May 24 1957,Syria,1-1,Sudan,FIFA World Cup qualification,Damascus › Syria
Sun May 26 1957,Austria,3-2,Netherlands,FIFA World Cup qualification,Vienna › Austria
Sun May 26 1957,Belgium,1-0,Romania,Friendly,Brussels › Belgium
Sun May 26 1957,Czechoslovakia,2-0,Wales,FIFA World Cup qualification,Prague › Czechoslovakia
Sun May 26 1957,Denmark,1-1,Bulgaria,Friendly,Copenhagen › Denmark
Sun May 26 1957,Portugal,3-0,Italy,FIFA World Cup qualification,Oeiras › Portugal
Sun May 26 1957,Spain,4-1,Scotland,FIFA World Cup qualification,Madrid › Spain
Sat Jun 1 1957,Russia,1-1,Romania,Friendly,Moscow › Soviet Union
Sun Jun 2 1957,China PR,4-3,Indonesia,FIFA World Cup qualification,Beijing › China PR
Sun Jun 2 1957,France,8-0,Iceland,FIFA World Cup qualification,Nantes › France
Sun Jun 2 1957,Tunisia,4-2,Libya,Friendly,Tunis › Tunisia
Wed Jun 5 1957,Argentina,1-1,Uruguay,Copa Lipton,Buenos Aires › Argentina
Wed Jun 5 1957,Belgium,8-3,Iceland,FIFA World Cup qualification,Brussels › Belgium
Thu Jun 6 1957,Paraguay,5-2,Bolivia,Copa Paz del Chaco,Asunción › Paraguay
Tue Jun 11 1957,Brazil,2-1,Portugal,Friendly,Rio de Janeiro › Brazil
Wed Jun 12 1957,Norway,2-1,Hungary,FIFA World Cup qualification,Oslo › Norway
Thu Jun 13 1957,Paraguay,0-1,Bolivia,Copa Paz del Chaco,Asunción › Paraguay
Sun Jun 16 1957,Brazil,3-0,Portugal,Friendly,São Paulo › Brazil
