Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 1 1930,Spain,1-0,Czechoslovakia,Friendly,Barcelona › Spain
Sun Jan 12 1930,Portugal,1-0,Czechoslovakia,Friendly,Lisbon › Portugal
Sun Jan 26 1930,Greece,2-1,Yugoslavia,Balkan Cup,Athens › Greece
Sat Feb 1 1930,Northern Ireland,7-0,Wales,British Championship,Belfast › Northern Ireland
Sun Feb 9 1930,Italy,4-2,Switzerland,Friendly,Rome › Italy
Sun Feb 16 1930,Kenya,0-0,Uganda,Friendly,Nairobi › Kenya
Sat Feb 22 1930,Scotland,3-1,Northern Ireland,British Championship,Glasgow › Scotland
Sun Feb 23 1930,Portugal,2-0,France,Friendly,Porto › Portugal
Sun Mar 2 1930,Germany,0-2,Italy,Friendly,Frankfurt am Main › Germany
Sun Mar 23 1930,Czechoslovakia,2-2,Austria,Friendly,Prague › Czechoslovakia
Sun Mar 23 1930,France,3-3,Switzerland,Friendly,Colombes › France
Sat Apr 5 1930,England,5-2,Scotland,British Championship,London › England
Sun Apr 6 1930,Netherlands,1-1,Italy,Friendly,Amsterdam › Netherlands
Sun Apr 13 1930,France,1-6,Belgium,Friendly,Colombes › France
Sun Apr 13 1930,Switzerland,2-2,Hungary,Friendly,Basel › Switzerland
Sun Apr 13 1930,Yugoslavia,6-1,Bulgaria,Friendly,Belgrade › Yugoslavia
Sun Apr 20 1930,Curaçao,2-1,Aruba,Friendly,Willemstad › Curaçao
Thu May 1 1930,Czechoslovakia,1-1,Hungary,Friendly,Prague › Czechoslovakia
Thu May 1 1930,Uganda,5-0,Kenya,Friendly,Kampala › Uganda
Sun May 4 1930,Netherlands,2-2,Belgium,Friendly,Amsterdam › Netherlands
Sun May 4 1930,Switzerland,0-5,Germany,Friendly,Zürich › Switzerland
Sun May 4 1930,Yugoslavia,2-1,Romania,Friendly,Belgrade › Yugoslavia
Sat May 10 1930,Germany,3-3,England,Friendly,Berlin › Germany
Sun May 11 1930,Belgium,1-3,Republic of Ireland,Friendly,Brussels › Belgium
Sun May 11 1930,France,2-3,Czechoslovakia,Friendly,Colombes › France
Sun May 11 1930,Hungary,0-5,Italy,International Cup,Budapest › Hungary
Wed May 14 1930,Austria,0-0,England,Friendly,Vienna › Austria
Sun May 18 1930,Belgium,3-1,Netherlands,Friendly,Antwerp › Belgium
Sun May 18 1930,France,0-2,Scotland,Friendly,Colombes › France
Sun May 25 1930,Argentina,1-1,Uruguay,Copa Newton,Buenos Aires › Argentina
