Date,Team 1,Score,Team 2,Tournament,City
Sat Feb 12 1921,Scotland,2-1,Wales,British Championship,Aberdeen › Scotland
Sun Feb 20 1921,France,1-2,Italy,Friendly,Marseille › France
Sat Feb 26 1921,Northern Ireland,0-2,Scotland,British Championship,Belfast › Republic of Ireland
Sun Mar 6 1921,Italy,2-1,Switzerland,Friendly,Milan › Italy
Sun Mar 6 1921,Belgium,3-1,France,Friendly,Forest › Belgium
Mon Mar 14 1921,Wales,0-0,England,British Championship,Cardiff › Wales
Sat Mar 26 1921,Austria,2-2,Sweden,Friendly,Vienna › Austria
Sun Apr 3 1921,Catalonia,4-0,Provence,Friendly,Barcelona › Spain
Mon Apr 4 1921,Catalonia,1-0,Provence,Friendly,Barcelona › Spain
Thu Apr 7 1921,Paraguay,3-1,Argentina,Friendly,Asunción › Paraguay
Sat Apr 9 1921,Wales,2-1,Northern Ireland,British Championship,Swansea › Wales
Sat Apr 9 1921,Scotland,3-0,England,British Championship,Glasgow › Scotland
Thu Apr 14 1921,Paraguay,2-2,Argentina,Friendly,Asunción › Paraguay
Sun Apr 24 1921,Austria,4-1,Hungary,Friendly,Vienna › Austria
Sun May 1 1921,Switzerland,2-2,Austria,Friendly,St. Gallen › Switzerland
Thu May 5 1921,Belgium,2-3,Italy,Friendly,Antwerp › Belgium
Thu May 5 1921,Germany,3-3,Austria,Friendly,Dresden › Germany
Sun May 8 1921,Netherlands,2-2,Italy,Friendly,Amsterdam › Netherlands
Sun May 15 1921,Belgium,1-1,Netherlands,Friendly,Antwerp › Belgium
Sat May 21 1921,Belgium,0-2,England,Friendly,Brussels › Belgium
Wed May 25 1921,Norway,3-2,Finland,Friendly,Kristiania › Norway
Sun May 29 1921,Sweden,0-3,Finland,Friendly,Stockholm › Sweden
Mon May 30 1921,Japan,0-3,Philippines,Friendly,Shanghai › China PR
Sun Jun 5 1921,Hungary,3-0,Germany,Friendly,Budapest › Hungary
Sun Jun 12 1921,Denmark,1-1,Netherlands,Friendly,Copenhagen › Denmark
Sun Jun 19 1921,Norway,3-1,Sweden,Friendly,Kristiania › Norway
Sat Jul 9 1921,Canada,0-1,Scotland,Friendly,Montréal › Canada
Fri Jul 22 1921,Estonia,0-0,Sweden,Friendly,Tallinn › Estonia
Sun Jul 24 1921,Sweden,1-3,Austria,Friendly,Stockholm › Sweden
Sun Jul 31 1921,Finland,2-3,Austria,Friendly,Helsinki › Finland
Sun Aug 28 1921,Estonia,0-3,Finland,Friendly,Tallinn › Estonia
Wed Sep 14 1921,Costa Rica,7-0,El Salvador,Friendly,Guatemala › Guatemala
Sun Sep 18 1921,Finland,3-3,Germany,Friendly,Helsinki › Finland
Sun Sep 18 1921,Guatemala,0-6,Costa Rica,Friendly,Guatemala › Guatemala
Sun Sep 18 1921,Sweden,0-3,Norway,Friendly,Stockholm › Sweden
Sun Sep 25 1921,Chile,1-4,Argentina,Friendly,Viña del Mar › Chile
Sun Oct 2 1921,Argentina,1-0,Brazil,Copa América,Buenos Aires › Argentina
Sun Oct 2 1921,Chile,1-1,Argentina,Friendly,Santiago › Chile
Sun Oct 2 1921,Denmark,3-1,Norway,Friendly,Copenhagen › Denmark
Sun Oct 9 1921,Paraguay,2-1,Uruguay,Copa América,Buenos Aires › Argentina
Sun Oct 9 1921,Sweden,0-0,Denmark,Friendly,Stockholm › Sweden
Wed Oct 12 1921,Brazil,3-0,Paraguay,Copa América,Buenos Aires › Argentina
Sun Oct 16 1921,Argentina,3-0,Paraguay,Copa América,Buenos Aires › Argentina
Sat Oct 22 1921,Northern Ireland,1-1,England,British Championship,Belfast › Republic of Ireland
Sun Oct 23 1921,Brazil,1-2,Uruguay,Copa América,Buenos Aires › Argentina
Fri Oct 28 1921,Czechoslovakia,6-1,Yugoslavia,Friendly,Prague › Czechoslovakia
Sun Oct 30 1921,Argentina,1-0,Uruguay,Copa América,Buenos Aires › Argentina
Wed Nov 2 1921,Uruguay,4-2,Paraguay,Friendly,Montevideo › Uruguay
Sun Nov 6 1921,Switzerland,1-1,Italy,Friendly,Geneva › Switzerland
Sun Nov 6 1921,Hungary,4-2,Sweden,Friendly,Budapest › Hungary
Sun Nov 13 1921,Czechoslovakia,2-2,Sweden,Friendly,Prague › Czechoslovakia
Sun Nov 13 1921,France,0-5,Netherlands,Friendly,Vincennes › France
Sun Dec 18 1921,Hungary,1-0,Poland,Friendly,Budapest › Hungary
Sun Dec 18 1921,Spain,3-1,Portugal,Friendly,Madrid › Spain
