Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 5 Aug 2016 (31),Nijmegen (1),1-1,0-1,Zwolle (1)
?,(Sat) 6 Aug 2016 (31),Den Haag (1),3-0,1-0,Go Ahead Eagles (1)
?,(Sat) 6 Aug 2016 (31),Twente (1),1-2,0-1,Excelsior (1)
?,(Sat) 6 Aug 2016 (31),Utrecht (1),1-2,1-0,PSV Eindhoven (1)
?,(Sat) 6 Aug 2016 (31),Willem II (1),1-4,0-4,Vitesse (1)
?,(Sun) 7 Aug 2016 (31),AZ Alkmaar (1),2-2,1-1,Heerenveen (1)
?,(Sun) 7 Aug 2016 (31),Groningen (1),0-5,0-3,Feyenoord (1)
?,(Sun) 7 Aug 2016 (31),Roda (1),1-1,0-1,Heracles (1)
?,(Sun) 7 Aug 2016 (31),Sparta Rotterdam (1),1-3,1-1,Ajax (1)
?,(Fri) 12 Aug 2016 (32),Heerenveen (2),2-2,1-2,Utrecht (2)
?,(Sat) 13 Aug 2016 (32),Ajax (2),2-2,2-1,Roda (2)
?,(Sat) 13 Aug 2016 (32),Excelsior (2),2-0,1-0,Groningen (2)
?,(Sat) 13 Aug 2016 (32),Vitesse (2),1-2,1-1,Den Haag (2)
?,(Sat) 13 Aug 2016 (32),Zwolle (2),0-3,0-1,Sparta Rotterdam (2)
?,(Sun) 14 Aug 2016 (32),Feyenoord (2),2-0,1-0,Twente (2)
?,(Sun) 14 Aug 2016 (32),Go Ahead Eagles (2),2-2,0-1,Nijmegen (2)
?,(Sun) 14 Aug 2016 (32),Heracles (2),3-1,1-0,Willem II (2)
?,(Sun) 14 Aug 2016 (32),PSV Eindhoven (2),1-0,0-0,AZ Alkmaar (2)
?,(Fri) 19 Aug 2016 (33),Excelsior (3),1-2,1-1,Den Haag (3)
?,(Sat) 20 Aug 2016 (33),Ajax (3),1-2,1-2,Willem II (3)
?,(Sat) 20 Aug 2016 (33),Nijmegen (3),2-1,1-1,Heerenveen (3)
?,(Sat) 20 Aug 2016 (33),Roda (3),0-1,0-1,Vitesse (3)
?,(Sat) 20 Aug 2016 (33),Zwolle (3),0-4,0-2,PSV Eindhoven (3)
?,(Sun) 21 Aug 2016 (33),Groningen (3),3-4,0-3,Twente (3)
?,(Sun) 21 Aug 2016 (33),Heracles (3),0-1,0-1,Feyenoord (3)
?,(Sun) 21 Aug 2016 (33),Sparta Rotterdam (3),1-0,0-0,Go Ahead Eagles (3)
?,(Sun) 21 Aug 2016 (33),Utrecht (3),1-2,0-1,AZ Alkmaar (3)
?,(Fri) 26 Aug 2016 (34),Vitesse (4),1-1,1-0,Utrecht (4)
?,(Sat) 27 Aug 2016 (34),Feyenoord (4),4-1,1-1,Excelsior (4)
?,(Sat) 27 Aug 2016 (34),Heerenveen (4),1-0,0-0,Zwolle (4)
?,(Sat) 27 Aug 2016 (34),Twente (4),3-1,2-0,Sparta Rotterdam (4)
?,(Sat) 27 Aug 2016 (34),Willem II (4),0-0,0-0,Roda (4)
?,(Sun) 28 Aug 2016 (34),AZ Alkmaar (4),2-0,1-0,Nijmegen (4)
?,(Sun) 28 Aug 2016 (34),Den Haag (4),1-1,1-1,Heracles (4)
?,(Sun) 28 Aug 2016 (34),Go Ahead Eagles (4),0-3,0-2,Ajax (4)
?,(Sun) 28 Aug 2016 (34),PSV Eindhoven (4),0-0,0-0,Groningen (4)
?,(Sat) 10 Sep 2016 (36),AZ Alkmaar (5),2-0,1-0,Willem II (5)
?,(Sat) 10 Sep 2016 (36),Excelsior (5),3-1,3-0,Heracles (5)
?,(Sat) 10 Sep 2016 (36),Heerenveen (5),3-1,1-0,Twente (5)
?,(Sat) 10 Sep 2016 (36),Nijmegen (5),0-4,0-4,PSV Eindhoven (5)
?,(Sat) 10 Sep 2016 (36),Zwolle (5),1-1,1-0,Utrecht (5)
?,(Sun) 11 Sep 2016 (36),Ajax (5),1-0,0-0,Vitesse (5)
?,(Sun) 11 Sep 2016 (36),Feyenoord (5),3-1,2-0,Den Haag (5)
?,(Sun) 11 Sep 2016 (36),Go Ahead Eagles (5),2-0,1-0,Roda (5)
?,(Sun) 11 Sep 2016 (36),Groningen (5),1-1,1-1,Sparta Rotterdam (5)
?,(Fri) 16 Sep 2016 (37),Utrecht (6),1-5,0-2,Groningen (6)
?,(Sat) 17 Sep 2016 (37),Roda (6),0-3,0-1,Heerenveen (6)
?,(Sat) 17 Sep 2016 (37),Twente (6),4-1,2-0,Den Haag (6)
?,(Sat) 17 Sep 2016 (37),Vitesse (6),2-0,0-0,Go Ahead Eagles (6)
?,(Sat) 17 Sep 2016 (37),Willem II (6),1-1,1-0,Excelsior (6)
?,(Sun) 18 Sep 2016 (37),Heracles (6),0-2,0-0,Ajax (6)
?,(Sun) 18 Sep 2016 (37),PSV Eindhoven (6),0-1,0-0,Feyenoord (6)
?,(Sun) 18 Sep 2016 (37),Sparta Rotterdam (6),2-0,1-0,Nijmegen (6)
?,(Sun) 18 Sep 2016 (37),Zwolle (6),0-2,0-1,AZ Alkmaar (6)
?,(Sat) 24 Sep 2016 (38),Ajax (7),5-1,2-1,Zwolle (7)
?,(Sat) 24 Sep 2016 (38),AZ Alkmaar (7),2-2,1-0,Go Ahead Eagles (7)
?,(Sat) 24 Sep 2016 (38),Den Haag (7),0-3,0-1,Heerenveen (7)
?,(Sat) 24 Sep 2016 (38),Excelsior (7),1-3,1-2,PSV Eindhoven (7)
?,(Sat) 24 Sep 2016 (38),Groningen (7),0-0,0-0,Heracles (7)
?,(Sun) 25 Sep 2016 (38),Feyenoord (7),5-0,2-0,Roda (7)
?,(Sun) 25 Sep 2016 (38),Nijmegen (7),0-0,0-0,Willem II (7)
?,(Sun) 25 Sep 2016 (38),Twente (7),2-1,1-0,Vitesse (7)
?,(Sun) 25 Sep 2016 (38),Utrecht (7),2-0,1-0,Sparta Rotterdam (7)
?,(Fri) 30 Sep 2016 (39),Zwolle (8),2-1,0-0,Den Haag (8)
?,(Sat) 1 Oct 2016 (39),Go Ahead Eagles (8),3-0,2-0,Excelsior (8)
?,(Sat) 1 Oct 2016 (39),Heerenveen (8),1-1,0-0,PSV Eindhoven (8)
?,(Sat) 1 Oct 2016 (39),Roda (8),0-1,0-0,Nijmegen (8)
?,(Sat) 1 Oct 2016 (39),Vitesse (8),2-1,1-1,Groningen (8)
?,(Sun) 2 Oct 2016 (39),Ajax (8),3-2,0-1,Utrecht (8)
?,(Sun) 2 Oct 2016 (39),Heracles (8),1-1,1-1,Twente (8)
?,(Sun) 2 Oct 2016 (39),Sparta Rotterdam (8),1-1,1-1,AZ Alkmaar (8)
?,(Sun) 2 Oct 2016 (39),Willem II (8),0-2,0-1,Feyenoord (8)
?,(Sat) 15 Oct 2016 (41),AZ Alkmaar (9),2-2,0-1,Vitesse (9)
?,(Sat) 15 Oct 2016 (41),Groningen (9),0-3,0-1,Heerenveen (9)
?,(Sat) 15 Oct 2016 (41),PSV Eindhoven (9),1-1,1-1,Heracles (9)
?,(Sat) 15 Oct 2016 (41),Sparta Rotterdam (9),2-2,0-1,Willem II (9)
?,(Sat) 15 Oct 2016 (41),Utrecht (9),3-0,1-0,Go Ahead Eagles (9)
?,(Sun) 16 Oct 2016 (41),Den Haag (9),0-2,0-1,Ajax (9)
?,(Sun) 16 Oct 2016 (41),Excelsior (9),0-1,0-0,Roda (9)
?,(Sun) 16 Oct 2016 (41),Nijmegen (9),1-2,1-0,Feyenoord (9)
?,(Sun) 16 Oct 2016 (41),Twente (9),2-2,1-1,Zwolle (9)
?,(Fri) 21 Oct 2016 (42),Excelsior (10),0-2,0-0,Zwolle (10)
?,(Sat) 22 Oct 2016 (42),Go Ahead Eagles (10),0-2,0-1,Twente (10)
?,(Sat) 22 Oct 2016 (42),PSV Eindhoven (10),1-0,0-0,Sparta Rotterdam (10)
