Date,Team 1,Team 2,FT,HT
2010-08-06,Roda,Twente,0-0,0-0
2010-08-07,Graafschap,Excelsior,3-0,1-0
2010-08-07,Heerenveen,PSV Eindhoven,1-3,0-0
2010-08-07,Heracles,Willem II,3-0,1-0
2010-08-07,Nijmegen,VVV Venlo,1-0,0-0
2010-08-08,Feyenoord,Utrecht,3-1,0-1
2010-08-08,Groningen,Ajax,2-2,0-0
2010-08-08,NAC Breda,AZ Alkmaar,1-1,0-0
2010-08-08,Vitesse,Den Haag,3-1,1-1
2010-08-14,Ajax,Vitesse,4-2,2-2
2010-08-14,AZ Alkmaar,Groningen,1-1,0-0
2010-08-14,PSV Eindhoven,Graafschap,6-0,2-0
2010-08-14,Twente,Heerenveen,0-0,0-0
2010-08-14,VVV Venlo,Heracles,1-0,1-0
2010-08-15,Den Haag,Roda,1-3,1-2
2010-08-15,Excelsior,Feyenoord,3-2,1-1
2010-08-15,Utrecht,NAC Breda,3-1,1-1
2010-08-15,Willem II,Nijmegen,3-5,2-1
2010-08-20,Excelsior,Nijmegen,4-2,0-1
2010-08-21,Ajax,Roda,3-0,1-0
2010-08-21,Groningen,Graafschap,2-1,2-0
2010-08-21,Heerenveen,NAC Breda,3-1,1-1
2010-08-21,Vitesse,Twente,0-3,0-0
2010-08-22,Heracles,Feyenoord,1-1,1-0
2010-08-22,PSV Eindhoven,AZ Alkmaar,3-1,1-0
2010-08-22,Utrecht,Willem II,3-0,3-0
2010-08-22,VVV Venlo,Den Haag,2-3,1-1
2010-08-27,Willem II,Groningen,0-3,0-1
2010-08-28,NAC Breda,VVV Venlo,2-0,2-0
2010-08-28,Nijmegen,Heerenveen,2-2,0-0
2010-08-28,Roda,Heracles,4-2,3-0
2010-08-29,AZ Alkmaar,Excelsior,1-1,0-1
2010-08-29,Den Haag,PSV Eindhoven,2-2,0-1
2010-08-29,Feyenoord,Vitesse,4-0,2-0
2010-08-29,Graafschap,Ajax,0-5,0-2
2010-08-29,Twente,Utrecht,4-0,0-0
2010-09-11,Ajax,Willem II,2-0,1-0
2010-09-11,AZ Alkmaar,Roda,1-2,1-1
2010-09-11,Excelsior,Heracles,2-1,0-1
2010-09-11,Heerenveen,Vitesse,2-1,0-0
2010-09-11,PSV Eindhoven,Nijmegen,3-1,0-1
2010-09-11,VVV Venlo,Twente,1-2,1-1
2010-09-12,Den Haag,Graafschap,2-2,1-0
2010-09-12,Groningen,Utrecht,1-0,0-0
2010-09-12,NAC Breda,Feyenoord,2-0,0-0
2010-09-17,Graafschap,Heerenveen,3-2,1-1
2010-09-18,Groningen,Excelsior,2-0,0-0
2010-09-18,Vitesse,NAC Breda,0-0,0-0
2010-09-18,Willem II,Den Haag,2-4,1-1
2010-09-19,Feyenoord,Ajax,1-2,0-1
2010-09-19,Heracles,Twente,0-0,0-0
