Date,Team 1,Score,Team 2,Tournament,City
Wed Jan 2 2013,Catalonia,1-1,Nigeria,Friendly,Cornellà de Llobregat › Spain
Sat Jan 5 2013,Bahrain,0-0,Oman,Gulf Cup,Riffa › Bahrain
Sat Jan 5 2013,Niger,3-1,Togo,Friendly,Niamey › Niger
Sat Jan 5 2013,Qatar,1-3,United Arab Emirates,Gulf Cup,Riffa › Bahrain
Sat Jan 5 2013,Zambia,0-2,Angola,Friendly,Johannesburg › South Africa
Sun Jan 6 2013,Kenya,0-0,Burundi,African Nations Championship,Nairobi › Kenya
Sun Jan 6 2013,Kuwait,2-0,Yemen,Gulf Cup,Isa Town › Bahrain
Sun Jan 6 2013,Saudi Arabia,0-2,Iraq,Gulf Cup,Isa Town › Bahrain
Mon Jan 7 2013,Tunisia,1-1,Ethiopia,Friendly,al-Wakrah › Qatar
Tue Jan 8 2013,Bahrain,1-2,United Arab Emirates,Gulf Cup,Riffa › Bahrain
Tue Jan 8 2013,Qatar,2-1,Oman,Gulf Cup,Riffa › Bahrain
Tue Jan 8 2013,South Africa,0-1,Norway,Friendly,Cape Town › South Africa
Tue Jan 8 2013,Zambia,0-0,Morocco,Friendly,Johannesburg › South Africa
Wed Jan 9 2013,Cape Verde,0-0,Nigeria,Friendly,Faro › Portugal
Wed Jan 9 2013,Iraq,1-0,Kuwait,Gulf Cup,Isa Town › Bahrain
Wed Jan 9 2013,Yemen,0-2,Saudi Arabia,Gulf Cup,Isa Town › Bahrain
Thu Jan 10 2013,Gabon,1-1,Tunisia,Friendly,Abu Dhabi › United Arab Emirates
Thu Jan 10 2013,Ghana,3-0,Egypt,Friendly,Abu Dhabi › United Arab Emirates
Thu Jan 10 2013,Panama,3-0,Guatemala,Friendly,Panama City › Panama
Fri Jan 11 2013,Bahrain,1-0,Qatar,Gulf Cup,Riffa › Bahrain
Fri Jan 11 2013,Ethiopia,2-1,Tanzania,Friendly,Addis Ababa › Ethiopia
Fri Jan 11 2013,United Arab Emirates,2-0,Oman,Gulf Cup,Isa Town › Bahrain
Sat Jan 12 2013,Iraq,2-0,Yemen,Gulf Cup,Isa Town › Bahrain
Sat Jan 12 2013,Kuwait,1-0,Saudi Arabia,Gulf Cup,Riffa › Bahrain
Sat Jan 12 2013,Namibia,1-2,Morocco,Friendly,Johannesburg › South Africa
Sat Jan 12 2013,South Africa,0-0,Algeria,Friendly,Johannesburg › South Africa
Sat Jan 12 2013,Zambia,0-0,Norway,Friendly,Ndola › Zambia
Sun Jan 13 2013,Angola,2-0,Botswana,Friendly,Johannesburg › South Africa
Sun Jan 13 2013,Ghana,4-2,Tunisia,Friendly,Abu Dhabi › United Arab Emirates
Sun Jan 13 2013,Panama,2-0,Guatemala,Friendly,Panama City › Panama
Sun Jan 13 2013,Togo,2-1,Niger,Friendly,Lomé › Togo
Mon Jan 14 2013,Ivory Coast,4-2,Egypt,Friendly,Abu Dhabi › United Arab Emirates
Tue Jan 15 2013,Bahrain,1-1,Iraq,Gulf Cup,Riffa › Bahrain
Tue Jan 15 2013,Lebanon,0-0,Gabon,Friendly,Sidon › Lebanon
Tue Jan 15 2013,United Arab Emirates,1-0,Kuwait,Gulf Cup,Riffa › Bahrain
Thu Jan 17 2013,Eswatini,0-3,Burkina Faso,Friendly,Nelspruit › South Africa
Fri Jan 18 2013,Bahrain,1-6,Kuwait,Gulf Cup,Isa Town › Bahrain
Fri Jan 18 2013,Costa Rica,1-0,Belize,UNCAF Cup,San José › Costa Rica
Fri Jan 18 2013,Guatemala,1-1,Nicaragua,UNCAF Cup,San José › Costa Rica
Fri Jan 18 2013,Honduras,1-1,El Salvador,UNCAF Cup,San José › Costa Rica
Fri Jan 18 2013,United Arab Emirates,2-1,Iraq,Gulf Cup,Riffa › Bahrain
Sat Jan 19 2013,Angola,0-0,Morocco,African Cup of Nations,Johannesburg › South Africa
Sat Jan 19 2013,Chile,3-0,Haiti,Friendly,Concepción › Chile
Sat Jan 19 2013,South Africa,0-0,Cape Verde,African Cup of Nations,Johannesburg › South Africa
Sun Jan 20 2013,Belize,0-0,Guatemala,UNCAF Cup,San José › Costa Rica
Sun Jan 20 2013,Costa Rica,2-0,Nicaragua,UNCAF Cup,San José › Costa Rica
Sun Jan 20 2013,El Salvador,0-0,Panama,UNCAF Cup,San José › Costa Rica
Sun Jan 20 2013,Ghana,2-2,DR Congo,African Cup of Nations,Port Elizabeth › South Africa
Sun Jan 20 2013,Mali,1-0,Niger,African Cup of Nations,Port Elizabeth › South Africa
Mon Jan 21 2013,Nigeria,1-1,Burkina Faso,African Cup of Nations,Nelspruit › South Africa
Mon Jan 21 2013,Zambia,1-1,Ethiopia,African Cup of Nations,Nelspruit › South Africa
Tue Jan 22 2013,Costa Rica,1-1,Guatemala,UNCAF Cup,San José › Costa Rica
Tue Jan 22 2013,Ivory Coast,2-1,Togo,African Cup of Nations,Rustenburg › South Africa
Tue Jan 22 2013,Nicaragua,1-2,Belize,UNCAF Cup,San José › Costa Rica
Tue Jan 22 2013,Panama,1-1,Honduras,UNCAF Cup,San José › Costa Rica
Tue Jan 22 2013,Tunisia,1-0,Algeria,African Cup of Nations,Rustenburg › South Africa
Wed Jan 23 2013,Morocco,1-1,Cape Verde,African Cup of Nations,Durban › South Africa
Wed Jan 23 2013,South Africa,2-0,Angola,African Cup of Nations,Durban › South Africa
Wed Jan 23 2013,Sweden,1-1,North Korea,King's Cup,Chiang Mai › Thailand
Wed Jan 23 2013,Thailand,1-3,Finland,King's Cup,Chiang Mai › Thailand
Thu Jan 24 2013,Ghana,1-0,Mali,African Cup of Nations,Port Elizabeth › South Africa
Thu Jan 24 2013,Niger,0-0,DR Congo,African Cup of Nations,Port Elizabeth › South Africa
Fri Jan 25 2013,Burkina Faso,4-0,Ethiopia,African Cup of Nations,Nelspruit › South Africa
Fri Jan 25 2013,Costa Rica,1-0,El Salvador,UNCAF Cup,San José › Costa Rica
Fri Jan 25 2013,Guatemala,1-3,Panama,UNCAF Cup,San José › Costa Rica
Fri Jan 25 2013,Honduras,1-0,Belize,UNCAF Cup,San José › Costa Rica
Fri Jan 25 2013,Zambia,1-1,Nigeria,African Cup of Nations,Nelspruit › South Africa
Sat Jan 26 2013,Algeria,0-2,Togo,African Cup of Nations,Rustenburg › South Africa
Sat Jan 26 2013,Ivory Coast,3-0,Tunisia,African Cup of Nations,Rustenburg › South Africa
Sat Jan 26 2013,Sweden,3-0,Finland,King's Cup,Chiang Mai › Thailand
Sat Jan 26 2013,Thailand,2-2,North Korea,King's Cup,Chiang Mai › Thailand
Sun Jan 27 2013,Cape Verde,2-1,Angola,African Cup of Nations,Port Elizabeth › South Africa
Sun Jan 27 2013,Costa Rica,1-0,Honduras,UNCAF Cup,San José › Costa Rica
Sun Jan 27 2013,El Salvador,1-0,Belize,UNCAF Cup,San José › Costa Rica
Sun Jan 27 2013,South Africa,2-2,Morocco,African Cup of Nations,Durban › South Africa
Mon Jan 28 2013,DR Congo,1-1,Mali,African Cup of Nations,Durban › South Africa
Mon Jan 28 2013,Niger,0-3,Ghana,African Cup of Nations,Port Elizabeth › South Africa
Tue Jan 29 2013,Burkina Faso,0-0,Zambia,African Cup of Nations,Nelspruit › South Africa
Tue Jan 29 2013,Ethiopia,0-2,Nigeria,African Cup of Nations,Rustenburg › South Africa
Tue Jan 29 2013,United States,0-0,Canada,Friendly,Houston › United States
Wed Jan 30 2013,Algeria,2-2,Ivory Coast,African Cup of Nations,Rustenburg › South Africa
Wed Jan 30 2013,Oman,1-0,China PR,Friendly,Muscat › Oman
Wed Jan 30 2013,Togo,1-1,Tunisia,African Cup of Nations,Nelspruit › South Africa
Thu Jan 31 2013,Jordan,5-0,Indonesia,Friendly,Amman › Jordan
Thu Jan 31 2013,Qatar,1-0,Lebanon,Friendly,Doha › Qatar
Fri Feb 1 2013,Uzbekistan,0-0,Azerbaijan,Friendly,Dubai › United Arab Emirates
Sat Feb 2 2013,Ghana,2-0,Cape Verde,African Cup of Nations,Port Elizabeth › South Africa
Sat Feb 2 2013,Romania,1-4,Poland,Friendly,Málaga › Spain
Sat Feb 2 2013,South Africa,1-1,Mali,African Cup of Nations,Durban › South Africa
Sun Feb 3 2013,Burkina Faso,1-0,Togo,African Cup of Nations,Nelspruit › South Africa
Sun Feb 3 2013,Ivory Coast,1-2,Nigeria,African Cup of Nations,Rustenburg › South Africa
Tue Feb 5 2013,Armenia,1-1,Luxembourg,Friendly,Valence › France
Wed Feb 6 2013,Albania,1-2,Georgia,Friendly,Tirana › Albania
Wed Feb 6 2013,Azerbaijan,1-0,Liechtenstein,Friendly,Dubai › United Arab Emirates
Wed Feb 6 2013,Belgium,2-1,Slovakia,Friendly,Bruges › Belgium
Wed Feb 6 2013,Burkina Faso,1-1,Ghana,African Cup of Nations,Nelspruit › South Africa
Wed Feb 6 2013,Burma,0-1,Philippines,Friendly,Rangoon › Burma
Wed Feb 6 2013,Chile,2-1,Egypt,Friendly,Madrid › Spain
Wed Feb 6 2013,Croatia,4-0,South Korea,Friendly,London › England
Wed Feb 6 2013,Cyprus,1-3,Serbia,Friendly,Nicosia › Cyprus
Wed Feb 6 2013,England,2-1,Brazil,Friendly,London › England
Wed Feb 6 2013,France,1-2,Germany,Friendly,Saint-Denis › France
Wed Feb 6 2013,Greece,0-0,Switzerland,Friendly,Piraeus › Greece
Wed Feb 6 2013,Honduras,2-1,United States,FIFA World Cup qualification,San Pedro Sula › Honduras
Wed Feb 6 2013,Hungary,1-1,Belarus,Friendly,Belek › Turkey
Wed Feb 6 2013,Iceland,0-2,Russia,Friendly,Marbella › Spain
Wed Feb 6 2013,India,2-4,Palestine,Friendly,Kochi › India
Wed Feb 6 2013,Iran,5-0,Lebanon,AFC Asian Cup qualification,Teheran › Iran
Wed Feb 6 2013,Iraq,1-0,Indonesia,AFC Asian Cup qualification,Dubai › United Arab Emirates
Wed Feb 6 2013,Republic of Ireland,2-0,Poland,Friendly,Dublin › Republic of Ireland
Wed Feb 6 2013,Israel,2-1,Finland,Friendly,Netanya › Israel
Wed Feb 6 2013,Japan,3-0,Latvia,Friendly,Kobe › Japan
Wed Feb 6 2013,Jordan,4-0,Singapore,AFC Asian Cup qualification,Amman › Jordan
Wed Feb 6 2013,Kenya,3-0,Libya,Friendly,Tunis › Tunisia
Wed Feb 6 2013,North Korea,1-0,Laos,Friendly,Kunming › China PR
Wed Feb 6 2013,North Macedonia,3-0,Denmark,Friendly,Skopje › North Macedonia
Wed Feb 6 2013,Mali,1-4,Nigeria,African Cup of Nations,Durban › South Africa
Wed Feb 6 2013,Malta,0-0,Northern Ireland,Friendly,Attard › Malta
Wed Feb 6 2013,Mexico,0-0,Jamaica,FIFA World Cup qualification,Mexico City › Mexico
Wed Feb 6 2013,Moldova,1-3,Kazakhstan,Friendly,Antalya › Turkey
Wed Feb 6 2013,Nepal,0-1,Pakistan,Friendly,Kathmandu › Nepal
Wed Feb 6 2013,Netherlands,1-1,Italy,Friendly,Amsterdam › Netherlands
Wed Feb 6 2013,Norway,0-2,Ukraine,Friendly,Seville › Spain
Wed Feb 6 2013,Oman,1-0,Syria,AFC Asian Cup qualification,Muscat › Oman
Wed Feb 6 2013,Panama,2-2,Costa Rica,FIFA World Cup qualification,Panama City › Panama
Wed Feb 6 2013,Portugal,2-3,Ecuador,Friendly,Guimarães › Portugal
Wed Feb 6 2013,Qatar,2-0,Malaysia,AFC Asian Cup qualification,Doha › Qatar
