Date,Team 1,Score,Team 2,Tournament,City
Tue Jan 7 2020,Barbados,1-4,Canada,Friendly,Irvine › United States
Thu Jan 9 2020,Moldova,0-1,Sweden,Friendly,Doha › Qatar
Fri Jan 10 2020,Barbados,1-4,Canada,Friendly,Irvine › United States
Sun Jan 12 2020,Kosovo,0-1,Sweden,Friendly,Doha › Qatar
Wed Jan 15 2020,Canada,0-1,Iceland,Friendly,Irvine › United States
Sun Jan 19 2020,El Salvador,0-1,Iceland,Friendly,Carson › United States
Sat Feb 1 2020,United States,1-0,Costa Rica,Friendly,Carson › United States
