Date,Team 1,Score,Team 2,Tournament,City
Tue Jan 4 2000,Egypt,2-1,Togo,Friendly,Aswan › Egypt
Fri Jan 7 2000,Tunisia,7-0,Togo,Friendly,Tunis › Tunisia
Sat Jan 8 2000,Trinidad and Tobago,0-0,Canada,Friendly,Port of Spain › Trinidad and Tobago
Sun Jan 9 2000,Burkina Faso,1-1,Gabon,Friendly,Ouagadougou › Burkina Faso
Sun Jan 9 2000,Guatemala,1-1,Armenia,Friendly,Los Angeles › United States
Sun Jan 9 2000,Ivory Coast,2-0,Egypt,Friendly,Abidjan › Ivory Coast
Sun Jan 9 2000,Mexico,2-1,Iran,Friendly,Oakland › United States
Tue Jan 11 2000,Bermuda,0-2,Canada,Friendly,Hamilton › Bermuda
Tue Jan 11 2000,Burkina Faso,2-2,Cameroon,Friendly,Ouagadougou › Burkina Faso
Thu Jan 13 2000,Senegal,0-0,Cameroon,Friendly,Dakar › Senegal
Fri Jan 14 2000,China PR,1-0,New Zealand,Friendly,Guangzhou › China PR
Sun Jan 16 2000,Jamaica,2-1,New Zealand,Friendly,Guangzhou › China PR
Sun Jan 16 2000,United States,1-1,Iran,Friendly,Pasadena › United States
Tue Jan 18 2000,Ghana,2-0,Tunisia,Friendly,Accra › Ghana
Tue Jan 18 2000,Morocco,1-0,Trinidad and Tobago,Friendly,el-Jadida › Morocco
Wed Jan 19 2000,Panama,2-0,Guatemala,Friendly,Panama City › Panama
Wed Jan 19 2000,Togo,1-0,Egypt,Friendly,Lomé › Togo
Thu Jan 20 2000,Burkina Faso,1-0,Algeria,Friendly,Ouagadougou › Burkina Faso
Thu Jan 20 2000,Malta,2-0,Qatar,Friendly,Attard › Malta
Fri Jan 21 2000,New Zealand,0-1,South Korea,Friendly,Auckland › New Zealand
Sat Jan 22 2000,Ghana,1-1,Cameroon,African Cup of Nations,Accra › Ghana
Sun Jan 23 2000,China PR,8-0,Philippines,AFC Asian Cup qualification,Hanoi › Vietnam
Sun Jan 23 2000,Egypt,2-0,Zambia,African Cup of Nations,Kano › Nigeria
Sun Jan 23 2000,New Zealand,0-0,South Korea,Friendly,Palmerstone North › New Zealand
Sun Jan 23 2000,Nigeria,4-2,Tunisia,African Cup of Nations,Lagos › Nigeria
Sun Jan 23 2000,South Africa,3-1,Gabon,African Cup of Nations,Kumasi › Ghana
Sun Jan 23 2000,Vietnam,11-0,Guam,AFC Asian Cup qualification,Hanoi › Vietnam
Mon Jan 24 2000,DR Congo,0-0,Algeria,African Cup of Nations,Kumasi › Ghana
Mon Jan 24 2000,Ivory Coast,1-1,Togo,African Cup of Nations,Accra › Ghana
Mon Jan 24 2000,Qatar,2-0,Bosnia and Herzegovina,Friendly,Doha › Qatar
Tue Jan 25 2000,Burkina Faso,1-3,Senegal,African Cup of Nations,Kano › Nigeria
Tue Jan 25 2000,Morocco,1-0,Congo,African Cup of Nations,Lagos › Nigeria
Wed Jan 26 2000,China PR,19-0,Guam,AFC Asian Cup qualification,Hanoi › Vietnam
Wed Jan 26 2000,Costa Rica,2-1,Trinidad and Tobago,Friendly,San José › Costa Rica
Wed Jan 26 2000,Guatemala,1-1,Panama,Friendly,Guatemala › Guatemala
Wed Jan 26 2000,Spain,3-0,Poland,Friendly,Cartagena › Spain
Wed Jan 26 2000,Uganda,3-2,Libya,Friendly,Kampala › Uganda
Wed Jan 26 2000,Vietnam,3-0,Philippines,AFC Asian Cup qualification,Hanoi › Vietnam
Thu Jan 27 2000,Ghana,2-0,Togo,African Cup of Nations,Accra › Ghana
Thu Jan 27 2000,South Africa,1-0,DR Congo,African Cup of Nations,Kumasi › Ghana
Fri Jan 28 2000,Cameroon,3-0,Ivory Coast,African Cup of Nations,Accra › Ghana
Fri Jan 28 2000,Egypt,1-0,Senegal,African Cup of Nations,Kano › Nigeria
Fri Jan 28 2000,Nigeria,0-0,Congo,African Cup of Nations,Lagos › Nigeria
Fri Jan 28 2000,U.S. Virgin Islands,0-9,Saint Lucia,Friendly,St. Croix Island › U.S. Virgin Islands
Sat Jan 29 2000,Algeria,3-1,Gabon,African Cup of Nations,Kumasi › Ghana
Sat Jan 29 2000,Chile,1-2,United States,Friendly,Coquimbo › Chile
Sat Jan 29 2000,Philippines,2-0,Guam,AFC Asian Cup qualification,Hanoi › Vietnam
Sat Jan 29 2000,Tunisia,0-0,Morocco,African Cup of Nations,Lagos › Nigeria
Sat Jan 29 2000,Vietnam,0-2,China PR,AFC Asian Cup qualification,Hanoi › Vietnam
Sat Jan 29 2000,Zambia,1-1,Burkina Faso,African Cup of Nations,Kano › Nigeria
Sun Jan 30 2000,U.S. Virgin Islands,0-2,Saint Lucia,Friendly,St. Croix Island › U.S. Virgin Islands
Mon Jan 31 2000,Cameroon,0-1,Togo,African Cup of Nations,Kumasi › Ghana
Mon Jan 31 2000,Faroe Islands,0-1,Finland,Nordic Championship,Cartagena › Spain
Mon Jan 31 2000,Ghana,0-2,Ivory Coast,African Cup of Nations,Accra › Ghana
Mon Jan 31 2000,Iceland,0-0,Norway,Nordic Championship,Cartagena › Spain
Mon Jan 31 2000,Kuwait,4-0,Syria,Friendly,Kuwait City › Kuwait
Tue Feb 1 2000,British Virgin Islands,2-3,Saint Lucia,Friendly,Road Town › British Virgin Islands
Tue Feb 1 2000,Egypt,4-2,Burkina Faso,African Cup of Nations,Kano › Nigeria
Tue Feb 1 2000,Zambia,2-2,Senegal,African Cup of Nations,Lagos › Nigeria
Wed Feb 2 2000,Armenia,2-1,Moldova,Cyprus International Tournament,Larnaca › Cyprus
Wed Feb 2 2000,DR Congo,0-0,Gabon,African Cup of Nations,Accra › Ghana
Wed Feb 2 2000,Costa Rica,1-0,Chile,Friendly,San José › Costa Rica
Wed Feb 2 2000,Cyprus,2-1,Lithuania,Cyprus International Tournament,Limassol › Cyprus
Wed Feb 2 2000,Finland,0-1,Iceland,Nordic Championship,Cartagena › Spain
Wed Feb 2 2000,Romania,2-0,Latvia,Cyprus International Tournament,Paphos › Cyprus
Wed Feb 2 2000,South Africa,1-1,Algeria,African Cup of Nations,Kumasi › Ghana
Wed Feb 2 2000,Saint Kitts and Nevis,0-1,Saint Lucia,Friendly,Basseterre › Saint Kitts and Nevis
Thu Feb 3 2000,Nigeria,2-0,Morocco,African Cup of Nations,Lagos › Nigeria
Thu Feb 3 2000,Tunisia,1-0,Congo,African Cup of Nations,Kano › Nigeria
Fri Feb 4 2000,Cyprus,3-2,Armenia,Cyprus International Tournament,Nicosia › Cyprus
Fri Feb 4 2000,Faroe Islands,2-3,Iceland,Nordic Championship,Cartagena › Spain
Fri Feb 4 2000,Kuwait,1-1,Iran,Friendly,Kuwait City › Kuwait
Fri Feb 4 2000,Moldova,2-1,Lithuania,Cyprus International Tournament,Larnaca › Cyprus
Fri Feb 4 2000,Norway,1-1,Sweden,Nordic Championship,Cartagena › Spain
Fri Feb 4 2000,Romania,1-1,Georgia,Cyprus International Tournament,Larnaca › Cyprus
Sat Feb 5 2000,Guatemala,2-1,Chile,Friendly,Guatemala › Guatemala
Sat Feb 5 2000,Japan,0-1,Mexico,Lunar New Year Cup,So Kon Po › Hong Kong
Sun Feb 6 2000,Albania,3-0,Andorra,Malta International Tournament,Attard › Malta
Sun Feb 6 2000,Cameroon,2-1,Algeria,African Cup of Nations,Accra › Ghana
Sun Feb 6 2000,Cayman Islands,0-0,Jamaica,Friendly,George Town › Cayman Islands
Sun Feb 6 2000,Cyprus,3-2,Romania,Cyprus International Tournament,Nicosia › Cyprus
Sun Feb 6 2000,Georgia,2-1,Armenia,Cyprus International Tournament,Limassol › Cyprus
Sun Feb 6 2000,Ghana,0-1,South Africa,African Cup of Nations,Kumasi › Ghana
Sun Feb 6 2000,Latvia,1-2,Lithuania,Cyprus International Tournament,Larnaca › Cyprus
Sun Feb 6 2000,Malta,3-0,Azerbaijan,Malta International Tournament,Attard › Malta
Mon Feb 7 2000,Egypt,0-1,Tunisia,African Cup of Nations,Kano › Nigeria
Mon Feb 7 2000,Nigeria,2-1,Senegal,African Cup of Nations,Lagos › Nigeria
Mon Feb 7 2000,Singapore,3-1,Malaysia,Friendly,Singapore › Singapore
Tue Feb 8 2000,Albania,1-0,Azerbaijan,Malta International Tournament,Attard › Malta
Tue Feb 8 2000,Malta,1-1,Andorra,Malta International Tournament,Attard › Malta
Tue Feb 8 2000,Mexico,1-2,Czech Republic,Lunar New Year Cup,So Kon Po › Hong Kong
Tue Feb 8 2000,Syria,5-1,North Korea,Friendly,Damascus › Syria
Wed Feb 9 2000,Bulgaria,1-0,Slovakia,Friendly,Valparaíso › Chile
Wed Feb 9 2000,Cayman Islands,0-1,Jamaica,Friendly,George Town › Cayman Islands
Wed Feb 9 2000,Chile,2-1,Australia,Friendly,Valparaíso › Chile
