Date,Team 1,Score,Team 2,Tournament,City
Thu Jan 4 2001,Kenya,2-1,Zambia,Friendly,Nairobi › Kenya
Sat Jan 6 2001,Costa Rica,5-2,Guatemala,FIFA World Cup qualification,Miami › United States
Sat Jan 6 2001,Egypt,2-1,United Arab Emirates,Friendly,Cairo › Egypt
Sat Jan 6 2001,Eswatini,1-0,Angola,Friendly,Manzini › Eswatini
Sun Jan 7 2001,Angola,2-0,Lesotho,Friendly,Manzini › Eswatini
Sun Jan 7 2001,Eswatini,2-1,Namibia,Friendly,Manzini › Eswatini
Sun Jan 7 2001,Togo,1-1,Burkina Faso,Friendly,Lomé › Togo
Tue Jan 9 2001,Egypt,3-1,Zambia,Friendly,Cairo › Egypt
Tue Jan 9 2001,Eswatini,2-2,Lesotho,Friendly,Manzini › Eswatini
Thu Jan 11 2001,Romania,0-1,Jordan,Millennium Cup,Margao › India
Fri Jan 12 2001,Algeria,2-1,Burundi,African Cup of Nations qualification,Algiers › Algeria
Fri Jan 12 2001,Bosnia and Herzegovina,2-0,Bangladesh,Millennium Cup,Cochin › India
Fri Jan 12 2001,Qatar,1-0,Kuwait,Friendly,Doha › Qatar
Fri Jan 12 2001,Uzbekistan,5-0,Bahrain,Millennium Cup,Calcutta › India
Sat Jan 13 2001,Burkina Faso,1-0,Angola,African Cup of Nations qualification,Ouagadougou › Burkina Faso
Sat Jan 13 2001,India,0-3,Iceland,Millennium Cup,Cochin › India
Sat Jan 13 2001,Kenya,2-1,Gabon,African Cup of Nations qualification,Nairobi › Kenya
Sat Jan 13 2001,Namibia,2-2,Madagascar,African Cup of Nations qualification,Windhoek › Namibia
Sat Jan 13 2001,Nigeria,1-0,Zambia,African Cup of Nations qualification,Lagos › Nigeria
Sat Jan 13 2001,Tunisia,0-1,Morocco,African Cup of Nations qualification,Tunis › Tunisia
Sat Jan 13 2001,Uganda,1-1,Senegal,African Cup of Nations qualification,Kampala › Uganda
Sun Jan 14 2001,DR Congo,2-1,Ghana,African Cup of Nations qualification,Kinshasa › DR Congo
Sun Jan 14 2001,Egypt,4-0,Libya,African Cup of Nations qualification,Cairo › Egypt
Sun Jan 14 2001,Guinea,0-0,Togo,African Cup of Nations qualification,Conakry › Guinea
Sun Jan 14 2001,Liberia,5-1,Congo,African Cup of Nations qualification,Monrovia › Liberia
Sun Jan 14 2001,Romania,4-2,Hong Kong,Millennium Cup,Margao › India
Sun Jan 14 2001,Serbia,1-1,Bosnia and Herzegovina,Millennium Cup,Cochin › India
Sun Jan 14 2001,Zimbabwe,1-2,Lesotho,African Cup of Nations qualification,Bulawayo › Zimbabwe
Mon Jan 15 2001,Chile,2-0,Bahrain,Millennium Cup,Calcutta › India
Tue Jan 16 2001,Bangladesh,1-4,Serbia,Millennium Cup,Cochin › India
Tue Jan 16 2001,Hong Kong,0-2,Jordan,Millennium Cup,Margao › India
Wed Jan 17 2001,Chile,2-0,Uzbekistan,Millennium Cup,Calcutta › India
Wed Jan 17 2001,China PR,0-0,Egypt,Friendly,Teheran › Iran
Wed Jan 17 2001,Israel,2-0,Uzbekistan,Friendly,Beit She'an › Israel
Wed Jan 17 2001,Kuwait,2-0,Syria,Friendly,Doha › Qatar
Fri Jan 19 2001,Iran,4-0,China PR,Friendly,Teheran › Iran
Sat Jan 20 2001,Chile,2-0,Iceland,Millennium Cup,Calcutta › India
Sat Jan 20 2001,Ivory Coast,2-0,Sudan,African Cup of Nations qualification,Bouaké › Ivory Coast
Sat Jan 20 2001,Mali,0-1,Guinea,Friendly,Bamako › Mali
Sat Jan 20 2001,Serbia,2-0,Romania,Millennium Cup,Margao › India
Mon Jan 22 2001,Bosnia and Herzegovina,1-0,Chile,Millennium Cup,Calcutta › India
Tue Jan 23 2001,Burkina Faso,0-2,Mali,Friendly,Ouagadougou › Burkina Faso
Tue Jan 23 2001,Egypt,1-0,North Korea,Friendly,Ismailia › Egypt
Tue Jan 23 2001,Serbia,1-0,Japan,Millennium Cup,Calcutta › India
